id,sha,author_id,committer_id,project_id,created_at
120679489,9b4aa968bdd26641ac8818b2c4654f33e29c90f1,1205629,1205629,3924021,2012-08-13 21:21:30
120679488,bdb2171f1ff3eb1dd241e9d1a80274a1bbd9ae4f,1205629,1205629,3924021,2012-08-16 18:47:46
120679486,88cef31c6b11258c56eed40b746fc50d7f5be449,1205629,1205629,3924021,2012-09-13 17:28:44
120679485,ab0e322fab69337aa3bac5d7e038d4fc982f57d0,1205629,1205629,3924021,2012-09-13 17:34:43
45478960,c661d733cd61b5b5dd1ca88945baea828e9a6490,1205629,1205629,3924021,2012-09-13 22:23:08
43772987,59f3988038b2fbebb782968500ddea65c1b0ff95,1205629,1205629,3924021,2012-10-19 17:39:40
45478964,aba87bebd6660b2e01efb4a282b4ffa2d90a074f,411961,411961,4076815,2013-03-28 23:04:20
43772986,982f14b39a8b7edc309e7e37b78fbed254ed1167,1205629,1205629,3924021,2013-05-30 22:31:44
44469037,ee3bb3f265320fba06bbb2cd06b354d50152d3a5,2062477,2062477,3981440,2013-06-07 20:47:33
44927340,2bdc5ca192e243a6014ddcc5c24f391462b79a77,1799297,1799297,4027981,2013-06-10 10:47:21
45517078,58af3a0a3c986d667e9970ba2824d71e782f291b,1205629,1205629,3924021,2013-06-13 17:42:36
45522830,147e7ae455c715de09457fd640ce937dbcd79b7f,1205629,1205629,3924021,2013-06-13 17:59:17
45526244,503cbef551ac3e0ac75404eeb30d4fdfbb21b700,1205629,1205629,3924021,2013-06-13 18:53:48
45792352,9679182000011d3fd74f38a34bc61094798df5ce,1799297,1799297,4027981,2013-06-15 17:42:16
46373494,aa26c009feb8c8ee8077da1e225cf2b17efabbe7,2062477,2062477,3981440,2013-06-19 19:50:18
46874300,18d4b21e0f9fa8ce23078c8e4b19be039398d8ac,1136755,1136755,4202713,2013-06-22 22:44:19
46963795,d256a4fe8a1ec81c81e549783fc99b9239130908,1205629,1205629,3924021,2013-06-23 17:19:55
46983778,818c114b62f6b96913aefd12467da1692d19f8fd,1136755,1136755,4202713,2013-06-23 20:26:13
47622762,9796455352c0f895e8a18917e4e714815c278ce4,1205629,1205629,3924021,2013-06-25 17:37:26
47778851,0ac110346bec5cb9bc434882f32cc27eac7aa490,2062477,2062477,3981440,2013-07-02 22:00:53
48303624,8c35f02400e70414e24afaacea5f739872e24996,1799297,1799297,4027981,2013-07-10 20:56:39
52961334,34f006003e2abab0928baedb47294ab012b667d2,2359380,2359380,4767541,2013-07-31 06:14:58
53379322,7f13abec8193e4d473d0e7c2e8e339e366df51ba,2359380,2359380,4767541,2013-08-06 05:15:50
53150755,1a621ea39c21bb71168f1e5aad6b2524cadfbf3e,2062477,2062477,3981440,2013-08-06 19:17:24
58549778,6599894e0a2959f2daa0ce69809facc833dcfc57,2239673,2239673,5477284,2013-09-26 23:08:20
72161128,b7045af68cc284756d194136080cdf3d16124b0a,1136755,1136755,4202713,2013-11-20 18:07:13
84165492,cd4368bda07ef4d63486a3683865f4d9f3bc53fe,3255855,3255855,7511442,2014-01-21 00:00:18
84905596,924353c787bbaf2b962c71875b0e97274c3bda6c,3255855,3255855,7511442,2014-01-24 04:32:56
120679510,50088a091cbf576fb3305b698798f3a4bca4a37f,4188608,4188608,10072642,2014-06-05 13:30:08
124906729,f711804cc7cf9424c561c0366fa62715ed6cee69,1205629,1205629,3924021,2014-06-05 15:59:15
124906726,40eaba2c71da950494c4938a04e587cdcbfabf1c,1205629,1205629,3924021,2014-06-10 14:50:19
124907361,fa9d1f7af1c2bbe1d8b621c63123c2acd982bded,1205629,1205629,3924021,2014-06-10 14:51:26
124912421,09c1b7403f324b375d39ba57bd8d73af24333ca1,1205629,1205629,3924021,2014-06-10 15:02:39
128749322,2d14fe2e28cd3e1100923de387f3f3398a30ce59,4389917,4389917,10383863,2014-06-20 05:23:29
137974215,7267ccf3411a0fc6cb9e4114286d247be9958322,4292609,4292609,10845072,2014-07-15 14:21:22
184422306,987a38606db2c6c47ed5421155258bb27fd34cbe,4389917,4389917,10383863,2014-11-14 01:48:00
186499618,5d582dd98bcf04a65da1e2807a666d5bcd27d631,2359380,2359380,3924021,2014-11-21 14:56:36
186499619,f02ec455a062e38847c3a54267851df8155229c3,2359380,2359380,3924021,2014-11-21 16:47:16
186499620,498255e2996a46a3320d775ae3b6c9bb3e4b67fb,2359380,2359380,3924021,2014-11-25 13:31:15
186499621,8218485e38e64a9b0f7664078e6d9a5ec6eceda3,2359380,2359380,3924021,2014-11-25 13:32:15
268919729,bc16bef3a2f59680056752aa62a59af823da8709,6644198,6644198,3924021,2014-12-03 05:35:19
268919788,4556aad7d7f1b299d8ab95d883e7b3e2b2218a8f,6644198,6644198,3924021,2014-12-03 05:46:52
268919814,7883d71dc6bcab90da542eacfbe80231d24ae77c,6644198,6644198,3924021,2014-12-03 05:56:31
268919828,dfd5ac7e359132bd4c1900303296b3d33a91b3b7,2359380,2359380,3924021,2014-12-03 09:04:42
268919855,682b4c5ae0b315d2732714439142ca53ef7e2c28,2359380,2359380,3924021,2014-12-03 09:24:17
