id,sha,author_id,committer_id,project_id,created_at
200227024,650e45907198ab0c076d20168aa114b940986b18,1144421,1144421,14521946,2014-12-26 19:56:31
470253242,fcc6de1344bfb512016e6846f0584b9c9dff9355,62143,62143,31063389,2016-06-26 15:00:00
706029742,b79bd1c863eed573d1fd0cf2e219950a12115a3b,62143,62143,31063389,2016-06-28 01:35:57
706030121,e748768dfc707c78ed74fd407ee786ef1a08f44b,62143,62143,31063389,2016-07-03 19:28:53
480041517,3722c14bf176f9ca6cb94b2ccd790934e636fe51,7610653,24814303,41582894,2016-07-11 20:15:23
483746339,a02e0e139d86a800b6dcaaeb01b7df338f772b9b,2188014,2188014,6437914,2016-07-29 03:33:27
726912574,1e68d0331094bd7718c247967a5811deedcc7720,126065,126065,39537115,2016-09-04 05:26:41
534821238,b58e9ac1ed44eb5d60294effb45751fb4525f7e5,1248362,1248362,46668523,2016-09-27 03:11:05
706038568,4f0019128fa84ed9b2e215454f33bf00b2fb6fb0,62143,62143,31063389,2016-09-27 11:44:11
533293290,bc03310f9cc7d29473dd79ba4cc79da1dfaa4127,62143,62143,31063389,2016-10-13 19:18:38
538138169,c621efb702cf83f1395da04b0d8a4ab6054929b8,31834885,31834885,48717873,2016-10-20 13:10:54
559999144,8bb3ccd512b01021979a3fd39add0e75d14edaf5,62143,62143,31063389,2016-11-20 13:58:15
564329337,5030b33e403c56d6d56944df7274abac4adf511d,32275408,32275408,50367428,2016-11-26 13:45:31
571361137,85ec4a60dbac3a3a123df3882f2c6a1fc70033bd,15796023,30351173,52240896,2016-12-05 14:09:32
572867918,db9586017347e8a5ce416d2c3fed8f7921620bfb,62143,62143,31063389,2016-12-07 15:27:02
942548608,12bb35351f76f64add0985d5ed0c7fe40c99c398,11634826,11634826,51767985,2016-12-10 21:50:40
904824496,e6b3b71ccba8211de9a90ab8876a478e4e0af33b,12641037,30351173,48938561,2016-12-12 00:56:16
574279253,27110e03221b733c83f142242a6d354ff86822c2,16610186,30351173,52597345,2016-12-12 10:50:35
580264969,313e1b1613b37ff5bbcfc3318022adbf9ff4645e,7610653,7610653,6437914,2016-12-21 15:08:17
580407036,e9226ecbece61b0e9e3c0d2c3e202d8d114bcfee,5386272,5386272,6437914,2016-12-21 20:59:22
600718915,fc6b22578213b37a7a5f4314abc5d39e36a471c9,32270900,32270900,51252272,2017-01-19 08:30:22
