id,sha,author_id,committer_id,project_id,created_at
485488943,d2aa11b1e5c718d1a24b2283bc0d99938e33aaa9,28191095,28191095,42514985,2016-07-31 17:51:27
485524771,1c92defb109c59ca7333125aab7078946e989ed2,1694112,1694112,42520621,2016-07-31 19:56:27
487349113,69db740b35a760e7b85b6bb9ea92a1a11d0e0843,14400692,14400692,42804473,2016-08-04 17:00:42
487394431,92cf4d5687fabd3be234d18adba8605fd7cbc7c3,9230123,9230123,42814539,2016-08-04 20:29:31
487791086,12e02c0367798290b66f7dda044689e1f31db546,30368001,30368001,42881527,2016-08-06 23:14:14
487804000,ff1f6acfb10e1fda6bb60690391ce9103c214ece,29584039,29584039,42883391,2016-08-07 02:43:28
487902075,f586fe9a982360fdc38e51bbf01c170bbe9faed1,7805650,7805650,42904187,2016-08-07 23:23:00
487902076,c3f07cce8f8ce7dc1a4453584f662aaf4954e77b,7805650,7805650,41586528,2016-08-08 00:26:19
487913994,e7b0e6557eda0c68482db91ed818b9cec630d97b,29215090,29215090,42902372,2016-08-08 01:44:19
488119196,9eeb84ad421b108dccdaa789ca4c099232b2b9ed,7008415,7008415,42882709,2016-08-08 23:40:27
488363071,4eefd680758b5880dd111f5905996de5c0103711,2244348,2244348,43026476,2016-08-09 21:29:27
488917782,e1fa1c304af5ea2c501ec54d8d42579256bb7cf0,12677162,12677162,42939030,2016-08-10 11:00:56
489272463,362c22a92927cc18b2d201df7606c7f09431540c,30353438,30353438,43148290,2016-08-10 19:32:34
489300742,286ac757ae69221fdc020eb967a2547a1dd15856,27555486,27555486,43167452,2016-08-10 20:13:35
489441012,b77b4e23ad52b2159e6e27872fefe79f88cd1ca2,13691452,13691452,43183083,2016-08-10 23:39:14
490159445,5808a0d74a0a5f15ec221411398fc218dfdbe6a7,8452980,8452980,43346903,2016-08-11 18:43:43
491305935,481b1bb87f2d00d6374f054e2df41ef6221c9268,4910154,4910154,43406593,2016-08-12 20:42:30
493046383,bc3674c12f6fcbb53194015f85efa03ad6f8e678,12207984,12207984,43461358,2016-08-13 17:39:39
493056565,c2eb6e52c95f10d320b31e0c41bd43065ccabd4f,13114198,13114198,43464241,2016-08-13 18:13:27
493440604,f7e3f765562520b0977abf7a37944006c111f9e3,12613048,12613048,43420958,2016-08-14 17:37:05
493470380,aac60dd6718635f69d220cf277cd47e0a68212f8,24055887,24055887,43509671,2016-08-14 19:08:57
493539614,88bbaa048b142898b7b7d8b7824036bef3c7b096,11103797,11103797,43516945,2016-08-14 22:40:25
493900004,8950fb3189418172a334474d95253eaca5563b65,11004650,11004650,43562649,2016-08-15 15:15:24
494569812,cd8c7d3799ee7f8aa7a28af73ef6ef83c5b98c12,11673788,11673788,43642169,2016-08-16 18:37:51
494570999,78884419ed5fbfac71ecb20f45db038e472632e6,13184506,13184506,43657276,2016-08-16 18:46:28
494580576,358df63a8e7f081f2baad1b9b354cfbf77b1411c,30366463,30366463,43642755,2016-08-16 19:46:07
494597959,c6ac7ca495776b500cc13480e7c2586c575da8a9,3807791,3807791,43645632,2016-08-16 21:51:36
494619775,488eb04dc0b5d9182352c1e86c29780b7f21804f,30495805,30495805,43649222,2016-08-17 01:37:28
494630628,e72ef787ab60242d8c5e3bc364662e6d5e0c06a4,29860306,29860306,43651639,2016-08-17 04:26:32
494668733,ff758ff64814e837672186419454973b719e7404,30507620,30507620,43646154,2016-08-17 12:45:11
494723855,9f8456e563790100dee3f5febec5e31cc8f2cea3,30495041,30495041,43675130,2016-08-17 14:57:14
496208452,6a24437b774836ab5c8b65d0cb4f095b9bffc353,8159874,8159874,43808240,2016-08-18 22:07:41
496213584,037660f8b7dca999e6953875892be342bde581e7,26561032,26561032,43808949,2016-08-18 22:19:24
496318463,f5ad463252ec7b3c2eaae4eab587f886c69a0610,30495175,30495175,43586790,2016-08-19 03:01:19
496728059,fa2780ff0fc4e51d54ae0b0bc3e5b34a0367b6a6,30428593,30428593,43860698,2016-08-19 17:55:59
497196276,e700d7f20aa9759e10fbea64f9a59e726e377551,14289366,14289366,43915840,2016-08-20 17:42:57
497219152,c02d02b5ba425e1f1adab2164230713fc0b5b548,30361205,30361205,43917323,2016-08-20 18:49:20
497264621,d152d359f3bfea9cd3332f009ced1b7a2d947241,11446542,11446542,43877388,2016-08-20 21:04:59
497639204,ea6e9cc6087d758d180274417c01f71b769901ea,30597419,30597419,43961885,2016-08-21 18:24:26
497714104,2093d09da2ee186907e3726800190a37f5277e78,12084410,12084410,43970187,2016-08-21 21:52:24
497845622,3055857f6edd5072aacb01dcc02e4253ae87af77,11971967,11971967,43975830,2016-08-22 04:37:25
498134483,4bdae9b7fad0aa9889b16b0757b291636af13c42,7581771,7581771,44021203,2016-08-22 15:10:41
498284146,27efdfc5e65bc2f5f86be773b72bf1491eab7735,5020603,5020603,44036202,2016-08-22 19:36:47
498364162,d2cffc4efc6acafd8f7e00fa963fdabd29003014,4305848,4305848,44040555,2016-08-22 22:18:31
498425254,7e8de9870c551a4cdc9887baab9284e2705459ed,1520216,1520216,44048164,2016-08-23 01:03:08
498426178,6cfe7351ed43fb5e4e743a3c50000d0b463015b1,30616478,30616478,44047518,2016-08-23 01:05:51
498896588,64dd53682dbb6a1c3c55429f57745675817e67c1,30395311,30395311,44109369,2016-08-23 18:20:24
498981362,c6668801f93eb0dfaf975b0261edadcbf444b8a0,30472912,30472912,44117638,2016-08-23 21:05:32
499708752,ab1a200f064b2117dc9f6c2792ab52efe67915d7,2576004,2576004,44139834,2016-08-24 23:56:48
499967884,2049c258840ee92365ed80fde3e94309f5c4bad3,12230534,12230534,44234704,2016-08-25 10:43:59
500958648,af9b4713c75aa408b2e162de188a74821fcf67e7,30667602,30667602,44333921,2016-08-26 21:27:27
501387471,023872f736685a8c7e1ba60801b5b4748abf4564,17555182,17555182,44386978,2016-08-27 20:18:32
501514037,b1cb4d7635b55271146ea75ce8fe8bf6bc4ab1be,11987534,11987534,44398167,2016-08-28 04:05:14
501989921,a5f46e2e90cdab34805456146350343a0c2c60d8,24519594,24519594,44453188,2016-08-29 04:26:56
502273771,eb9e6dcb2dd19fbdacde1469c18e4a1af16da29a,10624546,10624546,44487990,2016-08-29 15:04:36
502283964,59ec686a87314e9d627508ff43973143e5c0bd2d,13137562,13137562,44486687,2016-08-29 15:21:38
502416008,87592e55e4232dd3c8953da0257328985a8a7eef,12157836,12157836,44496063,2016-08-29 19:17:40
502424194,c0a4882a5f0127526cf0d1cc7685b709818da410,30663688,30663688,44317661,2016-08-29 19:33:52
502560746,018313e8862938b3dc40b6d7f6f8df46c6581e15,14336179,14336179,44517983,2016-08-30 00:36:17
502862750,125dca43d5d15017ee18a285e837394cc6e0faee,30712057,30712057,44555839,2016-08-30 12:21:14
505925484,e8d7627db350aa8468d8b2446b1e706ddd767a67,13679448,13679448,44981733,2016-09-03 02:44:37
506301128,45dbdf074ca9f48516cadb3d83d6244792798873,13400790,13400790,44987662,2016-09-03 23:44:02
506512546,096262fec6054791054fde4f9987a84d1bf9668e,2888432,2888432,45049330,2016-09-04 12:54:46
506597434,f16c2f2a4ca44034214d0e57a379fd06e4ec5a30,22818958,22818958,45059885,2016-09-04 16:41:47
507306519,a588c18413bd0511fe61b2024415759abe91691d,30800672,30800672,45140581,2016-09-05 23:06:59
507398454,287133229f5c191b929fb0d493fdf60ae59e4abf,30606879,30606879,45154060,2016-09-06 03:34:55
507945150,68f201971b553ccef62aff87132f2dbf6e9a2ad2,28271578,28271578,45217737,2016-09-06 21:06:14
507998717,2aab484141b9cca538403dda10dcee0ec1c2b53d,30541260,30541260,45221977,2016-09-06 23:03:37
508030867,103bcc7dc7b590d07775adfb439ac008f3fffd05,30823900,30823900,45223366,2016-09-07 00:37:11
508501493,4f212814e011bd446e4d8eafde6b85903f87ec7c,30658267,30658267,45282707,2016-09-07 17:18:22
509271080,2e832f92b1faf16c7f59f03153a74798c7bc053f,30823377,30823377,45370405,2016-09-08 20:07:26
509322544,823ed881aee200be26adf7aa5cba04043e97f793,30759555,30759555,45375137,2016-09-08 21:44:26
509989358,9601e631d1f9a224721bbaf378784effa7103397,30772760,30772760,45444748,2016-09-09 22:50:36
510091852,77b8432141a1a3616336f74093de7c17fc947cb8,30918102,30918102,45466277,2016-09-10 05:19:03
510520630,616f2f4ac06776947b3d7c5d089a9f6b4d97ab1a,30530189,30530189,45508786,2016-09-11 04:47:52
511536887,c74745461609096dee5c1b5bb7b867f1749475fa,12283252,12283252,45631025,2016-09-12 21:55:24
511540353,143d6c7bd302e7b725fdffc23543b45d7379f429,9377761,9377761,45629539,2016-09-12 22:02:44
512068345,5f1a6876d0f0c5c9e5b7e9d44eb81543ddff4a2b,16926234,16926234,45692570,2016-09-13 16:16:09
513370833,748cd70f20fe37f95b9eb502cde32332359a566e,30768597,30768597,45837896,2016-09-15 15:08:26
514148285,aad2defe141fada47991f1a10e684c86903fc07f,11793731,11793731,45917624,2016-09-16 18:15:13
515212305,06029490d3afdd6840c90ae38216e40656e07fd2,30822731,30822731,45974397,2016-09-18 21:57:39
515370303,3320d1bb89a9f5d6b986f7f696b4207d8813e79b,13063383,13063383,45934039,2016-09-19 05:51:10
515417274,f1f77de782247735cce54cc8974bdaa6aa5a9f11,30617290,30617290,46032191,2016-09-19 07:49:36
515669200,f10223371018ecd42213f34aa12bcbf33b186d58,8360729,8360729,46102739,2016-09-19 17:20:14
515771362,e20408a18cec75a57bcd2ba447a0724e0d8bab89,11111936,11111936,46110723,2016-09-19 19:44:03
516015202,ab9fd3a63841c75648807681067a8ca377983132,21240505,21240505,46137251,2016-09-20 04:22:04
516315559,ebf9541be59dbda20b8363f6e766d4198d76ecea,30922615,30922615,46179174,2016-09-20 14:36:13
516726239,69bf933a998df0971db4ee43f749dbce36cc4570,31082015,31082015,46228896,2016-09-21 04:46:45
517127987,1c9018a5dc489c2a76329d5a26bed15fed18dc54,7733040,7733040,46278904,2016-09-21 17:45:04
519033183,026e037cb5c721bcd17c6df7b90edcfb7b42ff32,11229243,11229243,46512786,2016-09-24 21:01:06
519317355,2ee282ee9e7928be6d1af63cd2bb1ecc36fc793c,7331757,7331757,46546759,2016-09-25 13:34:29
519572059,2b386085d69cde0c398eaaa1d295b930e690b20c,30900613,30900613,46575137,2016-09-26 00:51:17
519776210,219e8043d91297967636b579c04f2c93cfd5924c,30583417,30583417,46603204,2016-09-26 09:51:21
520221737,abf094e9c699f8a11737f6f198ab8da901223c19,10639977,10639977,46657705,2016-09-27 00:00:38
