id,sha,author_id,committer_id,project_id,created_at
5409488,3b0a1228772181db57d490e40a0f370573306762,88391,88391,359606,2012-05-08 02:45:34
5494410,7c8b7e8a7c65feb480b785bcdebd647e1c565166,2289,2289,366597,2012-05-11 20:51:39
845326,86383cd20fc7e085358a1b4aadbafb330f3cc28e,132251,132251,50663,2012-05-22 09:07:59
845305,aa15cf441fd1a946d91342f11b2491dc8cc140b5,3656,3656,50663,2012-05-30 21:21:23
845290,d20df2d60380e95f49410419a01a1046028ddf99,132251,132251,50663,2012-06-07 09:15:22
845274,0edafd3074574cd6c89a3314c597b08b38dc75a1,132247,132247,50663,2012-06-08 10:45:09
845204,0211cfbad43027bc32b3916092c9c099f6ca39db,73275,73275,50663,2012-07-09 20:09:44
114392,5d3fda732f05c1d41f3c9196b85a5b9073bd862c,25534,25534,6963,2012-07-30 19:47:36
114367,4ed3e7c12aa8d11019270684a29ee8dd558ae6db,25534,25534,6963,2012-08-02 22:08:19
164158,9044afa438ebf78392cb0a5e6b12750b6cba33da,25534,25534,6963,2012-08-03 04:00:24
322188,14ca1b4f2771941ae9efa9333d5118f29f8695bf,25534,25534,6963,2012-08-03 17:44:54
323756,80170ba16a5d158c5ffceefd19b8ef52b9f13d07,12417,12417,6963,2012-08-03 18:04:19
2169849,5d13348c6ec84054be68cac4624656b04f8615ce,25534,25534,6963,2012-08-07 22:38:55
2642769,cb25df38b0b1e3b01d7d5bae315abbddd6463707,25534,25534,6963,2012-08-08 06:35:49
2746831,74f7ae24648bf994e98df3c14bbe4af194731a2c,25534,25534,6963,2012-08-08 21:29:11
6734083,03c69ea8d5275999e39880d597f7b739e27dc6e7,12417,12417,6963,2012-08-20 19:37:19
6737588,10ec37ec37387642746bb36c8494ae239f1c3cb7,12417,12417,6963,2012-08-20 19:51:49
6789201,bb8052e62b8a329022f9fd723c8b29f6002f6d33,25534,25534,6963,2012-08-20 22:56:58
7272269,7d6c701f4de14307c72ef45d37a06bb54f523912,25534,25534,6963,2012-08-21 02:46:30
6979402,66bf13d9631fef44701ff60c3da8e54cfb3a4ca4,12417,12417,6963,2012-08-21 14:41:45
7069583,f13e0c31e404bf35392aec84cbdc83aa0c4817a7,12417,12417,6963,2012-08-21 20:19:00
7103705,80bf369d2b08e46fca405b83ddcb01c8b53242ef,25534,25534,499440,2012-08-22 19:56:10
7368209,9832493fd92d84354757a9a8e5392fa1e9719ba3,547820,547820,499440,2012-08-23 13:16:18
