id,head_repo_id,base_repo_id,head_commit_id,base_commit_id,pullreq_id,intra_branch,merged,opened_at,closed_at
34337582,87357708,87329253,904359604,828006416,1,f,f,2018-01-31 22:24:36,
34348446,87383239,87329253,904590592,828006416,2,f,f,2018-02-01 04:49:43,
34366350,87427001,87329253,904922825,828006416,3,f,f,2018-02-01 13:25:11,
34377507,87449457,87329253,905131125,828006416,4,f,f,2018-02-01 17:25:33,
34379535,87453436,87329253,905170316,828006416,5,f,f,2018-02-01 18:16:59,
34379736,87453917,87329253,905173860,828006416,6,f,f,2018-02-01 18:21:18,
34380087,87454675,87329253,905180310,828006416,7,f,f,2018-02-01 18:30:25,
34381328,87457326,87329253,905204816,828006416,8,f,f,2018-02-01 19:02:42,
34384198,87462531,87329253,905252204,828006416,9,f,f,2018-02-01 20:06:13,
34386068,87466041,87329253,905284589,828006416,10,f,f,2018-02-01 20:50:26,
34386780,87467347,87329253,905297233,828006416,11,f,f,2018-02-01 21:07:12,
34395818,87480779,87329253,905444820,828006416,12,f,f,2018-02-02 00:55:47,
34398818,87489972,87329253,905511089,828006416,13,f,f,2018-02-02 02:53:54,
34426856,87539835,87329253,905776991,828006416,14,f,f,2018-02-02 16:55:15,
34430520,87543354,87329253,905787136,828006416,15,f,f,2018-02-02 18:18:52,
34433393,87546132,87329253,905795987,828006416,16,f,f,2018-02-02 19:26:59,
34437849,87550431,87329253,905813016,828006416,17,f,f,2018-02-02 21:17:10,
34441681,87553881,87329253,905825148,828006416,18,f,f,2018-02-02 23:02:05,
34468423,87584928,87329253,905936920,828006416,19,f,f,2018-02-03 19:39:09,
34480244,87595317,87329253,905975510,828006416,20,f,f,2018-02-04 04:06:03,
34498581,87621319,87329253,906076263,828006416,21,f,f,2018-02-04 21:27:35,
34499593,87622446,87329253,906080093,828006416,22,f,f,2018-02-04 22:11:04,
34544336,87677656,87329253,906286565,828006416,23,f,f,2018-02-05 22:37:40,
34544887,87678263,87329253,906289005,828006416,24,f,f,2018-02-05 22:55:46,
34546180,87679593,87329253,906293710,828006416,25,f,f,2018-02-05 23:41:10,
34548812,87683004,87329253,906303666,828006416,26,f,f,2018-02-06 01:29:19,
34550852,87686582,87329253,906314303,828006416,27,f,f,2018-02-06 02:49:24,
34568289,87714602,87329253,906413607,828006416,28,f,f,2018-02-06 13:47:55,
34576179,87722835,87329253,906450420,828006416,29,f,f,2018-02-06 16:56:03,
34581181,87727238,87329253,906465367,828006416,30,f,f,2018-02-06 18:56:56,
34600254,87740496,87329253,907216391,828006416,31,f,f,2018-02-07 04:20:25,
34600834,87748453,87329253,907221171,828006416,32,f,f,2018-02-07 04:50:04,
34619711,87811542,87329253,907369883,828006416,33,f,f,2018-02-07 14:47:13,
34625641,87823876,87329253,907414550,828006416,34,f,f,2018-02-07 16:40:02,
34631950,87838559,87329253,907458541,828006416,35,f,f,2018-02-07 18:52:10,
34632791,87839623,87329253,907259519,828006416,36,f,f,2018-02-07 19:10:48,
34643860,87863703,87329253,907493185,828006416,37,f,f,2018-02-07 23:10:31,
34654435,87896883,87329253,907731349,828006416,38,f,f,2018-02-08 03:59:11,
34695680,88024275,87329253,908674631,828006416,39,f,f,2018-02-08 21:13:26,
34697184,88028804,87329253,908719548,828006416,40,f,f,2018-02-08 21:46:10,
34748603,88216126,87329253,909976130,828006416,41,f,f,2018-02-09 21:51:17,
34782826,88366281,87329253,913261191,828006416,42,f,f,2018-02-10 23:16:54,
34800757,88432950,87329253,914694692,828006416,43,f,f,2018-02-11 16:04:22,
34858697,88556373,87329253,915879180,828006416,44,f,f,2018-02-12 21:27:58,
34866164,88568314,87329253,916015811,828006416,45,f,f,2018-02-13 00:52:06,
34869603,88575492,87329253,916087752,828006416,46,f,f,2018-02-13 02:57:28,
34900753,88641297,87329253,916697914,828006416,47,f,f,2018-02-13 18:10:14,
34918839,88668159,87329253,916990593,828006416,48,f,f,2018-02-14 00:49:24,
34926648,88680003,87329253,917108245,828006416,49,f,f,2018-02-14 04:32:11,
35007389,88822265,87329253,918550736,828006416,50,f,f,2018-02-15 18:05:14,
35031281,88857992,87329253,918935882,828006416,51,f,f,2018-02-16 04:08:57,
35074228,88933456,87329253,919663553,828006416,53,f,f,2018-02-16 23:38:34,
35084422,88950892,87329253,919851913,828006416,54,f,f,2018-02-17 07:26:33,
35092736,88974610,87329253,920050805,828006416,55,f,f,2018-02-17 15:44:37,
35094359,88979221,87329253,920089306,828006416,56,f,f,2018-02-17 16:55:52,
35101856,88997174,87329253,920269107,828006416,57,f,f,2018-02-17 22:20:36,
