id,head_repo_id,base_repo_id,head_commit_id,base_commit_id,pullreq_id,intra_branch,merged,opened_at,closed_at
11607726,30948453,30898545,373291576,372200264,1,f,f,2016-01-15 00:20:51,
11633780,30989623,30898545,373872896,372200264,2,f,f,2016-01-16 03:32:20,
11676808,31074356,30898545,375057954,372200264,3,f,f,2016-01-18 19:26:12,
11710797,31132231,30898545,375799140,372200264,4,f,f,2016-01-20 03:11:50,
11727743,31161566,30898545,376178655,372200264,5,f,f,2016-01-20 19:09:02,
11740527,31184416,30898545,376471736,372200264,6,f,f,2016-01-21 08:40:05,2016-04-25 19:31:17
11740562,31184416,30898545,376471976,372200264,7,f,f,2016-01-21 08:43:10,
11905582,31500835,30898545,380373469,372200264,8,f,f,2016-01-28 14:50:43,
11917787,31518141,30898545,380599632,372200264,9,f,f,2016-01-28 22:24:27,2016-04-25 19:31:17
11947727,31568887,30898545,381266124,372200264,10,f,f,2016-01-30 00:01:20,
12025555,31712308,30898545,383182012,372200264,11,f,f,2016-02-02 18:18:28,
12062561,31770649,30898545,383970383,372200264,12,f,f,2016-02-04 00:57:51,
12090804,31813648,30898545,384376271,372200264,13,f,f,2016-02-05 05:29:47,
12102326,31837909,30898545,384845369,372200264,14,f,f,2016-02-05 17:01:33,
12239009,32076255,30898545,388115762,372200264,15,f,f,2016-02-11 18:28:08,
12240613,32079077,30898545,388148545,372200264,16,f,f,2016-02-11 19:34:58,
12254412,32100729,30898545,388423500,372200264,17,f,f,2016-02-12 08:27:45,
12277026,32134394,30898545,388882278,372200264,19,f,f,2016-02-13 02:11:01,
12355407,32283115,30898545,390701528,372200264,20,f,f,2016-02-16 21:00:31,
12412735,32380826,30898545,392012209,372200264,21,f,f,2016-02-18 20:02:17,
12420222,32389900,30898545,392115741,372200264,22,f,f,2016-02-19 01:25:52,
12438837,32422186,30898545,392597876,372200264,23,f,f,2016-02-19 18:22:22,
12438983,32422302,30898545,392599324,372200264,24,f,f,2016-02-19 18:28:43,
12458579,32462149,30898545,393147472,372200264,25,f,f,2016-02-20 17:51:26,
12483980,32507704,30898545,393719736,372200264,26,f,f,2016-02-21 23:03:43,
12512854,32555185,30898545,394229067,372200264,27,f,f,2016-02-23 00:38:41,
12594905,32712730,30898545,396213545,395632764,28,f,f,2016-02-25 21:01:57,
12629034,32768273,30898545,396921382,395632764,29,f,f,2016-02-27 03:40:00,
12640785,32802142,30898545,397529148,395632764,30,f,f,2016-02-27 22:24:51,
12800676,33088360,30898545,401153297,395632764,31,f,f,2016-03-04 21:13:58,
12803401,33091751,30898545,401203218,395632764,32,f,f,2016-03-04 23:05:54,
12820145,33123976,30898545,401607219,395632764,33,f,f,2016-03-05 20:28:42,
12872717,33220320,30898545,402865401,395632764,34,f,f,2016-03-08 03:43:08,
12891291,33253424,30898545,403281373,395632764,35,f,f,2016-03-08 19:15:38,
12897845,33261993,30898545,403402721,395632764,36,f,f,2016-03-08 23:11:44,
12923469,33305634,30898545,403952856,395632764,37,f,f,2016-03-09 19:31:11,
12959782,33363357,30898545,404718005,395632764,38,f,f,2016-03-10 22:59:26,
12977070,33393303,30898545,405115805,395632764,39,f,f,2016-03-11 15:19:11,
13021469,33479045,30898545,406227087,395632764,40,f,f,2016-03-14 00:14:17,
13023630,33483520,30898545,406281293,395632764,41,f,f,2016-03-14 02:57:03,
13037735,33511378,30898545,406607638,395632764,42,f,f,2016-03-14 16:01:35,
13076691,33577898,30898545,407379792,395632764,43,f,f,2016-03-15 22:06:46,
13106997,33630536,30898545,408041152,395632764,44,f,f,2016-03-16 22:48:14,
13128936,33670128,30898545,408633620,395632764,45,f,f,2016-03-17 17:59:32,
13161550,33725451,30898545,409443821,395632764,46,f,f,2016-03-18 21:10:03,
13163582,33728083,30898545,409484931,395632764,47,f,f,2016-03-18 22:50:18,
13174929,33754395,30898545,409816738,395632764,48,f,f,2016-03-19 17:35:14,
13180568,33764839,30898545,409971098,395632764,49,f,f,2016-03-20 01:10:47,
13180808,33765328,30898545,409977899,395632764,50,f,f,2016-03-20 01:39:10,
13192822,33793236,30898545,410358985,395632764,51,f,f,2016-03-20 20:36:33,
13213016,33830812,30898545,410800743,395632764,52,f,f,2016-03-21 16:34:46,
13221394,33844229,30898545,410963220,395632764,53,f,f,2016-03-21 22:05:01,
13257849,33909872,30898545,411715914,395632764,54,f,f,2016-03-23 02:47:38,
13333551,34028462,30898545,413378012,395632764,55,f,f,2016-03-25 16:05:37,
13397747,34141051,30898545,414867651,395632764,56,f,f,2016-03-28 19:04:28,
13404357,34149376,30898545,414989277,395632764,57,f,f,2016-03-28 23:26:36,
13439840,34208460,30898545,415993625,395632764,58,f,f,2016-03-30 03:35:54,
13508953,34310133,30898545,417337693,395632764,59,f,f,2016-03-31 14:55:03,
13550081,34374841,30898545,418209833,395632764,60,f,f,2016-04-02 18:57:40,
13552420,34378319,30898545,418260315,395632764,61,f,f,2016-04-02 21:16:17,
13574838,34417489,30898545,418800988,395632764,62,f,f,2016-04-04 01:33:11,
13575820,34419120,30898545,418822558,395632764,63,f,f,2016-04-04 02:44:44,
13592495,34446196,30898545,419173205,419125294,64,f,f,2016-04-04 16:36:35,
13609277,34469308,30898545,419471655,419125294,65,f,f,2016-04-05 03:42:13,
13638739,34513300,30898545,420051991,419125294,66,f,f,2016-04-06 00:48:32,
13671893,34568274,30898545,420765714,419125294,67,f,f,2016-04-07 01:27:12,
13689673,34584566,30898545,420888274,419125294,68,f,f,2016-04-07 02:13:09,
13743723,34717680,30898545,422441161,419125294,69,f,f,2016-04-09 23:02:45,
13783528,34842592,30898545,423493863,419125294,70,f,f,2016-04-11 20:02:37,
13822812,34932595,30898545,424372304,419125294,71,f,f,2016-04-12 06:34:05,
13813328,34914172,30898545,424301159,419125294,72,f,f,2016-04-12 19:33:07,
13972862,35299105,30898545,427773634,419125294,73,f,f,2016-04-18 17:41:16,
13984675,35339298,30898545,428006229,419125294,74,f,f,2016-04-19 01:24:58,
14000441,35397686,30898545,429161388,419125294,75,f,f,2016-04-19 14:22:35,
14037646,35457924,30898545,430478490,419125294,76,f,f,2016-04-20 14:55:13,
14052084,35475453,30898545,430737747,419125294,77,f,f,2016-04-20 22:37:32,
14090320,35525802,30898545,431441689,419125294,78,f,f,2016-04-21 23:59:27,
14097945,35537989,30898545,431593832,419125294,79,f,f,2016-04-22 07:16:08,
14124799,35571333,30898545,432108296,419125294,80,f,f,2016-04-23 00:39:04,
14127308,35575296,30898545,432177349,419125294,81,f,f,2016-04-23 03:59:14,
14133933,35587849,30898545,432334410,419125294,82,f,f,2016-04-23 13:27:07,
14154222,35621524,30898545,432848712,419125294,83,f,f,2016-04-24 13:51:07,
14195501,35683474,30898545,433720559,433641325,84,f,f,2016-04-25 21:48:53,
14258338,35830651,30898545,434944695,433641325,85,f,f,2016-04-27 16:44:42,
14264887,35840621,30898545,435059349,433641325,86,f,f,2016-04-27 20:09:02,
14306622,35897755,30898545,435886001,433641325,87,f,f,2016-04-29 00:05:24,
14372481,36207122,30898545,437365951,433641325,88,f,f,2016-05-01 21:12:09,
14372626,36207419,30898545,437366487,433641325,89,f,f,2016-05-01 21:21:59,
14403562,36270655,30898545,438089163,433641325,90,f,f,2016-05-02 22:08:26,
14425079,36299730,30898545,438501057,438476814,91,f,f,2016-05-03 14:29:24,
14435693,36313637,30898545,438685445,438476814,92,f,f,2016-05-03 19:58:03,
14468618,36362547,30898545,439266070,438476814,93,f,f,2016-05-04 19:32:09,
14475818,36390182,30898545,439417918,438476814,94,f,f,2016-05-05 01:03:18,
14475945,36391087,30898545,439448123,438476814,95,f,f,2016-05-05 01:13:11,
14549419,36549503,30898545,441280490,438476814,96,f,f,2016-05-08 04:45:56,
14642986,36724220,30898545,442700235,438476814,97,f,f,2016-05-11 18:26:08,
14647809,36730453,30898545,442755200,438476814,98,f,f,2016-05-11 21:46:35,
14653528,36734961,30898545,442806039,438476814,99,f,f,2016-05-12 03:56:14,
14653603,36735047,30898545,442806882,438476814,100,f,f,2016-05-12 04:02:10,
14670295,36750696,30898545,443073419,438476814,101,f,f,2016-05-12 17:07:43,
14671976,36752076,30898545,443097876,438476814,102,f,f,2016-05-12 18:15:23,
14698202,36906105,30898545,444041274,438476814,103,f,f,2016-05-13 15:48:33,
14706459,36953712,30898545,444688412,438476814,104,f,f,2016-05-13 23:14:02,
14835801,37269533,30898545,448478356,438476814,105,f,f,2016-05-19 01:13:37,
14856536,37305983,30898545,448931120,438476814,106,f,f,2016-05-19 17:46:28,
14856652,37306192,30898545,448933209,438476814,107,f,f,2016-05-19 17:50:48,
14861886,37313185,30898545,449030341,438476814,108,f,f,2016-05-19 20:56:54,
14869284,37324944,30898545,449181333,438476814,109,f,f,2016-05-20 03:49:24,
14893074,37361505,30898545,449686981,438476814,110,f,f,2016-05-20 21:52:45,
14924508,37424234,30898545,450566641,438476814,111,f,f,2016-05-22 20:33:28,
15186086,38056821,30898545,456478576,438476814,112,f,f,2016-06-01 23:07:40,
15276039,38436032,30898545,459306357,438476814,113,f,f,2016-06-06 02:49:33,
15291971,38493997,30898545,459717542,438476814,114,f,f,2016-06-06 16:38:32,
15349271,38708323,30898545,460906703,438476814,115,f,f,2016-06-08 15:10:37,
15464935,39138288,30898545,464334602,438476814,116,f,f,2016-06-14 19:43:16,
15476085,39196153,30898545,464736059,438476814,117,f,f,2016-06-15 16:37:54,
15480747,39213295,30898545,464890551,438476814,118,f,f,2016-06-15 22:54:52,
15527086,39584044,30898545,466831446,438476814,119,f,f,2016-06-20 09:08:59,
15562729,39769192,30898545,468125529,438476814,120,f,f,2016-06-22 19:13:53,
15565327,39779860,30898545,468212396,438476814,121,f,f,2016-06-22 22:53:19,
15600754,40000196,30898545,469728643,438476814,123,f,f,2016-06-26 13:50:28,
