id,head_repo_id,base_repo_id,head_commit_id,base_commit_id,pullreq_id,intra_branch,merged,opened_at,closed_at
25113890,60364414,66107245,665030874,663914216,67,f,f,2017-04-07 20:27:19,2017-06-20 19:19:40
25157100,66107245,66107245,703383749,703013904,117,t,t,2017-05-17 19:05:59,2017-06-09 20:17:09
25111546,60364414,66107245,706095422,698781779,124,f,t,2017-05-24 18:16:01,2017-07-13 20:22:31
25110812,60364414,66107245,700850028,699912942,126,f,t,2017-05-26 17:33:50,2017-06-02 19:26:23
25199134,60364414,66107245,705168349,703410875,127,f,f,2017-05-26 22:10:47,2017-06-14 11:39:47
25353584,66107245,66107245,705933363,705873594,131,t,t,2017-05-31 01:12:37,2017-06-16 13:43:09
25178394,66107245,66107245,704444290,703410875,132,t,t,2017-05-31 20:27:14,2017-06-07 15:31:34
25066725,66107245,66107245,705289173,703410875,133,t,t,2017-06-01 20:13:02,2017-06-02 14:15:45
25162116,66107245,66107245,707391060,706080919,134,t,t,2017-06-05 02:42:38,2017-06-05 17:30:35
25176289,61933655,66107245,707728782,706080919,135,f,t,2017-06-05 13:48:43,2017-06-06 02:29:45
25176837,56422298,66107245,707741519,706080919,136,f,t,2017-06-05 14:06:56,2017-06-05 21:22:01
25176895,56422298,66107245,707743239,706080919,137,f,t,2017-06-05 14:09:09,2017-06-05 14:22:59
25183322,57578552,66107245,707879604,707753400,138,f,f,2017-06-05 17:23:19,2017-06-05 17:24:15
25183767,57578552,66107245,707889603,707885321,139,f,t,2017-06-05 17:37:27,2017-06-06 01:45:52
25185161,66107245,66107245,707917264,707885321,140,t,t,2017-06-05 18:21:08,2017-06-05 23:12:02
25185946,60364414,66107245,707932357,707885321,141,f,t,2017-06-05 18:47:11,2017-06-06 00:00:38
25191207,66107245,66107245,708022283,707885321,143,t,t,2017-06-05 21:09:59,2017-06-05 21:36:59
25219453,56422298,66107245,708602507,708181181,145,f,t,2017-06-06 15:01:03,2017-06-06 18:09:37
25224492,63377617,66107245,708689982,708181181,146,f,t,2017-06-06 16:57:41,2017-06-15 18:43:37
25263022,56422298,66107245,709491228,709472115,148,f,t,2017-06-07 15:55:19,2017-06-14 15:50:32
25268206,66107245,66107245,709584111,709472115,149,t,t,2017-06-07 18:08:35,2017-06-08 12:29:38
25271103,63377617,66107245,709638031,709472115,150,f,t,2017-06-07 19:31:04,2017-06-13 15:08:36
25295595,60364414,66107245,710153264,709472115,151,f,t,2017-06-08 11:53:50,2017-06-14 23:13:45
25302554,66107245,66107245,710280208,710174627,152,t,t,2017-06-08 15:07:15,2017-06-08 15:44:26
25308187,66107245,66107245,710385544,710319384,153,t,t,2017-06-08 17:45:01,2017-06-14 20:36:25
25308516,63377617,66107245,710387693,710319384,154,f,t,2017-06-08 17:54:21,2017-06-09 18:58:36
25312460,57578552,66107245,710492553,710319384,155,f,t,2017-06-08 19:56:15,2017-06-13 14:57:57
25325237,66107245,66107245,710770932,710319384,156,t,t,2017-06-09 05:58:10,2017-06-12 15:21:21
25338563,56422298,66107245,710502801,710319384,157,f,t,2017-06-09 14:11:08,2017-06-14 19:36:29
25348899,61933655,66107245,711261177,711257268,158,f,t,2017-06-09 19:04:57,2017-06-15 16:45:36
25349303,66107245,66107245,711269258,711257268,159,t,t,2017-06-09 19:18:55,2017-06-10 03:09:27
25351965,56422298,66107245,711326751,711300448,160,f,t,2017-06-09 20:53:53,2017-06-15 17:56:16
25352282,60214647,66107245,711332821,711300448,161,f,t,2017-06-09 21:04:53,2017-06-12 18:44:14
25361314,66862278,66107245,711540713,711467121,163,f,t,2017-06-10 07:24:50,2017-06-10 11:38:50
25421719,63377617,66107245,713100399,713094531,164,f,f,2017-06-12 18:53:45,2017-06-12 18:57:27
25424085,57578552,66107245,713108336,713094531,165,f,t,2017-06-12 20:09:11,2017-06-12 20:18:43
25425837,66640025,66107245,713180377,713156118,166,f,t,2017-06-12 21:02:30,2017-06-13 18:12:35
25431756,66107245,66107245,713313129,713156118,167,t,t,2017-06-13 01:22:06,2017-06-20 13:48:51
25453270,61933655,66107245,713828112,713795163,168,f,t,2017-06-13 15:49:26,2017-06-13 19:20:49
25455784,66107245,66107245,713886666,713795163,169,t,t,2017-06-13 17:07:03,2017-06-13 17:11:13
25460302,60364414,66107245,713980677,713974141,171,f,t,2017-06-13 19:30:31,2017-06-17 00:22:23
25463415,63377617,66107245,714041335,713974141,172,f,t,2017-06-13 21:03:57,2017-06-15 18:53:53
25466319,66107245,66107245,714102846,713974141,173,t,t,2017-06-13 22:45:35,2017-06-14 00:10:03
25468154,66107245,66107245,714137848,713974141,174,t,t,2017-06-14 00:07:17,2017-06-14 18:42:56
25469658,57578552,66107245,714185234,714141885,175,f,t,2017-06-14 01:29:32,2017-06-14 11:45:37
25491990,67030541,66107245,714695799,714692731,176,f,t,2017-06-14 15:54:22,2017-06-15 16:56:57
25493512,66640025,66107245,714723373,714692731,177,f,t,2017-06-14 16:35:33,2017-06-14 16:47:00
25496245,66640025,66107245,714769343,714731318,178,f,t,2017-06-14 17:48:16,2017-06-14 19:54:42
