id,head_repo_id,base_repo_id,head_commit_id,base_commit_id,pullreq_id,intra_branch,merged,opened_at,closed_at
5195982,13337278,13337190,184059140,183968135,37,f,t,2014-11-11 06:55:02,2014-11-11 06:55:05
5222716,,13337190,,184294896,38,f,f,2014-11-12 21:15:36,2014-11-12 22:00:26
5223505,13337869,13337190,184294904,184294903,39,f,t,2014-11-12 22:17:56,2014-11-12 22:20:34
5409007,13337869,13337190,185552852,185552846,41,f,f,2014-11-29 21:38:27,2014-11-29 21:38:46
5546543,13337278,13337190,186898754,185552846,42,f,f,2014-12-13 04:52:35,2014-12-13 04:53:10
5546599,13337190,13337190,186904941,184294896,43,t,f,2014-12-13 05:01:21,2014-12-13 05:01:37
5546641,13337190,13337190,186911778,186904941,44,t,f,2014-12-13 05:09:47,2014-12-13 05:14:34
5620175,14280944,13337190,197549406,197549401,48,f,f,2014-12-19 20:04:50,2014-12-19 20:19:07
5621117,13337869,13337190,197569567,197569565,49,f,f,2014-12-19 21:43:12,2014-12-19 21:45:40
5621764,13337869,13337190,197585094,197585092,50,f,f,2014-12-19 23:02:56,2014-12-19 23:23:56
5622676,13337869,13337190,197633102,197633096,51,f,f,2014-12-20 02:28:57,
5625367,13337869,13337190,197723250,197656306,52,f,f,2014-12-20 15:48:27,2014-12-20 16:11:42
5626523,13337869,13337190,197761508,197761504,53,f,f,2014-12-20 19:27:40,2014-12-20 19:28:28
5627182,13337869,13337190,197782592,197782589,54,f,f,2014-12-20 21:50:43,2014-12-20 21:57:38
5627668,13337869,13337190,197794926,197794924,55,f,f,2014-12-20 23:43:19,2014-12-21 00:12:44
5631372,13337869,13337190,197903550,197903546,56,f,f,2014-12-21 17:22:16,2014-12-21 17:34:45
5632075,13337869,13337190,197920090,197920087,57,f,f,2014-12-21 19:46:59,2014-12-21 19:52:42
5632259,13337869,13337190,197924882,197924874,58,f,f,2014-12-21 20:23:06,
5632571,13337869,13337190,197931301,197931294,59,f,f,2014-12-21 21:18:08,2014-12-21 21:19:47
5632593,13337869,13337190,197931793,197931790,60,f,f,2014-12-21 21:22:13,2014-12-21 22:18:05
5633725,13337869,13337190,197961520,197961516,61,f,f,2014-12-22 01:48:07,2014-12-22 02:00:34
5633922,13337869,13337190,197965670,197965665,62,f,f,2014-12-22 02:37:07,
5640514,13337869,13337190,198314209,198314197,63,f,f,2014-12-22 18:40:10,2014-12-22 18:50:42
5640815,14348780,13337190,198336014,198335405,64,f,f,2014-12-22 19:15:16,2014-12-22 19:18:07
5641159,13337869,13337190,198361342,198361324,65,f,f,2014-12-22 19:53:55,2014-12-22 20:18:29
5641612,13337869,13337190,198383014,198382965,66,f,f,2014-12-22 20:43:20,2014-12-22 20:45:07
5669963,13337869,13337190,200269325,200104001,67,f,f,2014-12-27 00:41:48,2014-12-27 00:44:46
5677729,13337869,13337190,200575255,200535877,68,f,f,2014-12-28 14:18:23,2014-12-28 17:08:24
5698344,13337869,13337190,201246204,201200033,69,f,f,2014-12-30 23:43:11,2014-12-31 05:43:04
5702428,13337869,13337190,201393453,201383983,71,f,f,2014-12-31 14:27:47,2014-12-31 16:42:21
5704736,13337869,13337190,201464269,201418834,72,f,f,2014-12-31 20:24:34,2014-12-31 20:25:52
5705024,13337869,13337190,201470701,201466957,73,f,f,2014-12-31 21:10:58,2014-12-31 22:51:13
5708492,13337869,13337190,201602572,201549125,74,f,f,2015-01-01 16:47:10,2015-01-01 16:47:56
5710943,13337869,13337190,201695838,201680475,75,f,f,2015-01-02 02:44:19,2015-01-02 02:44:40
5723911,13337869,13337190,202131819,202001796,76,f,f,2015-01-03 21:00:42,2015-01-03 21:05:09
5725090,13337869,13337190,202171786,202132676,77,f,f,2015-01-04 00:49:24,2015-01-04 00:59:02
5732149,13337869,13337190,202442780,202439079,78,f,f,2015-01-05 01:59:25,2015-01-05 02:01:13
5746404,14787353,13337190,202861700,202839425,79,f,f,2015-01-06 07:39:38,2015-01-06 07:57:11
5965595,13337307,13337190,209075037,209064774,81,f,f,2015-01-21 22:25:49,2015-01-22 02:21:28
6041956,13337869,13337190,211335252,210949812,82,f,f,2015-01-27 23:35:35,2015-01-28 02:46:21
6104279,13337869,13337190,213082516,213076379,84,f,f,2015-02-01 22:41:44,2015-02-01 22:42:02
6472258,13337869,13337190,224370659,222616739,85,f,f,2015-02-28 20:30:11,2015-02-28 20:33:01
6474223,13337869,13337190,224428396,224371613,86,f,f,2015-03-01 00:23:01,2015-03-01 00:23:56
6629756,13337869,13337190,228879634,225205042,87,f,f,2015-03-11 23:06:22,2015-03-12 02:50:13
6630535,17345729,13337190,228903457,225205042,88,f,f,2015-03-12 00:25:42,2015-04-19 20:14:10
6660502,13337869,13337190,230319879,230319852,89,f,f,2015-03-14 00:27:48,2015-03-14 00:41:34
6691274,17360104,13337190,231233052,231233048,90,f,f,2015-03-16 21:32:01,2015-03-18 16:29:22
6719695,17638383,13337190,232561943,232561923,91,f,f,2015-03-18 16:20:25,2015-03-18 16:26:54
6877416,17638383,13337190,237938773,237945493,94,f,f,2015-03-30 12:29:11,2015-03-30 16:28:07
6885102,17360104,13337190,238118056,238053992,95,f,f,2015-03-30 19:51:04,2015-03-30 22:04:18
6939185,17360104,13337190,239365483,239365466,97,f,f,2015-04-02 22:53:28,2015-04-03 00:09:18
6942725,17360104,13337190,239729180,239729167,98,f,f,2015-04-03 07:09:57,2015-04-03 14:24:23
6955224,17360104,13337190,240528559,240515200,100,f,f,2015-04-04 06:16:00,2015-04-04 07:55:56
6963338,17360104,13337190,240811642,240804867,101,f,f,2015-04-05 06:41:10,2015-04-05 06:46:55
6970436,17360104,13337190,241056817,241027180,102,f,f,2015-04-06 01:50:56,2015-04-06 02:31:56
6970998,17360104,13337190,241078767,241066429,103,f,f,2015-04-06 03:45:59,2015-04-06 04:00:48
6971564,17360104,13337190,241098376,241095677,104,f,f,2015-04-06 05:37:57,2015-04-06 05:45:08
6981726,17360104,13337190,241381251,241099879,105,f,f,2015-04-06 20:32:17,2015-04-06 22:18:07
6997139,18480679,13337190,241776152,241480251,106,f,f,2015-04-07 18:09:44,2015-04-07 18:25:00
7005740,17360104,13337190,242028077,241950936,109,f,f,2015-04-08 07:35:11,2015-04-08 18:40:45
7019416,17360104,13337190,242358634,242305072,110,f,f,2015-04-08 22:16:37,2015-04-09 21:07:34
7026893,18480679,13337190,242622166,242305072,111,f,f,2015-04-09 10:42:03,2015-04-10 01:09:04
7089612,17360104,13337190,244477104,244442189,112,f,f,2015-04-14 01:06:08,2015-04-14 01:32:53
7091138,17360104,13337190,244527491,244521121,113,f,f,2015-04-14 04:30:07,2015-04-14 04:47:04
7092261,17360104,13337190,244562127,244536016,114,f,f,2015-04-14 06:23:28,2015-04-14 06:36:56
7092676,17360104,13337190,244571795,244566955,115,f,f,2015-04-14 06:52:51,2015-04-14 06:57:11
7093172,17360104,13337190,244582894,244573614,116,f,f,2015-04-14 07:29:58,2015-04-14 07:33:46
7095945,18772175,13337190,244654408,241950936,117,f,f,2015-04-14 11:21:46,2015-04-14 15:45:16
7104375,17360104,13337190,244864629,244768163,118,f,f,2015-04-14 20:05:05,2015-04-14 20:27:45
7123159,17360104,13337190,245371801,245314347,119,f,f,2015-04-15 21:57:10,2015-04-15 22:24:12
7139465,17360104,13337190,245808768,245514867,120,f,f,2015-04-16 20:24:04,2015-04-17 02:17:49
7160939,17360104,13337190,246394899,246374353,121,f,f,2015-04-18 07:34:38,2015-04-18 18:06:39
7168776,17360104,13337190,246639815,246555008,122,f,f,2015-04-19 01:58:20,2015-04-19 06:35:40
7175667,18999460,13337190,246897275,246894639,123,f,f,2015-04-19 19:39:30,2015-04-19 19:42:17
7176833,13337278,13337190,246935578,246922020,124,f,f,2015-04-19 22:28:08,2015-04-19 22:35:35
7177982,13337278,13337190,246978213,246950413,125,f,f,2015-04-20 01:10:20,2015-04-20 01:56:34
7180313,17360104,13337190,247050453,246990135,126,f,f,2015-04-20 06:32:07,2015-04-20 14:34:41
7189666,13337278,13337190,247296848,247289178,127,f,f,2015-04-20 17:29:57,2015-04-20 18:45:21
7192935,13337278,13337190,247381609,247379349,128,f,f,2015-04-20 21:09:28,2015-04-20 21:12:42
7194981,13337278,13337190,247433990,247407157,129,f,f,2015-04-21 00:26:11,2015-04-21 00:40:49
7196442,18999460,13337190,247478483,247475389,130,f,f,2015-04-21 03:28:00,2015-04-21 03:40:39
7210773,13337278,13337190,247851358,247797936,131,f,f,2015-04-21 20:57:04,2015-04-21 21:31:26
7230311,17360104,13337190,248396231,248370229,132,f,f,2015-04-22 23:06:31,2015-04-22 23:41:42
7235319,17360104,13337190,248544292,248422876,133,f,f,2015-04-23 08:21:31,2015-04-23 16:56:43
7299853,17360104,13337190,250399059,249910165,134,f,f,2015-04-27 22:06:21,2015-04-27 23:00:12
7302323,13337278,13337190,250478658,250441968,135,f,f,2015-04-28 02:58:51,2015-04-28 05:47:13
7303989,13337278,13337190,250536294,250528709,136,f,f,2015-04-28 06:09:25,2015-04-28 06:43:34
7322792,18480679,13337190,251012020,251012006,139,f,f,2015-04-29 07:45:41,2015-04-29 07:59:50
