id,head_repo_id,base_repo_id,head_commit_id,base_commit_id,pullreq_id,intra_branch,merged,opened_at,closed_at
612569,1606798,811856,21596411,21357641,1,f,f,2012-11-30 23:33:40,2012-12-03 16:24:29
645134,1606798,811856,22186301,22186298,2,f,f,2012-12-03 18:32:53,2012-12-03 19:00:54
668211,1606798,811856,22429814,22381979,3,f,f,2012-12-04 22:11:48,2012-12-04 23:20:26
668248,1606798,811856,22430248,22381979,4,f,f,2012-12-04 22:15:18,2012-12-04 23:20:08
699659,1606798,811856,22843830,22381979,5,f,f,2012-12-06 16:28:28,2012-12-07 15:29:50
663008,1606798,811856,22381981,22381976,6,f,f,2012-12-12 00:58:35,2012-12-17 17:16:02
746632,1606798,811856,23510697,22381976,7,f,f,2012-12-13 00:52:43,2012-12-13 15:40:09
743156,1606798,811856,23415556,23415553,8,f,f,2012-12-18 21:21:03,2013-01-09 21:18:57
897756,1606798,811856,26734361,23415553,9,f,f,2012-12-19 21:07:53,2012-12-20 21:25:09
776945,1606798,811856,24595176,24595175,10,f,f,2012-12-20 22:28:27,2012-12-21 17:54:35
784270,1606798,811856,25043520,25043519,11,f,f,2013-01-08 18:25:00,2013-01-09 20:32:49
916393,1606798,811856,26789387,26789379,12,f,f,2013-01-14 16:13:37,2013-01-14 19:06:50
1206916,544224,811856,34811357,34801958,13,f,t,2013-02-28 17:31:25,2013-03-08 14:35:37
1630281,148765,811856,46645516,46616527,14,f,f,2013-06-21 14:34:13,2014-05-30 03:16:08
1911280,4861290,811856,53232535,48012666,15,f,t,2013-08-08 19:47:20,2013-08-08 22:07:46
5370847,1606798,811856,184540136,184540135,16,f,f,2014-11-25 16:01:35,2014-11-25 16:12:20
5259495,1606798,811856,184540137,184540134,17,f,f,2014-11-26 15:56:56,2014-11-26 17:36:51
5288328,1606798,811856,184717067,184717059,18,f,f,2014-12-03 22:02:50,2014-12-08 13:37:46
5757992,14820874,811856,203183184,202937647,19,f,f,2015-01-07 04:39:58,2015-01-07 13:14:04
6052806,15665671,811856,211622503,203302676,20,f,f,2015-01-28 17:12:30,2015-02-02 13:19:37
6445835,16831579,811856,223409092,220126305,21,f,f,2015-02-26 18:26:27,2015-02-27 15:39:53
6984341,14820874,811856,241454107,232959046,22,f,f,2015-04-07 01:07:44,2015-04-07 10:32:29
8286123,22056196,811856,278831109,263850086,23,f,f,2015-08-03 10:55:27,2015-08-12 16:20:21
8933880,22056196,811856,299537157,298579929,24,f,f,2015-08-17 14:40:47,2015-08-17 15:21:11
8899041,22056196,811856,299114719,298579929,25,f,t,2015-08-17 15:21:41,2015-08-18 15:16:50
9383031,25927304,811856,315276258,304899915,26,f,f,2015-09-22 19:51:07,2015-09-24 14:39:01
9546537,25927304,811856,317064906,317064904,27,f,t,2015-09-25 16:19:27,2015-09-25 16:30:34
9863310,27457547,811856,330643915,325728283,28,f,f,2015-10-09 18:45:15,2015-10-20 08:10:03
10433228,16831579,811856,345308102,333693821,29,f,f,2015-11-12 14:19:43,2015-11-12 14:55:53
10911491,148765,811856,356541270,345326070,30,f,f,2015-12-07 16:38:09,2015-12-17 22:22:22
10918294,148765,811856,356677169,345326070,31,f,f,2015-12-07 21:32:55,2015-12-17 21:40:43
11063719,544224,811856,360229325,345326070,32,f,f,2015-12-14 19:27:54,2015-12-14 21:10:16
