id,head_repo_id,base_repo_id,head_commit_id,base_commit_id,pullreq_id,intra_branch,merged,opened_at,closed_at
2664395,,2302110,,225771,2,f,t,2012-05-12 17:30:10,2012-05-12 17:39:41
2664394,307649,2302110,225758,225767,4,f,t,2012-05-15 19:40:31,2012-05-16 15:07:28
2664393,307649,2302110,225754,225756,6,f,t,2012-05-20 09:43:57,2012-05-20 12:33:16
2664392,307649,2302110,225750,225751,8,f,t,2012-05-20 17:34:26,2012-05-21 05:36:12
2664391,,2302110,,225751,9,f,t,2012-05-20 18:46:53,2012-05-21 05:33:17
2664390,,2302110,,225745,11,f,t,2012-05-21 19:39:05,2012-05-22 07:12:34
2664389,,2302110,,225744,21,f,t,2012-05-25 13:44:26,2012-06-01 16:53:53
2664388,307649,2302110,8900342,8900340,28,f,t,2012-05-26 15:58:52,2012-05-27 05:39:14
2664387,,2302110,,11920196,32,f,t,2012-05-27 17:57:54,2012-05-27 18:00:42
2664386,307649,2302110,8948559,6628829,36,f,f,2012-05-30 23:36:38,2012-07-12 07:58:48
2664385,,2302110,,8948601,37,f,t,2012-05-31 09:56:38,2012-06-01 07:43:28
2664384,,2302110,,8948608,39,f,f,2012-06-02 04:11:40,2012-06-02 04:39:56
2664383,,2302110,,8948608,40,f,f,2012-06-02 04:13:22,2012-06-02 04:40:29
2664382,,2302110,,4778307,48,f,t,2012-06-05 12:41:04,2012-06-05 12:58:37
2664381,,2302110,,4778300,49,f,t,2012-06-07 18:25:37,2012-06-07 19:49:47
2664380,307649,2302110,9095146,4778220,54,f,f,2012-06-11 14:05:26,2012-06-15 15:14:36
2664379,307649,2302110,4778228,4778224,57,f,t,2012-06-14 16:58:13,2012-06-14 18:20:50
2664378,307649,2302110,4778213,4778210,58,f,t,2012-06-15 15:36:37,2012-06-15 15:41:54
2664377,,2302110,,4778206,59,f,f,2012-06-15 19:42:55,2012-06-16 18:47:23
2664376,,2302110,,4778151,67,f,f,2012-06-26 22:45:11,2012-07-05 08:57:24
2664375,,2302110,,4778030,70,f,t,2012-06-30 19:03:26,2012-07-01 10:37:11
2664374,307642,2302110,4777975,4777986,74,f,t,2012-07-01 15:11:33,2012-07-05 08:54:53
2664373,650747,2302110,9365275,4777944,75,f,f,2012-07-03 08:29:51,2012-07-05 08:59:07
2664372,,2302110,,4777944,76,f,f,2012-07-04 17:30:08,2012-07-05 08:54:23
2664370,651129,2302110,4777965,4777944,77,f,t,2012-07-04 23:53:33,2012-07-05 08:58:24
2664369,,2302110,,4777927,78,f,t,2012-07-05 23:34:04,2012-07-06 07:47:11
2664368,,2302110,,4777904,79,f,t,2012-07-07 01:07:02,2012-07-09 11:56:42
2664367,,2302110,,4777904,82,f,t,2012-07-09 11:45:06,2012-07-09 11:53:47
2664366,,2302110,,4777885,83,f,t,2012-07-10 08:10:04,2012-07-10 15:04:05
2664365,652836,2302110,4777883,4777872,84,f,t,2012-07-10 15:58:12,2012-07-10 15:58:53
2664364,307632,2302110,9389958,4777870,85,f,f,2012-07-11 04:35:34,2012-07-11 15:10:33
2664363,,2302110,,4777870,86,f,t,2012-07-11 08:44:31,2012-07-11 15:13:09
2664362,307649,2302110,6628849,6628840,88,f,t,2012-07-11 19:26:51,2012-07-11 19:57:18
2664361,307649,2302110,6628850,6628829,90,f,t,2012-07-11 22:23:29,2012-07-12 08:03:10
2664360,307632,2302110,6635577,6628829,91,f,t,2012-07-11 22:38:02,2012-07-12 08:19:28
2664359,307649,2302110,6692070,6692043,97,f,f,2012-07-14 00:23:25,2012-07-14 05:19:09
2664357,,2302110,,12179917,98,f,t,2012-07-14 11:13:21,2012-07-14 11:56:57
2664356,,2302110,,12180336,99,f,t,2012-07-14 12:39:14,2012-07-14 12:54:31
2664355,307649,2302110,311874,6714419,103,f,t,2012-07-15 14:45:31,2012-07-20 05:52:36
2664354,307649,2302110,6714875,6714419,104,f,t,2012-07-15 15:54:26,2012-07-15 15:56:32
2664353,,2302110,,311879,109,f,t,2012-07-20 03:49:59,2012-07-20 05:51:22
2664352,478744,2302110,311598,311879,110,f,t,2012-07-20 05:01:02,2012-07-26 15:55:48
2664351,,2302110,,311832,112,f,t,2012-07-20 16:00:33,2012-07-20 16:14:52
2664350,,2302110,,311764,113,f,f,2012-07-21 10:33:33,2012-07-21 11:02:50
2664348,480789,2302110,6853021,311764,115,f,f,2012-07-21 13:39:26,2012-07-21 15:17:39
2664347,481481,2302110,311731,311724,116,f,t,2012-07-22 09:04:25,2012-07-22 13:07:42
2664346,480789,2302110,6862041,311724,117,f,f,2012-07-22 12:00:16,2012-07-23 13:01:10
2664345,481481,2302110,6863289,311726,118,f,f,2012-07-22 13:58:14,2012-07-23 12:50:13
2664344,480789,2302110,311720,311715,120,f,t,2012-07-23 12:58:48,2012-07-23 13:01:07
2664342,485894,2302110,311654,311649,123,f,f,2012-07-25 04:10:38,2012-07-25 14:14:15
2664341,485894,2302110,311644,311649,125,f,t,2012-07-25 14:15:07,2012-07-25 14:39:21
2664340,485894,2302110,311654,311649,126,f,t,2012-07-25 14:33:30,2012-07-25 14:39:23
2664339,485894,2302110,311639,311634,128,f,t,2012-07-25 15:34:32,2012-07-25 15:37:46
2664338,485894,2302110,311626,311609,130,f,t,2012-07-26 08:51:42,2012-07-26 09:07:32
2664337,,2302110,,311619,132,f,t,2012-07-26 14:52:12,2012-07-26 15:31:12
2664336,,2302110,,311619,133,f,t,2012-07-26 15:07:13,2012-07-26 15:12:02
2664335,,2302110,,311581,135,f,t,2012-07-27 05:23:45,2012-07-27 05:28:03
2664334,,2302110,,311571,136,f,t,2012-07-27 06:23:41,2012-07-27 08:37:52
2664333,,2302110,,311562,138,f,t,2012-07-27 19:23:40,2012-07-27 19:34:11
2664332,,2302110,,311549,139,f,t,2012-07-27 21:33:57,2012-07-29 18:45:04
2664331,,2302110,,311543,145,f,t,2012-07-30 17:12:55,2012-07-30 17:14:18
2664330,,2302110,,102433,146,f,t,2012-07-30 19:15:43,2012-07-30 19:23:11
2664329,,2302110,,102430,147,f,t,2012-07-30 20:34:08,2012-09-02 14:18:59
2664328,,2302110,,102430,148,f,f,2012-07-31 10:06:17,2012-08-01 10:54:17
2664327,480789,2302110,8271985,102430,149,f,f,2012-08-01 10:21:14,2012-08-25 19:26:37
2664326,,2302110,,102430,150,f,t,2012-08-01 12:21:34,2012-08-04 12:39:27
2664325,,2302110,,102430,151,f,t,2012-08-01 20:18:05,2012-08-02 19:18:37
2664324,,2302110,,1294643,153,f,f,2012-08-04 22:53:10,2012-08-09 00:07:49
2664323,,2302110,,1294643,154,f,t,2012-08-06 00:42:38,2012-08-06 08:10:58
2664322,20343,2302110,1294652,1294642,156,f,f,2012-08-06 18:34:05,2012-09-08 14:11:21
2664320,93137,2302110,1755744,1755732,157,f,t,2012-08-07 06:53:18,2012-08-07 06:55:23
2664319,,2302110,,2699438,159,f,f,2012-08-08 17:23:54,2012-08-10 02:44:50
2664318,,2302110,,2699438,161,f,t,2012-08-09 17:48:32,2012-08-09 17:53:34
2664317,,2302110,,3315705,162,f,t,2012-08-09 18:09:58,2012-08-10 03:35:41
2664316,,2302110,,3315705,163,f,t,2012-08-10 02:26:31,2012-08-10 03:34:54
2664315,307632,2302110,4778325,4765914,167,f,t,2012-08-13 21:31:09,2012-08-14 16:31:48
2664314,217920,2302110,4632306,4376234,169,f,t,2012-08-15 06:52:47,2012-08-15 15:00:41
2664313,,2302110,,5364606,170,f,t,2012-08-17 10:05:19,2012-08-18 04:39:55
2664311,,2302110,,5364606,171,f,f,2012-08-17 20:01:56,2012-08-18 04:42:05
2664310,307632,2302110,6132723,6116468,172,f,f,2012-08-18 09:49:13,2012-08-31 13:15:45
2664309,,2302110,,6091201,173,f,t,2012-08-19 00:43:54,2012-08-19 08:02:25
2664308,307632,2302110,6306002,6091201,174,f,f,2012-08-19 03:48:51,2012-08-20 10:11:34
2664306,307632,2302110,6906960,6618341,175,f,f,2012-08-21 08:58:01,2012-08-21 09:00:16
2664305,,2302110,,6618341,176,f,f,2012-08-22 07:12:00,2012-08-22 16:42:18
2664304,,2302110,,6618341,177,f,t,2012-08-23 14:07:25,2012-08-25 14:13:56
2664303,,2302110,,7408559,180,f,t,2012-08-24 20:36:42,2012-08-24 23:02:43
2664302,,2302110,,6618341,181,f,f,2012-08-25 01:13:24,2012-08-25 01:17:09
2664301,,2302110,,7879244,182,f,t,2012-08-25 01:19:46,2012-08-25 06:14:07
2664300,,2302110,,6618341,183,f,f,2012-08-25 13:39:29,2012-08-28 09:07:16
2664299,,2302110,,8154776,185,f,t,2012-08-27 08:56:30,2012-08-27 09:21:36
2664298,,2302110,,8388970,186,f,t,2012-08-27 10:01:00,2012-08-27 19:26:17
2664297,,2302110,,8467066,188,f,t,2012-08-28 07:56:04,2012-08-28 09:05:21
2664296,,2302110,,8536471,189,f,f,2012-08-28 20:27:04,2012-09-22 16:27:24
2664295,,2302110,,8536471,190,f,f,2012-08-29 04:04:40,2012-08-29 04:24:39
2664294,,2302110,,8536471,191,f,f,2012-08-29 05:05:29,2012-08-29 05:49:52
2664293,,2302110,,8536471,192,f,t,2012-08-29 18:17:41,2012-08-29 19:18:11
2664292,,2302110,,8885630,194,f,t,2012-08-29 22:10:16,2012-08-31 06:27:07
2664291,,2302110,,8885630,195,f,f,2012-08-29 23:44:55,2012-08-31 16:32:32
2664290,,2302110,,8885630,196,f,t,2012-08-30 07:17:46,2012-08-31 06:26:11
2664289,307632,2302110,9216807,9184453,198,f,f,2012-08-31 10:35:23,2012-09-02 14:18:33
2664288,307632,2302110,9224119,9184453,199,f,t,2012-08-31 11:25:38,2012-08-31 12:09:40
2664287,307632,2302110,9228758,9184453,200,f,t,2012-08-31 11:42:11,2012-08-31 12:10:59
2664286,307632,2302110,9644419,9230883,201,f,f,2012-08-31 13:09:58,2012-09-08 14:10:44
2664285,307632,2302110,9260285,9230883,202,f,f,2012-08-31 15:00:02,2012-09-09 05:35:52
2664284,664788,2302110,9526986,9230883,203,f,t,2012-08-31 16:52:21,2012-09-02 14:13:47
2664283,892321,2302110,12603771,9371221,204,f,f,2012-09-02 07:37:55,2012-09-02 07:50:19
2664282,892321,2302110,12604274,9371221,205,f,f,2012-09-02 10:46:19,2012-09-02 14:02:58
2664281,668875,2302110,9599585,9539493,206,f,t,2012-09-03 01:33:46,2012-09-03 04:29:30
2664280,307632,2302110,9643555,9616510,207,f,t,2012-09-03 08:31:27,2012-09-03 10:36:06
2664279,,2302110,,9658497,209,f,t,2012-09-03 19:41:06,2012-09-04 05:39:34
2664278,307632,2302110,9819005,9802253,210,f,t,2012-09-04 07:32:02,2012-09-04 08:09:20
2664277,307632,2302110,10027163,9940124,214,f,f,2012-09-05 07:48:23,2012-09-08 07:24:09
2664275,705710,2302110,10081032,9940124,215,f,f,2012-09-05 14:05:40,2012-09-05 17:25:26
2664274,668875,2302110,10191827,10136584,217,f,t,2012-09-06 02:54:41,2012-09-06 06:20:23
2664273,668875,2302110,10198620,10136584,218,f,t,2012-09-06 04:20:40,2012-09-06 06:19:22
2664272,735350,2302110,10489576,10212467,219,f,t,2012-09-07 16:44:01,2012-09-08 04:49:13
2664271,668875,2302110,10531163,10212467,222,f,t,2012-09-07 22:18:11,2012-09-08 04:55:13
2664270,668875,2302110,10609422,10603693,224,f,t,2012-09-08 14:54:39,2012-09-08 15:18:47
2664269,307632,2302110,10664416,10628407,228,f,f,2012-09-09 01:06:24,2012-09-09 05:33:36
2664268,307632,2302110,10669908,10677423,230,f,f,2012-09-09 05:44:52,2012-09-09 06:04:00
2664267,,2302110,,10691935,232,f,t,2012-09-09 08:33:19,2012-09-09 10:12:02
2664266,307632,2302110,10696293,10691935,233,f,f,2012-09-09 09:06:33,2012-09-09 09:06:56
2664265,307632,2302110,10704519,10701666,234,f,f,2012-09-09 10:45:04,2012-09-09 14:59:51
2664264,307632,2302110,10768349,10730202,236,f,t,2012-09-09 20:17:54,2012-09-10 04:28:38
2664263,,2302110,,10809946,238,f,t,2012-09-10 09:14:14,2012-09-10 13:37:30
2664262,664788,2302110,10959678,10877301,239,f,t,2012-09-10 22:45:14,2012-09-11 06:47:28
2664261,,2302110,,10877301,240,f,f,2012-09-10 23:04:18,2012-09-11 05:14:10
2664260,770214,2302110,10956951,10877301,241,f,t,2012-09-10 23:10:23,2012-09-11 05:15:18
2664259,307642,2302110,10978157,10877301,242,f,t,2012-09-11 02:21:20,2012-09-11 06:54:59
2664258,,2302110,,10877301,243,f,t,2012-09-11 03:25:55,2012-09-11 05:06:41
2664257,,2302110,,10877301,244,f,f,2012-09-11 04:01:14,2012-09-11 05:08:35
2664256,664788,2302110,11165431,11152419,246,f,t,2012-09-12 14:10:29,2012-09-12 17:07:29
2664255,,2302110,,11336389,249,f,t,2012-09-13 01:36:58,2012-09-14 09:57:46
2664254,307642,2302110,11425417,11336389,251,f,t,2012-09-13 05:58:42,2012-09-13 14:06:39
2664253,307632,2302110,11469557,11336389,252,f,f,2012-09-13 10:44:47,2012-09-13 19:45:11
2664252,307649,2302110,11523802,11336389,253,f,f,2012-09-13 11:38:26,2012-09-13 14:08:25
2664251,307632,2302110,11560743,11499986,256,f,t,2012-09-13 19:44:31,2012-09-13 20:12:02
2664250,307649,2302110,11573186,11560755,257,f,f,2012-09-13 21:56:58,2012-09-14 09:56:46
