id,head_repo_id,base_repo_id,head_commit_id,base_commit_id,pullreq_id,intra_branch,merged,opened_at,closed_at
5312318,13403042,13403042,,184865070,14,t,f,2014-10-10 21:33:25,2014-11-19 18:19:36
5338372,13403042,13403042,185041852,184861680,83,t,f,2014-11-17 19:44:26,2014-11-21 21:02:12
5386926,13403042,13403042,185400168,185400164,98,t,t,2014-11-18 21:22:38,2014-11-18 22:56:00
5311810,13403042,13403042,184861681,184332759,103,t,f,2014-11-19 04:55:15,2014-11-19 17:37:42
5227826,13403042,13403042,184332761,184332758,104,t,f,2014-11-19 18:43:51,2014-12-01 21:29:51
5228300,13403174,13403042,184336426,184336422,109,f,f,2014-11-19 20:45:52,2014-11-19 21:51:04
5228655,13403182,13403042,184339073,184339059,110,f,f,2014-11-19 22:03:37,2014-11-19 22:12:12
5235044,13403042,13403042,184383979,184204168,117,t,f,2014-11-20 19:37:30,2014-11-21 19:54:40
5239366,13403042,13403042,184414944,184204168,118,t,f,2014-11-20 20:46:35,2014-11-21 20:27:34
5341217,13403042,13403042,184528341,184466751,129,t,t,2014-11-22 06:57:41,2014-11-22 12:30:35
5341341,13403042,13403042,185062945,184466751,130,t,f,2014-11-22 07:35:53,2014-12-01 17:51:22
5247498,13403042,13403042,184466759,184466751,131,t,f,2014-11-22 11:22:23,2014-11-30 16:53:36
5257588,13403042,13403042,184528343,184528338,141,t,f,2014-11-26 04:27:15,2014-11-26 22:04:46
5263708,13403042,13403042,184567435,184567431,146,t,f,2014-11-26 17:08:21,2014-11-27 15:25:46
5260547,13403042,13403042,184546333,184528338,148,t,f,2014-11-26 21:13:27,2014-11-27 15:33:28
5386208,13403339,13403042,185394581,184528338,149,f,f,2014-11-26 21:51:56,2014-11-27 15:21:23
5264140,13403042,13403042,184569985,184569983,153,t,f,2014-11-27 16:03:12,2014-12-01 17:50:19
5403717,13403042,13403042,185515659,185444941,155,t,f,2014-11-28 21:32:56,2014-12-01 18:41:41
5407275,13403042,13403042,185515679,184569983,156,t,f,2014-11-29 15:51:15,2014-12-01 18:23:14
5414943,13403368,13403042,185595780,184323508,123,f,f,2014-11-30 21:27:51,2014-12-01 18:56:56
5417287,13403042,13403042,185612401,185515658,165,t,f,2014-12-01 05:09:28,2014-12-01 16:24:59
5419560,13403042,13403042,185627991,185515658,167,t,t,2014-12-01 05:20:41,2014-12-01 11:25:48
5419517,13403042,13403042,185627731,185444941,168,t,f,2014-12-01 11:20:25,2014-12-01 18:00:22
5424295,13403042,13403042,185659788,185659785,171,t,t,2014-12-01 19:11:21,2014-12-01 19:32:45
5424391,13403042,13403042,185660430,185660428,172,t,t,2014-12-01 19:20:49,2014-12-01 19:21:44
5278052,13403042,13403042,184654871,184654868,180,t,t,2014-12-01 21:02:17,2014-12-01 21:41:41
5280055,13403042,13403042,184666775,184666773,182,t,f,2014-12-01 21:56:50,2014-12-02 04:14:40
5428891,13403042,13403042,184720875,185692341,185,t,t,2014-12-02 05:16:20,2014-12-02 15:48:07
5431217,13403042,13403042,185708904,185692341,186,t,f,2014-12-02 10:51:11,2014-12-02 14:20:26
5451942,13403042,13403042,185852339,184720870,191,t,t,2014-12-03 23:03:57,2014-12-04 03:37:06
5451961,13403042,13403042,184364895,184720870,192,t,t,2014-12-03 23:04:57,2014-12-04 02:16:29
5288996,13403042,13403042,184720879,184720870,193,t,f,2014-12-03 23:08:15,2014-12-04 03:40:19
5453897,13403042,13403042,184730468,184726280,195,t,f,2014-12-04 03:59:21,2014-12-22 20:14:17
5290632,13403042,13403042,184372995,184730468,196,t,f,2014-12-04 04:03:02,2014-12-04 15:05:00
5455917,13403042,13403042,185878789,184726280,197,t,f,2014-12-04 15:13:37,2014-12-11 18:02:47
5294465,13403474,13403042,184753221,184726280,198,f,t,2014-12-04 15:55:15,2014-12-08 15:19:59
5289932,13403042,13403042,184726282,184726280,200,t,t,2014-12-05 17:42:48,2014-12-07 16:28:52
5296204,13403566,13403042,184764497,184726280,202,f,t,2014-12-05 20:50:36,2014-12-08 15:38:15
5303324,13403042,13403042,184809811,184809804,204,t,f,2014-12-07 23:14:48,2014-12-19 17:27:08
5495017,13403580,13403042,186144573,185865783,205,f,t,2014-12-08 21:21:30,2014-12-09 03:19:55
5527698,13403042,13403042,186358752,185865768,208,t,f,2014-12-11 14:47:49,2014-12-22 04:35:04
5531083,13616632,13403042,186380662,186380647,209,f,f,2014-12-11 19:57:22,2014-12-15 17:20:48
5559759,13616632,13403042,192519987,186380647,211,f,f,2014-12-15 04:16:52,2014-12-18 04:05:38
5608856,13403042,13403042,197061384,196560387,220,t,f,2014-12-18 20:57:09,2014-12-19 17:33:17
