id,head_repo_id,base_repo_id,head_commit_id,base_commit_id,pullreq_id,intra_branch,merged,opened_at,closed_at
3879298,10224917,10224918,125232998,125226629,2,f,f,2014-06-11 11:05:56,2014-06-11 11:07:27
3898030,10224917,10224918,126044104,125233501,3,f,f,2014-06-13 09:33:49,2014-06-13 09:56:39
3899030,10224917,10224918,126089006,126051758,4,f,f,2014-06-13 11:51:39,2014-06-13 11:56:16
3925641,10224917,10224918,127465487,126091417,5,f,t,2014-06-17 08:26:39,2014-06-17 08:35:43
3975385,10435570,10224918,129867929,127571623,6,f,f,2014-06-23 15:21:48,2014-06-23 16:22:30
3985622,10456591,10224918,130273812,127571623,7,f,f,2014-06-24 16:06:20,2014-06-24 16:08:02
3985674,10456591,10224918,130272327,127571623,8,f,f,2014-06-24 16:10:43,
4012622,10507234,10224918,131561953,127571623,11,f,f,2014-06-27 12:21:30,2014-06-27 12:31:53
4078230,10507234,10224918,134344829,133139128,12,f,f,2014-07-07 07:38:23,2014-07-07 09:49:01
4183691,10507234,10224918,138832709,134371319,13,f,f,2014-07-17 13:55:32,2014-07-18 05:06:01
4185482,10507234,10224918,138911263,134371319,14,f,f,2014-07-17 17:12:08,2014-07-18 05:55:58
4191122,10507234,10224918,139140883,139071966,15,f,f,2014-07-18 08:47:57,2014-07-18 08:50:57
4192368,10507234,10224918,139195648,139141540,16,f,f,2014-07-18 11:44:41,2014-07-18 13:38:15
4209995,10456591,10224918,140095455,139235240,17,f,f,2014-07-21 09:40:32,2014-07-21 10:32:16
4210529,10507234,10224918,140114157,140107993,18,f,f,2014-07-21 10:58:59,2014-07-21 12:04:01
4210884,10507234,10224918,140127887,140107993,19,f,f,2014-07-21 11:42:52,2014-07-21 11:55:15
4211227,10507234,10224918,140150781,134371319,20,f,f,2014-07-21 12:22:18,2014-07-22 07:01:22
4211236,10507234,10224918,140150781,140143896,21,f,f,2014-07-21 12:22:44,2014-07-21 12:26:03
4212290,10456591,10224918,140194156,140153448,22,f,f,2014-07-21 14:13:19,2014-07-21 14:39:17
4217426,10950320,10224918,140401099,140202593,23,f,f,2014-07-22 05:46:30,2014-07-29 16:14:22
4217728,10507234,10224918,140414832,140202593,24,f,f,2014-07-22 06:30:20,2014-07-22 08:18:03
4217865,10507234,10224918,140418830,140202593,25,f,f,2014-07-22 06:47:08,2014-07-22 13:33:23
4218940,10224917,10224918,140460619,134371319,26,f,f,2014-07-22 09:14:03,2014-07-30 10:24:16
4219753,10507234,10224918,140484552,140448235,27,f,f,2014-07-22 10:54:21,2014-07-23 11:27:12
4232121,10224917,10224918,140935392,140888883,28,f,f,2014-07-23 13:30:35,2014-07-24 07:18:05
4239206,10507234,10224918,141271377,141271282,29,f,f,2014-07-24 08:51:00,2014-07-28 10:09:19
4239217,10224917,10224918,141271349,141271321,30,f,t,2014-07-24 08:53:46,2014-07-24 09:09:57
4243066,10224917,10224918,141386019,141271282,31,f,f,2014-07-25 08:20:47,2014-07-28 09:09:19
4266355,11054958,10224918,142533469,134371319,32,f,f,2014-07-28 00:33:10,2014-07-28 02:04:30
4266366,11054958,10224918,142533906,141271282,33,f,f,2014-07-28 00:36:30,2014-07-28 02:04:38
4267496,10507234,10224918,142581476,142547313,34,f,f,2014-07-28 05:44:23,2014-07-28 10:27:19
4268154,10224918,10224918,142610805,142547276,35,t,f,2014-07-28 07:28:34,2014-07-28 07:28:49
4268158,10224918,10224918,142611003,142610849,36,t,f,2014-07-28 07:29:28,2014-07-28 07:29:36
4268244,10224918,10224918,142614240,142611020,37,t,f,2014-07-28 07:45:48,2014-08-01 13:05:08
4268256,10224918,10224918,142614544,142547313,38,t,f,2014-07-28 07:47:17,2014-07-28 08:24:09
4279280,10507234,10224918,143055140,142663116,39,f,f,2014-07-29 10:28:34,2014-07-29 16:18:52
4279402,10950320,10224918,143062423,142663116,40,f,f,2014-07-29 10:48:46,2014-07-30 08:08:07
