id,head_repo_id,base_repo_id,head_commit_id,base_commit_id,pullreq_id,intra_branch,merged,opened_at,closed_at
11031559,21599632,21599632,359409004,275967770,25,t,f,2015-12-12 21:26:38,2015-12-12 21:27:02
11032245,21599632,21599632,359425611,359409107,26,t,f,2015-12-12 22:22:09,2015-12-14 18:19:33
11063633,21599632,21599632,360228087,360200694,30,t,f,2015-12-14 19:24:22,2015-12-14 19:28:55
11075241,21599632,21599632,360473482,360230118,31,t,f,2015-12-15 07:22:27,2016-01-14 17:02:55
11079074,29928126,21599632,360568004,360230118,32,f,f,2015-12-15 11:51:45,2015-12-16 07:41:20
11108807,21599632,21599632,361215349,360230118,33,t,f,2015-12-16 16:22:29,2016-01-21 18:02:58
11512746,21599632,21599632,371288042,360230118,34,t,f,2016-01-11 11:43:35,2016-01-12 23:08:23
11514140,21599632,21599632,371325351,360230118,38,t,f,2016-01-11 13:58:27,2016-01-12 22:53:40
11567652,21599632,21599632,372434545,372140976,39,t,f,2016-01-13 13:58:42,2016-01-14 17:02:54
11613954,21599632,21599632,373448027,373448017,42,t,f,2016-01-15 08:36:55,2016-01-26 08:06:51
11698213,21599632,21599632,375553013,373448017,47,t,f,2016-01-19 17:02:38,2016-01-26 09:04:30
11724685,21599632,21599632,376115420,373448017,48,t,f,2016-01-20 16:58:46,2016-01-28 10:19:13
11819879,21599632,21599632,378445346,376720551,54,t,f,2016-01-25 10:10:30,2016-01-28 10:28:59
11905983,21599632,21599632,380382977,380259082,58,t,f,2016-01-28 15:07:35,2016-01-29 00:40:57
11948087,21599632,21599632,381272843,380655432,59,t,f,2016-01-30 00:26:08,2016-03-10 18:38:15
11948500,21599632,21599632,381281784,380655432,60,t,f,2016-01-30 00:54:03,2016-02-04 07:58:48
12047844,21599632,21599632,383667907,380655432,63,t,f,2016-02-03 15:02:53,2016-02-17 18:31:24
12059285,21599632,21599632,383902588,380655432,64,t,f,2016-02-03 22:23:28,2016-02-10 18:36:33
12242211,32081787,21599632,388180148,387535658,71,f,f,2016-02-11 20:36:40,2016-02-16 19:42:25
12248613,32081787,21599632,388298619,387535658,72,f,f,2016-02-12 01:05:57,2016-02-16 19:42:42
12323196,21599632,21599632,390043530,387535658,75,t,f,2016-02-15 18:17:09,2016-02-15 18:20:46
12335154,21599632,21599632,390302595,390045158,76,t,f,2016-02-16 04:42:02,2016-02-18 06:37:09
12353616,32081787,21599632,390676658,390045158,77,f,f,2016-02-16 19:43:06,2016-02-16 19:53:03
12353426,32081787,21599632,390676603,390045158,78,f,f,2016-02-16 19:43:22,2016-02-17 05:43:50
12353890,21599632,21599632,390685553,390685550,79,t,f,2016-02-16 20:01:32,2016-02-16 20:24:22
12378554,21599632,21599632,391276439,390997197,81,t,f,2016-02-17 16:44:55,2016-02-17 16:51:44
12399729,21599632,21599632,391733122,391640970,91,t,f,2016-02-18 10:40:24,2016-02-18 15:43:55
12431148,21599632,21599632,392489614,391871473,96,t,f,2016-02-19 12:53:09,2016-03-10 18:41:30
12437581,21599632,21599632,392589303,391871473,97,t,f,2016-02-19 17:29:39,2016-02-23 19:25:13
12564091,21599632,21599632,395431220,395013768,101,t,f,2016-02-24 19:33:52,2016-02-26 17:04:54
12605191,21599632,21599632,396455891,395013768,102,t,f,2016-02-26 06:40:07,2016-02-26 17:43:55
12606475,21599632,21599632,396529781,395013768,103,t,t,2016-02-26 08:19:58,2016-06-05 17:22:45
12641914,21599632,21599632,397556996,397048090,107,t,f,2016-02-27 23:53:45,2016-02-27 23:57:50
12966256,21599632,21599632,404863887,404863883,109,t,t,2016-03-11 05:17:10,2016-05-27 19:20:33
12973787,21599632,21599632,405046391,404863883,110,t,f,2016-03-11 13:00:39,2016-03-17 16:17:08
12976222,21599632,21599632,405098471,404863883,111,t,f,2016-03-11 14:46:00,2016-05-05 23:16:01
14740030,21599632,21599632,446470415,440155496,116,t,f,2016-05-15 22:45:22,2016-05-15 22:49:55
14772537,21599632,21599632,447178455,446471926,118,t,f,2016-05-17 03:05:20,2016-05-19 05:39:53
14782170,21599632,21599632,447406339,446471926,119,t,f,2016-05-17 12:05:40,2016-05-19 00:24:40
14787750,21599632,21599632,447521607,446471926,120,t,f,2016-05-17 15:31:16,
14905974,21599632,21599632,450029399,448569649,124,t,t,2016-05-21 16:55:26,2016-06-02 16:06:15
