id,head_repo_id,base_repo_id,head_commit_id,base_commit_id,pullreq_id,intra_branch,merged,opened_at,closed_at
4362581,11242252,11242250,146537947,146537933,3,f,f,2014-08-07 16:00:14,2014-08-07 16:11:06
4373325,11242250,11242250,146815382,146815381,5,t,f,2014-08-08 18:33:10,2014-08-11 12:21:03
4390370,11242252,11242250,148400704,148334984,6,f,f,2014-08-11 15:23:15,2014-08-12 15:22:35
4406555,11242252,11242250,149231477,148927314,7,f,f,2014-08-13 07:17:42,2014-08-14 08:41:53
4418027,11242252,11242250,149759218,149751324,8,f,f,2014-08-14 09:02:19,2014-08-15 05:31:46
4430180,11242250,11242250,150298071,150141323,9,t,f,2014-08-15 13:46:22,2014-08-19 09:23:33
4456971,11242252,11242250,151801258,150141323,10,f,f,2014-08-19 08:24:40,2014-08-20 04:41:04
4466756,11242252,11242250,152246365,152228409,11,f,f,2014-08-20 05:45:05,2014-08-20 05:53:33
4472061,11242252,11242250,152422082,152248005,12,f,f,2014-08-20 16:00:53,2014-08-20 16:01:40
4476582,11242252,11242250,152613356,152425335,13,f,f,2014-08-21 02:19:41,2014-08-21 12:02:25
4491980,11242252,11242250,153215109,152787512,14,f,f,2014-08-22 14:22:42,2014-08-22 17:06:05
4493639,11242252,11242250,153272903,153265632,15,f,f,2014-08-22 17:30:10,
4494739,11242252,11242250,153413168,153413164,16,f,t,2014-08-23 07:19:53,2014-08-23 08:12:27
4494754,11242252,11242250,153413512,153413463,17,f,t,2014-08-23 08:12:57,2014-08-23 11:43:12
4495843,11242252,11242250,153423563,153423558,18,f,f,2014-08-23 12:21:16,2014-08-24 08:48:11
4513704,11242252,11242250,154491595,153896519,20,f,t,2014-08-26 17:01:02,2014-08-26 17:04:21
4521478,11242252,11242250,154742017,154742015,21,f,t,2014-08-27 09:07:56,2014-08-27 13:29:13
4525762,11242252,11242250,154885374,154885368,22,f,t,2014-08-27 15:11:56,2014-08-27 19:21:06
4542476,11242252,11242250,155399004,155398992,23,f,t,2014-08-28 21:39:33,2014-08-29 00:22:06
4550554,11242252,11242250,155606569,155606567,24,f,t,2014-08-29 15:31:40,2014-08-29 15:31:43
4553533,11242252,11242250,155669712,155669707,25,f,t,2014-08-29 20:45:46,2014-09-03 03:51:48
4600947,11242252,11242250,156313455,156313452,26,f,t,2014-09-04 06:13:26,2014-09-04 22:33:22
4610752,11242252,11242250,156504174,156504172,27,f,t,2014-09-05 03:11:24,2014-09-05 03:19:17
4611241,11242252,11242250,156509433,156509398,28,f,t,2014-09-05 05:05:31,2014-09-05 05:11:15
4611474,11242252,11242250,156511817,156511816,29,f,t,2014-09-05 05:51:55,2014-09-05 08:11:44
4612360,11242252,11242250,156523867,156523866,30,f,t,2014-09-05 08:15:06,2014-09-05 08:27:28
4620219,11242252,11242250,156611096,156611094,31,f,t,2014-09-06 06:39:20,2014-09-06 06:53:44
4620625,11242252,11242250,156615933,156615929,32,f,t,2014-09-06 08:59:48,2014-09-06 09:07:59
4641442,11242252,11242250,156901816,156901814,33,f,t,2014-09-09 09:29:18,2014-09-09 19:58:28
4651192,11242252,11242250,157034135,157034133,34,f,t,2014-09-10 09:44:03,2014-09-11 00:47:39
4660546,11242252,11242250,157135522,157135521,35,f,t,2014-09-11 07:44:39,2014-09-11 07:44:41
4660588,11242252,11242250,157136120,157136117,36,f,t,2014-09-11 07:50:48,2014-09-11 08:02:57
4660684,11242252,11242250,157138175,157138173,37,f,t,2014-09-11 08:03:39,2014-09-11 08:18:32
4662139,11242252,11242250,157153050,157153045,38,f,t,2014-09-11 11:23:23,2014-09-11 19:39:48
4666744,11242250,11242250,157212148,157212138,39,t,t,2014-09-11 19:50:14,2014-09-11 20:04:31
4676764,11242252,11242250,157334907,157334905,40,f,t,2014-09-12 21:31:55,2014-09-12 21:38:10
4683921,11242252,11242250,157425390,157425387,41,f,t,2014-09-14 08:45:00,2014-09-14 09:01:03
4687653,11242252,11242250,157474349,157474345,42,f,t,2014-09-15 00:05:08,2014-09-15 00:10:38
4689671,11242252,11242250,157503539,157503538,43,f,t,2014-09-15 07:36:46,2014-09-15 07:42:02
4689754,11242252,11242250,157504458,157504457,44,f,t,2014-09-15 07:50:21,2014-09-15 08:04:50
4689900,11242252,11242250,157505590,157505588,45,f,t,2014-09-15 08:07:50,2014-09-15 08:46:31
4690155,11242252,11242250,157508159,157508157,46,f,t,2014-09-15 08:47:31,2014-09-15 08:59:56
4695347,11242250,11242250,157570500,157570498,47,t,t,2014-09-15 19:28:55,2014-09-16 07:10:26
4699387,11242252,11242250,157613256,157613257,48,f,t,2014-09-16 08:19:37,2014-09-16 09:01:41
4699648,11242252,11242250,157613255,157613254,49,f,t,2014-09-16 09:03:02,2014-09-16 09:12:55
4701940,11242250,11242250,157613252,157613251,50,t,t,2014-09-16 13:40:55,2014-09-16 14:08:18
4702530,11242250,11242250,157613250,157613249,51,t,t,2014-09-16 14:43:34,2014-09-16 16:11:25
4711208,11242252,11242250,157613247,157613248,52,f,t,2014-09-17 12:22:30,2014-09-17 12:28:53
4714292,11242252,11242250,157613245,157613246,53,f,t,2014-09-17 17:34:45,2014-09-17 17:53:40
4714568,11242252,11242250,157613243,157613244,54,f,t,2014-09-17 18:08:19,2014-09-17 18:22:42
4717820,11242252,11242250,157613241,157613242,55,f,t,2014-09-18 02:59:19,2014-09-18 04:58:37
4718734,11242252,11242250,157613239,157613240,56,f,t,2014-09-18 06:10:13,2014-09-18 08:31:28
4734499,11242252,11242250,157613237,157613238,57,f,t,2014-09-18 08:34:25,2014-09-18 08:38:55
