id,head_repo_id,base_repo_id,head_commit_id,base_commit_id,pullreq_id,intra_branch,merged,opened_at,closed_at
856551,,36159,,26590484,1,f,t,2012-01-12 12:34:45,2012-01-12 13:14:48
856793,537226,36159,26591067,26591064,2,f,t,2012-01-12 17:43:08,2012-01-13 07:55:48
969128,,36159,,11100660,3,f,t,2012-01-15 00:06:31,2012-01-15 07:59:51
857886,785322,36159,26595054,26595052,4,f,t,2012-01-15 09:40:57,2012-01-16 08:56:30
858215,2071813,36159,26596185,26595052,5,f,t,2012-01-16 07:45:56,2012-01-16 09:05:13
858273,,36159,,26596298,6,f,t,2012-01-16 10:38:21,2012-01-16 11:42:43
858408,2071813,36159,26596668,11199976,7,f,t,2012-01-16 14:49:01,2012-01-16 14:53:36
858482,533273,36159,7585572,26596952,8,f,t,2012-01-16 16:20:17,2012-01-17 08:14:30
859922,2071811,36159,26601452,26601451,9,f,t,2012-01-19 16:48:50,2012-01-20 08:10:50
860175,,36159,,26601451,10,f,f,2012-01-19 23:36:21,2012-01-20 10:29:27
969121,,36159,,26601451,11,f,f,2012-01-20 00:28:33,2012-01-20 08:31:25
860176,,36159,,26602181,13,f,f,2012-01-20 09:59:46,2012-01-20 10:29:10
860189,,36159,,26602213,14,f,t,2012-01-20 10:47:23,2012-01-20 11:06:05
861663,,36159,,3369955,16,f,t,2012-01-25 14:18:15,2012-01-26 10:02:39
17872,170190,36159,3370012,3369950,17,f,f,2012-01-26 22:27:11,2012-02-09 06:47:11
19366,179925,36159,3454675,3369950,18,f,t,2012-01-27 15:13:02,2012-01-28 13:23:59
19411,179925,36159,3459190,3369950,19,f,f,2012-01-27 16:22:41,2012-02-09 06:44:06
368634,36159,36159,7534725,3369950,20,t,t,2012-01-28 12:05:11,2012-01-28 13:30:52
270525,75915,36159,7534728,7534694,21,f,t,2012-02-02 11:32:56,2012-02-02 12:04:29
372610,36159,36159,7591050,7585496,22,t,t,2012-02-09 09:31:22,2012-02-09 16:43:13
272675,533273,36159,7585546,7585496,23,f,t,2012-02-09 12:49:55,2012-02-09 16:25:55
272946,533590,36159,7591055,7591037,24,f,t,2012-02-09 22:28:45,2012-02-10 02:08:27
273383,533590,36159,7600733,7600731,25,f,t,2012-02-10 20:05:11,2012-02-10 20:05:54
372979,36159,36159,7613209,7613200,26,t,t,2012-02-10 21:16:08,2012-02-10 21:18:11
273829,534880,36159,7613226,7613198,28,f,t,2012-02-12 09:18:21,2012-02-13 03:02:40
274351,535737,36159,7629092,7629076,29,f,t,2012-02-13 18:00:09,2012-02-13 18:09:24
274639,533590,36159,7635456,7635454,30,f,t,2012-02-14 05:32:04,2012-02-14 06:02:34
275079,535737,36159,7645901,7645900,31,f,t,2012-02-15 03:23:16,2012-02-15 17:36:33
275384,535737,36159,7652677,7645900,32,f,t,2012-02-15 06:15:54,2012-02-15 17:36:03
