id,head_repo_id,base_repo_id,head_commit_id,base_commit_id,pullreq_id,intra_branch,merged,opened_at,closed_at
884842,1349955,694138,24250839,20784345,2,f,t,2012-11-27 16:31:07,2012-12-25 20:55:06
898470,1876387,694138,26736015,23845398,3,f,f,2012-12-20 06:30:52,2012-12-24 00:17:33
898476,1876387,694138,24250841,23845398,4,f,t,2012-12-20 06:32:33,2012-12-25 20:48:33
898480,1876387,694138,26736023,23845398,5,f,t,2012-12-20 06:34:41,2013-03-11 20:15:15
771690,1910482,694138,24287269,24250837,7,f,t,2012-12-29 16:54:21,2012-12-29 20:00:33
1074894,2585735,694138,25398052,25398051,8,f,t,2012-12-31 01:19:07,2012-12-31 20:58:10
933327,,694138,,26736069,14,f,t,2013-01-28 18:24:10,2013-01-28 19:26:49
962436,2548933,694138,28893406,27593516,15,f,f,2013-02-06 05:48:51,2013-07-17 00:51:25
1536929,1910482,694138,43588328,43588326,21,f,t,2013-05-29 21:32:11,2013-06-06 16:53:11
1677329,4303437,694138,47584324,45153836,25,f,f,2013-07-01 23:40:52,2013-07-02 20:20:14
1682391,4303437,694138,47763019,45153836,26,f,f,2013-07-02 21:19:31,2013-07-12 19:15:43
1765942,4303437,694138,47763019,45153836,28,f,f,2013-07-12 19:30:15,
1843074,2548933,694138,52068136,52068134,30,f,t,2013-07-26 16:13:07,2013-07-29 19:28:30
1859837,3143359,694138,49893274,52068134,31,f,t,2013-07-29 14:28:58,2013-08-06 18:38:19
1861742,2548933,694138,52826510,52826509,33,f,t,2013-07-29 20:23:19,2013-07-30 17:57:10
1872025,2548933,694138,52978105,52978103,34,f,t,2013-07-31 16:31:04,2013-07-31 18:27:17
1872980,2548933,694138,52983812,52983811,35,f,t,2013-07-31 19:20:53,2013-07-31 19:26:20
1874611,2548933,694138,52994311,52994308,36,f,t,2013-08-01 05:04:44,2013-08-01 05:13:00
1880161,2548933,694138,53028988,53028984,39,f,t,2013-08-02 05:11:00,2013-08-02 05:17:35
1915253,2548933,694138,53257910,53257908,41,f,t,2013-08-09 16:12:24,2013-08-09 16:19:20
1966069,2548933,694138,56275759,54718042,46,f,t,2013-08-21 18:52:15,2013-08-22 14:48:17
1988891,2548933,694138,57059917,56428860,48,f,t,2013-08-26 19:40:48,2013-08-26 22:02:42
2048732,5219859,694138,57560715,57078402,49,f,t,2013-08-29 15:25:37,2013-08-29 15:38:00
2010167,2548933,694138,57560724,57560709,51,f,t,2013-08-30 21:53:58,2013-08-30 21:59:33
2011005,2548933,694138,57562405,57562403,52,f,t,2013-08-31 06:01:23,2013-08-31 06:13:13
3090369,8109253,694138,90620597,58086981,54,f,f,2013-09-16 02:13:51,2014-07-22 21:21:57
2111748,2548933,694138,58229901,58086981,56,f,t,2013-09-17 18:37:07,2013-09-17 18:42:48
2120238,2548933,694138,58283198,58283195,58,f,t,2013-09-19 04:44:45,2013-09-19 05:20:05
2274290,3053403,694138,63572729,60954730,61,f,t,2013-10-16 16:46:56,2013-10-16 17:50:15
2288300,3053403,694138,65171074,65171070,63,f,t,2013-10-18 19:10:58,2013-10-18 19:14:51
2288630,3053403,694138,65204688,65204680,64,f,t,2013-10-18 20:17:59,2013-10-18 20:18:05
2300368,3053403,694138,66167019,65707389,65,f,t,2013-10-21 16:35:42,2013-10-21 16:35:53
2356343,3053403,694138,67818063,66169175,66,f,t,2013-10-30 16:49:04,2013-10-30 16:49:16
2384536,3053403,694138,68872777,67977126,67,f,t,2013-11-04 18:10:49,2013-11-04 18:11:08
2460310,3053403,694138,71217235,68873766,68,f,t,2013-11-15 23:11:15,2013-12-23 22:07:06
2743332,2548933,694138,80582435,79006199,73,f,t,2014-01-03 23:20:50,2014-01-03 23:27:22
2756338,2548933,694138,80661968,80661962,74,f,t,2014-01-06 23:43:16,2014-01-06 23:43:25
2761150,2548933,694138,80690935,80690934,75,f,t,2014-01-07 18:52:47,2014-01-07 20:01:04
2790376,7370993,694138,82435920,81559386,77,f,t,2014-01-12 20:45:10,2014-01-13 06:11:04
2792064,2548933,694138,82506846,82504104,78,f,t,2014-01-13 06:36:25,2014-01-14 17:10:32
2928782,3143359,694138,86827848,82858160,79,f,f,2014-02-03 21:11:35,2014-04-25 20:07:02
2952269,2548933,694138,86981221,82858160,80,f,t,2014-02-06 19:39:37,2014-02-06 19:39:44
2959918,3143359,694138,87590713,87590710,82,f,f,2014-02-07 18:53:37,2014-02-07 20:09:53
3021972,7939004,694138,88914357,87881813,83,f,t,2014-02-13 01:53:12,2014-02-13 05:16:05
3032933,7952708,694138,89018493,89018447,84,f,f,2014-02-13 20:21:25,2014-02-17 01:35:19
3050394,7952708,694138,89018497,89018447,85,f,f,2014-02-17 01:40:51,2014-02-19 19:53:04
3057490,8000147,694138,89180441,89018447,86,f,f,2014-02-18 00:29:16,2014-02-20 07:56:43
3107934,2548933,694138,91856199,90925788,88,f,t,2014-02-24 17:18:55,2014-02-24 17:19:00
3353859,7432283,694138,99337009,91862046,94,f,f,2014-03-27 03:56:09,2014-04-16 18:03:29
3356312,8856264,694138,99408376,91862046,95,f,f,2014-03-27 11:29:18,2014-04-01 15:45:03
3367038,8856264,694138,99714135,91862046,96,f,f,2014-03-28 13:36:47,2014-04-15 12:02:10
3510872,2548933,694138,103713948,103713945,101,f,t,2014-04-15 22:55:10,2014-04-15 23:00:44
3511836,9240015,694138,103735977,103713943,102,f,t,2014-04-16 01:27:28,2014-04-16 14:41:36
3508030,7432283,694138,103713952,103713943,103,f,t,2014-04-16 02:26:12,2014-04-16 18:03:29
3547730,2548933,694138,103967151,103967147,104,f,t,2014-04-21 17:03:01,2014-04-21 18:02:35
3547956,8856264,694138,103968765,103967147,105,f,t,2014-04-21 17:18:23,2014-04-21 18:03:17
3548120,8856264,694138,103969895,103969890,106,f,f,2014-04-21 17:55:21,
3552283,9317133,694138,103999865,103999858,107,f,f,2014-04-22 18:05:10,2014-04-25 19:52:17
3552299,8856264,694138,104000030,103999858,108,f,t,2014-04-22 18:31:50,2014-04-23 19:51:05
3555857,9316569,694138,104029676,104029674,110,f,f,2014-04-24 13:34:48,2014-04-27 23:15:32
3569019,9316569,694138,104209240,104029674,112,f,f,2014-04-25 13:53:24,2014-04-25 20:02:08
3570452,7432283,694138,104224656,104029674,113,f,f,2014-04-25 15:41:21,2014-04-25 20:02:36
3592968,9316569,694138,105859465,105859458,114,f,f,2014-04-28 16:02:50,2014-04-28 21:53:55
3594466,7432283,694138,105901190,105859458,115,f,f,2014-04-28 18:49:11,2014-04-28 19:35:29
3595849,2548933,694138,105945013,105859458,116,f,f,2014-04-28 21:46:57,2014-04-28 22:01:00
3599890,9316569,694138,106225585,106225566,117,f,f,2014-04-29 10:55:40,2014-04-30 18:49:52
3608903,9316569,694138,106312788,106312786,119,f,f,2014-05-01 13:57:00,2015-04-29 16:31:59
3657655,2548933,694138,110246013,110246010,122,f,t,2014-05-07 04:57:25,2014-05-07 21:44:28
3659331,2548933,694138,110315440,110315409,123,f,t,2014-05-08 03:34:39,2014-05-08 03:34:47
3665412,,694138,,110491747,124,f,f,2014-05-08 15:05:15,2014-05-08 15:07:21
3665569,7432283,694138,110498362,110491747,125,f,t,2014-05-08 15:19:35,2014-05-08 17:07:44
3667797,7432283,694138,110617535,110617534,126,f,t,2014-05-08 19:00:46,2014-05-08 19:01:31
3667945,2548933,694138,110620076,110620075,127,f,t,2014-05-08 19:18:57,2014-05-08 19:27:05
3673807,7432283,694138,110767659,110767651,128,f,f,2014-05-14 18:26:45,2014-05-19 14:27:56
3675787,9687697,694138,110857598,110767651,129,f,f,2014-05-14 21:58:09,2014-05-19 14:28:22
3710572,9316569,694138,112502415,112502413,130,f,f,2014-05-20 14:35:47,2014-05-30 20:09:41
3789110,9906922,694138,115975578,112502413,133,f,f,2014-05-30 18:35:41,2014-06-03 17:52:13
3809471,870867,694138,118647409,118647407,134,f,f,2014-06-02 19:40:15,2014-07-22 21:01:10
3819865,2548933,694138,119380310,119380307,136,f,t,2014-06-03 21:28:14,2014-06-03 21:28:21
3908791,3905326,694138,126504044,122391757,140,f,f,2014-06-14 23:59:03,2014-06-18 05:57:10
3921568,9906922,694138,127320372,122391757,141,f,f,2014-06-16 19:57:39,2014-06-23 03:40:40
4017185,9906922,694138,131713980,129660801,142,f,f,2014-06-27 22:01:24,2014-07-07 21:26:48
4017299,9906922,694138,131718135,129660801,143,f,f,2014-06-27 22:33:53,2014-07-04 21:18:35
4060890,7432283,694138,133471982,129660801,144,f,f,2014-07-04 01:44:12,2014-07-04 21:47:36
4070370,2548933,694138,133959798,133788215,146,f,f,2014-07-05 16:48:26,2014-07-06 01:42:17
4072004,2548933,694138,134065624,134065562,148,f,f,2014-07-06 01:43:30,2014-07-06 04:18:18
4166638,9906922,694138,138111726,135550463,149,f,f,2014-07-15 20:49:54,2014-07-22 21:50:45
4225637,2548933,694138,140691462,135550463,150,f,f,2014-07-22 20:57:46,2014-07-22 21:19:50
4225992,9906922,694138,140706651,140696246,151,f,f,2014-07-22 21:54:25,2014-07-22 22:09:11
4246337,1876387,694138,141420189,141007894,153,f,f,2014-07-24 21:35:23,2014-07-28 16:57:32
