id,head_repo_id,base_repo_id,head_commit_id,base_commit_id,pullreq_id,intra_branch,merged,opened_at,closed_at
8423469,22164000,22157647,280014050,252509602,2,f,f,2015-07-11 22:06:17,2015-07-20 20:11:00
11887058,22157647,22157647,379987551,379983209,3,t,f,2016-01-27 19:03:33,2016-01-27 19:37:33
12059520,22157647,22157647,383907022,383358925,4,t,f,2016-02-03 22:32:53,2016-02-03 22:50:32
12106263,22157647,22157647,384970915,383916257,5,t,f,2016-02-05 19:52:27,2016-02-06 18:57:32
12112351,22157647,22157647,385210236,383916257,6,t,f,2016-02-06 01:18:35,2016-02-08 18:24:59
12183347,22157647,22157647,386910417,386364172,7,t,f,2016-02-09 17:53:56,2016-02-11 00:17:45
12192261,22157647,22157647,387128006,386364172,8,t,f,2016-02-10 00:24:30,2016-02-11 00:19:34
12194486,22157647,22157647,387175195,386364172,9,t,f,2016-02-10 02:48:52,2016-02-10 18:43:06
12244089,22157647,22157647,388218210,387701769,10,t,f,2016-02-11 21:52:33,2016-02-11 22:06:47
12245738,22157647,22157647,388248648,388226436,11,t,f,2016-02-11 22:57:54,2016-02-12 00:04:08
12270721,22157647,22157647,388764752,388276054,12,t,f,2016-02-12 20:51:32,2016-02-13 01:40:58
12382348,22157647,22157647,391361348,388874590,13,t,f,2016-02-17 19:12:30,2016-02-17 23:39:01
12384007,22157647,22157647,391384396,388874590,14,t,f,2016-02-17 20:14:42,2016-02-17 23:21:26
12410581,22157647,22157647,391950882,391495068,15,t,f,2016-02-18 18:34:27,2016-02-19 00:17:17
12419064,22157647,22157647,392100361,392100358,16,t,f,2016-02-19 00:27:14,2016-02-19 01:44:15
12440334,22157647,22157647,392607996,392607995,17,t,f,2016-02-19 19:19:37,2016-02-23 03:25:03
12441527,22157647,22157647,392615776,392607995,18,t,f,2016-02-19 20:04:48,2016-02-24 17:29:49
12446706,22157647,22157647,392685170,392607995,19,t,f,2016-02-19 23:49:25,2016-02-23 01:53:43
12513388,22157647,22157647,394235255,394235253,20,t,f,2016-02-23 01:05:24,2016-02-25 02:11:11
12560582,22157647,22157647,395396466,395003616,21,t,f,2016-02-24 17:22:58,2016-02-29 23:04:14
12567519,22157647,22157647,395462441,395462440,22,t,f,2016-02-24 21:46:33,2016-02-25 20:03:46
12600879,22157647,22157647,396304829,396304823,23,t,f,2016-02-26 01:44:34,2016-02-29 17:54:09
12627953,22157647,22157647,396886090,396886088,24,t,f,2016-02-27 01:48:13,2016-02-29 18:16:58
12680666,22157647,22157647,398436110,398436107,25,t,f,2016-02-29 21:18:54,2016-02-29 23:55:14
12683593,22157647,22157647,398466341,398436107,26,t,f,2016-02-29 23:07:16,2016-03-02 17:45:55
12685298,22157647,22157647,398490897,398490891,27,t,f,2016-03-01 00:24:02,2016-03-01 02:16:26
12739592,22157647,22157647,399820958,399795106,28,t,f,2016-03-02 20:13:30,2016-03-02 22:44:55
12772104,22157647,22157647,400530446,399971346,29,t,f,2016-03-03 21:29:32,2016-03-04 23:54:00
12774352,22157647,22157647,400574850,399971346,30,t,f,2016-03-03 22:51:48,2016-03-04 00:40:50
12798640,22157647,22157647,401115603,401054397,31,t,f,2016-03-04 19:55:44,2016-03-04 21:41:24
12806842,22157647,22157647,401266820,401221242,32,t,f,2016-03-05 02:21:19,2016-03-08 00:06:05
12961484,22157647,22157647,404754514,404180169,33,t,f,2016-03-11 00:17:15,2016-03-23 23:17:15
12989569,22157647,22157647,405355272,404180169,34,t,f,2016-03-12 00:08:31,2016-03-14 18:20:27
13069219,22157647,22157647,407284387,406803581,35,t,f,2016-03-15 17:24:25,2016-03-16 00:45:38
13082854,22157647,22157647,407611466,407529284,36,t,f,2016-03-16 04:20:49,2016-03-16 23:35:47
13108622,22157647,22157647,408132244,408132234,37,t,f,2016-03-17 00:09:52,2016-03-17 23:58:43
13135708,22157647,22157647,408785338,408132234,38,t,f,2016-03-17 22:27:46,2016-03-22 21:59:24
13139009,22157647,22157647,408914300,408880394,39,t,f,2016-03-18 01:38:15,2016-03-18 23:08:19
13255654,22157647,22157647,411608915,411608908,40,t,f,2016-03-23 00:32:04,2016-03-23 21:05:10
13256130,22157647,22157647,411649419,411608908,41,t,f,2016-03-23 01:02:03,2016-03-23 21:54:07
13338422,22157647,22157647,413461408,412840717,42,t,f,2016-03-25 19:26:57,2016-03-28 21:21:52
13341192,22157647,22157647,413518091,412840717,43,t,f,2016-03-25 21:12:26,2016-03-26 21:47:26
13430244,22157647,22157647,415619372,414938808,44,t,f,2016-03-29 19:53:28,2016-03-30 00:27:57
13459194,22157647,22157647,416399185,415920082,45,t,f,2016-03-30 17:38:16,2016-04-01 00:35:43
13471037,22157647,22157647,416623429,416567363,46,t,f,2016-03-31 01:12:13,2016-04-05 22:27:36
13472396,22157647,22157647,416651579,416567363,47,t,f,2016-03-31 02:31:54,2016-04-01 21:32:05
13493215,22157647,22157647,417060875,416567363,48,t,f,2016-03-31 17:16:41,2016-03-31 22:07:50
13502866,22157647,22157647,417226198,417209459,49,t,f,2016-03-31 22:46:55,2016-03-31 23:55:15
13605515,22157647,22157647,419400976,417815954,50,t,f,2016-04-05 00:25:00,2016-04-05 21:29:25
13610276,22157647,22157647,419493010,417815954,51,t,f,2016-04-05 04:47:11,2016-04-05 18:01:11
13636764,22157647,22157647,420015939,420015931,52,t,f,2016-04-05 23:09:26,2016-04-06 00:46:17
13671417,22157647,22157647,420763020,420746109,53,t,t,2016-04-07 00:58:18,2016-04-07 17:05:20
13695821,22157647,22157647,420932270,420932265,54,t,f,2016-04-07 23:42:02,2016-04-08 21:27:00
13735702,22157647,22157647,422383814,422383812,55,t,f,2016-04-09 02:57:44,2016-04-12 17:53:42
13809196,22157647,22157647,424273737,424273735,56,t,f,2016-04-12 19:27:46,2016-04-14 17:48:46
13815896,22157647,22157647,424319921,424273735,57,t,f,2016-04-12 20:43:48,2016-04-15 01:26:29
13851216,22157647,22157647,425123884,424273735,58,t,f,2016-04-13 23:42:00,2016-04-15 23:57:13
13857760,22157647,22157647,425772124,424273735,59,t,f,2016-04-14 00:38:21,2016-04-14 20:35:07
13977759,22157647,22157647,427833145,427313829,60,t,f,2016-04-18 20:32:19,2016-04-19 20:42:55
14007630,22157647,22157647,429589818,427313829,61,t,f,2016-04-19 18:17:01,2016-04-19 20:13:42
14009371,22157647,22157647,429689288,427313829,62,t,f,2016-04-19 19:13:53,2016-04-20 18:10:00
14018498,22157647,22157647,430101479,429991889,63,t,f,2016-04-20 01:02:45,2016-04-20 17:00:12
14056318,22157647,22157647,430811861,430595414,64,t,f,2016-04-21 02:03:26,2016-04-21 20:54:57
14082318,22157647,22157647,431301094,431268435,65,t,f,2016-04-21 19:08:17,2016-05-01 17:37:03
14095127,22157647,22157647,431533032,431357895,66,t,f,2016-04-22 04:11:32,2016-04-29 22:40:26
14115721,22157647,22157647,431920374,431357895,67,t,f,2016-04-22 18:22:44,2016-04-25 20:29:54
14119530,22157647,22157647,432006190,431357895,68,t,f,2016-04-22 20:31:29,2016-04-25 19:12:14
