id,head_repo_id,base_repo_id,head_commit_id,base_commit_id,pullreq_id,intra_branch,merged,opened_at,closed_at
10645892,11637040,11637006,22716588,22716586,5,f,t,2011-06-26 03:22:02,2011-06-26 17:14:03
10645896,11637040,11637006,350121659,22716581,6,f,f,2011-06-26 18:30:21,2011-06-27 04:46:13
10645899,11637040,11637006,350121708,22716562,7,f,f,2011-06-27 01:55:12,2011-07-05 05:25:46
10645904,11637040,11637006,350121825,22716566,8,f,f,2011-06-27 02:39:56,2011-08-01 05:42:06
10645909,29091608,11637006,350121900,22716559,9,f,f,2011-07-02 00:41:26,2011-07-31 22:41:54
10645917,29091608,11637006,350121927,22716546,10,f,f,2011-07-02 14:14:59,2011-07-05 18:55:52
10645925,29091608,11637006,350121975,22716527,11,f,f,2011-07-05 20:32:08,2011-07-25 02:29:19
10645928,29091608,11637006,350122116,22716520,13,f,f,2011-07-08 20:56:52,2011-07-10 16:51:40
10645938,29091608,11637006,350122186,22716308,14,f,f,2011-07-09 17:29:59,2011-11-13 21:03:39
10645942,7694545,11637006,350122207,22716453,15,f,f,2011-07-11 05:41:06,2011-07-15 06:22:27
10645949,29091608,11637006,350122432,22716504,16,f,f,2011-07-12 00:38:42,2011-07-15 05:36:00
10645954,29091608,11637006,350122486,22716504,17,f,f,2011-07-12 00:42:18,2011-07-12 15:53:31
10645958,7694545,11637006,350122533,22716453,18,f,f,2011-07-15 06:21:30,2011-07-26 01:21:03
10645960,7694545,11637006,350122540,22716453,19,f,f,2011-07-15 06:31:41,2011-07-16 00:15:43
10645965,7694545,11637006,350122624,22716449,20,f,f,2011-07-16 01:04:20,2011-07-16 04:54:52
10645975,29091608,11637006,350122715,22716398,27,f,f,2011-07-20 03:13:08,2011-08-01 01:00:20
10645981,7694545,11637006,350122734,22716375,29,f,f,2011-07-26 02:27:33,2011-08-01 00:55:34
10645986,29091608,11637006,350122736,22716375,30,f,f,2011-07-26 19:34:06,2011-08-01 00:37:24
10645991,29091608,11637006,350122740,22716321,32,f,f,2011-08-09 13:41:19,2011-08-11 10:00:20
10645997,29091608,11637006,350122915,350122857,33,f,f,2011-08-09 14:02:53,2011-12-09 01:40:50
10646002,7694545,11637006,350122944,22716313,34,f,f,2011-09-03 05:04:04,2011-09-11 15:31:26
10646012,7694545,11637006,350122964,22716300,35,f,f,2011-09-25 01:49:31,2011-09-25 03:05:47
10646020,7694545,11637006,350123114,22716298,36,f,f,2011-09-27 03:27:22,2011-11-01 02:07:51
10646031,7694545,11637006,350123152,22716122,37,f,f,2011-11-19 07:52:11,2011-11-19 09:24:59
10646036,11637071,11637006,155009792,22716115,44,f,f,2011-12-03 19:15:46,2011-12-10 00:59:27
10646043,7219456,11637006,350123328,22716115,45,f,f,2011-12-03 20:48:01,2011-12-04 03:25:43
10646049,7694545,11637006,350123404,22716113,46,f,f,2011-12-06 02:00:50,2011-12-07 04:35:27
10646056,7219456,11637006,350123428,22716111,49,f,f,2011-12-07 07:23:07,2011-12-10 00:59:27
10646062,7219456,11637006,350123456,22716111,50,f,f,2011-12-07 08:20:36,2011-12-07 13:22:50
10646066,7694545,11637006,350123547,22716111,51,f,f,2011-12-09 03:58:55,2011-12-10 00:59:26
10646072,7219456,11637006,350123682,22716111,52,f,f,2011-12-09 18:03:38,2011-12-10 00:59:26
10646080,11637080,11637006,350123732,22716111,53,f,f,2011-12-09 21:02:56,2011-12-09 21:03:22
10646084,7219456,11637006,84191544,22716102,54,f,f,2011-12-10 04:21:27,2014-01-21 03:23:27
10646088,7219456,11637006,80547696,22716102,55,f,f,2011-12-10 04:32:27,2014-01-03 04:39:39
10646092,11637080,11637006,350123746,22716102,56,f,f,2011-12-10 15:32:52,2011-12-10 16:49:02
10646096,7219456,11637006,80547711,22716102,58,f,f,2011-12-11 19:46:43,2014-01-03 04:40:31
10646099,7219456,11637006,80547681,22716102,59,f,f,2011-12-12 18:24:40,2014-01-03 04:39:20
10646106,,11637006,,22716102,62,f,f,2014-01-02 06:07:55,2014-01-02 06:37:22
10646110,,11637006,,22716102,63,f,f,2014-01-03 03:04:07,2014-01-03 04:39:56
10646116,,11637006,,80538020,64,f,f,2014-01-05 04:04:17,2014-01-05 04:28:46
10646121,,11637006,,80609181,65,f,f,2014-01-05 04:43:07,2014-01-06 08:30:45
10646125,,11637006,,80727615,66,f,f,2014-01-09 01:14:34,2014-01-09 23:01:02
10646130,,11637006,,80727626,67,f,f,2014-01-10 02:10:28,2014-01-13 00:05:41
10646134,,11637006,,80727613,68,f,f,2014-01-10 03:33:58,2014-01-10 03:36:43
10646144,,11637006,,82463664,69,f,f,2014-01-15 20:42:16,2014-01-31 06:56:37
10646148,,11637006,,82463664,70,f,f,2014-01-18 20:52:45,2014-01-21 03:22:49
10646154,7282196,11637006,86780997,86634655,71,f,t,2014-02-03 17:19:15,2014-02-03 19:01:08
