id,head_repo_id,base_repo_id,head_commit_id,base_commit_id,pullreq_id,intra_branch,merged,opened_at,closed_at
4503159,11591355,11591355,154097262,154096359,63,t,f,2014-08-24 20:00:31,2014-08-24 20:09:39
4503261,11591355,11591355,154103537,154099417,64,t,f,2014-08-24 20:23:24,2014-08-24 20:27:36
4503274,11591697,11591355,154104203,154099417,65,f,f,2014-08-24 20:26:18,2014-08-24 21:50:20
4504073,11591355,11591355,154165048,154126299,68,t,f,2014-08-25 00:30:29,2014-08-25 00:50:07
4517692,11591697,11591355,154614242,154614239,72,f,t,2014-08-25 22:02:14,2014-08-27 02:15:23
4510705,11605134,11591355,154404030,154403901,73,f,t,2014-08-25 23:36:37,2014-08-26 13:17:27
4529251,11591697,11591355,155020514,155020500,74,f,t,2014-08-27 20:32:28,2014-08-27 20:55:45
4530077,11605134,11591355,155044471,155044466,75,f,t,2014-08-27 22:18:16,2014-08-27 22:32:23
4530197,11605134,11591355,155047365,155047356,76,f,f,2014-08-27 22:33:57,2015-01-05 20:39:34
4537653,11591697,11591355,155269166,155269160,77,f,t,2014-08-28 14:13:15,2014-08-28 14:23:39
4538238,11605134,11591355,155290942,155290941,78,f,t,2014-08-28 14:59:09,2014-08-28 15:13:42
4540833,11605134,11591355,155362758,155362737,79,f,t,2014-08-28 18:49:33,2014-08-28 18:51:52
4541664,11591697,11591355,155379519,155379518,82,f,t,2014-08-28 20:03:20,2014-08-28 22:01:47
4542974,11591697,11591355,154404026,154404025,83,f,t,2014-08-28 22:57:38,2014-08-29 01:56:56
4544714,11605134,11591355,154404024,154404023,84,f,t,2014-08-29 04:42:38,2014-08-29 20:15:26
4553085,11591697,11591355,154404020,154404019,85,f,t,2014-08-29 19:49:09,2014-08-29 20:35:39
4554363,11591697,11591355,154404014,154404013,86,f,t,2014-08-29 23:39:50,2014-08-30 02:24:38
4586982,11591697,11591355,154404008,154404007,87,f,t,2014-09-03 02:32:35,2014-09-03 14:20:46
4587509,11605134,11591355,154404006,154404007,88,f,t,2014-09-03 03:02:48,2014-09-03 14:23:49
4599738,11605134,11591355,154404004,154404003,89,f,t,2014-09-04 03:00:31,2014-09-04 03:01:01
4607730,11605134,11591355,154404002,154404001,93,f,t,2014-09-04 18:32:10,2014-09-04 18:40:28
4608925,11591697,11591355,154403997,154403996,95,f,t,2014-09-04 21:08:04,2014-09-04 21:32:18
4609224,11605134,11591355,154403995,154403994,96,f,t,2014-09-04 21:58:05,2014-09-04 22:02:13
4615337,11591697,11591355,154403974,154403973,97,f,t,2014-09-05 14:32:17,2014-09-05 18:19:35
4618443,11605134,11591355,154403969,154403968,99,f,t,2014-09-05 20:57:21,2014-09-05 21:00:18
4618656,11605134,11591355,154403963,154403962,100,f,t,2014-09-05 21:37:57,2014-09-05 21:41:12
4629294,11605134,11591355,154403960,154403961,101,f,t,2014-09-08 01:06:25,2014-09-08 13:12:41
4635237,11605134,11591355,154403959,154403958,102,f,t,2014-09-08 16:44:14,2014-09-08 16:53:08
4637256,11605134,11591355,154403957,154403956,103,f,t,2014-09-08 20:38:32,2014-09-08 22:15:59
4551061,11605134,11591355,154403951,154403950,104,f,t,2014-09-08 22:53:16,2014-09-08 23:04:58
4638491,11591697,11591355,154403949,154403948,105,f,t,2014-09-09 00:20:22,2014-09-09 14:04:07
4659017,11591697,11591355,154403946,154403945,107,f,t,2014-09-11 03:00:48,2014-09-11 14:03:51
4665844,11591697,11591355,154403940,154403939,110,f,t,2014-09-11 18:00:05,2014-09-11 18:52:13
4674139,11591697,11591355,154403937,154403936,111,f,t,2014-09-12 15:46:27,2014-09-12 16:02:38
4674414,11591697,11591355,154403935,154403934,112,f,t,2014-09-12 16:20:52,2014-09-12 16:43:44
4680247,11605134,11591355,154403928,154403927,113,f,t,2014-09-13 14:54:35,2014-09-16 14:19:01
4696395,11591697,11591355,154403926,154403927,115,f,t,2014-09-15 22:14:55,2014-09-16 14:52:33
4703477,11591697,11591355,154403924,154403923,116,f,t,2014-09-16 16:29:41,2014-09-16 16:40:58
4705287,11591697,11591355,154403921,154403920,117,f,t,2014-09-16 19:52:21,2014-09-17 02:03:45
4741015,11591697,11591355,158216221,154403919,121,f,t,2014-09-20 21:59:10,2014-09-20 22:29:33
4820140,12165867,11591355,161425880,161425860,124,f,f,2014-09-30 00:49:24,2014-09-30 13:06:13
4825202,11605134,11591355,161425875,161425874,125,f,t,2014-09-30 13:05:48,2014-09-30 15:10:32
4827008,11605134,11591355,161425873,161425872,128,f,t,2014-09-30 15:54:56,2014-09-30 16:08:33
4840300,11591697,11591355,161741894,161425871,129,f,t,2014-10-01 20:30:38,2014-10-02 01:49:12
4881651,11591697,11591355,165328307,165117718,130,f,f,2014-10-06 18:44:05,2014-10-06 18:54:54
4894704,11591697,11591355,166454198,166454196,131,f,f,2014-10-07 21:51:16,2014-10-08 13:59:37
4910519,11591697,11591355,168829750,168829746,132,f,t,2014-10-09 16:03:31,2014-10-09 17:08:45
5816705,14771207,11591355,202726040,169800705,133,f,f,2014-10-10 14:49:28,2015-02-10 17:06:56
4937988,11591697,11591355,172091206,169800705,136,f,f,2014-10-13 19:36:41,2014-10-13 20:50:19
4938551,11591697,11591355,172107187,172107184,137,f,f,2014-10-13 20:53:10,2014-10-13 21:08:38
4939050,11591697,11591355,172122779,172110136,138,f,f,2014-10-13 22:17:58,2014-10-13 23:06:48
5826754,11591697,11591355,173220197,173220191,139,f,t,2014-10-15 19:59:35,2014-10-15 22:08:12
5828357,11591697,11591355,173220207,173220186,140,f,t,2014-10-16 21:43:45,2014-10-16 22:52:07
4975221,11591697,11591355,173491643,173491639,142,f,f,2014-10-17 14:30:46,2014-10-17 14:33:04
4983514,11591697,11591355,173833930,173833672,143,f,f,2014-10-18 17:56:51,2014-10-18 17:59:46
5075321,11591697,11591355,177669141,175219224,144,f,f,2014-10-27 21:23:39,2014-10-28 23:31:32
5075567,12943580,11591355,177676684,175219224,145,f,f,2014-10-27 21:46:43,2014-10-29 22:45:51
5089140,11591697,11591355,178437483,178367659,146,f,f,2014-10-29 01:42:53,2014-10-30 17:59:25
5107016,11591697,11591355,179341752,179025697,147,f,f,2014-10-30 14:43:27,2014-10-30 19:48:31
