id,head_repo_id,base_repo_id,head_commit_id,base_commit_id,pullreq_id,intra_branch,merged,opened_at,closed_at
46827810,61034114,106254185,752012804,751718834,2961,f,f,2017-08-03 15:37:38,2018-10-02 20:52:13
46827819,,106254185,,771711781,3144,f,f,2017-08-31 06:03:48,2018-10-02 20:51:57
46827647,,106254185,,787743886,3264,f,f,2017-09-20 19:29:09,2018-10-02 20:49:39
45460075,,106254185,,795643781,3347,f,f,2017-09-29 11:48:15,2018-09-10 07:13:06
46828090,71264286,106254185,816308478,815780116,3441,f,f,2017-10-23 15:59:05,2018-10-02 20:56:58
46828203,71264286,106254185,816312410,815780116,3442,f,f,2017-10-23 16:02:22,2018-10-02 20:58:57
46828279,78181116,106254185,817248026,817111492,3455,f,f,2017-10-25 01:19:24,2018-10-02 21:00:07
46828375,78668986,106254185,1153612840,960130396,3474,f,f,2017-10-29 18:02:01,2018-12-18 07:50:25
46828434,78860460,106254185,826603850,826249969,3520,f,f,2017-11-01 10:10:24,2018-10-02 21:02:35
46828649,,106254185,,836479356,3613,f,f,2017-11-14 20:15:51,2018-11-02 21:14:57
46828745,84698720,106254185,884112635,882674265,3986,f,f,2018-01-09 17:57:35,2018-10-06 20:31:22
47639909,88311711,106254185,961265815,919768017,4279,f,f,2018-02-20 15:11:27,2018-11-02 21:36:09
45462489,94486190,106254185,972697494,972184439,4623,f,f,2018-04-10 20:01:41,2018-09-10 08:07:22
46828812,96798675,106254185,997976160,997892178,4857,f,t,2018-05-03 04:19:48,2018-10-23 13:49:28
46828879,74654098,106254185,1003394400,1002807664,4884,f,f,2018-05-08 16:52:36,2018-10-02 21:09:06
46829006,94735487,106254185,1005688213,1005208537,4920,f,f,2018-05-10 17:57:00,2018-10-02 21:10:27
44417487,100077207,106254185,1031571397,1030864323,5088,f,f,2018-06-04 22:21:24,2018-11-02 21:15:58
46068962,68984818,106254185,1034116521,1033571283,5108,f,f,2018-06-07 05:16:30,2018-09-20 06:53:05
45679237,100843105,106254185,1039050066,1038892625,5126,f,f,2018-06-12 09:52:38,2018-09-13 10:20:28
