id,head_repo_id,base_repo_id,head_commit_id,base_commit_id,pullreq_id,intra_branch,merged,opened_at,closed_at
11294782,30328492,22212363,365813226,365013407,36,f,f,2015-12-29 01:48:53,2015-12-31 09:53:37
12443952,24085611,22212363,392645361,392503124,40,f,f,2016-02-19 21:48:31,2016-02-21 09:07:33
12473565,24085611,22212363,393470799,393332377,41,f,f,2016-02-21 12:09:02,2016-02-21 19:06:15
12473652,24085611,22212363,393472808,393332377,42,f,f,2016-02-21 12:14:01,2016-02-21 17:47:04
12473791,24085611,22212363,393476184,393332377,43,f,f,2016-02-21 12:25:16,2016-02-21 17:46:26
12476185,24085611,22212363,393542513,393522215,44,f,f,2016-02-21 15:39:30,2016-02-21 18:00:06
12477268,24085611,22212363,393570871,393522215,45,f,f,2016-02-21 16:53:13,2016-02-21 17:58:32
12481322,24085611,22212363,393656106,393624317,48,f,f,2016-02-21 20:30:02,2016-02-21 23:51:43
12482129,32504783,22212363,393678727,393624317,52,f,f,2016-02-21 21:21:54,2016-02-26 01:14:05
12483149,24085611,22212363,393313371,393624317,53,f,f,2016-02-21 22:17:15,2016-03-10 23:37:37
12487612,20411876,22212363,393817220,393737233,54,f,f,2016-02-22 03:42:12,2016-02-22 20:53:41
12494823,24085611,22212363,394010893,393737233,55,f,f,2016-02-22 12:30:34,2016-02-22 20:53:42
12504463,22212363,22212363,394145435,393737233,56,t,f,2016-02-22 18:57:54,2016-02-22 19:06:50
12504832,22212363,22212363,394147792,394147790,57,t,f,2016-02-22 19:13:00,2016-02-22 19:18:25
12551300,24085611,22212363,395202361,394385843,58,f,f,2016-02-24 10:55:23,2016-02-24 15:11:21
12600438,32504783,22212363,396295282,395552249,59,f,f,2016-02-26 01:14:48,2016-02-26 16:26:22
12629174,32504783,22212363,396934121,396934118,60,f,f,2016-02-27 04:00:04,2016-02-27 04:16:33
12636032,32504783,22212363,397406653,397226398,61,f,f,2016-02-27 16:36:55,2016-02-28 02:43:25
12636215,32504783,22212363,397410979,397226398,62,f,f,2016-02-27 16:49:38,2016-02-28 23:16:22
12643908,32504783,22212363,397612404,397604378,64,f,f,2016-02-28 03:15:24,2016-02-28 23:15:46
12648603,32787566,22212363,397756295,397604378,65,f,f,2016-02-28 12:47:37,2016-03-04 07:22:20
12660201,20411876,22212363,398076609,397993019,67,f,f,2016-02-29 03:35:37,2016-02-29 17:06:05
