id,head_repo_id,base_repo_id,head_commit_id,base_commit_id,pullreq_id,intra_branch,merged,opened_at,closed_at
49759900,18424373,103160016,487616983,487457853,1679,f,f,2015-08-27 17:48:25,2018-11-14 18:30:26
55152625,18333616,103160016,416965250,416703292,1998,f,f,2015-11-20 21:42:58,2019-02-07 11:28:31
57463956,28163489,103160016,379643454,391357000,2342,f,f,2016-01-27 05:43:39,2019-03-07 08:09:54
57463982,31551432,103160016,381038549,391357000,2354,f,f,2016-01-29 15:19:28,2019-03-07 08:09:56
57463979,28163489,103160016,1323624417,430052376,2362,f,f,2016-02-01 07:23:30,2019-03-07 08:09:54
57463983,28163489,103160016,1323624427,448369570,2380,f,f,2016-02-03 02:19:35,2019-03-07 08:09:55
49766587,25012549,103160016,384803671,391357000,2394,f,f,2016-02-04 15:53:06,2018-11-14 20:14:39
57464016,1350393,103160016,384229191,391357000,2396,f,f,2016-02-04 18:08:50,2019-03-07 08:09:58
57463976,28163489,103160016,384305240,391357000,2405,f,f,2016-02-05 01:34:52,2019-03-07 08:09:57
55152775,31944918,103160016,390647489,391357000,2414,f,f,2016-02-08 21:03:15,2019-02-07 11:30:51
57464021,28163489,103160016,1323624576,475197464,2446,f,f,2016-02-11 05:47:56,2019-03-07 08:10:00
57463960,28163489,103160016,1323624324,483061632,2459,f,f,2016-02-12 15:46:13,2019-03-07 08:10:01
57464005,28163489,103160016,392277248,392105693,2504,f,f,2016-02-19 02:24:30,2019-03-07 08:10:04
57463970,11599126,103160016,398717914,393164011,2512,f,f,2016-02-20 22:52:59,2019-03-07 08:10:01
57464006,28879926,103160016,1323624525,561811968,2524,f,f,2016-02-23 08:34:47,2019-03-07 08:10:04
57464011,32714523,103160016,406835380,406805641,2550,f,f,2016-02-25 22:23:01,2019-03-07 08:10:05
57464078,32714523,103160016,401250444,401134388,2567,f,f,2016-02-29 21:47:37,2019-03-07 08:10:05
57463992,32714523,103160016,406836044,406805641,2568,f,f,2016-02-29 21:54:21,2019-03-07 08:10:08
57464003,1350393,103160016,403471863,403422382,2612,f,f,2016-03-09 00:18:33,2019-03-07 08:10:09
57464072,28163489,103160016,1323625000,441525056,2633,f,f,2016-03-11 02:51:01,2019-03-07 08:10:09
57463988,28163489,103160016,1323624452,458332550,2670,f,f,2016-03-16 02:11:12,2019-03-07 08:10:10
57463997,28163489,103160016,1323624496,483061632,2761,f,f,2016-03-30 08:18:47,2019-03-07 08:10:12
57464037,33224302,103160016,419479054,417963442,2762,f,f,2016-03-30 16:28:14,2019-03-07 08:10:10
57464025,13500801,103160016,419612197,417963442,2789,f,f,2016-04-05 10:12:15,2019-03-07 08:10:16
57464026,28163489,103160016,557093064,556960750,2796,f,f,2016-04-06 05:50:44,2019-03-07 08:10:13
57464009,28163489,103160016,420763390,420385459,2801,f,f,2016-04-07 01:02:36,2019-03-07 08:10:12
57464064,1781821,103160016,424921917,420831720,2806,f,f,2016-04-08 08:41:42,2019-03-07 08:10:16
57464029,28163489,103160016,422452945,422164924,2810,f,f,2016-04-09 04:33:42,2019-03-07 08:10:17
57464012,28163489,103160016,1323624550,448369570,2862,f,f,2016-04-20 10:50:42,2019-03-07 08:10:17
57464035,28163489,103160016,437635446,436580369,2907,f,f,2016-05-02 07:07:58,2019-03-07 08:10:20
57464030,13500801,103160016,437736992,436580369,2909,f,f,2016-05-02 11:15:50,2019-03-07 08:10:20
57464018,28879926,103160016,1323624569,574789721,2945,f,f,2016-05-10 06:55:15,2019-03-07 08:10:21
57464032,36598380,103160016,442000134,442000125,2948,f,f,2016-05-10 16:54:36,2019-03-07 08:10:21
57460383,28163489,103160016,445145356,443225237,2953,f,f,2016-05-11 08:43:06,2019-03-07 07:09:54
57460394,1350393,103160016,451647837,447083094,2975,f,f,2016-05-17 16:23:59,2019-03-07 07:09:56
45252186,1350393,103160016,474535854,460945035,3118,f,f,2016-06-08 22:28:03,2018-09-05 20:53:13
57460365,28163489,103160016,475197465,475197464,3234,f,f,2016-07-12 01:40:32,2019-03-07 07:09:57
57460355,28163489,103160016,567389304,567389302,3264,f,f,2016-07-20 05:36:49,2019-03-07 07:09:56
57460411,28163489,103160016,541700432,541473251,3285,f,f,2016-07-26 01:56:05,2019-03-07 07:10:00
57460386,28163489,103160016,484037143,483061632,3291,f,f,2016-07-27 07:53:23,2019-03-07 07:09:59
57460369,28163489,103160016,483243051,483224341,3292,f,f,2016-07-27 08:43:18,2019-03-07 07:09:58
55152918,28163489,103160016,533615251,530470052,3294,f,f,2016-07-27 11:28:04,2019-02-07 11:32:41
57460384,11588963,103160016,491524198,488363133,3319,f,f,2016-08-03 19:02:22,2019-03-07 07:10:03
57460404,11588963,103160016,1323599720,494568006,3323,f,f,2016-08-04 04:24:39,2019-03-07 07:10:01
57460428,11588963,103160016,494630376,494630368,3371,f,f,2016-08-17 04:20:32,2019-03-07 07:10:04
57460371,39120873,103160016,496394448,494630368,3379,f,f,2016-08-19 06:41:29,2019-03-07 07:10:08
57460380,28163489,103160016,499720789,494630368,3388,f,f,2016-08-23 06:11:41,2019-03-07 07:10:06
57460408,28163489,103160016,1323599777,517865731,3392,f,f,2016-08-24 00:10:03,2019-03-07 07:10:05
57460374,28879926,103160016,516823221,516580368,3445,f,f,2016-09-09 09:37:45,2019-03-07 07:10:07
57460398,11588963,103160016,546803614,546342990,3482,f,f,2016-09-21 20:55:42,2019-03-07 07:10:08
57460406,28163489,103160016,517317626,517288038,3485,f,f,2016-09-22 00:08:29,2019-03-07 07:10:09
57460403,28163489,103160016,517365483,517288038,3486,f,f,2016-09-22 02:25:50,2019-03-07 07:10:11
57460409,28163489,103160016,517458649,517288038,3490,f,f,2016-09-22 06:39:36,2019-03-07 07:10:10
57460420,28163489,103160016,519739347,518638619,3511,f,f,2016-09-26 08:41:09,2019-03-07 07:10:12
45904958,46980602,103160016,671730556,670611717,3530,f,f,2016-10-04 03:50:28,2019-03-07 06:10:14
57460396,28163489,103160016,572578357,572387414,3542,f,f,2016-10-06 02:18:12,2019-03-07 07:10:13
57460402,28879926,103160016,579956943,574789721,3545,f,f,2016-10-06 07:43:49,2019-03-07 07:10:16
57460393,51389569,103160016,584767185,579956365,3716,f,f,2016-11-24 11:04:23,2019-03-07 07:10:14
57456876,37627427,103160016,1323579849,1098069605,3778,f,f,2016-12-16 03:05:20,2019-03-07 06:10:11
57460389,28879926,103160016,575634008,574789721,3779,f,f,2016-12-16 08:47:36,2019-03-07 07:10:17
54516276,37627427,103160016,634640512,619056755,3859,f,f,2017-01-18 06:51:26,2019-04-07 08:09:15
57460400,49660569,103160016,1323599683,634767601,3915,f,f,2017-02-07 23:46:07,2019-03-07 07:10:18
42697414,15914821,103160016,628172346,624399222,3956,f,f,2017-02-21 17:39:45,2019-03-26 20:01:08
46589381,57110145,103160016,642605015,641356958,4033,f,t,2017-03-10 06:13:43,2018-10-12 21:29:15
57460399,59547496,103160016,649284908,645988478,4066,f,f,2017-03-15 20:58:15,2019-03-07 07:10:19
47798065,48949663,103160016,684017371,683850423,4118,f,f,2017-03-26 16:44:46,2018-10-17 07:22:59
42263607,56519925,103160016,659451068,657929317,4139,f,f,2017-03-31 06:18:16,2018-07-11 11:20:52
57460431,128388501,103160016,667655183,666562699,4159,f,f,2017-04-11 06:52:15,2019-03-07 07:10:19
48112100,28314542,103160016,676699259,675836410,4196,f,f,2017-04-23 14:19:54,2019-03-27 22:55:00
57460442,,103160016,,675836410,4201,f,f,2017-04-24 16:14:16,2019-03-07 07:10:20
57460413,64430754,103160016,703534564,699863506,4321,f,f,2017-05-23 17:29:56,2019-03-07 07:10:22
57460461,41610942,103160016,716057853,713872095,4401,f,f,2017-06-13 22:11:01,2019-03-07 07:10:22
57460410,63437365,103160016,721393639,715827578,4419,f,f,2017-06-16 07:37:53,2019-03-07 07:10:23
57456877,67347356,103160016,901472247,896709071,4425,f,f,2017-06-19 08:55:58,2019-03-07 06:09:56
57456825,49660569,103160016,757440645,757199938,4426,f,f,2017-06-20 00:04:42,2019-03-07 06:09:55
57456813,67214475,103160016,720734400,720617293,4446,f,f,2017-06-22 15:45:35,2019-03-07 06:09:58
57456816,37627427,103160016,725411220,725339917,4448,f,f,2017-06-22 18:53:27,2019-03-07 06:09:57
57456826,22111134,103160016,752470145,752262965,4648,f,f,2017-08-04 05:06:18,2019-03-07 06:09:59
53521995,49660569,103160016,789512546,789257825,4770,f,f,2017-09-09 08:20:05,2019-01-15 16:04:54
57456824,72802112,103160016,780436095,779614614,4775,f,f,2017-09-11 09:12:33,2019-03-07 06:10:00
43008479,74194839,103160016,780555380,779614614,4776,f,t,2017-09-11 12:05:43,2018-07-27 23:23:10
57456861,74028475,103160016,783942296,783681769,4806,f,f,2017-09-15 07:36:17,2019-03-07 06:10:01
57456857,75625146,103160016,790759177,790750857,4840,f,f,2017-09-25 13:28:17,2019-03-07 06:10:03
57456852,64430754,103160016,801755135,766218552,4919,f,f,2017-10-06 22:03:51,2019-03-07 06:10:03
47696606,,103160016,,804524045,4936,f,f,2017-10-10 19:15:27,2018-10-15 21:34:12
