id,head_repo_id,base_repo_id,head_commit_id,base_commit_id,pullreq_id,intra_branch,merged,opened_at,closed_at
15785639,,28514697,,143583978,151,f,f,2014-08-02 09:45:23,2016-07-16 18:09:41
10980433,14690174,28514697,201932567,197141212,210,f,f,2015-01-03 01:17:13,2015-12-10 10:54:44
14579069,14712792,28514697,202815384,197141212,211,f,f,2015-01-06 04:20:30,2016-05-10 09:30:02
15686636,21505658,28514697,273095875,273095850,361,f,f,2015-06-23 08:24:38,2016-07-16 18:09:46
14579202,25879371,28514697,336235044,314192600,434,f,f,2015-09-14 21:39:42,2016-05-10 09:35:08
10358806,21505658,28514697,343480085,343332564,513,f,f,2015-11-09 08:51:21,2015-11-09 08:54:46
10373954,24297965,28514697,343680752,343680740,514,f,t,2015-11-09 21:38:53,2015-11-10 06:09:49
10381564,26210357,28514697,343740688,343740652,516,f,t,2015-11-10 08:34:43,2015-11-10 08:34:56
10400037,28469782,28514697,344546873,344422035,518,f,f,2015-11-11 04:07:29,2015-11-11 06:34:55
10400065,28469782,28514697,344547703,344422035,519,f,f,2015-11-11 04:10:03,2015-11-11 06:35:08
10403594,26210357,28514697,344635560,344582452,520,f,f,2015-11-11 09:24:18,2015-11-11 09:24:23
10410364,28144229,28514697,344794300,344789420,521,f,f,2015-11-11 15:36:02,2015-11-11 18:42:05
10440870,28144229,28514697,344885596,345451534,523,f,f,2015-11-12 19:45:46,2015-11-29 19:15:17
10441923,21393034,28514697,345475438,345451534,524,f,f,2015-11-12 20:31:30,2015-11-13 07:18:32
10475701,21505658,28514697,346218506,345780244,525,f,f,2015-11-14 14:24:28,2015-11-14 15:39:02
10475768,21505658,28514697,346219690,345780244,526,f,f,2015-11-14 14:32:02,2015-11-14 15:39:33
10485853,26210357,28514697,346504828,346493236,527,f,t,2015-11-15 10:08:06,2015-11-15 10:08:13
10499716,21393034,28514697,346875216,346875227,529,f,f,2015-11-16 07:52:04,2015-11-16 08:40:35
