id,head_repo_id,base_repo_id,head_commit_id,base_commit_id,pullreq_id,intra_branch,merged,opened_at,closed_at
3612985,9510062,9510062,106336487,106336481,1,t,t,2014-04-30 15:22:47,2014-04-30 15:23:40
3614315,9510062,9510062,106344293,106344288,2,t,t,2014-04-30 18:24:54,2014-04-30 18:53:50
3615393,9510062,9510062,106351039,106351037,3,t,t,2014-04-30 21:02:15,2014-04-30 21:05:03
3615547,9510061,9510062,106351963,106351956,4,f,t,2014-04-30 21:25:40,2014-04-30 21:28:44
3615553,9510062,9510062,106352010,106352007,5,t,t,2014-04-30 21:29:52,2014-04-30 21:40:18
3615646,9510061,9510062,106352537,106352536,6,f,t,2014-04-30 21:44:15,2014-04-30 21:48:33
3615836,9510062,9510062,106353724,106353721,7,t,t,2014-04-30 22:19:24,2014-04-30 22:20:02
3615850,9510062,9510062,106353850,106351960,8,t,t,2014-04-30 22:22:32,2014-04-30 22:23:40
3607911,9510061,9510062,106306933,106306849,9,f,t,2014-05-01 15:24:33,2014-05-01 17:17:52
3607894,9510061,9510062,106306851,106306849,10,f,t,2014-05-01 16:59:36,2014-05-01 17:21:33
3621215,9510062,9510062,106386358,106306849,11,t,t,2014-05-01 17:02:08,2014-05-01 21:08:38
3621836,9510062,9510062,106390066,106390063,12,t,t,2014-05-01 18:24:41,2014-05-01 18:27:48
3622291,9510061,9510062,106392864,106392863,13,f,t,2014-05-01 19:26:54,2014-05-01 19:45:09
3622479,9510062,9510062,106393862,106393860,14,t,t,2014-05-01 19:50:04,2014-05-01 19:52:56
3622753,9510061,9510062,106395667,106393862,15,f,t,2014-05-01 20:26:16,2014-05-01 21:10:32
3623025,9510061,9510062,106397300,106393862,16,f,t,2014-05-01 21:03:37,2014-05-01 21:11:07
3623090,9510062,9510062,106311127,106397782,17,t,t,2014-05-01 21:13:25,2014-05-01 21:13:40
3608597,9519479,9510062,106311132,106311125,18,f,f,2014-05-01 21:32:47,2014-05-02 15:02:33
3623257,9510062,9510062,106398764,106311127,19,t,f,2014-05-01 21:43:23,2014-05-04 21:06:08
3623267,9510062,9510062,106311129,106311127,20,t,t,2014-05-01 21:46:15,2014-05-01 21:48:27
3608796,9510062,9510062,106312175,106311125,21,t,f,2014-05-01 22:47:59,2014-05-04 21:06:39
3627715,9510061,9510062,106426568,106311125,22,f,t,2014-05-02 14:27:14,2014-05-02 15:03:05
3628044,9519479,9510062,106428424,106428411,23,f,t,2014-05-02 15:06:04,2014-05-02 16:14:03
3628496,9519479,9510062,106428419,106428413,24,f,t,2014-05-02 16:06:17,2014-05-02 16:08:18
3630143,9510061,9510062,106440623,106398837,25,f,t,2014-05-02 19:44:08,2014-05-02 19:52:30
3749115,9510062,9510062,113503644,113503642,26,t,t,2014-05-09 21:32:55,2014-05-25 03:27:42
3753726,9807231,9510062,113705142,113705123,30,f,f,2014-05-26 02:17:27,2014-05-26 02:18:20
4084793,9510062,9510062,134597242,134488327,31,t,f,2014-07-07 20:56:00,2014-07-12 16:35:56
4086430,9510062,9510062,134688614,134674552,32,t,f,2014-07-08 02:15:50,2014-07-12 16:35:15
4686972,9510062,9510062,157466478,142780849,33,t,t,2014-09-14 20:39:38,2014-09-14 20:48:13
4687173,9510062,9510062,157468164,157468163,34,t,t,2014-09-14 21:36:13,2014-09-14 22:03:31
4688259,9510062,9510062,156283170,157485488,35,t,t,2014-09-15 02:45:56,2014-09-15 02:52:41
4740921,9510062,9510062,156283172,156283170,36,t,t,2014-09-20 21:35:15,2014-09-20 23:24:14
4741268,9510062,9510062,156283165,158220734,37,t,t,2014-09-20 23:25:00,2014-09-20 23:28:04
