id,head_repo_id,base_repo_id,head_commit_id,base_commit_id,pullreq_id,intra_branch,merged,opened_at,closed_at
10293477,28212945,28212945,341605546,340864632,1,t,t,2015-11-05 14:03:47,2015-11-05 14:06:30
10320251,28212945,28212945,342335887,342335880,2,t,f,2015-11-06 16:53:34,2015-11-08 11:31:25
10344587,28212945,28212945,343073641,343066902,3,t,f,2015-11-08 11:55:12,2015-11-08 12:11:11
10344900,28212945,28212945,343084990,343078100,4,t,f,2015-11-08 12:34:31,2015-11-08 13:04:24
10347738,28212945,28212945,343171243,343094373,5,t,f,2015-11-08 17:03:43,2015-11-08 18:20:20
10349700,28212945,28212945,343222733,343196940,6,t,f,2015-11-08 19:30:08,2015-11-08 19:52:44
10350297,28212945,28212945,343240411,343230935,7,t,f,2015-11-08 20:14:01,2015-11-08 21:06:05
10352309,28212945,28212945,343291922,343259309,8,t,f,2015-11-08 22:52:21,2015-11-08 23:09:38
10353535,28212945,28212945,343327501,343297311,9,t,f,2015-11-09 00:53:42,2015-11-09 05:46:40
10357453,28212945,28212945,343448826,343297311,10,t,f,2015-11-09 07:17:43,2015-11-09 07:23:37
10359635,28212945,28212945,343498869,343450824,11,t,f,2015-11-09 09:45:16,2015-11-09 09:48:05
10359770,28212945,28212945,343502899,343500486,12,t,f,2015-11-09 09:54:40,2015-11-09 09:57:52
10361355,28212945,28212945,343537719,343503969,13,t,f,2015-11-09 11:37:24,
10361878,28212945,28212945,343550868,343503969,14,t,f,2015-11-09 12:12:16,2015-11-09 12:17:10
10368547,28212945,28212945,343632586,343552809,15,t,t,2015-11-09 17:16:13,2015-11-09 22:26:44
10377083,28212945,28212945,343704962,343704934,16,t,t,2015-11-10 01:24:20,2015-11-10 08:09:03
10378158,28212945,28212945,343715313,343715310,17,t,f,2015-11-10 02:58:16,
10384674,28212945,28212945,343763111,343763103,19,t,t,2015-11-10 13:27:51,2015-11-10 14:37:29
10387972,28212945,28212945,343793339,343793335,20,t,t,2015-11-10 16:49:13,2015-11-10 16:49:16
10389577,28212945,28212945,343831942,343831939,21,t,t,2015-11-10 17:58:09,2015-11-10 17:58:14
10391124,28212945,28212945,343869262,343869259,22,t,f,2015-11-10 19:02:38,2015-11-10 19:17:27
10391399,28212945,28212945,343871476,343869259,23,t,f,2015-11-10 19:17:03,2015-11-10 19:24:39
10391544,28212945,28212945,343876481,343869259,24,t,f,2015-11-10 19:24:13,2015-11-10 19:25:03
10391908,28212945,28212945,343894574,343894552,25,t,f,2015-11-10 19:37:29,2015-11-10 19:41:19
10392152,28212945,28212945,343906105,343906092,26,t,f,2015-11-10 19:50:04,2015-11-10 19:55:37
10392476,28212945,28212945,343911973,343911972,27,t,f,2015-11-10 20:04:01,2015-11-10 20:09:49
10392877,28212945,28212945,343915722,343915711,28,t,f,2015-11-10 20:19:34,2015-11-10 20:50:27
10395186,28212945,28212945,344013846,344013834,29,t,f,2015-11-10 22:05:55,2015-11-10 22:06:04
10395267,28212945,28212945,344016335,344016333,30,t,f,2015-11-10 22:09:35,2015-11-10 22:19:27
10395544,28212945,28212945,344030721,344030703,31,t,f,2015-11-10 22:25:18,2015-11-10 22:33:44
10403472,28212945,28212945,344633267,344416403,32,t,f,2015-11-11 09:16:11,2015-11-11 09:53:00
10406993,28212945,28212945,344716160,344449716,33,t,f,2015-11-11 12:58:28,2015-11-11 14:58:27
10409056,28212945,28212945,344765030,344416403,34,t,f,2015-11-11 14:38:21,2015-11-11 14:58:17
10424276,28212945,28212945,345118947,344775751,35,t,f,2015-11-12 05:33:44,2015-11-12 13:02:54
10425375,28212945,28212945,345142122,344775751,36,t,f,2015-11-12 06:57:09,2015-11-12 13:03:12
10430954,28212945,28212945,345260676,344775751,37,t,f,2015-11-12 12:38:19,2015-11-12 13:00:34
10430960,28212945,28212945,345261148,344449716,38,t,f,2015-11-12 12:38:53,2015-11-12 12:48:51
10431516,28212945,28212945,345273979,344449716,39,t,f,2015-11-12 13:08:35,2015-11-12 13:14:15
