id,head_repo_id,base_repo_id,head_commit_id,base_commit_id,pullreq_id,intra_branch,merged,opened_at,closed_at
10134075,28110457,28110457,337946278,324561813,33,t,f,2015-10-28 20:53:33,2015-10-31 01:44:02
10205343,28235244,28110457,339568200,339072769,34,f,f,2015-11-01 16:47:10,2015-11-01 17:02:04
10295841,28110457,28110457,341630606,339572750,35,t,f,2015-11-05 15:47:04,2015-12-10 22:48:23
10561998,28110457,28110457,348293861,339572750,38,t,f,2015-11-18 16:14:29,2015-11-19 11:06:54
10997718,28110457,28110457,358578488,358551662,39,t,f,2015-12-11 00:14:53,2015-12-11 00:40:13
10998996,28110457,28110457,358601420,358586007,40,t,t,2015-12-11 01:33:01,2015-12-11 01:33:06
11445036,28110457,28110457,369501549,368053556,43,t,f,2016-01-07 16:54:56,2016-01-08 13:22:01
11467955,28110457,28110457,370092120,370065661,44,t,f,2016-01-08 14:26:42,2016-01-08 14:32:35
11468251,28110457,28110457,370098926,370094915,45,t,f,2016-01-08 14:42:36,2016-01-11 12:42:51
11542188,28110457,28110457,371924038,371480778,47,t,t,2016-01-12 15:17:51,2016-01-12 15:17:54
11571348,28110457,28110457,372526982,371924045,48,t,f,2016-01-13 16:34:47,2016-01-14 15:00:25
11597199,28110457,28110457,373084681,373033344,52,t,f,2016-01-14 16:43:08,2016-01-25 16:18:24
11628946,30982481,28110457,373763108,373033344,53,f,f,2016-01-15 21:28:06,2016-01-15 22:41:10
11805478,30982481,28110457,378038058,373794436,55,f,f,2016-01-24 13:42:58,2016-01-24 21:53:47
11812025,30982481,28110457,378222961,378218332,56,f,f,2016-01-24 22:31:21,2016-01-25 10:03:55
11883116,28110457,28110457,379917748,379782442,61,t,f,2016-01-27 16:42:04,2016-01-28 14:24:39
11901630,30982481,28110457,380296178,379917748,62,f,f,2016-01-28 11:53:48,2016-01-28 14:19:36
11910785,28110457,28110457,380477164,380367991,63,t,f,2016-01-28 18:08:32,2016-02-03 18:34:41
11916617,28110457,28110457,380577152,380367991,64,t,f,2016-01-28 21:38:45,2016-01-28 21:38:56
11969731,28110457,28110457,381891214,380577274,66,t,f,2016-01-31 11:43:08,2016-01-31 11:43:14
12276918,28110457,28110457,388879273,383790466,67,t,f,2016-02-13 01:58:51,2016-03-21 13:13:31
12407552,31623199,28110457,391895299,383790466,68,f,f,2016-02-18 16:33:06,2016-02-19 15:31:16
12466064,28110457,28110457,393311859,392570187,69,t,f,2016-02-21 01:47:43,2016-02-23 16:53:52
12532056,28110457,28110457,394706324,394706319,71,t,t,2016-02-23 17:49:42,2016-02-23 17:49:47
12565394,28110457,28110457,395443535,394974414,72,t,f,2016-02-24 20:14:24,2016-02-26 16:57:42
12581504,28110457,28110457,396014690,394974414,73,t,f,2016-02-25 11:21:32,2016-03-16 14:41:42
12634625,28110457,28110457,397370289,397030209,74,t,f,2016-02-27 14:48:58,2016-02-28 17:18:58
12766720,28110457,28110457,400420667,397852526,75,t,f,2016-03-03 18:03:00,2016-03-04 18:40:48
12790681,28110457,28110457,400953230,397852526,76,t,f,2016-03-04 14:41:02,2016-03-04 22:10:53
12793718,28110457,28110457,401019872,397852526,77,t,f,2016-03-04 16:42:18,2016-03-04 22:02:23
12795497,28110457,28110457,401054126,397852526,78,t,f,2016-03-04 17:47:17,2016-03-04 18:35:06
12917424,28110457,28110457,403832289,401179710,80,t,f,2016-03-09 16:06:24,2016-03-10 21:30:49
12960086,28110457,28110457,404724202,404670368,81,t,f,2016-03-10 23:10:45,2016-04-02 22:55:06
12999346,28110457,28110457,405631390,404670368,83,t,f,2016-03-12 16:53:13,2016-03-12 16:55:32
13005958,28110457,28110457,405796150,405632261,84,t,f,2016-03-13 01:01:49,2016-03-13 23:14:43
13035153,28110457,28110457,406546756,406207982,85,t,f,2016-03-14 14:30:20,2016-03-14 17:55:24
13049847,33529735,28110457,406866344,406682605,86,f,f,2016-03-15 00:08:08,2016-03-15 11:23:13
13094098,28110457,28110457,407878790,407878604,87,t,f,2016-03-16 14:48:02,2016-03-21 14:00:33
13103214,33529735,28110457,407978628,407878604,88,f,f,2016-03-16 20:20:56,2016-03-22 06:30:02
13107372,28110457,28110457,408067955,407878604,89,t,f,2016-03-16 23:05:55,2016-03-20 21:39:25
13175023,33529735,28110457,409819578,407878604,91,f,f,2016-03-19 17:42:33,2016-03-24 19:12:55
13247501,31623199,28110457,411497597,411289942,94,f,f,2016-03-22 18:57:32,2016-03-25 15:39:07
13312925,33529735,28110457,412912244,412885863,96,f,f,2016-03-24 20:21:16,2016-04-02 12:09:19
13336017,33529735,28110457,413427476,413364537,97,f,f,2016-03-25 17:49:20,2016-04-02 15:59:19
13338458,33529735,28110457,413472206,413364537,98,f,f,2016-03-25 19:28:30,2016-03-27 10:28:38
13364044,28110457,28110457,414013562,413364537,99,t,f,2016-03-27 00:43:27,2016-03-27 10:27:20
13405657,28110457,28110457,415013006,414147439,100,t,f,2016-03-29 00:29:45,2016-03-29 00:34:22
13420672,28110457,28110457,415341836,415014814,101,t,f,2016-03-29 14:13:00,2016-04-18 08:05:47
13473550,34259598,28110457,416676150,415014814,102,f,f,2016-03-31 03:35:35,2016-03-31 18:31:45
13497457,28110457,28110457,417135805,417099907,103,t,f,2016-03-31 19:42:37,2016-03-31 19:53:45
13510140,34312051,28110457,417360942,417141701,104,f,f,2016-04-01 05:35:46,2016-04-26 07:22:20
13567067,28110457,28110457,418618180,418293421,105,t,f,2016-04-03 17:14:08,2016-04-05 18:37:08
13567611,28110457,28110457,418632522,418293421,106,t,f,2016-04-03 17:50:16,2016-04-03 17:58:38
13569534,34238215,28110457,418673080,418644547,107,f,t,2016-04-03 19:45:21,2017-10-22 18:08:56
13572324,34413206,28110457,418740463,418644547,108,f,f,2016-04-03 22:31:33,2016-04-04 23:00:33
13604394,28110457,28110457,419381701,419370119,109,t,f,2016-04-04 23:32:03,2016-04-06 19:35:01
13690549,28110457,28110457,420895971,420662049,129,t,t,2016-04-07 20:07:54,2016-04-07 23:16:11
13702047,28110457,28110457,421595916,421470039,130,t,f,2016-04-08 00:20:22,2016-04-08 15:14:00
13702767,28110457,28110457,421601348,421470039,131,t,f,2016-04-08 00:59:19,2016-04-08 15:10:26
13707085,28110457,28110457,421629280,421470039,132,t,t,2016-04-08 12:17:15,2016-04-08 15:10:25
13760998,28110457,28110457,422970220,422061916,133,t,f,2016-04-10 23:47:34,2016-04-11 00:10:48
13761113,28110457,28110457,422971017,422061916,134,t,f,2016-04-10 23:59:41,2016-04-11 00:23:40
13764511,28110457,28110457,423372358,422061916,135,t,f,2016-04-11 00:27:31,2016-04-12 09:23:18
13789305,28110457,28110457,423415384,422061916,136,t,t,2016-04-11 03:16:53,2016-04-11 05:11:37
13771689,34831379,28110457,423415389,423415380,137,f,t,2016-04-11 13:49:04,2016-04-11 14:57:29
13773924,28110457,28110457,423429431,423429430,138,t,f,2016-04-11 14:58:20,2016-04-12 09:13:24
13777907,28110457,28110457,423453715,423429430,139,t,f,2016-04-11 17:01:07,2016-04-12 09:13:22
13808167,28110457,28110457,424266757,424266755,141,t,t,2016-04-12 16:38:58,2016-04-12 17:26:35
13816877,28110457,28110457,424327425,424327422,143,t,t,2016-04-12 21:21:53,2016-04-12 21:26:18
13817056,28110457,28110457,424328580,424328578,144,t,t,2016-04-12 21:30:24,2016-04-12 21:36:38
