id,head_repo_id,base_repo_id,head_commit_id,base_commit_id,pullreq_id,intra_branch,merged,opened_at,closed_at
12740595,32925755,32656595,399843395,395448602,1,f,f,2016-03-02 20:52:53,
12775735,33045242,32656595,400600203,395448602,2,f,f,2016-03-03 23:52:46,
12777425,33044786,32656595,400635954,395448602,3,f,f,2016-03-04 01:27:01,
12933889,33265627,32656595,404149723,395448602,4,f,f,2016-03-10 02:35:49,
13009261,33448260,32656595,405888870,395448602,5,f,f,2016-03-13 07:29:45,
13109509,33532448,32656595,408195972,395448602,7,f,f,2016-03-17 01:08:03,
13153094,33712703,32656595,409267209,395448602,8,f,f,2016-03-18 15:28:51,
13164634,33727989,32656595,407548622,395448602,9,f,f,2016-03-18 23:52:46,
13165454,33564028,32656595,407548622,395448602,10,f,f,2016-03-19 00:53:39,
13220760,33820610,32656595,410941721,395448602,11,f,f,2016-03-21 21:38:18,
13500880,34176172,32656595,417182961,395448602,12,f,f,2016-03-31 21:32:46,
13502103,34249262,32656595,417212350,395448602,13,f,f,2016-03-31 22:14:21,
13605425,34197175,32656595,419398903,395448602,14,f,f,2016-04-05 00:20:04,
13637780,34512087,32656595,420033958,395448602,15,f,f,2016-04-05 23:58:50,
13738593,34712552,32656595,422404031,395448602,16,f,f,2016-04-09 17:31:07,
13783777,34205570,32656595,423495726,395448602,17,f,f,2016-04-11 20:12:07,
13842524,34701809,32656595,425057670,395448602,18,f,f,2016-04-13 18:12:35,
14273876,35687981,32656595,435237423,395448602,19,f,f,2016-04-28 02:21:31,
14359953,35975315,32656595,437038729,395448602,20,f,f,2016-05-01 03:17:39,
14409865,36273739,32656595,438210982,395448602,21,f,f,2016-05-03 03:09:10,
14432210,35522176,32656595,431378302,395448602,22,f,f,2016-05-03 18:07:51,
14471792,36372960,32656595,439298977,395448602,23,f,f,2016-05-04 21:36:11,
14504622,36392574,32656595,440206455,395448602,24,f,f,2016-05-06 01:47:33,
14618684,36550101,32656595,442357748,395448602,25,f,f,2016-05-09 20:43:22,
14644612,36599910,32656595,442717858,395448602,26,f,f,2016-05-11 19:35:57,
14649772,35609273,32656595,442775992,395448602,27,f,f,2016-05-11 23:27:36,
14694388,36883863,32656595,443908286,395448602,28,f,f,2016-05-13 14:31:36,
14720963,37074129,32656595,445952957,395448602,29,f,f,2016-05-14 19:17:37,
14721544,36951196,32656595,445967088,395448602,30,f,f,2016-05-14 19:57:53,
14722676,37080873,32656595,445995828,395448602,31,f,f,2016-05-14 21:23:26,
14757939,37146481,32656595,446904219,395448602,33,f,f,2016-05-16 16:42:52,
14884806,37350218,32656595,449529406,443197721,34,f,f,2016-05-20 16:20:19,
14898728,37368990,32656595,449810043,443197721,35,f,f,2016-05-21 05:12:22,
14945796,37463642,32656595,451092883,443197721,36,f,f,2016-05-23 18:10:13,
14982548,37520063,32656595,451882932,443197721,37,f,f,2016-05-24 20:24:48,
15023397,37466891,32656595,452721067,443197721,38,f,f,2016-05-25 13:57:14,
15095280,37749404,32656595,454436549,443197721,39,f,f,2016-05-29 06:13:18,
15159953,37960905,32656595,455797089,443197721,40,f,f,2016-05-31 17:48:04,
15161741,37801724,32656595,456099233,443197721,41,f,f,2016-05-31 19:51:09,
15151651,37976215,32656595,455954741,443197721,42,f,f,2016-06-01 02:21:19,
15248635,37712954,32656595,458513016,457687793,43,f,f,2016-06-04 06:05:46,
15273081,38111438,32656595,459223577,457687793,44,f,f,2016-06-05 22:22:48,
15293549,38224397,32656595,459748484,457687793,45,f,f,2016-06-06 17:38:36,
15349646,38322705,32656595,460913247,457687793,46,f,f,2016-06-08 15:22:47,
15351376,38714409,32656595,460943205,457687793,47,f,f,2016-06-08 16:23:41,
15389412,38142785,32656595,462130445,457687793,48,f,f,2016-06-09 21:51:05,
15514717,38059818,32656595,466224673,457687793,49,f,f,2016-06-18 16:18:57,
15514791,37857754,32656595,466228975,457687793,50,f,f,2016-06-18 16:33:15,
15537973,39554716,32656595,467196727,457687793,51,f,f,2016-06-21 00:48:35,
15540439,39162394,32656595,467304139,457687793,52,f,f,2016-06-21 07:23:19,
15587990,39567062,32656595,469086758,457687793,53,f,f,2016-06-24 18:37:28,
15588385,39906635,32656595,469101001,457687793,54,f,f,2016-06-24 19:24:45,
15698928,40588301,32656595,473289801,457687793,55,f,f,2016-07-06 12:55:02,
15778760,41268419,32656595,477136281,457687793,56,f,f,2016-07-10 01:01:21,
15729133,40909339,32656595,475250099,457687793,57,f,f,2016-07-12 01:55:29,
15760409,39837992,32656595,468823463,457687793,58,f,f,2016-07-13 18:39:00,
15762809,41032366,32656595,476503997,457687793,59,f,f,2016-07-13 22:34:35,
15795100,41396993,32656595,477893140,457687793,60,f,f,2016-07-17 16:51:13,
15908971,42061376,32656595,483497545,457687793,62,f,f,2016-07-27 18:27:17,
15913262,41756491,32656595,483569087,457687793,63,f,f,2016-07-28 01:57:09,
15940965,42461105,32656595,485056101,457687793,64,f,f,2016-07-30 21:06:40,
15963723,42295933,32656595,486146863,457687793,65,f,f,2016-08-02 02:42:32,
16078062,42488157,32656595,485499645,457687793,66,f,f,2016-08-07 06:22:31,
16289182,43576944,32656595,494241058,457687793,67,f,f,2016-08-16 04:25:25,
16304344,43410004,32656595,494552451,457687793,68,f,f,2016-08-16 15:34:18,
16313974,43565639,32656595,494599603,457687793,69,f,f,2016-08-16 22:07:36,
16378998,42757857,32656595,496303050,457687793,70,f,f,2016-08-19 02:21:50,
16401899,42855122,32656595,496806159,457687793,71,f,f,2016-08-19 20:27:36,
16439233,43866526,32656595,497844010,457687793,72,f,f,2016-08-22 04:31:43,
16494546,43873620,32656595,499023467,457687793,73,f,f,2016-08-23 22:35:52,
16527183,43668718,32656595,499681713,457687793,74,f,f,2016-08-24 22:43:36,
16550875,44182218,32656595,500169018,457687793,75,f,f,2016-08-25 17:06:52,
16771679,44680961,32656595,505899918,457687793,76,f,f,2016-09-03 00:58:38,
16796762,44323622,32656595,506221188,457687793,77,f,f,2016-09-04 18:55:19,
16863837,45076820,32656595,508214215,457687793,78,f,f,2016-09-07 08:36:41,
16922259,44616197,32656595,509413747,457687793,79,f,f,2016-09-09 02:02:38,
17027113,45609246,32656595,511521879,457687793,80,f,f,2016-09-13 12:46:12,
17075880,39151041,32656595,512945107,457687793,81,f,f,2016-09-14 22:16:17,
17152055,45377041,32656595,514687745,457687793,82,f,f,2016-09-17 20:37:11,
17264303,46228056,32656595,517272077,457687793,83,f,f,2016-09-21 22:13:46,
17314847,44852168,32656595,509123001,457687793,84,f,f,2016-09-23 15:07:45,
17433400,46674417,32656595,521038160,457687793,85,f,f,2016-09-28 05:34:49,
17551615,47351867,32656595,524178375,457687793,86,f,f,2016-10-02 05:30:19,
17658217,47565788,32656595,525321479,457687793,87,f,f,2016-10-05 16:01:18,
17671907,47581806,32656595,525365653,457687793,88,f,f,2016-10-06 02:32:42,
17696747,47578899,32656595,525358420,457687793,89,f,f,2016-10-06 21:43:39,2017-07-17 03:03:42
17713722,47045533,32656595,526062396,457687793,90,f,f,2016-10-07 14:22:48,
17876170,48220050,32656595,532508927,457687793,91,f,f,2016-10-13 16:20:33,
