id,head_repo_id,base_repo_id,head_commit_id,base_commit_id,pullreq_id,intra_branch,merged,opened_at,closed_at
12577201,31057513,32508834,374831759,374700439,45,f,f,2016-01-18 10:58:46,2016-02-25 07:16:54
12515895,32508834,32508834,394275815,393918537,71,t,f,2016-02-23 03:50:07,2016-02-23 07:50:59
12546589,32508834,32508834,394978478,394912942,78,t,f,2016-02-24 05:58:02,2016-02-24 07:06:21
12547527,32508834,32508834,394591687,394623298,79,t,f,2016-02-24 07:10:00,2016-02-25 05:04:19
12575513,32508834,32508834,395751605,395263167,81,t,f,2016-02-25 05:07:45,2016-02-25 05:15:13
12575542,32508834,32508834,395753794,394623298,82,t,f,2016-02-25 05:10:00,2016-02-26 02:54:47
12580705,32508834,32508834,395998912,395883349,85,t,f,2016-02-25 10:41:58,2016-02-25 10:42:59
12585459,30339345,32508834,396093300,394623298,86,f,f,2016-02-25 14:50:56,2016-02-26 01:25:05
12600630,30339345,32508834,396093300,395999272,87,f,f,2016-02-26 01:27:31,2016-02-26 02:12:24
12604919,32508834,32508834,396452279,394623298,90,t,f,2016-02-26 06:18:02,2016-02-26 07:25:22
12605815,32508834,32508834,396452279,396479646,91,t,f,2016-02-26 07:29:27,2016-02-26 07:37:18
12614149,32508834,32508834,396732228,394623298,94,t,f,2016-02-26 15:02:51,2016-02-26 15:06:48
12614348,32508834,32508834,396733430,396649897,95,t,f,2016-02-26 15:10:07,2016-02-26 16:23:00
12614406,32508834,32508834,396733761,396649897,96,t,f,2016-02-26 15:12:59,2016-02-26 16:24:15
12628276,32508834,32508834,396900391,396900373,97,t,f,2016-02-27 02:20:10,2016-02-29 04:17:31
12632442,32508834,32508834,397301051,396900373,98,t,f,2016-02-27 10:59:39,2016-02-28 08:05:33
12633986,32508834,32508834,397350770,396900373,99,t,f,2016-02-27 13:44:40,2016-02-28 08:09:32
12659931,32508834,32508834,398067864,397682526,101,t,f,2016-02-29 03:16:17,2016-02-29 04:21:41
12664368,32508834,32508834,398184344,398091234,104,t,f,2016-02-29 09:12:40,2016-02-29 10:01:52
12665284,32508834,32508834,398204776,397859575,105,t,f,2016-02-29 10:02:39,2016-02-29 10:18:57
12665470,32508834,32508834,398161503,398091234,106,t,f,2016-02-29 10:13:06,
12693314,32508834,32508834,398847515,398210921,108,t,f,2016-03-01 09:02:40,2016-03-01 09:03:34
12718701,32508834,32508834,399371159,398850380,109,t,f,2016-03-02 03:40:11,2016-03-02 03:40:30
12754288,32508834,32508834,400135335,399371291,111,t,f,2016-03-03 09:04:20,2016-03-03 10:08:07
12754384,32508834,32508834,400146212,399371291,112,t,f,2016-03-03 09:09:37,2016-03-03 09:21:42
12755489,32508834,32508834,400176450,400176255,113,t,f,2016-03-03 10:08:29,2016-03-03 10:09:26
12755656,32508834,32508834,400181091,400176889,114,t,t,2016-03-03 10:18:31,2016-03-03 10:18:36
12824890,32508834,32508834,401716832,400181120,116,t,t,2016-03-06 01:51:25,2016-03-06 01:51:31
12964537,33232414,32508834,404820689,404309629,118,f,f,2016-03-11 03:10:27,2016-03-21 13:58:31
12968290,30182777,32508834,404917509,404309629,119,f,f,2016-03-11 07:55:29,2016-03-17 08:08:05
13035689,32508834,32508834,406563311,401716844,122,t,f,2016-03-14 14:50:00,2016-03-18 09:00:10
13055815,32508834,32508834,407012204,401716844,123,t,f,2016-03-15 07:12:59,2016-03-18 15:41:35
13093656,32508834,32508834,407869822,404309629,128,t,f,2016-03-16 14:32:48,2016-03-16 14:36:28
13093835,32508834,32508834,407869822,401716844,129,t,f,2016-03-16 14:39:08,2016-03-19 05:18:07
