id,head_repo_id,base_repo_id,head_commit_id,base_commit_id,pullreq_id,intra_branch,merged,opened_at,closed_at
12878355,33232640,30369843,403006417,402933782,6,f,f,2016-03-08 10:12:40,2016-03-08 14:53:14
12884594,33232640,30369843,403138902,402933782,7,f,f,2016-03-08 15:10:58,2016-03-10 05:13:52
12889463,33232640,30369843,403241406,402933782,8,f,f,2016-03-08 18:03:47,2016-03-10 05:14:09
12939724,33232640,30369843,404291444,404208459,13,f,f,2016-03-10 09:03:59,2016-03-10 15:39:45
13443718,30369843,30369843,416086244,414764677,16,t,f,2016-03-30 07:42:16,2016-03-30 07:43:17
13471903,30369843,30369843,416640548,416091846,18,t,f,2016-03-31 02:02:56,2016-03-31 02:03:10
13682864,30369843,30369843,420835133,417027920,19,t,t,2016-04-07 15:49:23,2016-04-07 15:49:36
13854070,30369843,30369843,421798377,421272718,20,t,t,2016-04-13 06:48:16,2016-04-13 06:48:24
15926320,30369843,30369843,483762919,483275273,30,t,t,2016-07-29 07:22:29,2016-07-29 07:23:00
16043636,30369843,30369843,487520585,487520563,32,t,t,2016-08-05 10:01:35,2016-08-05 10:10:48
16091275,30369843,30369843,487929373,487929350,34,t,t,2016-08-08 04:39:30,2016-08-08 04:44:11
17271372,30369843,30369843,517437029,517436030,39,t,t,2016-09-22 05:40:35,2016-09-22 05:41:26
17336074,30369843,30369843,518865348,518864339,41,t,t,2016-09-24 13:27:46,2016-09-24 13:28:23
17348065,30369843,30369843,519172180,519171645,42,t,t,2016-09-25 05:21:56,2016-09-25 05:22:10
17368019,30369843,30369843,519736883,519735663,43,t,t,2016-09-26 08:30:14,2016-09-26 08:30:25
17755864,30369843,30369843,529531679,529530330,46,t,t,2016-10-09 15:27:46,2016-10-09 15:28:11
17977784,30369843,30369843,535944999,534201627,57,t,t,2016-10-17 10:27:31,2016-10-17 10:28:11
17977781,30369843,30369843,535944970,535944969,58,t,t,2016-10-17 10:27:54,2016-10-17 10:28:01
18033057,30369843,30369843,537358680,537358678,60,t,t,2016-10-18 03:08:36,2016-10-18 03:08:59
18025170,30369843,30369843,537226454,537226447,61,t,t,2016-10-18 12:32:12,2016-10-18 12:37:01
18070148,30369843,30369843,537889670,537889669,63,t,t,2016-10-19 02:44:35,2016-10-19 02:44:49
18037446,30369843,30369843,537413845,537413832,65,t,t,2016-10-19 08:56:16,2016-10-19 08:56:42
18037526,30369843,30369843,537414592,537414588,66,t,t,2016-10-19 08:56:52,2016-10-19 08:57:08
18112909,30369843,30369843,539574770,539572277,69,t,t,2016-10-21 10:25:49,2016-10-21 10:26:08
18112934,30369843,30369843,539575311,539573020,70,t,t,2016-10-21 10:26:35,2016-10-21 10:26:47
18140652,30369843,30369843,540268434,540267995,71,t,t,2016-10-22 16:38:06,2016-10-22 16:38:32
18140906,30369843,30369843,540275018,540274784,72,t,t,2016-10-22 16:54:13,2016-10-22 16:54:37
18169957,30369843,30369843,541064913,541064767,73,t,t,2016-10-24 04:42:26,2016-10-24 04:42:47
18169963,30369843,30369843,541065100,541048894,74,t,t,2016-10-24 04:42:56,2016-10-24 04:43:16
18286131,30369843,30369843,543475243,543472217,78,t,t,2016-10-27 10:00:33,2016-10-27 10:00:41
18317835,30369843,30369843,544128092,544111694,81,t,t,2016-10-28 07:33:38,2016-10-28 07:34:11
18317857,30369843,30369843,544128516,544098670,82,t,t,2016-10-28 07:34:42,2016-10-28 07:35:46
18491824,30369843,30369843,547948563,547946723,87,t,t,2016-11-03 02:46:07,2016-11-03 02:46:18
18493965,30369843,30369843,548012919,548012447,88,t,t,2016-11-03 05:15:59,2016-11-03 05:16:17
18496270,49866416,30369843,548073514,548017793,89,f,t,2016-11-03 07:56:18,2016-11-03 08:28:42
18533786,30369843,30369843,548998026,548992997,90,t,t,2016-11-04 09:48:41,2016-11-04 09:49:10
18585628,30369843,30369843,550483350,550477257,92,t,t,2016-11-06 16:07:15,2016-11-06 16:07:39
18597990,30369843,30369843,550851029,550850185,93,t,t,2016-11-07 04:52:02,2016-11-07 04:52:24
18603656,30369843,30369843,551009241,551008665,95,t,t,2016-11-07 10:17:10,2016-11-07 10:17:27
18635466,30369843,30369843,551700151,551698323,96,t,t,2016-11-08 05:38:33,2016-11-08 05:38:51
18635477,30369843,30369843,551700501,551698968,97,t,t,2016-11-08 05:39:17,2016-11-08 05:39:48
18648809,30369843,30369843,552040797,552038001,98,t,t,2016-11-08 15:26:02,2016-11-08 15:26:19
18666664,30369843,30369843,552448889,552441319,99,t,t,2016-11-09 02:10:39,2016-11-09 02:17:04
18670430,30369843,30369843,552577689,552467266,100,t,t,2016-11-09 07:24:51,2016-11-09 07:25:29
18737074,30369843,30369843,554062665,554061498,103,t,t,2016-11-11 08:16:26,2016-11-11 08:17:21
18952478,49682287,30369843,555573848,558204503,110,f,f,2016-11-18 06:54:12,2016-11-18 06:57:32
18952851,30369843,30369843,558718924,558712227,111,t,t,2016-11-18 07:16:07,2016-11-18 07:16:22
19009303,30369843,30369843,560032648,558204503,115,t,f,2016-11-20 15:23:24,2016-11-20 15:25:15
19010660,30369843,30369843,560074963,560073965,116,t,t,2016-11-20 16:41:32,2016-11-20 16:42:14
19019330,49873917,30369843,551614084,558204503,117,f,f,2016-11-21 01:22:03,2016-11-22 09:44:49
19063041,30369843,30369843,561255035,561254497,120,t,t,2016-11-22 09:43:47,2016-11-22 09:45:07
19064015,30369843,30369843,561275722,560513742,121,t,t,2016-11-22 10:20:18,2016-11-24 10:28:38
19095484,30369843,30369843,561914737,561914087,122,t,t,2016-11-23 05:03:47,2016-11-23 05:07:26
19096741,30369843,30369843,561946225,561944916,123,t,t,2016-11-23 06:29:39,2016-11-23 06:29:57
19096756,30369843,30369843,561946577,561944610,124,t,t,2016-11-23 06:30:24,2016-11-23 06:30:36
19162797,49873917,30369843,563405724,562780920,137,f,f,2016-11-25 10:06:43,2016-11-27 09:07:19
19201795,49873917,30369843,564865437,564452959,141,f,t,2016-11-27 07:03:53,2016-11-27 13:54:39
19202933,49873917,30369843,564907561,564452959,143,f,f,2016-11-27 09:05:07,2016-11-27 14:19:07
19206319,30369843,30369843,565069268,565064941,144,t,t,2016-11-27 14:03:43,2016-11-27 14:05:14
19223893,51718637,30369843,565948449,565598085,149,f,f,2016-11-28 08:40:23,2016-12-04 07:51:53
19234507,30369843,30369843,566237369,566216459,152,t,t,2016-11-28 16:10:07,2016-11-28 16:10:40
19378964,30369843,30369843,569238643,569238633,162,t,t,2016-12-02 16:16:51,2016-12-02 16:17:24
19389955,52075430,30369843,569657613,568741358,163,f,t,2016-12-03 03:32:00,2016-12-04 07:50:29
19437008,30369843,30369843,570982658,570982652,171,t,t,2016-12-04 15:47:58,2016-12-04 15:48:24
19476689,52193393,30369843,571135181,539587376,172,f,f,2016-12-05 07:53:31,2016-12-05 07:54:24
19444256,30369843,30369843,571180372,571180357,174,t,t,2016-12-05 09:25:34,2016-12-05 09:26:35
19444359,30369843,30369843,571182661,571169604,175,t,t,2016-12-05 09:29:40,2016-12-05 09:38:07
19471500,49866416,30369843,571798648,571181049,179,f,t,2016-12-06 03:45:05,2016-12-06 04:28:08
19550896,52429837,30369843,573064062,571435884,180,f,f,2016-12-07 03:28:38,
19563899,52463345,30369843,573211785,573211780,190,f,t,2016-12-08 15:30:14,2016-12-09 01:57:12
19623716,30369843,30369843,573905181,573905176,193,t,t,2016-12-09 07:48:44,2016-12-09 07:49:04
19625397,52463345,30369843,573275410,573941418,194,f,t,2016-12-09 09:17:33,2016-12-09 09:49:09
19571514,52463345,30369843,573275418,573275403,195,f,f,2016-12-09 12:17:13,2016-12-22 11:07:13
19603900,52529351,30369843,573594501,573275403,196,f,f,2016-12-10 06:07:42,
19603972,52529351,30369843,573595143,573275403,197,f,f,2016-12-10 06:11:51,
19640946,52529351,30369843,574108895,574108891,203,f,t,2016-12-12 10:58:48,2016-12-12 13:18:06
19644634,52601844,30369843,574377496,573038026,204,f,t,2016-12-12 13:01:17,2016-12-12 13:19:12
19667634,52654546,30369843,574856994,574108893,208,f,t,2016-12-14 07:55:40,2016-12-23 15:22:17
19787006,52529351,30369843,578340223,578340202,211,f,f,2016-12-19 06:20:27,2016-12-19 11:40:17
19805347,52529351,30369843,579910077,579910074,215,f,f,2016-12-19 11:39:54,2016-12-23 15:26:14
19805481,52529351,30369843,579911397,579910074,216,f,f,2016-12-19 11:52:22,2019-01-10 11:08:49
19869739,53161513,30369843,580455795,574856992,218,f,f,2016-12-22 01:16:37,2017-02-24 02:29:23
19873046,53181528,30369843,580492084,580492079,219,f,t,2016-12-22 04:53:19,2016-12-23 14:49:22
19874557,52529351,30369843,580505931,580505923,220,f,f,2016-12-22 07:01:12,2018-08-29 05:11:58
19882537,52463345,30369843,580616589,580616576,221,f,t,2016-12-22 11:11:14,2016-12-23 13:47:08
19888424,52463345,30369843,580671623,580671616,223,f,f,2016-12-22 16:02:53,2017-02-24 02:36:42
19921050,53227111,30369843,581675215,581528162,224,f,f,2016-12-23 06:36:12,2019-01-10 11:09:01
19907667,52463345,30369843,581407992,581407985,226,f,t,2016-12-23 09:20:58,2016-12-23 13:46:42
19907804,30369843,30369843,581409255,581409248,229,t,t,2016-12-23 13:55:03,2016-12-23 13:55:56
19967947,30369843,30369843,586249249,585843128,247,t,f,2016-12-29 07:47:42,2016-12-29 15:05:10
20005269,,30369843,,586249249,248,f,f,2016-12-29 08:16:12,2016-12-30 01:31:45
19994012,51702494,30369843,586568226,586249249,249,f,f,2016-12-29 08:57:56,2016-12-29 15:05:35
20013239,53675726,30369843,586745152,585843128,250,f,f,2016-12-29 09:00:33,2017-02-17 17:23:42
19994163,51702494,30369843,586569282,586568316,252,f,t,2016-12-29 15:13:29,2016-12-30 01:34:14
20016037,51702494,30369843,586774413,586778862,254,f,f,2016-12-30 08:39:47,2017-01-03 02:28:53
20324285,54566971,30369843,595327324,595206009,280,f,t,2017-01-11 13:21:19,2017-01-11 15:37:05
20345150,54607041,30369843,595719766,595419862,281,f,f,2017-01-12 00:15:14,2017-01-12 14:53:36
20356923,30369843,30369843,595996384,595993641,283,t,t,2017-01-12 11:05:28,2017-01-12 11:05:46
20360072,51702494,30369843,596064332,595996607,284,f,f,2017-01-12 13:22:10,2017-01-16 02:39:21
20437261,30369843,30369843,597854456,597854067,297,t,t,2017-01-15 07:00:00,2017-01-15 07:00:37
