id,head_repo_id,base_repo_id,head_commit_id,base_commit_id,pullreq_id,intra_branch,merged,opened_at,closed_at
10772407,27357726,27357726,352130534,351682510,1,t,t,2015-12-03 16:39:15,2015-12-03 16:39:24
10897941,29506061,27357726,354754004,354754000,2,f,f,2015-12-06 20:07:37,2015-12-06 23:13:11
12874101,33203501,27357726,402718136,400628201,3,f,f,2016-03-08 05:25:32,2016-03-08 13:35:31
12933875,31016163,27357726,377362786,399998070,4,f,f,2016-03-10 02:35:05,2016-03-15 19:14:25
12962961,33203501,27357726,404783873,404783679,5,f,f,2016-03-11 01:32:15,2016-03-11 02:11:02
13931935,27357726,27357726,426736141,426736133,6,t,t,2016-04-16 19:43:40,2016-04-16 19:43:45
14294022,27357726,27357726,435655705,435040723,7,t,t,2016-04-28 16:36:50,2016-04-28 16:36:56
14555509,27357726,27357726,441485519,440741280,9,t,t,2016-05-08 15:58:49,2016-05-08 15:58:53
15707457,27357726,27357726,473639369,473639367,13,t,t,2016-07-07 02:53:42,2016-07-07 02:58:15
15780777,40878825,27357726,477186605,476852252,41,f,t,2016-07-10 17:34:34,2016-07-11 01:55:45
15846910,27357726,27357726,480688965,480579410,51,t,f,2016-07-21 19:40:16,
15930658,27357726,27357726,483846557,483846549,58,t,t,2016-07-26 22:29:29,2016-07-29 16:50:11
15979482,27357726,27357726,486823522,486805437,61,t,t,2016-07-31 02:17:15,2016-08-03 10:12:26
16053582,27357726,27357726,487612951,487612939,62,t,t,2016-08-03 14:04:23,2016-08-05 17:59:30
16216954,40908308,27357726,491041663,491041661,65,f,t,2016-08-12 18:22:52,2016-08-12 18:41:19
16369511,40878825,27357726,496115024,496110892,66,f,t,2016-08-18 19:05:22,2016-08-18 19:09:27
16392934,27357726,27357726,496628384,496573151,67,t,t,2016-08-19 14:57:58,2016-08-23 22:18:32
16531325,40878825,27357726,499774334,499016294,68,f,t,2016-08-25 03:01:39,2016-08-27 15:45:44
16591230,40878825,27357726,501029946,500720701,69,f,t,2016-08-27 00:52:36,2016-08-27 15:45:50
16763901,41008149,27357726,505744569,505665546,70,f,t,2016-09-02 18:17:26,2016-09-03 16:23:48
16766670,44964342,27357726,505793959,505788786,71,f,t,2016-09-02 20:12:50,2016-09-03 16:23:25
16767356,44966472,27357726,505811494,505788786,72,f,t,2016-09-02 20:41:33,2016-09-02 20:42:17
16779211,45007044,27357726,506128966,486823522,73,f,t,2016-09-03 14:57:35,2016-09-05 15:02:01
16780112,45010696,27357726,506156542,505837385,74,f,t,2016-09-03 16:16:02,2016-09-03 16:22:57
16785141,45023778,27357726,506288427,506159377,75,f,t,2016-09-03 22:54:46,2016-09-04 19:20:57
16975043,27357726,27357726,510632289,509946790,76,t,f,2016-09-11 11:40:43,2016-09-20 14:11:28
17698231,27357726,27357726,525932653,525932645,77,t,t,2016-10-06 22:47:24,2016-10-12 15:38:02
17967516,27357726,27357726,535670092,535548401,78,t,t,2016-10-16 23:40:20,2016-10-17 22:26:06
18124383,27357726,27357726,539810240,539087893,79,t,t,2016-10-21 22:50:58,2016-10-24 18:14:25
18132703,27357726,27357726,539957249,539087893,80,t,t,2016-10-22 05:08:57,2016-10-24 22:30:33
18196857,40878825,27357726,541654768,541654220,81,f,t,2016-10-24 22:31:52,2016-10-25 03:21:26
18482513,27357726,27357726,547762335,547638310,82,t,t,2016-11-02 20:25:42,2016-11-03 14:41:53
18482530,27357726,27357726,547762622,547638310,83,t,t,2016-11-02 20:26:34,2016-11-02 20:27:34
18482533,27357726,27357726,547762663,547638310,84,t,t,2016-11-02 20:26:41,2016-11-02 20:27:25
18723479,27357726,27357726,553767378,553381669,85,t,t,2016-11-10 20:27:23,2016-11-10 20:27:27
19176799,27357726,27357726,563849132,563731822,86,t,t,2016-11-25 21:17:12,2016-11-28 18:03:03
19508213,27357726,27357726,572449387,571567210,87,t,f,2016-12-06 23:21:22,
20720771,55580747,27357726,604408827,603285977,88,f,t,2017-01-24 17:53:50,2017-01-24 18:02:09
21264206,56713673,27357726,614443070,614413277,89,f,t,2017-02-10 21:14:43,2017-02-10 21:22:04
21571635,27357726,27357726,626637494,626637492,90,t,t,2017-02-20 20:22:38,2017-02-23 14:21:50
21818444,27357726,27357726,633714821,633633706,91,t,t,2017-02-27 23:17:22,2017-02-27 23:17:27
22331404,27357726,27357726,644929452,644594876,92,t,t,2017-03-14 14:02:38,2017-03-14 14:02:43
22487387,60018138,27357726,647971461,647634962,94,f,t,2017-03-18 07:43:23,2017-03-18 13:38:21
22603714,60313722,27357726,650204612,650204602,95,f,t,2017-03-22 16:16:11,2017-03-23 19:39:58
