id,head_repo_id,base_repo_id,head_commit_id,base_commit_id,pullreq_id,intra_branch,merged,opened_at,closed_at
7087940,,18744226,,244402715,39,f,f,2015-04-11 00:15:45,2015-04-14 01:10:27
7090106,18754508,18744226,244493456,244402714,47,f,f,2015-04-14 02:11:08,2015-04-14 11:30:41
7090159,18752823,18744226,244499494,244402714,48,f,f,2015-04-14 02:18:47,2015-04-14 20:55:42
7095371,18768632,18744226,244641095,244402714,50,f,f,2015-04-14 10:36:40,2015-04-14 13:47:23
7108469,18754508,18744226,244981172,244881064,51,f,f,2015-04-15 03:33:16,2015-04-15 17:01:11
7113040,18768632,18744226,245106416,244881064,52,f,f,2015-04-15 10:43:33,2015-04-15 21:51:05
7123079,18835684,18744226,245372219,245275186,54,f,f,2015-04-15 21:49:22,2015-04-16 22:41:43
7125754,18754508,18744226,245451361,245372865,55,f,f,2015-04-16 03:20:00,2015-04-16 15:13:05
7136423,18754508,18744226,245729477,245687157,57,f,f,2015-04-16 17:05:13,2015-04-16 22:14:22
7142051,18754508,18744226,245880394,245849440,58,f,f,2015-04-17 00:55:41,2015-04-17 02:40:42
7149929,18919662,18744226,246092372,245905040,61,f,f,2015-04-17 12:36:43,2015-04-17 18:31:57
7157315,18935067,18744226,246274926,246235228,62,f,f,2015-04-17 20:34:05,2015-04-17 23:38:32
7158007,18835684,18744226,246293540,246235228,63,f,f,2015-04-17 21:45:13,2015-04-20 17:08:42
7159557,18835684,18744226,246345536,246317480,64,f,f,2015-04-18 02:22:43,2015-04-20 03:52:34
7159662,18835684,18744226,246349321,246317480,65,f,f,2015-04-18 02:47:12,2015-04-20 08:16:42
7160062,18835684,18744226,246363408,246317480,66,f,f,2015-04-18 04:16:19,2015-04-20 17:13:26
7178452,18912002,18744226,246994420,246317480,67,f,f,2015-04-20 02:15:02,2015-04-20 08:17:37
7182347,18835684,18744226,247113111,247092428,69,f,f,2015-04-20 09:30:04,2015-04-23 16:06:06
7183939,18919662,18744226,247157652,247092428,70,f,f,2015-04-20 11:36:34,2015-05-19 16:17:07
7186954,18835684,18744226,247232719,247092428,73,f,f,2015-04-20 14:31:02,2015-04-21 20:33:11
7187401,18835684,18744226,247243151,247092428,74,f,f,2015-04-20 14:58:26,2015-04-24 16:56:36
7187684,18993017,18744226,247251226,247092428,76,f,f,2015-04-20 15:18:30,2015-04-21 02:25:10
7197095,19060843,18744226,247499755,247465061,77,f,f,2015-04-21 04:51:54,2015-04-22 01:55:28
7242189,18768632,18744226,248718824,247933213,82,f,f,2015-04-23 15:51:48,2015-04-23 16:22:45
7243391,18835684,18744226,248747938,248730782,84,f,f,2015-04-23 17:08:09,2015-04-23 21:40:07
7244478,18835684,18744226,248775548,248730782,85,f,f,2015-04-23 18:18:07,2015-04-24 10:56:52
7244843,18835684,18744226,248785290,248730782,86,f,f,2015-04-23 18:41:21,2015-04-24 10:59:47
7247890,18754508,18744226,248862165,248846201,87,f,f,2015-04-23 22:44:25,2015-04-24 11:01:48
7263432,18835684,18744226,249263107,249191330,89,f,f,2015-04-24 20:26:59,2015-04-28 22:35:58
7263486,18835684,18744226,249264474,249191330,90,f,f,2015-04-24 20:32:06,2015-04-25 17:31:13
7264529,18835684,18744226,249289609,249191330,91,f,f,2015-04-24 22:11:10,2015-04-26 00:38:53
7269322,18749002,18744226,249450684,249191330,92,f,f,2015-04-25 12:40:32,2015-04-26 00:10:17
7281560,18749002,18744226,249879041,249626078,93,f,f,2015-04-26 18:53:36,2015-04-29 01:55:08
7290241,18919662,18744226,250149039,249626078,94,f,f,2015-04-27 11:23:07,2015-04-29 13:07:21
7302870,18754508,18744226,250494760,249626078,95,f,f,2015-04-28 04:10:08,2015-04-29 16:55:12
7330941,18835684,18744226,251325878,251048314,98,f,f,2015-04-29 16:49:51,2015-04-29 16:56:34
7336216,18754508,18744226,251474194,251333483,99,f,f,2015-04-29 23:28:43,2015-04-30 00:33:47
7338465,18754508,18744226,251544378,251490557,100,f,f,2015-04-30 04:35:55,2015-04-30 10:58:20
7347221,18835684,18744226,251779363,251665763,101,f,f,2015-04-30 15:52:12,2015-04-30 18:49:15
7351353,18835684,18744226,251880442,251844758,102,f,f,2015-04-30 20:37:47,2015-05-03 05:15:01
7358124,18768632,18744226,252071520,251844758,104,f,f,2015-05-01 11:47:36,2015-05-06 20:48:33
7360859,18749002,18744226,252143559,251844758,105,f,f,2015-05-01 15:21:13,2015-05-01 18:52:01
7362178,18768632,18744226,252175614,251844758,106,f,f,2015-05-01 16:53:14,2015-07-15 00:01:29
7376750,18749002,18744226,252635943,252623831,107,f,f,2015-05-03 05:55:13,2015-05-03 19:44:13
7386001,18754508,18744226,252977734,252839699,108,f,f,2015-05-04 05:41:36,2015-05-05 03:26:27
7387233,18912002,18744226,253016492,252839699,109,f,f,2015-05-04 07:55:48,2015-05-07 11:34:02
7395503,18835684,18744226,253237588,252839699,110,f,f,2015-05-04 18:09:08,2015-05-04 21:50:11
7397986,18835684,18744226,253306536,252839699,111,f,f,2015-05-04 18:35:06,2015-05-06 14:29:57
7398154,18749002,18744226,253310479,252839699,113,f,f,2015-05-04 21:36:09,2015-05-04 21:43:42
7399869,19060843,18744226,253359034,253313928,114,f,f,2015-05-05 00:55:31,2015-05-05 21:28:09
7400801,18835684,18744226,253391291,253313928,115,f,f,2015-05-05 02:53:49,2015-05-05 02:56:45
7401063,18749002,18744226,253400991,253399398,116,f,f,2015-05-05 03:34:50,2015-05-05 03:42:05
7401707,18835684,18744226,253420493,253402773,117,f,f,2015-05-05 04:58:17,2015-05-05 18:57:24
7414417,18754508,18744226,253751658,253738120,118,f,f,2015-05-05 19:35:09,2015-05-05 21:07:37
7414734,18835684,18744226,253759353,253738120,119,f,f,2015-05-05 19:54:02,2015-05-05 21:26:41
7416227,18768632,18744226,253793025,253786477,120,f,f,2015-05-05 21:52:05,2015-05-05 22:06:38
7416876,18754508,18744226,253809274,253796764,121,f,f,2015-05-05 22:55:28,2015-05-05 23:30:30
7419488,18754508,18744226,253890969,253817585,122,f,f,2015-05-06 04:44:44,2015-05-06 16:02:00
7429668,18749002,18744226,254164271,254141081,123,f,f,2015-05-06 17:03:48,2015-05-06 20:45:51
7430624,18749002,18744226,254187471,254141081,124,f,f,2015-05-06 18:05:41,2015-05-06 20:18:46
7432959,18754508,18744226,254243216,254237708,125,f,f,2015-05-06 20:38:22,2015-05-06 20:43:34
7433956,18754508,18744226,254267482,254245770,126,f,f,2015-05-06 22:03:52,2015-05-06 22:08:58
7433971,18749002,18744226,254268020,254245770,127,f,f,2015-05-06 22:05:15,2015-05-07 03:02:20
7435073,19022901,18744226,254298992,254268998,128,f,f,2015-05-07 00:13:34,2015-05-07 03:02:53
7436561,19730676,18744226,254345406,254338317,130,f,f,2015-05-07 03:38:31,2015-05-12 16:42:10
7437464,18744226,18744226,254372751,254338317,131,t,f,2015-05-07 05:28:22,2015-05-07 05:38:37
7437718,18749002,18744226,254379285,254338317,132,f,f,2015-05-07 05:51:24,2015-05-10 15:56:39
7445462,18749002,18744226,254576745,254491515,134,f,f,2015-05-07 14:57:26,2015-05-10 15:55:31
7448364,18749002,18744226,254650243,254491515,135,f,f,2015-05-07 18:05:17,2015-05-09 03:37:02
7453096,18835684,18744226,254766869,254491515,137,f,f,2015-05-08 01:11:12,2015-05-10 16:06:22
7454920,19060843,18744226,254817402,254491515,138,f,f,2015-05-08 05:19:34,2015-05-10 16:08:31
7462118,18754508,18744226,254912819,254816239,140,f,f,2015-05-09 22:53:54,2015-05-10 15:53:43
7485349,19661586,18744226,255323193,254942681,143,f,f,2015-05-11 11:50:44,2015-05-12 03:14:52
7492270,19661586,18744226,255425762,254942681,144,f,t,2015-05-11 14:28:40,2015-05-11 18:27:47
7497261,18835684,18744226,255476637,255476631,145,f,t,2015-05-11 21:27:52,2015-05-11 21:41:12
7501213,18835684,18744226,255640059,255640056,146,f,f,2015-05-12 05:26:21,2015-05-14 18:03:48
7514858,18754508,18744226,255989982,255989975,148,f,f,2015-05-12 21:52:46,2015-05-12 22:57:33
7516746,18754508,18744226,256144285,256144280,149,f,f,2015-05-13 01:31:39,2015-05-13 01:37:54
7534783,18754508,18744226,257320517,256767747,152,f,f,2015-05-14 04:36:56,2015-05-18 21:04:14
7544557,18752823,18744226,258268913,258267547,153,f,f,2015-05-14 18:07:33,
7546515,18754508,18744226,258313563,258267547,154,f,f,2015-05-14 20:01:08,2015-05-14 20:25:30
7552427,19780848,18744226,258472398,258321803,156,f,f,2015-05-15 07:13:01,2015-05-20 10:40:20
7562473,18754508,18744226,258722844,258321803,157,f,f,2015-05-15 19:09:21,2015-05-15 19:58:13
7564001,18835684,18744226,258759006,258738643,158,f,f,2015-05-15 21:18:45,2015-05-15 21:26:17
7565668,18749002,18744226,258804342,258760555,159,f,f,2015-05-16 01:30:45,2015-05-18 18:54:34
7568349,18749002,18744226,258898891,258760555,160,f,f,2015-05-16 10:41:24,2015-05-16 22:03:30
7571752,19661586,18744226,259020658,258760555,162,f,f,2015-05-16 18:44:06,2015-05-21 17:10:56
7572590,18835684,18744226,259043091,258760555,163,f,f,2015-05-16 20:38:24,2015-05-21 14:09:15
7572989,18835684,18744226,259054041,258760555,164,f,f,2015-05-16 21:41:32,2015-05-17 13:29:59
7582861,19730676,18744226,259407925,259239926,165,f,f,2015-05-18 00:57:11,2015-05-18 02:38:53
7593736,20179682,18744226,259697891,259435352,166,f,f,2015-05-18 16:01:13,2015-05-20 16:14:04
7593928,20179682,18744226,259702820,259435352,167,f,f,2015-05-18 16:14:03,2015-05-20 16:13:37
7597062,18749002,18744226,259776476,259762316,168,f,f,2015-05-18 19:32:08,2015-05-19 19:32:07
7598364,18754508,18744226,259807927,259805435,170,f,f,2015-05-18 21:14:08,2015-05-18 21:35:34
7599462,18835684,18744226,259837533,259814615,171,f,f,2015-05-18 23:11:58,2015-05-19 01:02:59
7600528,19730676,18744226,259870028,259864295,172,f,f,2015-05-19 01:32:05,2015-05-25 01:12:24
7601163,18835684,18744226,259890246,259864295,173,f,f,2015-05-19 03:00:35,2015-05-19 14:12:37
7601958,19060843,18744226,259913755,259864295,174,f,f,2015-05-19 04:48:56,2015-05-19 10:28:56
7611007,18754508,18744226,260141278,260119541,175,f,f,2015-05-19 15:16:25,2015-05-19 15:28:58
7611087,18835684,18744226,260142071,260119541,176,f,f,2015-05-19 15:21:40,2015-05-19 16:19:03
7615703,18754508,18744226,260252318,260238292,177,f,f,2015-05-19 20:14:00,2015-05-19 20:24:32
7615940,18749002,18744226,260258181,260255729,178,f,f,2015-05-19 20:33:24,2015-05-19 20:35:30
7616116,18835684,18744226,260262154,260258739,179,f,f,2015-05-19 20:48:01,2015-05-21 08:51:51
7617034,19486266,18744226,260285174,260258739,180,f,f,2015-05-19 22:23:17,2015-05-27 16:19:18
7619660,18754508,18744226,260358514,260258739,182,f,f,2015-05-20 03:48:38,2015-05-20 03:58:00
