id,head_repo_id,base_repo_id,head_commit_id,base_commit_id,pullreq_id,intra_branch,merged,opened_at,closed_at
3076377,7078756,7078756,90042630,90042588,2,t,f,2014-02-20 06:52:17,2014-02-21 07:15:58
3085308,7078756,7078756,90325204,90325201,3,t,f,2014-02-21 06:51:06,2014-02-21 14:51:34
3105631,7078756,7078756,91792062,91253624,4,t,f,2014-02-24 12:38:39,2014-02-24 16:03:58
3107324,7078756,7078756,91840154,91253624,5,t,f,2014-02-24 16:03:32,2014-04-03 14:01:12
3144348,7078756,7078756,92899370,92446396,7,t,f,2014-02-28 14:44:40,2014-03-03 16:42:17
3196486,7078756,7078756,94309042,94077572,8,t,t,2014-03-06 23:38:54,2014-03-07 16:07:41
3200625,7078756,7078756,94333240,90005359,9,t,t,2014-03-07 14:24:08,2014-03-07 14:59:17
3203706,7078756,7078756,94351384,94351380,10,t,f,2014-03-07 22:01:53,2014-04-10 15:17:23
3256270,7078756,7078756,96289759,96073468,11,t,f,2014-03-14 18:22:06,2014-04-10 15:16:55
3257862,7078756,7078756,96333936,96073468,12,t,f,2014-03-14 22:09:40,2014-03-17 23:00:21
3290876,7078756,7078756,97402910,97217441,13,t,f,2014-03-19 14:21:41,2014-03-19 14:46:46
3467350,9139953,7078756,102629973,102070099,14,f,f,2014-04-10 11:30:00,2014-04-30 17:54:48
3469315,7078756,7078756,102685842,102070099,15,t,f,2014-04-10 15:27:34,2014-04-11 18:50:30
3469405,7078756,7078756,102687633,102070099,16,t,f,2014-04-10 15:35:49,2014-04-11 20:06:27
3469681,7078756,7078756,102695373,102070099,17,t,f,2014-04-10 16:09:32,2014-04-11 18:55:32
3479117,9168884,7078756,102982964,102052361,18,f,f,2014-04-11 17:39:31,
3509579,7078756,7078756,103723459,103723452,21,t,f,2014-04-15 20:18:17,2014-04-21 14:59:01
3510764,9238374,7078756,103730002,103723452,22,f,t,2014-04-15 22:38:02,2014-04-16 04:31:25
3524196,9139953,7078756,103810258,103810252,23,f,t,2014-04-17 13:22:02,2014-04-17 15:44:37
3526305,9139953,7078756,103823941,103823936,24,f,f,2014-04-17 17:37:56,
3548006,9168884,7078756,103969115,103969109,25,f,t,2014-04-21 17:42:34,2014-04-21 17:46:19
3531057,9168884,7078756,103856201,103856178,26,f,f,2014-04-21 18:32:59,
3549070,9168884,7078756,103976551,103976550,27,f,f,2014-04-21 20:01:01,
3551710,9139953,7078756,103995274,103995273,28,f,t,2014-04-22 13:45:21,2014-04-23 18:48:27
3551971,9139953,7078756,103997173,103995273,29,f,f,2014-04-23 13:32:10,2014-05-19 14:27:31
3568445,9139953,7078756,104202298,104202295,30,f,t,2014-04-23 14:42:23,2014-04-23 16:30:17
3568472,7078756,7078756,104202665,103995273,31,t,t,2014-04-23 15:25:24,2014-04-23 18:47:46
3601683,7078756,7078756,106268840,103995273,32,t,f,2014-04-23 18:28:08,2014-04-29 16:32:57
3630582,7078756,7078756,106443429,106443422,33,t,f,2014-05-02 20:58:44,
3681970,9139953,7078756,111024904,111024902,35,f,f,2014-05-16 14:53:51,2014-05-20 05:47:52
3699941,9139953,7078756,112127164,111024902,36,f,f,2014-05-19 14:14:13,2014-05-20 05:48:13
3720893,9628949,7078756,112975832,112975829,37,f,f,2014-05-21 17:13:25,2014-05-22 14:45:42
3740948,7078756,7078756,113282639,113282626,38,t,f,2014-05-23 15:57:36,2014-05-23 17:18:18
3775799,9628949,7078756,115104583,115104581,39,f,f,2014-05-28 17:02:48,2014-05-28 17:17:12
3776809,7078756,7078756,115143532,115143530,40,t,f,2014-05-28 18:54:49,2014-05-28 19:07:38
3778947,7078756,7078756,115458832,115458830,41,t,f,2014-05-29 15:12:02,2014-05-30 12:12:31
3788225,7078756,7078756,115942024,115942019,42,t,f,2014-05-30 16:56:22,2014-05-30 19:52:08
3789716,7078756,7078756,116007188,115942019,43,t,f,2014-05-30 19:34:40,2014-06-02 19:32:24
3790125,7078756,7078756,116025333,116025332,44,t,f,2014-05-30 20:44:35,2014-06-02 19:16:18
3816405,9139953,7078756,119280022,119280020,45,f,f,2014-06-03 14:27:01,2014-06-05 13:09:07
3823380,9139953,7078756,119532349,119280020,47,f,f,2014-06-04 09:51:35,2014-06-13 06:23:54
3835693,7078756,7078756,120228327,120228326,49,t,f,2014-06-05 14:55:35,2014-06-05 16:29:18
3836247,9139953,7078756,120245876,120228326,50,f,f,2014-06-05 16:03:48,2014-06-06 06:35:31
3844876,7078756,7078756,121016653,121016602,51,t,f,2014-06-06 14:57:00,2014-06-06 20:50:47
3862484,7078756,7078756,123745919,123745897,52,t,f,2014-06-09 15:33:02,2014-06-09 17:28:07
3893725,7078756,7078756,125887169,124637438,53,t,f,2014-06-12 19:42:02,2014-06-17 14:23:41
3903155,10265043,7078756,126221618,125994372,54,f,f,2014-06-13 20:19:57,2014-07-09 11:51:11
3903261,7078756,7078756,126225084,125994372,55,t,f,2014-06-13 20:38:10,2014-06-16 13:04:00
3940307,7078756,7078756,127875634,127875633,56,t,f,2014-06-18 19:19:40,2014-06-19 00:49:37
4041400,7078756,7078756,132678046,128356944,57,t,f,2014-07-01 15:23:10,2014-07-03 12:47:48
4083884,7078756,7078756,134554707,133249034,58,t,f,2014-07-07 18:55:11,2014-07-09 13:11:31
4110534,7078756,7078756,135313370,133249034,59,t,f,2014-07-08 21:27:39,2014-07-10 20:24:03
4118361,7078756,7078756,135451288,135451286,60,t,t,2014-07-09 17:38:50,2014-07-09 18:13:50
