id,head_repo_id,base_repo_id,head_commit_id,base_commit_id,pullreq_id,intra_branch,merged,opened_at,closed_at
6706902,17438482,16268918,231754012,231753992,53,f,f,2015-03-17 20:15:38,2015-03-17 20:39:11
6707804,17438482,16268918,231795889,231795883,54,f,f,2015-03-17 21:23:07,2015-03-17 21:36:48
6708151,17438482,16268918,231810528,231810524,55,f,f,2015-03-17 21:53:15,2015-03-17 22:23:54
6708573,17438482,16268918,231836688,231836677,57,f,f,2015-03-17 22:26:37,2015-03-18 20:14:52
6708732,16268918,16268918,231845089,231836677,58,t,f,2015-03-17 22:38:08,2015-03-17 22:50:12
6710192,16268918,16268918,231952247,231952242,59,t,f,2015-03-18 01:23:30,2015-03-18 17:05:17
6720636,16268918,16268918,232631501,232631475,60,t,f,2015-03-18 17:14:11,2015-03-18 18:32:54
6725211,16268918,16268918,233063118,233063082,61,t,f,2015-03-18 22:21:46,2015-03-18 22:53:45
6758570,16268918,16268918,234358089,233954213,63,t,f,2015-03-20 21:20:39,2015-03-20 21:41:45
6777486,16268918,16268918,235006242,234990572,66,t,f,2015-03-22 22:17:30,2015-03-23 01:20:15
6778612,16268918,16268918,235044052,234990572,67,t,f,2015-03-23 00:56:01,2015-03-23 02:25:34
6789297,17438482,16268918,235328283,235065410,68,f,f,2015-03-23 17:19:21,2015-03-23 18:26:30
6801987,16268918,16268918,235435863,235355001,70,t,f,2015-03-23 21:59:32,2015-03-24 14:36:50
6803774,16268918,16268918,235713721,235709821,71,t,f,2015-03-24 14:47:10,2015-03-24 15:04:46
6837632,16268918,16268918,236560689,235721516,73,t,f,2015-03-26 16:04:44,2015-03-26 16:24:06
6841034,16268918,16268918,236621386,236621384,75,t,f,2015-03-26 17:35:26,2015-03-27 16:37:16
6881292,16268918,16268918,238043843,237385971,77,t,f,2015-03-30 16:02:54,2015-03-30 17:15:01
6883383,16268918,16268918,238090099,238076281,79,t,f,2015-03-30 18:08:06,2015-03-30 18:38:30
6884321,16268918,16268918,238107238,238107236,80,t,f,2015-03-30 19:01:48,2015-03-30 19:18:04
6885301,16268918,16268918,238120603,238120599,81,t,f,2015-03-30 20:03:50,2015-03-30 20:17:11
7122940,16268918,16268918,245368766,238272458,85,t,f,2015-04-15 21:35:51,2015-04-15 21:41:31
7467804,16268918,16268918,254999166,245370289,89,t,t,2015-05-08 21:29:51,2015-05-08 21:37:31
7483373,16268918,16268918,255273558,255273553,90,t,f,2015-05-10 20:47:23,2015-05-11 15:30:28
7493507,16268918,16268918,255435961,255435957,91,t,t,2015-05-11 16:00:33,2015-05-11 16:09:01
7493554,16268918,16268918,255413119,255413114,92,t,t,2015-05-11 16:12:22,2015-05-11 16:16:57
7491301,16268918,16268918,255413126,255413106,93,t,f,2015-05-11 17:35:58,2015-05-11 20:47:59
7510618,16268918,16268918,255884634,255884632,94,t,f,2015-05-12 16:43:07,2015-05-12 21:18:38
7513830,16268918,16268918,255944203,255884632,95,t,f,2015-05-12 20:33:54,2015-05-12 21:09:54
7526315,16268918,16268918,256598937,256598926,96,t,f,2015-05-13 15:21:20,2015-05-13 15:39:11
7526943,16268918,16268918,256621400,256621389,97,t,f,2015-05-13 16:01:29,2016-09-06 22:30:22
7816487,16268918,16268918,266079392,266067192,99,t,f,2015-06-02 19:47:40,2015-06-02 19:56:50
7816758,16268918,16268918,266085044,266082589,100,t,f,2015-06-02 20:03:43,2015-06-02 20:15:12
7818365,16268918,16268918,266121117,266088497,101,t,f,2015-06-02 22:19:02,2015-06-03 16:18:33
8025141,16268918,16268918,271579502,266479823,105,t,f,2015-06-16 19:40:25,2015-06-16 20:24:54
8025833,16268918,16268918,271592102,271592096,107,t,f,2015-06-16 20:33:11,2015-06-16 20:37:00
8690477,16268918,16268918,283621709,271718747,110,t,t,2015-07-30 12:47:02,2015-07-30 14:05:45
8692057,16268918,16268918,285865033,285865030,111,t,t,2015-07-30 14:17:47,2015-07-30 14:48:16
8918282,16268918,16268918,299346147,292206872,115,t,t,2015-08-20 15:21:49,2015-08-20 15:56:20
8985127,24256190,16268918,300386278,300386277,118,f,t,2015-08-20 16:50:36,2015-08-21 21:28:12
8997918,16268918,16268918,300676242,300386277,119,t,t,2015-08-21 14:17:41,2015-08-21 15:05:16
8998580,16268918,16268918,300688214,300688212,120,t,t,2015-08-21 15:09:59,2015-08-21 15:13:18
9002522,16268918,16268918,300756856,300756851,121,t,t,2015-08-21 19:39:20,2015-08-21 20:19:41
9074392,16268918,16268918,306607145,305707531,123,t,t,2015-08-26 16:06:37,2015-08-26 18:43:53
9081184,16268918,16268918,306677033,306677029,124,t,t,2015-08-26 19:30:44,2015-08-26 19:34:01
9081392,16268918,16268918,306678768,306678763,125,t,t,2015-08-26 19:43:53,2015-08-26 19:54:37
9081755,16268918,16268918,306682296,306682292,126,t,t,2015-08-26 20:08:40,2015-08-26 20:09:38
9082625,16268918,16268918,306694653,306694644,127,t,t,2015-08-26 21:18:47,2015-08-26 21:19:25
9105195,16268918,16268918,306913769,306913768,130,t,t,2015-09-02 19:00:17,2015-09-02 20:04:45
9258121,16268918,16268918,308580234,308580232,131,t,t,2015-09-08 20:33:42,2015-09-09 14:07:36
9273449,16268918,16268918,308768931,308768927,132,t,t,2015-09-09 18:47:24,2015-09-09 19:20:37
9274440,16268918,16268918,308779499,308779486,133,t,t,2015-09-09 19:53:17,2015-09-09 19:55:16
9286466,16268918,16268918,308909833,308909820,135,t,t,2015-09-10 02:43:52,2015-09-10 15:01:30
9434696,16268918,16268918,315806609,314181155,136,t,t,2015-09-18 16:36:04,2015-09-18 16:40:12
13785579,34844972,16268918,423508359,420629280,217,f,t,2016-04-11 21:22:57,2016-04-11 22:20:49
13808308,34844972,16268918,424267569,424267562,219,f,t,2016-04-12 19:36:07,2016-04-12 21:37:59
13874215,34844972,16268918,425973734,424786310,221,f,t,2016-04-14 18:45:58,2016-04-14 18:50:39
13894596,34844972,16268918,426374025,426374016,222,f,t,2016-04-15 20:38:27,2016-04-15 21:03:56
14204771,34844972,16268918,433899496,433586601,229,f,t,2016-04-26 05:36:56,2016-09-01 15:07:51
14343469,34844972,16268918,436635504,436502122,232,f,f,2016-04-30 05:04:31,2016-05-06 17:50:55
14411745,34844972,16268918,438246969,436502122,235,f,f,2016-05-03 04:50:06,2016-05-04 13:09:01
14414115,34844972,16268918,438292549,436502122,236,f,f,2016-05-03 07:04:52,2016-05-06 19:44:03
14535193,34844972,16268918,440857133,440668395,238,f,f,2016-05-07 05:54:15,2016-05-16 13:47:56
14728242,34844972,16268918,446139805,445572844,241,f,f,2016-05-15 06:13:13,
14738321,34844972,16268918,446428143,445572844,242,f,f,2016-05-15 20:55:05,
14948789,37467474,16268918,451145316,449513414,247,f,f,2016-05-23 19:43:45,2016-05-23 21:10:10
15048047,37467474,16268918,453286416,452585151,250,f,f,2016-05-26 21:41:17,2017-02-14 17:24:35
15231243,38217370,16268918,458136550,457597947,256,f,t,2016-06-03 14:07:18,2016-06-06 16:49:33
15415213,34844972,16268918,462671318,459730182,258,f,t,2016-06-10 20:34:57,2016-06-11 13:38:20
15481505,38217370,16268918,464914954,464802165,261,f,t,2016-06-16 00:18:04,2016-06-27 20:20:31
15482332,38217370,16268918,464949100,464802165,262,f,f,2016-06-16 02:16:02,2018-06-27 13:33:27
15554252,34844972,16268918,467793357,464802165,264,f,t,2016-06-22 06:04:16,2016-06-24 19:29:23
15631585,34844972,16268918,471005047,470869075,270,f,t,2016-06-29 05:59:38,2016-06-29 16:31:05
15727827,34844972,16268918,475233096,471435822,272,f,t,2016-07-11 23:04:44,2016-07-12 13:55:43
15971918,40937733,16268918,486505066,484804976,283,f,t,2016-08-02 18:18:04,2016-08-08 16:28:44
16271633,16268918,16268918,493898290,492708902,286,t,t,2016-08-15 15:12:13,2016-08-15 16:37:31
16368497,43796767,16268918,496097792,493951601,290,f,t,2016-08-18 18:32:01,2016-08-18 20:56:00
16747759,40937733,16268918,505415830,505111937,301,f,t,2016-09-02 06:47:32,2016-09-07 23:13:44
16825812,16268918,16268918,507366851,507204429,303,t,t,2016-09-06 02:08:53,2016-09-06 20:45:09
16850987,16268918,16268918,507940336,507934084,304,t,t,2016-09-06 20:57:21,2016-09-06 22:30:02
17435675,43796767,16268918,521095924,518546043,312,f,t,2016-09-28 08:01:36,2016-10-07 17:25:34
17888524,40937733,16268918,533331891,531567622,313,f,f,2016-10-13 23:38:54,2017-02-14 14:21:22
17984653,40937733,16268918,536165028,536165023,316,f,t,2016-10-17 16:46:48,2016-10-17 16:48:21
18036137,40937733,16268918,537403943,536165337,319,f,t,2016-10-19 14:04:20,2016-11-01 14:01:59
18385776,40937733,16268918,545793992,536165337,322,f,t,2016-10-31 05:35:52,2016-11-17 01:28:23
18450538,37467474,16268918,547079192,546756165,323,f,f,2016-11-01 22:43:36,2016-11-02 14:00:44
18589946,43796767,16268918,550607521,546756165,326,f,f,2016-11-06 20:00:35,2016-11-12 22:40:05
18777658,40937733,16268918,555014100,546756165,328,f,t,2016-11-12 23:13:38,2016-11-14 18:15:21
18790911,40937733,16268918,555411134,546756165,329,f,t,2016-11-13 18:39:05,2016-11-28 20:08:09
18792440,16268918,16268918,555446422,546756165,331,t,t,2016-11-13 20:01:42,2016-11-14 18:42:46
18899031,40937733,16268918,557655834,556094476,333,f,t,2016-11-16 19:58:59,2016-11-29 17:32:21
18995836,40937733,16268918,559683791,558364860,335,f,t,2016-11-19 21:28:16,2016-11-28 20:08:38
19151644,51506196,16268918,563129242,558364860,342,f,t,2016-11-24 21:46:40,2017-02-08 14:07:10
19182422,40937733,16268918,564040911,558364860,343,f,t,2016-11-26 03:52:16,2016-11-28 20:09:49
19183524,40937733,16268918,564084383,558364860,344,f,t,2016-11-26 04:49:48,2016-12-06 03:08:50
19184173,40937733,16268918,564113995,558364860,345,f,f,2016-11-26 05:56:22,2017-02-15 23:46:55
19231129,51506196,16268918,566154980,558364860,346,f,t,2016-11-28 14:01:55,2016-11-28 22:47:03
19407349,51506196,16268918,570087749,569907485,353,f,t,2016-12-03 18:36:36,2017-02-03 18:52:27
19423366,51506196,16268918,570625525,569907485,355,f,t,2016-12-04 11:34:19,2016-12-08 21:30:07
19471805,40937733,16268918,571805946,571781148,358,f,t,2016-12-06 04:00:27,2016-12-07 07:59:56
19477378,40937733,16268918,571904849,571781148,359,f,t,2016-12-06 06:23:47,2016-12-08 02:22:00
19477791,40937733,16268918,571916426,571781148,360,f,t,2016-12-06 06:46:42,2016-12-06 17:27:00
19478502,40937733,16268918,571933255,571781148,361,f,t,2016-12-06 07:21:00,2016-12-06 17:22:55
19516460,40937733,16268918,572576873,572576871,362,f,f,2016-12-08 01:47:44,2016-12-08 02:24:10
19567009,51506196,16268918,573243175,573243173,366,f,t,2016-12-09 20:23:47,2017-02-08 19:32:31
19617383,52550898,16268918,573780818,573243173,367,f,t,2016-12-09 23:00:13,2016-12-09 23:50:52
20164338,16268918,16268918,591761068,591761055,374,t,t,2017-01-05 21:20:04,2017-01-05 21:20:24
20164495,16268918,16268918,591764153,591761250,375,t,t,2017-01-05 21:25:48,2017-01-06 15:02:59
20164598,16268918,16268918,591765990,591761250,376,t,t,2017-01-05 21:29:05,2017-01-05 21:51:51
20258816,16268918,16268918,593977903,592246720,377,t,t,2017-01-09 16:11:56,2017-01-09 17:29:45
20345548,40937733,16268918,595726997,595647446,378,f,t,2017-01-12 00:33:40,2017-01-12 00:39:29
20475601,40937733,16268918,598842431,595729299,379,f,f,2017-01-16 19:49:33,2017-01-17 20:24:44
20476947,40937733,16268918,598869758,595729299,380,f,t,2017-01-16 20:40:01,2017-01-17 18:37:42
20477456,40937733,16268918,598882327,595729299,381,f,t,2017-01-16 20:58:30,2017-01-17 17:57:04
20799077,16268918,16268918,606445218,600293625,384,t,t,2017-01-26 21:57:17,2017-02-03 06:02:25
20961423,16268918,16268918,610653882,600293625,386,t,t,2017-02-01 17:46:07,2017-02-01 17:51:22
21004062,16268918,16268918,611213831,611213822,392,t,t,2017-02-02 20:45:04,2017-02-02 20:59:07
21016174,16268918,16268918,611626256,611626247,395,t,t,2017-02-03 00:14:33,2017-02-03 00:56:37
21023014,16268918,16268918,611680469,611680455,396,t,t,2017-02-03 12:44:18,2017-02-03 17:46:17
21033936,16268918,16268918,611760132,611760130,398,t,t,2017-02-03 18:19:33,2017-02-03 18:50:07
