id,head_repo_id,base_repo_id,head_commit_id,base_commit_id,pullreq_id,intra_branch,merged,opened_at,closed_at
32063,228224,68398,3904273,3904261,9,f,f,2012-02-16 07:34:01,2012-08-17 04:43:31
48584,68400,68398,4239115,4238918,13,f,f,2012-03-01 16:15:03,2012-03-14 19:19:56
865023,68400,68398,,4238918,14,f,f,2012-03-01 16:48:47,2012-03-01 19:14:09
48579,68400,68398,4239057,4238918,15,f,f,2012-03-01 19:15:15,2012-03-14 19:19:49
48585,68400,68398,4239116,4238918,16,f,f,2012-03-01 19:39:18,2012-03-14 19:19:58
48574,68400,68398,4238860,4238850,21,f,t,2012-03-14 19:18:01,2012-04-17 08:55:47
48577,68400,68398,4238850,4238882,22,f,t,2012-03-14 19:18:39,2012-03-15 06:09:04
48578,68400,68398,4238893,4238882,23,f,t,2012-03-14 19:19:17,2012-03-15 06:08:48
91908,68400,68398,4986033,4238896,25,f,t,2012-04-16 14:11:28,2012-04-16 15:10:37
92627,68400,68398,5001305,5001301,26,f,t,2012-04-17 02:48:48,2012-04-17 08:55:34
107258,218375,68398,2519334,2519397,31,f,t,2012-04-29 23:59:39,2012-04-30 00:02:08
171410,428628,68398,6246733,2519111,37,f,f,2012-06-22 22:41:01,2012-08-17 01:11:19
184008,68400,68398,2519071,2519074,40,f,t,2012-07-01 14:58:38,2012-07-01 15:03:21
184016,68400,68398,2519078,2519074,41,f,t,2012-07-01 14:59:50,2012-07-01 15:02:22
184020,68400,68398,6400084,2519065,42,f,f,2012-07-01 15:01:47,2012-07-10 22:59:04
190827,451241,68398,6497785,2519065,46,f,f,2012-07-05 16:02:41,2012-08-17 01:11:42
200074,68400,68398,6607695,2519056,47,f,f,2012-07-10 22:48:48,2012-08-17 01:12:36
207682,75446,68398,2519044,2519041,49,f,t,2012-07-15 02:14:13,2012-07-17 20:58:12
215240,75446,68398,6798062,2519041,53,f,f,2012-07-18 20:29:09,2012-08-17 01:13:25
7516,68400,68398,1151179,1151139,58,f,f,2012-08-06 14:36:28,2012-08-17 01:15:15
8422,75446,68398,1329989,1151139,59,f,f,2012-08-06 19:45:41,2012-08-17 01:15:32
305380,75446,68398,8022924,8119986,61,f,f,2012-08-25 22:01:10,2014-05-02 20:46:46
343438,68400,68398,8940274,8297515,62,f,t,2012-08-30 02:24:20,2012-09-05 19:06:07
355995,68400,68398,10116905,10022383,64,f,t,2012-09-05 17:30:27,2012-09-05 19:04:02
