id,head_repo_id,base_repo_id,head_commit_id,base_commit_id,pullreq_id,intra_branch,merged,opened_at,closed_at
25778599,43947233,64706300,497505161,492455857,219,f,f,2016-08-21 12:14:44,2017-06-22 20:20:27
27550399,46628306,64706300,528622493,526217063,278,f,f,2016-09-27 14:15:17,2018-05-14 12:55:25
26095728,49825923,64706300,551619932,551342939,338,f,f,2016-11-02 19:13:20,2018-05-14 13:06:21
25177090,36611528,64706300,556922497,556016313,359,f,f,2016-11-15 20:49:25,2017-07-17 16:22:00
24460212,46859339,64706300,606029684,585678364,408,f,f,2017-01-03 07:54:17,2017-05-15 16:19:31
24460243,46859339,64706300,606203560,606203554,425,f,f,2017-01-26 08:40:11,2017-05-15 16:29:03
24460285,45559780,64706300,612066816,611778199,439,f,f,2017-02-05 00:24:34,2018-04-30 15:45:58
24460303,46859339,64706300,646921086,642141215,481,f,f,2017-03-16 20:27:24,2017-08-11 01:38:39
24974399,36518938,64706300,678383020,678346525,507,f,f,2017-04-03 16:01:37,2017-05-31 21:33:23
24974382,31461553,64706300,673662675,664815445,520,f,f,2017-04-07 18:38:23,2017-07-13 13:43:41
24460338,37346173,64706300,674420874,668409943,526,f,f,2017-04-12 09:38:02,2018-11-14 21:04:32
24460353,48220403,64706300,669519845,668409943,528,f,f,2017-04-13 14:44:20,2017-08-11 12:41:53
24885519,65028951,64706300,700312195,700203350,530,f,f,2017-04-13 21:27:11,2017-08-27 16:46:36
24460397,62369313,64706300,678212146,671776974,531,f,f,2017-04-14 19:10:39,2018-05-09 09:47:53
24452820,35935272,64706300,690060226,690034972,547,f,f,2017-04-25 19:32:44,2017-06-01 15:29:57
24460427,31461553,64706300,679379350,678346525,550,f,f,2017-04-25 22:13:07,2017-07-07 13:10:24
24559873,37857777,64706300,690591646,690034972,567,f,f,2017-05-06 15:57:21,2017-05-19 15:11:23
24446526,36518938,64706300,689935649,688013230,569,f,f,2017-05-08 18:31:36,2017-05-12 21:00:19
24493171,31079460,64706300,688351035,688013230,570,f,f,2017-05-08 21:42:29,2017-06-01 15:16:20
24661820,63390782,64706300,688405575,688013230,572,f,f,2017-05-09 05:23:23,2017-07-14 12:00:59
24555565,32073354,64706300,689013867,688972460,574,f,f,2017-05-09 15:41:02,2017-05-16 14:25:52
24453617,37288310,64706300,691631964,691493670,577,f,f,2017-05-09 22:54:11,2017-07-31 19:11:31
