id,head_repo_id,base_repo_id,head_commit_id,base_commit_id,pullreq_id,intra_branch,merged,opened_at,closed_at
5443186,12966089,13436542,185794861,185794856,7,f,t,2014-12-03 09:07:09,2014-12-03 09:07:48
5443248,12966089,13436542,185795232,185795230,8,f,t,2014-12-03 09:14:24,2014-12-03 09:15:07
5443315,12966089,13436542,185795568,185795567,9,f,t,2014-12-03 09:21:08,2014-12-03 09:23:35
5447328,13026877,13436542,185822178,185822176,10,f,t,2014-12-03 16:09:28,2014-12-03 17:51:22
5447334,13026877,13436542,185822241,185822176,11,f,t,2014-12-03 16:12:10,2014-12-03 17:51:57
5447930,13026877,13436542,185825872,185822176,12,f,t,2014-12-03 16:57:22,2014-12-03 17:52:24
5450341,13026877,13436542,185841875,185841872,13,f,f,2014-12-03 20:32:17,2014-12-04 06:25:58
5459574,13026877,13436542,185903450,185903447,14,f,t,2014-12-04 15:41:54,2014-12-04 20:06:21
5503006,12966089,13436542,186196934,186196922,15,f,t,2014-12-09 14:40:11,2014-12-09 15:11:27
5504048,13026877,13436542,186203726,186203715,16,f,t,2014-12-09 16:04:05,2014-12-10 15:43:26
5504066,13026877,13436542,186203826,186203715,17,f,t,2014-12-09 16:06:26,2014-12-10 15:49:46
5504091,13026877,13436542,186204025,186203715,18,f,t,2014-12-09 16:09:26,2014-12-11 08:44:58
5516008,13026877,13436542,186283887,186203715,19,f,t,2014-12-10 15:39:06,2014-12-11 09:04:43
5527309,12966089,13436542,186356383,186356371,20,f,t,2014-12-11 14:19:07,2014-12-11 14:20:49
5537230,12966089,13436542,186459060,186459058,21,f,f,2014-12-12 10:57:31,2014-12-12 13:29:00
5555004,13026877,13436542,190963497,190963484,22,f,t,2014-12-14 13:23:58,2014-12-14 13:36:58
5555966,13026877,13436542,191296378,191296370,23,f,f,2014-12-14 16:40:31,2014-12-15 08:00:13
5578819,13026877,13436542,195601856,195162349,24,f,f,2014-12-16 15:56:48,2014-12-17 07:22:54
5602857,14228070,13436542,196884432,195815269,25,f,f,2014-12-18 12:09:15,2014-12-18 12:18:36
5625397,13026877,13436542,197723889,196935572,26,f,f,2014-12-20 15:53:35,2014-12-26 12:27:58
5785505,12966089,13436542,203959826,200161473,31,f,f,2015-01-09 08:13:15,2015-01-09 08:15:13
5787682,12966089,13436542,204023394,203960463,32,f,f,2015-01-09 12:32:30,2015-01-09 13:40:28
5840463,14887460,13436542,204660324,204042485,33,f,t,2015-01-11 18:50:39,2015-01-12 11:14:00
5864862,12966089,13436542,205022484,204845163,34,f,t,2015-01-12 14:25:42,2015-01-13 14:30:04
5853447,14887460,13436542,204845167,204845163,35,f,f,2015-01-12 20:34:28,2015-01-18 15:08:35
5861193,12966089,13436542,204962205,204845163,37,f,f,2015-01-13 09:08:11,2015-01-18 14:42:38
5861227,12966089,13436542,204962867,204845163,38,f,f,2015-01-13 09:10:25,2015-01-20 15:09:34
5920172,13026877,13436542,207783350,207767609,39,f,f,2015-01-18 15:46:59,2015-01-20 13:28:04
5922296,14887460,13436542,207849102,207767609,41,f,f,2015-01-18 20:20:48,2015-01-23 15:22:06
5954393,13436542,13436542,208795448,208526464,43,t,f,2015-01-21 07:44:16,2015-01-21 07:45:06
5959490,13026877,13436542,208929273,208926611,44,f,f,2015-01-21 15:09:39,2015-01-22 11:53:20
5990013,13026877,13436542,209740862,209727891,45,f,f,2015-01-23 15:54:36,2015-01-26 08:04:27
5993281,15476866,13436542,209829023,209727891,46,f,f,2015-01-23 20:27:32,2015-01-24 16:04:00
6014536,15476866,13436542,210620488,210059130,47,f,f,2015-01-26 06:43:20,2015-01-26 07:46:01
6016962,12966089,13436542,210689755,210689753,48,f,f,2015-01-26 11:33:28,2015-01-26 15:03:01
