id,head_repo_id,base_repo_id,head_commit_id,base_commit_id,pullreq_id,intra_branch,merged,opened_at,closed_at
18731769,20019608,45865831,417193592,412747128,816,f,f,2016-03-31 17:44:43,2016-11-11 02:05:45
18933238,37898948,45865831,558363203,502386547,959,f,f,2016-06-15 20:03:22,2016-11-17 18:24:50
17411499,38007930,45865831,520609985,502386551,966,f,f,2016-06-20 15:29:01,2016-09-27 14:36:11
17126082,26812762,45865831,501895171,496852454,995,f,f,2016-06-30 23:11:14,2016-11-17 18:25:01
17110393,45865831,45865831,513652282,513374418,1122,t,t,2016-09-15 23:18:47,2016-09-16 00:38:02
17111882,45865831,45865831,513725547,513684918,1123,t,t,2016-09-16 02:23:47,2016-09-16 02:33:33
17217277,18810717,45865831,516294358,513732427,1129,f,t,2016-09-20 14:04:19,2016-09-27 14:29:29
17255533,46264968,45865831,517094801,513732427,1132,f,t,2016-09-21 16:48:03,2016-09-27 14:32:27
17281332,38593522,45865831,517670103,513732427,1133,f,t,2016-09-22 13:52:19,2016-10-18 08:43:41
17412137,45865831,45865831,520624945,520607501,1141,t,t,2016-09-27 14:58:40,2016-10-13 18:46:04
17492933,45865831,45865831,521568434,520607501,1142,t,f,2016-09-29 22:02:39,2016-10-12 21:31:26
17688629,45865831,45865831,525816071,513732427,1144,t,f,2016-10-06 16:37:28,2016-10-06 22:27:56
17693312,47610441,45865831,525443313,513732427,1145,f,f,2016-10-06 19:31:34,2016-10-07 05:41:08
17703916,47610441,45865831,525980999,520607501,1146,f,t,2016-10-07 05:40:06,2016-10-13 18:35:14
17858772,45865831,45865831,532055381,520607501,1148,t,t,2016-10-12 21:34:35,2016-10-13 18:51:28
17885732,45865831,45865831,533129959,528304935,1149,t,t,2016-10-13 21:50:46,2016-10-13 22:03:40
17886120,45865831,45865831,533186596,528304935,1150,t,t,2016-10-13 22:04:54,2016-10-13 22:37:21
18074494,45865831,45865831,537927298,534392002,1152,t,t,2016-10-20 06:47:54,2016-10-20 08:19:56
18254282,49281957,45865831,542851347,538904386,1157,f,t,2016-10-26 14:05:27,2016-10-29 05:57:34
18337056,45865831,45865831,544520624,538904386,1161,t,t,2016-10-28 19:44:10,2016-10-29 03:32:20
18347203,45865831,45865831,544721079,544694903,1162,t,t,2016-10-29 04:56:16,2016-10-29 05:40:53
18357323,49281957,45865831,545009147,544737239,1163,f,t,2016-10-29 18:39:58,2016-10-31 23:41:38
18461294,18810717,45865831,547326109,544733224,1164,f,t,2016-11-02 08:45:36,2016-11-07 22:14:51
18556628,45865831,45865831,549517456,546379894,1166,t,t,2016-11-05 00:10:07,2016-11-10 00:01:07
18611415,50168413,45865831,551187018,544733224,1168,f,f,2016-11-07 15:06:52,2016-11-07 22:11:34
18611570,50168413,45865831,551192914,544733224,1169,f,t,2016-11-07 15:10:44,2016-11-11 17:25:58
18614765,50168413,45865831,551257148,544733224,1171,f,f,2016-11-07 16:31:34,2016-11-07 22:16:30
18617208,37979825,45865831,551297468,546379894,1173,f,t,2016-11-07 17:45:51,2016-11-07 22:09:19
18621777,18810717,45865831,547326109,546379894,1174,f,t,2016-11-07 19:48:10,2016-11-07 22:16:06
18625924,45865831,45865831,551471913,546379894,1175,t,t,2016-11-07 21:54:23,2016-11-08 18:18:13
18626645,45865831,45865831,551485514,551484835,1176,t,f,2016-11-07 22:15:50,2016-11-07 22:15:56
18626872,50168413,45865831,551257148,551485765,1177,f,t,2016-11-07 22:23:26,2016-11-11 17:33:48
18655458,50168413,45865831,552188444,551320961,1178,f,t,2016-11-08 18:54:26,2016-11-08 23:33:39
18657732,50168413,45865831,552242910,552164704,1180,f,t,2016-11-08 20:13:05,2016-11-08 23:19:49
18663042,50168413,45865831,551187018,552164704,1181,f,t,2016-11-08 23:15:24,2016-11-11 17:17:22
18663706,45865831,45865831,552375017,552365001,1182,t,t,2016-11-08 23:38:13,2016-11-09 22:08:47
18664015,45865831,45865831,552382211,552365001,1183,t,t,2016-11-08 23:51:29,2016-11-09 00:48:20
18664109,50168413,45865831,552384534,552375017,1184,f,f,2016-11-08 23:55:45,2016-11-08 23:59:40
18672700,38593522,45865831,552646540,552410383,1185,f,t,2016-11-09 09:42:18,2016-11-09 18:22:06
18678124,50168413,45865831,552791096,552410623,1186,f,t,2016-11-09 13:55:21,2016-11-09 19:46:23
18693669,30817099,45865831,553128402,553089681,1187,f,t,2016-11-09 23:24:43,2016-11-11 17:08:46
18730615,45865831,45865831,553907318,553144751,1188,t,t,2016-11-11 01:10:10,2016-11-11 01:58:15
18731600,45865831,45865831,553913400,553144751,1189,t,t,2016-11-11 01:56:43,2016-11-11 18:04:10
