id,head_repo_id,base_repo_id,head_commit_id,base_commit_id,pullreq_id,intra_branch,merged,opened_at,closed_at
5072630,245983,12752196,4100124,74668082,278,f,f,2012-02-23 22:11:07,2013-12-07 20:36:47
6549939,708140,12752196,21759169,175269620,632,f,f,2012-10-30 14:30:38,2015-03-09 14:06:52
5067765,4629122,12752196,51402461,175269620,930,f,f,2013-07-19 12:47:40,2015-03-31 14:39:40
5566635,14072912,12752196,154336894,175269620,946,f,f,2013-08-06 20:49:56,2015-02-03 19:01:44
5985998,6468389,12752196,71959674,74668082,1043,f,f,2013-11-19 21:50:52,2013-12-02 06:42:21
5010695,935867,12752196,74244551,155262107,1061,f,f,2013-12-06 07:45:42,2014-12-15 17:01:01
8615903,3340471,12752196,79057640,78940514,1084,f,f,2013-12-24 05:42:44,2015-07-24 15:57:05
5465816,7190321,12752196,80353957,155262107,1092,f,f,2013-12-31 23:15:43,2014-10-17 06:35:19
5566613,7191015,12752196,149126420,155262107,1095,f,f,2014-01-01 03:32:06,2015-03-14 05:02:14
7715761,7274472,12752196,82493954,80639482,1105,f,f,2014-01-09 06:34:55,2014-01-21 07:36:45
5168588,7424925,12752196,83131150,155262107,1114,f,f,2014-01-15 21:18:35,2015-02-02 07:50:10
5082622,7766016,12752196,86852332,155262107,1124,f,f,2014-02-03 22:40:18,2014-11-21 19:33:44
5536711,8847148,12752196,99338432,155262107,1172,f,t,2014-03-27 04:01:33,2014-09-13 04:28:40
5566589,10801984,12752196,136867336,155262107,1218,f,f,2014-05-17 20:00:03,2014-12-15 16:58:48
6048589,11045062,12752196,142364846,142330620,1287,f,f,2014-07-27 10:01:02,2015-02-11 09:07:07
5087933,2744700,12752196,153425170,155262107,1320,f,f,2014-08-22 21:22:35,2014-10-29 18:50:03
5102801,5346057,12752196,156879531,155262107,1349,f,f,2014-09-09 06:50:19,2015-06-05 10:58:46
5197689,10792215,12752196,157348060,155262097,1357,f,f,2014-09-13 04:15:44,2014-12-11 05:03:46
5573459,10792215,12752196,157348970,155262098,1358,f,t,2014-09-13 04:54:27,2014-10-17 05:32:38
5540577,11685141,12752196,155962889,155262097,1360,f,f,2014-09-14 00:25:26,2015-05-01 15:39:12
5339178,11748729,12752196,166657724,157167395,1368,f,f,2014-09-22 05:27:24,2014-12-15 00:17:21
5136323,12173272,12752196,161614668,161614561,1379,f,f,2014-10-01 07:47:01,2014-11-02 23:00:44
5010278,420668,12752196,173289814,172913242,1391,f,f,2014-10-14 16:22:00,2014-10-21 18:51:01
5014501,12723672,12752196,174064936,173347778,1396,f,f,2014-10-19 14:58:19,2014-10-29 18:52:25
5001625,12752457,12752196,174535880,173347778,1398,f,f,2014-10-20 18:25:47,2014-10-20 18:43:11
5008172,935867,12752196,174784286,174746480,1400,f,f,2014-10-21 09:52:43,
5018394,10792215,12752196,175324719,175269620,1401,f,f,2014-10-22 05:03:41,2014-12-01 08:59:37
5070518,12932780,12752196,177510807,175759655,1404,f,f,2014-10-27 14:39:56,2014-10-29 18:49:06
5101663,13005158,12752196,178963005,175759655,1406,f,f,2014-10-29 20:30:38,2014-10-30 15:51:54
5123988,12422608,12752196,179953938,179111979,1409,f,f,2014-10-31 22:11:44,2014-11-27 07:14:19
5126778,12422608,12752196,180080854,179111979,1410,f,f,2014-11-01 12:51:53,2014-11-27 15:59:05
5131097,13075648,12752196,180261929,179111979,1412,f,f,2014-11-02 03:47:06,2014-11-02 04:08:17
5136301,10792215,12752196,180530231,180528949,1414,f,f,2014-11-02 22:56:25,2014-11-02 22:56:36
5136531,10792215,12752196,180539313,180530457,1415,f,f,2014-11-02 23:44:43,2014-11-03 15:59:09
5442090,12422608,12752196,185787513,180844562,1423,f,f,2014-11-07 20:33:06,2014-12-14 14:17:51
5223501,13431170,12752196,184301275,180844562,1424,f,f,2014-11-09 20:51:00,2015-07-10 02:24:18
