id,head_repo_id,base_repo_id,head_commit_id,base_commit_id,pullreq_id,intra_branch,merged,opened_at,closed_at
16116592,42884525,42214069,488127849,487866818,30,f,t,2016-08-09 00:52:54,2016-08-09 12:23:41
16126454,42976183,42214069,488224419,488224413,31,f,t,2016-08-09 11:42:21,2016-08-11 07:51:36
16158755,42884525,42214069,489001950,489001947,32,f,t,2016-08-10 12:57:03,2016-08-10 13:38:42
16202483,39310383,42214069,490197812,490197805,40,f,t,2016-08-11 20:00:42,2016-08-16 15:01:25
16216185,43397584,42214069,490992243,490931630,41,f,t,2016-08-11 23:07:20,2016-08-13 22:48:17
16215724,42843212,42214069,490931635,490931630,42,f,f,2016-08-12 08:48:20,2016-11-02 16:53:30
16218682,39310383,42214069,491160721,490197805,43,f,t,2016-08-12 19:12:08,2016-08-15 14:00:02
16243942,43397584,42214069,493199341,493139876,44,f,f,2016-08-14 02:57:26,2016-08-16 05:18:42
16269414,43557353,42214069,493851292,493139876,45,f,t,2016-08-15 13:43:40,2016-08-16 14:46:41
16269646,43557353,42214069,493856361,493139876,46,f,f,2016-08-15 13:54:02,2016-08-26 13:30:02
16300363,42976183,42214069,494493685,493860209,49,f,t,2016-08-16 14:13:56,2016-08-29 09:01:12
16301946,39310383,42214069,494525034,494521803,50,f,t,2016-08-16 15:06:36,2016-08-16 18:39:12
16302752,39310383,42214069,494543074,494521803,53,f,t,2016-08-16 16:28:59,2016-08-16 18:59:29
16310299,43637265,42214069,494579316,494529044,54,f,t,2016-08-16 19:36:59,2016-08-16 19:39:07
16311181,39310383,42214069,494584679,494529039,55,f,t,2016-08-16 20:14:51,2016-08-17 19:30:09
16314038,43557353,42214069,494599942,494529082,56,f,t,2016-08-16 22:10:19,2016-08-16 22:47:44
16315006,39310383,42214069,494604845,494529081,57,f,f,2016-08-16 22:56:51,2016-08-17 22:22:08
16315240,43637265,42214069,494606473,494606468,58,f,t,2016-08-16 23:11:24,2016-08-16 23:41:06
16302163,43637265,42214069,494529049,494529039,59,f,t,2016-08-16 23:15:21,2016-08-17 07:21:57
16302174,43637270,42214069,494529084,494529081,60,f,t,2016-08-17 04:09:34,2016-08-19 19:00:06
16325570,43637265,42214069,494660756,494581798,62,f,t,2016-08-17 11:26:51,2016-08-17 22:45:06
16329167,43637265,42214069,494690926,494581798,63,f,t,2016-08-17 13:59:26,2016-09-16 06:51:49
16332788,39310383,42214069,494755117,494581798,65,f,t,2016-08-17 15:49:25,2016-08-17 19:43:04
16337523,43702550,42214069,494829100,494581798,68,f,t,2016-08-17 18:42:36,2016-08-17 21:50:38
16342877,39310383,42214069,494930678,494930676,69,f,t,2016-08-17 21:59:23,2016-08-17 21:59:32
16343129,43715480,42214069,494932095,494932093,70,f,t,2016-08-17 22:04:26,2016-08-18 19:36:49
16344135,39310383,42214069,494966693,494966690,71,f,t,2016-08-17 22:47:35,2016-08-19 17:49:34
16350024,43637270,42214069,495454337,495454336,72,f,f,2016-08-18 05:12:12,2016-08-18 10:04:55
16350066,43637270,42214069,495456509,495454336,73,f,t,2016-08-18 05:15:32,2016-08-18 08:40:26
16350445,39310383,42214069,495561286,495561261,74,f,t,2016-08-18 05:46:53,2016-08-18 13:34:46
16371090,39310383,42214069,496144438,495925539,76,f,t,2016-08-18 20:02:45,2016-08-19 09:18:52
16371129,39310383,42214069,496145171,495827968,77,f,t,2016-08-18 20:04:05,2016-08-19 09:16:18
16372119,39310383,42214069,496163659,495925539,78,f,t,2016-08-18 20:39:22,2016-08-19 09:33:21
16373635,43397584,42214069,496191480,495925539,79,f,t,2016-08-18 21:30:00,2016-08-18 23:43:13
16387924,43846389,42214069,496524884,496131894,81,f,t,2016-08-19 11:33:50,2016-08-22 12:46:00
16388838,43397584,42214069,496532789,496472071,82,f,t,2016-08-19 12:19:29,2016-08-19 17:48:18
16395602,43637265,42214069,496679644,496131894,83,f,t,2016-08-19 16:38:48,2016-08-26 18:05:26
16401237,43637270,42214069,495743758,496765020,85,f,f,2016-08-19 20:03:38,2016-08-20 16:07:56
16404687,43397584,42214069,496860268,496724119,87,f,t,2016-08-19 22:29:34,2016-08-19 23:14:47
16405943,43397584,42214069,496887425,496883027,88,f,f,2016-08-19 23:52:00,2016-08-20 00:39:26
16406516,43397584,42214069,496887425,496883027,89,f,f,2016-08-20 00:41:09,2016-08-20 00:42:14
16406544,43397584,42214069,496887425,496883027,90,f,f,2016-08-20 00:42:50,2016-08-20 04:46:37
16408758,43397584,42214069,496887425,496883027,91,f,t,2016-08-20 04:47:54,2016-08-20 09:09:18
16413803,43557353,42214069,497124587,496877503,93,f,t,2016-08-20 14:17:25,2016-08-20 16:09:49
16415222,43637265,42214069,497162858,496878024,94,f,t,2016-08-20 16:06:36,2016-08-23 22:01:13
16417958,43397584,42214069,497233903,497165493,96,f,t,2016-08-20 19:34:29,2016-08-21 10:05:36
16428390,43715480,42214069,497550215,497165490,97,f,t,2016-08-21 14:36:20,2016-08-23 00:53:23
16458544,43715480,42214069,498271063,497164712,104,f,t,2016-08-22 19:11:27,2016-08-23 00:49:18
16465909,44049353,42214069,498415007,497164712,105,f,f,2016-08-23 00:33:56,2016-09-16 10:48:03
16466432,39310383,42214069,498425353,498420172,106,f,t,2016-08-23 01:03:18,2016-08-23 02:27:08
16466466,39310383,42214069,498425966,498057416,107,f,t,2016-08-23 01:05:14,2016-08-23 02:27:24
16470143,39310383,42214069,498518572,498421630,108,f,t,2016-08-23 05:32:49,2016-08-23 09:06:03
16470653,39310383,42214069,498530961,498421630,109,f,t,2016-08-23 06:12:04,2016-08-23 07:52:47
16473283,42095318,42214069,498593771,498573135,115,f,t,2016-08-23 08:37:51,2016-08-23 14:49:08
16482233,42214069,42214069,498781899,498773866,119,t,t,2016-08-23 14:51:41,2016-08-23 14:52:08
16482246,42214069,42214069,498782069,498773680,120,t,t,2016-08-23 14:52:01,2016-08-23 14:52:15
16483843,39310383,42214069,498815096,498780229,122,f,t,2016-08-23 15:47:14,2016-08-23 18:40:45
16484609,43846389,42214069,498822874,498780229,124,f,f,2016-08-23 16:13:24,2016-08-24 01:15:34
16487571,43397584,42214069,498889387,498780229,127,f,f,2016-08-23 18:08:59,2016-08-23 18:20:15
16490446,44113801,42214069,498945172,498907029,128,f,f,2016-08-23 19:55:48,
16491686,44113801,42214069,498969956,498907029,129,f,t,2016-08-23 20:43:01,2016-08-25 16:01:11
16493658,43715480,42214069,499006321,498907029,131,f,t,2016-08-23 21:56:07,2016-08-23 22:35:45
16493826,39310383,42214069,499009699,499008631,132,f,t,2016-08-23 22:03:46,2016-08-25 20:27:10
16494594,39310383,42214069,499024530,499023472,133,f,t,2016-08-23 22:38:36,2016-08-24 09:55:44
16495951,44123653,42214069,499051870,499023472,134,f,t,2016-08-23 23:52:58,2016-08-24 01:09:01
16496633,42214069,42214069,499065151,499023472,137,t,t,2016-08-24 00:32:52,2016-08-24 01:14:37
16497817,44126661,42214069,499087351,498784173,142,f,t,2016-08-24 01:46:34,2016-08-26 10:36:51
16498883,43397584,42214069,499115299,499108666,143,f,t,2016-08-24 02:56:02,2016-08-24 10:19:37
16504416,43637265,42214069,499252510,499212095,144,f,t,2016-08-24 08:47:11,2016-11-11 16:24:43
16505193,42884525,42214069,499236432,499079631,145,f,f,2016-08-24 09:20:56,2016-08-26 09:15:31
16505989,43846389,42214069,499288655,499287597,146,f,t,2016-08-24 09:57:53,2016-08-26 16:12:51
16509413,44165861,42214069,499365464,499300391,147,f,f,2016-08-24 12:43:06,2016-08-25 09:01:35
16516485,42976183,42214069,499487759,499299269,148,f,t,2016-08-24 16:09:44,2016-09-22 10:23:22
16518354,43637265,42214069,499466409,499300391,149,f,t,2016-08-24 17:02:45,2016-08-25 06:54:48
16526311,44123653,42214069,499660795,499300391,150,f,f,2016-08-24 22:01:46,2018-11-20 19:34:07
16530318,43637265,42214069,499742904,499300391,151,f,t,2016-08-25 01:52:38,2016-08-26 08:28:20
16531208,42214069,42214069,499770969,499299269,152,t,f,2016-08-25 02:53:05,2016-08-25 07:22:47
16534639,39310383,42214069,499861006,499299269,153,f,t,2016-08-25 06:59:09,2016-08-25 08:39:12
16535510,44186391,42214069,499881123,499299269,154,f,t,2016-08-25 07:45:58,2016-08-29 08:42:41
16538974,44165861,42214069,499943352,499906022,155,f,t,2016-08-25 09:58:23,2016-09-22 00:24:59
16552005,43557353,42214069,500201980,499906022,157,f,t,2016-08-25 17:46:40,2016-08-26 08:42:51
16554141,43397584,42214069,500249694,500145825,167,f,t,2016-08-25 19:07:35,2016-08-25 19:36:26
16554923,43557353,42214069,500266613,499906022,168,f,t,2016-08-25 19:39:05,2016-08-26 08:36:05
16555390,43637265,42214069,500271930,500265294,170,f,t,2016-08-25 19:57:04,2016-08-26 15:44:48
16556317,43637265,42214069,500296263,500292666,171,f,t,2016-08-25 20:33:19,2016-08-26 18:24:21
16570357,43557353,42214069,500627691,500586957,173,f,t,2016-08-26 10:04:51,2016-08-26 12:05:30
16573133,43557353,42214069,500687778,500679015,174,f,t,2016-08-26 12:25:59,2016-08-26 19:07:48
16579311,43846389,42214069,500808742,500794109,175,f,f,2016-08-26 16:11:52,2016-09-19 21:07:49
16585419,39310383,42214069,500915332,500894718,179,f,t,2016-08-26 19:52:27,2016-08-26 20:07:11
16585869,39310383,42214069,500923090,500922036,180,f,t,2016-08-26 20:10:51,2016-08-26 21:55:21
16588319,44342516,42214069,500970464,500921682,182,f,t,2016-08-26 21:55:19,2016-08-26 23:43:20
16590316,39310383,42214069,501010352,500970435,183,f,t,2016-08-26 23:45:58,2016-08-28 03:06:49
16599515,43637265,42214069,501276765,501009662,184,f,t,2016-08-27 15:09:29,2016-09-02 12:45:25
16613222,42884525,42214069,501672877,501009662,186,f,t,2016-08-28 13:59:47,2016-09-13 12:59:57
16634153,43557353,42214069,502230888,502095659,187,f,f,2016-08-29 13:51:04,2016-09-15 22:53:55
16637356,43557353,42214069,502297469,502095659,188,f,t,2016-08-29 15:46:17,2016-09-21 21:18:41
16648500,44513872,42214069,502524422,502095659,189,f,f,2016-08-29 22:55:53,2017-06-07 15:51:00
16687557,44283957,42214069,503083703,502095659,191,f,t,2016-08-31 06:16:13,2016-08-31 22:30:32
16695490,44342516,42214069,503207779,502096147,193,f,t,2016-08-31 21:07:41,2016-09-08 19:08:05
16710217,43397584,42214069,503392626,503392623,194,f,t,2016-09-01 00:34:54,2016-09-01 09:37:14
16726276,43637265,42214069,504040563,504040557,195,f,t,2016-09-01 13:56:08,2016-09-09 16:56:42
16750809,43557353,42214069,505485907,504900447,196,f,t,2016-09-02 09:25:17,2016-09-02 10:43:37
16753729,42214069,42214069,505540426,504901117,198,t,t,2016-09-02 11:28:28,2016-09-02 12:45:31
16753747,42214069,42214069,505540629,505521431,199,t,t,2016-09-02 11:29:01,2016-09-02 12:45:36
16891888,43557353,42214069,508778205,505573981,203,f,f,2016-09-07 14:56:23,2016-09-15 16:23:29
16912704,39310383,42214069,509241637,505573981,204,f,t,2016-09-08 19:10:30,2016-09-08 19:58:45
16912742,39310383,42214069,509242787,505573923,205,f,t,2016-09-08 19:11:59,2016-09-08 19:58:52
16915435,44342516,42214069,509292334,509239751,206,f,f,2016-09-08 20:46:14,2016-09-13 12:45:21
16921268,39310383,42214069,509395205,509239751,207,f,t,2016-09-09 01:00:13,2016-09-09 01:03:43
