id,head_repo_id,base_repo_id,head_commit_id,base_commit_id,pullreq_id,intra_branch,merged,opened_at,closed_at
970028,343301,21343,26606401,26606387,1,f,t,2012-01-25 08:19:44,2012-01-25 08:20:22
861529,343301,21343,26606415,26606374,2,f,t,2012-01-25 08:56:33,2012-01-25 09:51:53
861850,343301,21343,26607519,26607514,3,f,t,2012-01-25 18:15:39,2012-01-25 18:15:47
271563,343301,21343,7558050,7558047,4,f,t,2012-02-07 15:28:10,2012-02-07 15:31:37
274260,343301,21343,7626043,7626032,5,f,t,2012-02-13 14:46:33,2012-02-13 14:46:42
274754,343301,21343,7637182,7637180,6,f,t,2012-02-14 14:14:40,2012-02-14 14:14:53
373976,21343,21343,11246962,11246957,7,t,f,2012-02-15 14:28:08,2012-02-15 15:33:27
279345,343301,21343,7765706,7765702,8,f,t,2012-02-24 09:23:54,2012-02-24 09:28:14
866539,343301,21343,26638417,26638415,9,f,t,2012-03-05 09:34:56,2012-03-05 09:40:48
281603,547042,21343,7827115,7827108,10,f,t,2012-03-14 16:28:25,2012-03-15 14:37:17
282130,21343,21343,7839248,7839231,11,t,t,2012-03-15 09:58:11,2012-03-27 15:52:17
282347,547042,21343,7844614,7827115,12,f,t,2012-03-15 16:43:38,2012-03-16 09:31:22
282717,343301,21343,7852720,7827115,13,f,t,2012-03-16 07:27:25,2012-03-16 09:10:24
282809,547042,21343,7854898,7854885,14,f,t,2012-03-16 11:55:42,2012-03-16 12:24:34
284427,122935,21343,7895908,7895905,15,f,t,2012-03-20 00:10:06,2012-03-25 07:14:17
284722,547042,21343,7903194,7895905,16,f,t,2012-03-20 13:01:09,2012-03-22 17:05:50
285956,122935,21343,7920317,7839231,17,f,t,2012-03-21 12:10:49,2012-03-27 08:38:20
285957,122935,21343,7920343,7839231,18,f,t,2012-03-21 12:11:15,2012-03-27 08:43:02
287654,343301,21343,7954235,7903194,19,f,t,2012-03-23 15:15:00,2012-03-23 15:15:09
289352,122935,21343,8003575,8003561,20,f,t,2012-03-27 10:09:46,2012-03-28 14:58:31
289433,122935,21343,8005481,8005478,21,f,f,2012-03-27 12:49:06,2012-03-27 17:18:23
290064,122935,21343,8021669,8021661,22,f,t,2012-03-28 13:15:36,2012-03-28 14:56:45
290086,122935,21343,8005481,8021661,23,f,t,2012-03-28 13:48:56,2012-03-29 02:24:27
291490,122935,21343,8062193,8062190,24,f,t,2012-03-30 22:17:19,2012-03-31 23:27:59
295993,122935,21343,8196426,8196397,25,f,f,2012-04-10 03:38:40,2012-04-11 04:41:04
296146,343301,21343,8200995,8196397,26,f,t,2012-04-10 11:44:31,2012-04-10 11:46:04
296622,122935,21343,8214744,8200995,27,f,t,2012-04-11 04:40:08,2012-04-13 04:29:18
297840,122935,21343,8249700,8249696,28,f,t,2012-04-13 09:23:52,2012-04-16 09:51:25
300802,343301,21343,8356501,8356495,29,f,t,2012-04-19 14:39:27,2012-04-19 14:41:02
301144,343301,21343,8366793,8366787,30,f,t,2012-04-20 07:35:06,2012-04-20 07:36:04
301168,343301,21343,8367570,8366793,31,f,t,2012-04-20 08:36:48,2012-04-20 08:38:05
301592,343301,21343,8385838,8385833,32,f,t,2012-04-21 09:00:47,2012-04-21 09:01:00
301599,343301,21343,8386127,8386122,33,f,t,2012-04-21 09:54:21,2012-04-21 09:54:32
302235,343301,21343,8405344,8405340,34,f,t,2012-04-23 12:00:48,2012-04-23 12:01:58
302684,343301,21343,8417381,8417375,35,f,t,2012-04-24 06:17:22,2012-04-24 06:18:35
303227,343301,21343,8433750,8433747,36,f,t,2012-04-25 05:49:57,2012-04-25 05:51:35
303277,136957,21343,5220617,8435122,37,f,t,2012-04-25 07:33:59,2012-04-27 04:51:51
303802,136957,21343,8450655,8450651,38,f,t,2012-04-26 03:46:41,2012-04-26 03:46:52
303806,136957,21343,8450734,8450729,39,f,t,2012-04-26 04:00:35,2012-04-26 04:01:16
303807,136957,21343,8450745,8450729,40,f,t,2012-04-26 04:00:58,2012-04-26 04:01:29
303811,136957,21343,8450802,5199216,41,f,f,2012-04-26 04:08:33,2012-04-27 04:52:05
303812,136957,21343,5220614,5220617,42,f,t,2012-04-26 04:16:41,2012-04-27 05:17:50
303833,136957,21343,8450799,8451515,43,f,t,2012-04-26 05:29:15,2012-04-26 11:57:34
303868,136957,21343,8452338,8451515,44,f,t,2012-04-26 06:50:41,2012-04-26 06:50:58
303870,136957,21343,8452403,8452400,45,f,t,2012-04-26 06:58:02,2012-04-26 06:58:08
303921,343301,21343,8450796,8453888,46,f,t,2012-04-26 10:15:58,2012-04-26 10:19:08
304023,343301,21343,5199209,5199216,47,f,t,2012-04-26 13:23:50,2012-04-26 13:24:32
103898,343301,21343,5199218,5199209,48,f,t,2012-04-26 13:38:29,2012-04-26 13:39:09
105203,343301,21343,5220621,5220614,49,f,t,2012-04-27 12:13:41,2012-04-27 12:14:51
109979,136957,21343,5304793,5304786,50,f,f,2012-05-02 09:55:51,2012-05-02 18:32:22
117534,136957,21343,2700664,2700669,51,f,t,2012-05-03 09:07:36,2012-05-09 07:43:01
111214,136957,21343,2700667,2700669,52,f,t,2012-05-03 09:07:48,2012-05-09 07:43:10
111385,343301,21343,5329069,5329053,53,f,t,2012-05-03 12:14:25,2012-05-03 12:18:10
112425,136957,21343,5347659,5347646,54,f,t,2012-05-04 08:12:52,2012-05-04 08:13:18
116078,122935,21343,2700679,2700687,55,f,t,2012-05-08 04:47:39,2012-05-08 10:19:12
141937,122935,21343,2700610,2700632,56,f,t,2012-05-31 04:12:17,2012-06-12 00:02:10
150229,122935,21343,2700619,2700616,57,f,t,2012-06-06 06:39:39,2012-06-07 06:12:47
150221,122935,21343,2700614,2700616,58,f,t,2012-06-07 05:58:34,2012-06-11 23:59:26
155631,122935,21343,2700593,2700603,59,f,t,2012-06-12 00:29:26,2012-06-12 12:01:38
155893,122935,21343,6026451,2700603,60,f,f,2012-06-12 06:35:29,2012-06-13 00:15:29
156287,343301,21343,2700598,2700593,61,f,t,2012-06-12 12:15:05,2012-06-12 12:15:35
156546,343301,21343,2700587,2700589,62,f,t,2012-06-12 14:48:12,2012-06-12 14:50:29
166675,343301,21343,2700547,2700550,63,f,t,2012-06-20 10:15:28,2012-06-20 10:17:49
168474,122935,21343,2700535,2700538,64,f,t,2012-06-21 08:50:14,2012-06-21 08:53:07
180115,136957,21343,2700501,2700535,65,f,t,2012-06-28 14:39:30,2012-06-29 16:35:05
188724,21344,21343,2700494,2700462,66,f,t,2012-07-04 12:01:20,2012-07-05 09:14:17
192260,136957,21343,2700449,2700450,67,f,t,2012-07-06 11:06:59,2012-07-17 12:46:33
194747,21344,21343,6545146,2700490,68,f,f,2012-07-07 15:39:12,2012-09-12 08:21:39
199120,136957,21343,6596320,2700469,69,f,f,2012-07-10 14:04:24,2012-07-17 12:37:02
205201,21344,21343,6677336,2700469,70,f,f,2012-07-13 13:22:43,2012-07-13 15:10:24
205335,21344,21343,6679379,2700469,71,f,f,2012-07-13 14:24:39,2012-07-13 15:11:48
205436,21344,21343,2700446,2700447,72,f,t,2012-07-13 15:11:13,2012-07-18 07:27:41
209577,122935,21343,2700455,2700460,73,f,t,2012-07-16 13:05:34,2012-07-17 06:49:45
211037,136957,21343,6748348,2700442,74,f,f,2012-07-17 04:59:52,2012-07-20 05:52:58
214244,136957,21343,2618161,2618077,75,f,t,2012-07-18 12:14:47,2012-07-26 06:38:56
215865,122935,21343,6805688,2700442,76,f,f,2012-07-19 06:34:48,2012-07-25 03:23:27
225997,122935,21343,2618053,2618056,77,f,t,2012-07-25 03:06:12,2012-07-25 09:49:40
874295,21344,21343,328671,2618161,78,f,t,2012-07-29 19:16:44,2012-07-30 06:10:25
231662,21344,21343,328656,328662,79,f,f,2012-08-03 16:19:02,2012-08-05 10:54:52
