id,head_repo_id,base_repo_id,head_commit_id,base_commit_id,pullreq_id,intra_branch,merged,opened_at,closed_at
5684984,7122602,11601448,80128885,80128690,110,f,t,2013-12-27 01:13:54,2013-12-30 12:51:05
5655990,7432371,11601448,84388536,83092496,178,f,f,2014-01-16 00:47:52,2014-01-24 16:11:47
4888536,6723105,11601448,83944472,154325672,181,f,f,2014-01-17 02:29:05,2014-10-07 11:46:56
4888529,6723105,11601448,83906346,154325672,182,f,f,2014-01-17 02:52:05,2014-10-07 11:46:20
5461176,8335536,11601448,104017554,154325672,327,f,f,2014-04-08 18:40:17,2015-01-02 21:31:39
4568708,7798757,11601448,106317902,154325672,349,f,f,2014-04-30 08:51:13,2014-09-12 17:53:37
4675139,11005905,11601448,141453860,154325672,542,f,f,2014-07-25 07:23:23,2014-09-12 17:42:20
4509713,11601448,11601448,154304124,154325672,551,t,t,2014-07-31 14:09:48,2014-08-27 08:27:53
4675128,8082027,11601448,157307155,154325672,555,f,f,2014-08-04 22:19:03,2014-09-12 17:41:18
4675113,11258560,11601448,146774693,154325672,558,f,f,2014-08-08 12:44:24,2014-09-12 17:39:03
4643804,11333159,11601448,148317749,154325672,560,f,f,2014-08-11 10:15:53,2014-10-14 10:50:31
4511257,11375772,11601448,154420323,154325672,562,f,f,2014-08-13 17:55:55,2014-09-28 10:39:20
4596243,11404027,11601448,151364303,154325672,568,f,f,2014-08-15 13:44:20,2014-10-08 12:20:51
4620825,11377327,11601448,152393649,154325672,569,f,f,2014-08-15 14:38:07,2014-09-23 11:43:28
4590985,11502270,11601448,156183192,154336549,579,f,f,2014-08-20 10:14:03,2015-07-08 10:14:45
4992235,11537481,11601448,153477669,154325672,586,f,f,2014-08-21 22:54:08,2014-10-26 20:14:28
4509054,10553251,11601448,154356625,154325672,594,f,f,2014-08-26 23:47:35,2014-08-28 18:47:57
4517746,6469715,11601448,154615712,154336521,595,f,f,2014-08-27 00:21:44,2014-09-23 11:31:26
4508666,10553251,11601448,154344935,154325672,596,f,f,2014-08-27 00:45:18,2014-08-28 18:47:57
4523218,5776415,11601448,154800520,154304124,597,f,f,2014-08-27 12:01:18,2014-08-28 15:03:21
4530576,11601780,11601448,155056091,154304124,599,f,f,2014-08-27 23:39:39,2014-09-19 23:54:58
4531571,11601783,11601448,155084933,154336520,601,f,f,2014-08-28 02:45:33,2014-10-05 17:14:29
4531680,11601783,11601448,155087801,154304124,602,f,f,2014-08-28 03:11:15,2014-08-29 11:50:57
4531940,11601783,11601448,155097527,154336521,604,f,f,2014-08-28 06:28:24,2015-04-13 12:31:38
4532908,9744578,11601448,155127466,154304124,605,f,f,2014-08-28 06:35:41,2014-08-28 06:36:30
4518888,5776415,11601448,154655768,154336549,606,f,f,2014-08-28 18:26:44,2014-09-28 10:39:20
4541642,10553251,11601448,155379187,154336550,607,f,f,2014-08-28 20:00:41,2014-08-28 20:11:28
4543862,10553251,11601448,155439966,154336549,608,f,f,2014-08-29 01:51:13,2014-08-30 12:54:11
4544013,10553251,11601448,155442870,154336549,609,f,f,2014-08-29 02:24:12,2014-08-29 12:27:09
4560371,11601790,11601448,155809475,154336541,613,f,f,2014-08-31 03:00:52,2014-08-31 15:21:55
4568238,11601801,11601448,155926553,154336538,614,f,f,2014-09-01 10:17:26,2014-09-02 19:17:47
4568240,11601801,11601448,155926573,154336538,615,f,f,2014-09-01 10:17:50,2014-09-02 10:30:11
4568241,11601801,11601448,155926574,154336538,616,f,f,2014-09-01 10:18:04,2014-09-02 19:20:10
4569531,11601801,11601448,155941918,154336538,617,f,f,2014-09-01 12:33:50,2014-09-02 19:06:48
4531696,10553251,11601448,155088062,154336521,620,f,f,2014-09-03 01:20:42,2014-09-05 17:35:11
4594652,11601809,11601448,156245882,154336521,621,f,f,2014-09-03 16:31:02,2014-10-08 10:21:41
4598363,11601814,11601448,156283081,154336521,622,f,f,2014-09-03 23:07:23,2014-09-04 04:05:00
4617681,10553251,11601448,154336519,154336520,624,f,t,2014-09-05 19:14:43,2014-09-08 21:37:46
4548312,11601801,11601448,155565725,154336520,625,f,f,2014-09-08 07:20:49,2014-09-12 17:29:54
4671983,11601822,11601448,157263737,154336519,630,f,f,2014-09-12 11:54:31,2014-09-18 14:45:30
4672298,10553251,11601448,157266589,154336512,631,f,f,2014-09-12 12:31:22,2014-09-16 10:22:18
4568366,11601827,11601448,155928174,154336519,632,f,f,2014-09-12 13:54:22,2014-09-12 17:21:38
4675949,11601828,11601448,157322911,154336512,633,f,f,2014-09-12 19:24:52,2014-09-16 10:22:18
4713216,11601835,11601448,157830443,154336510,635,f,f,2014-09-17 15:41:06,2014-09-17 16:03:55
4598133,10553251,11601448,156280949,154336505,637,f,f,2014-09-19 01:21:06,2014-09-21 13:10:59
4726126,10553251,11601448,157975429,154336505,638,f,f,2014-09-19 02:14:31,2014-09-20 22:40:51
4730108,10553251,11601448,158025133,154336505,641,f,f,2014-09-19 12:30:43,2014-09-20 00:01:11
4736614,10553251,11601448,156281020,157032047,643,f,t,2014-09-20 01:41:13,2014-09-20 22:36:46
4598138,11601839,11601448,156281023,156281008,645,f,f,2014-09-21 04:43:08,2014-09-25 08:01:36
4759459,10553251,11601448,158466368,156619041,648,f,f,2014-09-23 07:22:17,2014-09-23 10:29:39
4760617,11821227,11601448,158477181,156619041,649,f,f,2014-09-23 10:06:47,2014-09-23 11:25:21
4651024,11741461,11601448,157032067,157032034,650,f,f,2014-09-23 14:00:26,2014-09-27 17:16:50
4768182,10553251,11601448,158575198,158477061,653,f,f,2014-09-24 02:12:09,2014-09-30 23:50:36
4790534,11601448,11601448,158959957,158477061,654,t,f,2014-09-26 07:19:56,
4819018,12164601,11601448,161413931,161403468,658,f,f,2014-09-29 20:04:56,2014-10-03 12:20:02
4830425,10553251,11601448,161568485,159407213,660,f,f,2014-09-30 22:42:01,2014-10-05 17:56:37
4830662,10553251,11601448,161575349,159407213,661,f,f,2014-09-30 23:24:31,2014-10-09 01:46:59
4832504,10553251,11601448,161607408,161403486,664,f,f,2014-10-02 00:36:39,2014-10-10 09:30:05
4885808,12367006,11601448,165802149,164426302,670,f,f,2014-10-07 05:55:13,2014-10-08 10:15:20
4892721,11601448,11601448,166314847,158959957,672,t,f,2014-10-07 18:02:04,2014-10-30 19:22:16
4901268,11601448,11601448,167589759,167589699,673,t,f,2014-10-08 16:09:24,2014-10-10 09:30:05
4902103,12426595,11601448,167698217,167589699,675,f,f,2014-10-08 17:56:36,2014-10-21 07:53:30
4916640,12499897,11601448,169591642,169512053,677,f,f,2014-10-10 12:04:07,2014-10-10 14:35:19
4927122,5776415,11601448,171267881,169983090,679,f,f,2014-10-12 08:20:42,2015-02-02 12:12:29
4927881,7122602,11601448,171443031,169983090,680,f,f,2014-10-12 12:31:20,2014-10-14 10:50:32
5824227,14970526,11601448,204582904,172446815,683,f,f,2014-10-14 19:31:14,2014-10-15 11:51:19
4948944,12626960,11601448,172446885,172446815,686,f,f,2014-10-14 22:09:26,2014-10-15 11:48:27
4950604,4260570,11601448,172509253,172446815,687,f,f,2014-10-15 04:16:01,2014-10-15 10:30:10
4952600,12516298,11601448,172583059,172446815,688,f,f,2014-10-15 06:50:17,2014-10-15 10:30:10
4969869,10553251,11601448,173287067,173249793,692,f,f,2014-10-17 01:48:31,2014-10-17 11:54:35
5004475,10553251,11601448,174650068,174649343,694,f,f,2014-10-17 12:17:32,2014-10-21 00:45:32
4980187,6469715,11601448,173667990,173431958,696,f,f,2014-10-18 03:46:20,2014-10-21 07:47:36
4988310,8082027,11601448,174053161,174055011,699,f,f,2014-10-19 14:33:45,2014-10-19 17:04:24
4988953,11601448,11601448,174085672,174055011,700,t,f,2014-10-19 16:13:24,2014-10-21 18:22:40
5000415,12750154,11601448,174496273,174098263,702,f,f,2014-10-20 16:52:23,2014-10-21 00:38:31
5016627,12499897,11601448,175195459,175044477,707,f,f,2014-10-21 23:23:34,2014-10-26 19:30:13
5020921,10553251,11601448,175462350,175044477,710,f,f,2014-10-22 10:24:09,
5022351,12801674,11601448,175517964,175044477,711,f,f,2014-10-22 12:32:38,2014-11-24 12:28:01
5028247,12813368,11601448,175735095,175044477,713,f,f,2014-10-22 20:57:48,2014-10-22 21:05:28
5052414,12869946,11601448,176672320,176136017,717,f,f,2014-10-24 22:23:50,2014-10-24 23:32:21
5076337,12943359,11601448,177707849,177638817,724,f,f,2014-10-27 23:25:10,2014-10-29 00:53:41
5076946,12943359,11601448,177733248,177638817,725,f,f,2014-10-28 01:00:56,2014-10-29 00:22:49
5101777,10553251,11601448,179101549,178413289,728,f,f,2014-10-30 02:58:57,2014-11-15 20:03:09
5110633,11601448,11601448,179446136,178413289,731,t,f,2014-10-30 19:28:18,2014-11-03 17:11:20
5112044,13032340,11601448,179492740,178413289,732,f,f,2014-10-30 21:25:03,2014-12-08 00:52:49
5136110,12943359,11601448,180522975,178413289,737,f,f,2014-11-02 22:11:01,2014-11-07 02:02:30
5152279,6469715,11601448,181330016,180924805,744,f,f,2014-11-04 10:22:24,2014-11-05 18:07:33
5152863,5386685,11601448,181360812,180924805,745,f,f,2014-11-04 11:43:21,2014-11-04 11:43:55
5161407,12943359,11601448,181653229,181620714,749,f,f,2014-11-05 03:15:18,
5161493,10553251,11601448,181657473,181654046,750,f,f,2014-11-05 03:30:46,2014-11-05 03:38:40
5167633,11601448,11601448,181914614,181657473,751,t,f,2014-11-05 15:48:07,2014-11-23 19:29:53
5171481,11601448,11601448,182087047,181901939,752,t,f,2014-11-05 21:40:17,
5173054,11333159,11601448,182262384,181901939,753,f,f,2014-11-06 02:27:38,2014-11-16 16:37:32
5197871,13377323,11601448,184096018,181901939,754,f,f,2014-11-06 18:22:40,2014-11-14 20:30:06
5184067,10553251,11601448,183971826,183971823,755,f,f,2014-11-07 14:35:57,2014-11-20 01:09:07
5192211,6469715,11601448,184032468,183971823,761,f,f,2014-11-11 12:36:12,2014-11-11 22:04:39
5221805,13382496,11601448,184142507,184095658,763,f,f,2014-11-12 20:12:05,2014-11-13 00:09:38
5224115,13432410,11601448,184305726,184095658,765,f,f,2014-11-12 23:13:24,2014-12-08 00:40:27
5225038,13382496,11601448,184312600,184095657,766,f,f,2014-11-13 00:55:15,2014-11-13 01:57:40
5200090,13382496,11601448,184130724,184095656,769,f,f,2014-11-13 03:04:39,2014-11-15 01:58:38
5205785,7798757,11601448,184172701,184095656,774,f,f,2014-11-14 10:02:20,2014-12-03 01:20:26
5222606,10553251,11601448,184294061,183971830,776,f,f,2014-11-16 02:20:19,2014-11-20 14:19:49
5229492,13377323,11601448,184344752,184095654,780,f,f,2014-11-19 16:35:07,2014-12-03 00:06:47
5317267,10553251,11601448,184896353,184095653,781,f,f,2014-11-20 02:44:05,2014-11-24 14:29:23
5319094,13517564,11601448,184909260,184095653,782,f,f,2014-11-20 08:05:05,2014-11-23 14:09:38
5319148,13517564,11601448,184909530,184095653,783,f,f,2014-11-20 08:11:39,2014-11-23 14:06:11
5342549,13534400,11601448,185072502,184095652,788,f,f,2014-11-22 13:00:03,2014-11-23 02:49:32
5371014,11601448,11601448,185289483,184095641,790,t,f,2014-11-25 16:15:29,2014-11-27 23:11:20
5264108,12943359,11601448,184569827,184095638,794,f,f,2014-11-27 15:54:32,2014-11-28 19:21:43
5276354,6469715,11601448,184644581,184095630,798,f,f,2014-11-28 21:32:54,2015-04-16 19:39:26
5418857,13591987,11601448,185623478,184095630,801,f,f,2014-12-01 09:39:57,2014-12-01 14:09:01
5281154,11601448,11601448,184673501,184095629,804,t,f,2014-12-02 15:03:51,2014-12-05 16:19:23
5447714,13377323,11601448,185824641,184095627,809,f,f,2014-12-03 16:41:07,2014-12-05 02:52:29
5294176,13377323,11601448,184751306,184095627,811,f,f,2014-12-05 01:11:24,2014-12-24 21:26:17
5295288,11601448,11601448,184095624,184095625,817,t,t,2014-12-05 16:24:09,2014-12-06 10:51:22
5473327,9744578,11601448,185997839,184095624,818,f,f,2014-12-06 08:23:03,2014-12-07 06:02:08
5476445,13638292,11601448,186019023,184095624,819,f,f,2014-12-06 19:19:43,2014-12-23 19:32:11
5298974,7122602,11601448,184781716,184095624,820,f,f,2014-12-06 19:24:36,2014-12-08 00:22:58
5478949,13640421,11601448,186035280,184095624,821,f,f,2014-12-07 04:07:31,2014-12-07 15:01:50
5479905,13641031,11601448,186042348,184095624,822,f,f,2014-12-07 09:02:16,2015-02-05 08:03:54
5301535,7122602,11601448,184798669,184095619,823,f,f,2014-12-08 01:55:29,2014-12-08 12:46:07
5304184,7122602,11601448,184815367,184095612,825,f,f,2014-12-08 15:27:20,2014-12-31 16:07:13
5496658,13652930,11601448,186155511,184095609,827,f,f,2014-12-09 00:19:53,2014-12-09 00:31:05
5504149,13658716,11601448,186204417,184095609,828,f,f,2014-12-09 16:15:03,2014-12-11 04:06:30
5532653,13585438,11601448,186391391,186391388,830,f,f,2014-12-11 22:36:16,2014-12-15 19:00:10
5544351,13721076,11601448,186742772,186391388,833,f,f,2014-12-12 22:06:39,2015-01-15 04:03:44
5577801,14134442,11601448,195577832,195323740,838,f,f,2014-12-16 14:44:33,2014-12-17 02:31:27
5603243,11601448,11601448,196905875,195763440,841,t,f,2014-12-18 12:51:14,2014-12-19 23:05:15
5610281,9684766,11601448,197114502,195763440,843,f,f,2014-12-18 23:18:49,2014-12-23 19:32:11
5619320,14134442,11601448,197530210,195763440,847,f,f,2014-12-19 18:43:21,2014-12-23 19:32:11
5633258,14319518,11601448,197949390,197585441,850,f,f,2014-12-21 23:53:48,2015-06-12 16:15:46
5637917,10553251,11601448,198139246,197585441,851,f,f,2014-12-22 14:02:13,2014-12-22 20:36:48
5654259,11601822,11601448,199679802,199354076,854,f,f,2014-12-24 05:21:36,2014-12-24 05:29:40
5655879,6469715,11601448,199735295,199681026,856,f,f,2014-12-24 10:45:44,2014-12-24 18:50:14
5659353,13377323,11601448,199857853,199846169,858,f,f,2014-12-24 22:20:52,2015-01-15 04:03:44
5667993,6469715,11601448,200203394,199882069,859,f,f,2014-12-26 17:32:14,2014-12-28 05:28:47
5678391,14560443,11601448,200596746,200503628,861,f,f,2014-12-28 16:26:41,2014-12-29 00:00:35
5693424,10573687,11601448,201106870,200680084,864,f,f,2014-12-30 13:24:17,2014-12-31 14:06:34
5702818,6469715,11601448,201405369,201389305,868,f,f,2014-12-31 15:26:44,2015-01-04 22:20:16
5705278,6469715,11601448,201479037,201412618,870,f,f,2014-12-31 22:14:54,2015-01-02 03:40:09
5705774,6469715,11601448,201495449,201412618,871,f,f,2015-01-01 00:46:30,2015-01-20 16:00:11
5708561,11601448,11601448,201605129,201412618,873,t,f,2015-01-01 17:04:35,2015-01-02 21:31:39
5709032,14660652,11601448,201624124,201412618,874,f,f,2015-01-01 18:55:17,2015-01-15 04:06:58
5719731,14690682,11601448,201977131,201903151,876,f,f,2015-01-03 05:47:17,2015-01-04 13:52:39
5725162,14690682,11601448,202174090,201903151,877,f,f,2015-01-04 01:04:20,2015-01-04 13:03:44
5729866,14690682,11601448,202360332,202293583,879,f,f,2015-01-04 19:11:29,2015-01-06 05:08:00
5732282,12943359,11601448,202447651,202402308,880,f,f,2015-01-05 02:26:41,2015-01-27 15:36:09
5733998,7414277,11601448,202513838,202402308,881,f,f,2015-01-05 08:19:15,2015-01-05 13:10:34
5745685,14690682,11601448,202834582,202786030,882,f,f,2015-01-06 05:08:20,2015-01-15 04:03:44
5755863,11601448,11601448,203119468,202786030,886,t,f,2015-01-06 23:08:26,2015-01-07 12:58:33
5758585,14824179,11601448,203203144,202786030,888,f,f,2015-01-07 06:26:19,2015-01-08 19:00:24
5779548,5776415,11601448,203786664,203782522,889,f,f,2015-01-08 19:17:54,2015-01-08 22:00:17
5782430,5776415,11601448,203860928,203838372,890,f,f,2015-01-08 23:36:28,2015-01-15 04:03:44
