id,head_repo_id,base_repo_id,head_commit_id,base_commit_id,pullreq_id,intra_branch,merged,opened_at,closed_at
4806702,,12003159,,159490064,2,f,f,2014-07-24 14:19:17,2014-09-28 14:46:23
5806842,12099301,12003159,204568526,159490064,4,f,f,2014-07-28 07:12:12,2014-09-28 14:46:23
5806841,12099301,12003159,204568525,159490064,6,f,f,2014-07-29 13:56:51,2014-09-28 14:46:23
4806697,,12003159,,159490024,22,f,f,2014-08-07 11:49:29,2014-09-28 14:46:23
4806700,,12003159,,159490026,69,f,f,2014-09-03 08:33:22,2014-09-28 14:46:23
4806698,,12003159,,159489695,73,f,f,2014-09-05 06:50:13,2014-09-28 14:46:23
4806701,,12003159,,159490030,88,f,f,2014-09-12 11:57:55,2014-09-28 14:46:23
4806693,,12003159,,159489978,105,f,f,2014-09-24 13:30:11,2014-09-28 14:46:23
4806696,,12003159,,159489912,107,f,f,2014-09-26 07:25:45,2014-09-28 14:46:23
4806703,,12003159,,159489912,108,f,f,2014-09-26 07:46:45,2014-09-28 14:46:23
4806699,,12003159,,159489912,109,f,f,2014-09-26 08:15:20,2014-09-28 14:46:23
4806692,,12003159,,159489909,112,f,f,2014-09-26 09:02:57,2014-09-28 14:46:23
4806695,,12003159,,159489906,113,f,f,2014-09-26 13:44:07,2014-09-28 14:46:23
4810509,12086672,12003159,159490063,159835308,122,f,f,2014-09-29 03:36:52,
4811516,12099301,12003159,159917647,159835308,123,f,f,2014-09-29 06:40:20,2014-10-03 14:54:08
4811774,12100829,12003159,159950334,159835308,124,f,f,2014-09-29 07:11:11,2014-09-29 07:39:13
4811816,12099301,12003159,159954782,159835308,125,f,f,2014-09-29 07:16:35,2014-10-03 09:06:16
4812269,12104032,12003159,159977186,159977110,126,f,f,2014-09-29 08:09:34,2014-10-03 15:03:36
4812302,12104187,12003159,159978386,159977110,127,f,f,2014-09-29 08:26:01,2014-10-06 08:29:41
4861915,12104032,12003159,162886326,159977110,128,f,f,2014-09-29 12:04:06,2014-10-15 11:19:43
4834522,12174209,12003159,161636926,159977110,130,f,f,2014-10-01 10:50:35,2014-10-12 18:18:26
4835147,12174577,12003159,161648058,159977110,131,f,f,2014-10-01 11:55:02,2014-10-14 04:24:56
4846941,12104187,12003159,162115617,162115613,133,f,f,2014-10-02 13:51:41,2014-10-03 15:09:04
4855972,12174577,12003159,162587134,162587120,134,f,f,2014-10-03 11:19:13,2014-10-09 05:37:19
4856020,12104187,12003159,162592230,162587120,135,f,f,2014-10-03 11:25:31,2014-10-03 15:10:35
4858496,12174209,12003159,162716128,162716122,137,f,f,2014-10-03 15:48:49,2014-10-14 04:17:30
4858536,12174209,12003159,162719175,162716122,138,f,f,2014-10-03 15:52:39,2014-10-10 08:01:15
4874509,12104187,12003159,164821175,162716122,141,f,f,2014-10-06 06:01:01,2014-10-06 09:44:33
4875133,12099301,12003159,164887397,162716122,142,f,f,2014-10-06 07:27:29,2014-10-06 11:02:04
4875158,12104032,12003159,164890731,162716122,143,f,f,2014-10-06 07:30:45,2014-10-12 18:16:32
4877469,12104032,12003159,165149826,165149769,144,f,f,2014-10-06 11:41:42,2014-10-09 14:27:57
4888878,12104187,12003159,166097644,165149769,145,f,f,2014-10-07 08:15:17,2014-10-07 16:08:00
4898761,12104187,12003159,167251659,167251655,147,f,f,2014-10-08 09:39:51,2014-10-08 21:44:08
4908085,12104187,12003159,168586924,168586921,148,f,f,2014-10-09 12:06:00,2014-10-09 12:37:03
4908504,12104032,12003159,168649229,168649224,149,f,f,2014-10-09 13:02:34,2014-10-09 14:27:08
4915169,12099301,12003159,169461048,169461041,150,f,t,2014-10-10 06:40:57,2014-10-10 08:01:29
4915658,12104032,12003159,169508476,169508449,151,f,f,2014-10-10 09:28:43,2014-10-14 04:12:10
4916012,12104187,12003159,169553922,169508449,152,f,f,2014-10-10 10:30:41,2017-09-04 06:57:33
4933590,12099301,12003159,171951489,171873116,158,f,f,2014-10-13 09:56:22,2014-10-14 05:55:39
4940631,12174209,12003159,172181236,171873116,160,f,t,2014-10-13 16:15:00,2014-10-14 04:08:19
4942149,12104187,12003159,172229298,172211418,161,f,f,2014-10-14 08:10:31,2014-10-14 08:32:53
4942508,12174577,12003159,172243329,172211418,162,f,f,2014-10-14 08:14:39,2014-10-14 09:33:35
4942382,12104187,12003159,172236788,172211418,163,f,t,2014-10-14 08:45:19,2014-10-14 08:51:46
