id,head_repo_id,base_repo_id,head_commit_id,base_commit_id,pullreq_id,intra_branch,merged,opened_at,closed_at
4610455,11665655,11665645,155585648,155585650,63,f,t,2014-09-05 02:03:08,2014-09-05 02:05:16
4623487,11665655,11665645,155585647,155585648,77,f,t,2014-09-06 20:42:54,2014-09-06 20:44:30
4623720,11665655,11665645,155585646,155585647,78,f,t,2014-09-06 22:00:53,2014-09-06 22:05:49
4623849,11665655,11665645,155585644,155585646,79,f,t,2014-09-06 22:44:07,2014-09-06 22:44:44
4623943,11665655,11665645,155585643,155585644,81,f,t,2014-09-06 23:19:51,2014-09-06 23:21:37
4625336,11665655,11665645,155585642,155585643,82,f,t,2014-09-07 08:20:01,2014-09-07 08:20:48
4627983,11592362,11665645,156734781,155585642,83,f,f,2014-09-07 19:33:59,2014-09-07 19:38:29
4630793,11592362,11665645,155585635,155585642,87,f,t,2014-09-08 07:00:38,2014-09-08 09:36:39
4632980,,11665645,,155585635,90,f,f,2014-09-08 12:21:49,2014-09-09 08:45:40
4549279,11665658,11665645,155586188,155585635,91,f,f,2014-09-08 14:38:17,2014-09-09 13:40:59
4549304,11665651,11665645,155586506,155585635,92,f,f,2014-09-08 15:23:01,2014-09-12 07:37:42
4636124,11592362,11665645,155585632,155585634,94,f,t,2014-09-08 18:14:49,2014-09-09 05:24:36
4638768,11665655,11665645,155585634,155585635,95,f,t,2014-09-09 01:20:53,2014-09-09 01:21:45
4641967,11592362,11665645,155585631,155585632,96,f,t,2014-09-09 10:52:37,2014-09-09 10:53:41
4642999,11665658,11665645,155585980,155585631,98,f,f,2014-09-09 12:51:19,2014-09-09 14:35:31
4643205,11665658,11665645,156923601,155585631,99,f,f,2014-09-09 13:10:08,2014-09-09 15:01:16
4643212,11592362,11665645,155585628,155585631,100,f,t,2014-09-09 13:10:26,2014-09-09 13:25:37
4643941,11665658,11665645,156931819,155585626,102,f,f,2014-09-09 14:20:15,2014-09-09 15:10:06
4644713,11665655,11665645,155585620,155585623,103,f,t,2014-09-09 15:47:49,2014-09-09 15:48:35
4644869,11665655,11665645,155585619,155585620,104,f,t,2014-09-09 16:12:27,2014-09-09 16:19:15
4644947,11665662,11665645,156946686,155585619,105,f,f,2014-09-09 16:22:57,2014-09-10 18:00:48
4645234,11592362,11665645,155585616,155585619,106,f,t,2014-09-09 17:03:21,2014-09-09 17:04:35
4647200,11592362,11665645,155585613,155585616,107,f,t,2014-09-09 21:27:14,2014-09-09 21:29:07
4647890,11665655,11665645,155585612,155585613,109,f,t,2014-09-09 23:48:26,2014-09-09 23:49:15
4648564,11665655,11665645,155585610,155585611,114,f,t,2014-09-10 02:03:44,2014-09-10 02:04:19
4650067,11665658,11665645,157020984,155585610,121,f,f,2014-09-10 07:03:26,2014-09-10 07:21:37
4650069,11665655,11665645,155585609,155585610,122,f,t,2014-09-10 07:03:35,2014-09-10 07:03:51
4556960,11665658,11665645,155738882,155585609,123,f,f,2014-09-10 07:12:47,2014-09-10 10:37:16
4650212,11665662,11665645,155585602,155585603,124,f,t,2014-09-10 07:21:33,2014-09-10 08:09:59
4650321,11592362,11665645,155585603,155585608,125,f,t,2014-09-10 07:37:18,2014-09-10 07:42:32
4650891,11665655,11665645,155585601,155585602,127,f,t,2014-09-10 09:04:58,2014-09-10 09:05:15
4651003,11665655,11665645,155585600,155585601,128,f,t,2014-09-10 09:19:28,2014-09-10 09:20:06
4651433,11665655,11665645,155585599,155585600,129,f,t,2014-09-10 10:18:39,2014-09-10 10:18:50
4652141,11592362,11665645,155585594,155585597,133,f,t,2014-09-10 11:34:07,2014-09-10 11:51:13
4652003,11665655,11665645,155585597,155585598,134,f,t,2014-09-10 11:34:39,2014-09-10 11:35:03
4557806,11665658,11665645,155755007,155585594,136,f,f,2014-09-10 12:26:55,2014-09-10 13:00:01
4652721,11665655,11665645,155585593,155585594,138,f,t,2014-09-10 12:45:15,2014-09-10 12:52:17
4652892,11665655,11665645,155585591,155585592,140,f,t,2014-09-10 13:03:01,2014-09-10 13:03:29
4653230,11665655,11665645,155585590,155585591,141,f,t,2014-09-10 13:39:31,2014-09-10 14:04:44
4653607,11665655,11665645,155585589,155585590,143,f,t,2014-09-10 14:15:38,2014-09-10 14:30:27
4654134,11665655,11665645,155585588,155585589,144,f,t,2014-09-10 15:12:07,2014-09-10 15:12:36
4654336,11665655,11665645,155585587,155585588,146,f,t,2014-09-10 15:40:17,2014-09-10 15:40:34
4654490,11592362,11665645,155585584,155585587,147,f,t,2014-09-10 15:58:38,2014-09-10 15:59:41
4655076,11665655,11665645,155585583,155585584,148,f,t,2014-09-10 17:01:41,2014-09-10 17:02:05
4658747,11665655,11665645,155585582,155585583,157,f,t,2014-09-11 01:57:59,2014-09-11 02:02:46
4659048,11665655,11665645,155585580,155585581,158,f,t,2014-09-11 03:07:49,2014-09-11 03:08:19
4659078,11665655,11665645,155585579,155585580,159,f,t,2014-09-11 03:15:52,2014-09-11 03:16:18
4660156,11665655,11665645,155585578,155585579,162,f,t,2014-09-11 06:48:10,2014-09-11 06:52:49
4660326,11665662,11665645,157133373,155585578,163,f,f,2014-09-11 07:12:53,2014-09-11 08:18:24
4661242,11665651,11665645,157145267,155585576,165,f,f,2014-09-11 09:31:21,2014-09-12 07:23:58
4662306,11665662,11665645,157154706,155585576,166,f,f,2014-09-11 11:41:28,2014-09-11 12:46:58
4663386,11665655,11665645,155585574,155585575,167,f,t,2014-09-11 13:31:27,2014-09-11 13:32:01
4664166,11665655,11665645,155585573,155585574,168,f,t,2014-09-11 14:54:58,2014-09-11 14:55:25
4664427,11592362,11665645,155585571,155585573,169,f,t,2014-09-11 15:24:46,2014-09-11 15:26:14
4665631,11665662,11665645,157196885,155585571,170,f,f,2014-09-11 17:38:09,2014-09-11 17:48:24
4670077,11665655,11665645,155585568,155585569,173,f,t,2014-09-12 07:20:02,2014-09-12 07:34:54
4671293,11665662,11665645,157257934,155585568,181,f,f,2014-09-12 10:29:07,2014-09-12 11:03:30
4671864,11592362,11665645,155585566,155585567,182,f,t,2014-09-12 11:42:33,2014-09-12 11:43:58
4671967,11665662,11665645,157263691,155585566,183,f,f,2014-09-12 11:53:24,2014-09-12 12:56:11
4672477,11665655,11665645,155585565,155585566,186,f,t,2014-09-12 12:51:06,2014-09-12 12:52:40
4677208,11592362,11665645,155585563,155585564,187,f,t,2014-09-12 23:16:22,2014-09-12 23:17:23
4680884,11665662,11665645,157382617,155585563,188,f,f,2014-09-13 17:15:12,2014-09-13 17:41:01
4681230,11665655,11665645,155585561,155585562,189,f,t,2014-09-13 18:26:02,2014-09-13 18:28:12
4681590,11665655,11665645,155585560,155585561,192,f,t,2014-09-13 19:39:00,2014-09-13 19:39:23
4681820,11592362,11665645,155585558,155585559,193,f,t,2014-09-13 20:30:26,2014-09-13 20:31:41
4682159,11592362,11665645,155585557,155585558,194,f,t,2014-09-13 21:59:25,2014-09-13 22:00:43
4683648,11665662,11665645,157421316,155585557,201,f,f,2014-09-14 07:19:01,2014-09-15 06:09:22
4689333,11592362,11665645,155585554,155585555,205,f,t,2014-09-15 06:46:53,2014-09-15 06:47:46
4574657,11592362,11665645,155585552,155585554,210,f,t,2014-09-15 10:53:27,2014-09-15 10:55:17
4691451,11665655,11665645,155585551,155585552,211,f,t,2014-09-15 11:51:23,2014-09-15 11:54:31
4691699,11665655,11665645,155585550,155585551,212,f,t,2014-09-15 12:16:08,2014-09-15 12:16:32
4691993,11665662,11665645,157528989,155585550,213,f,f,2014-09-15 12:51:10,2014-09-16 07:22:20
4695252,11665658,11665645,157569289,155585550,217,f,f,2014-09-15 19:16:13,2014-09-16 07:17:24
4698542,11665655,11665645,155585549,155585550,219,f,t,2014-09-16 06:11:33,2014-09-16 06:11:56
4698698,11592362,11665645,155585548,155585549,220,f,t,2014-09-16 06:35:21,2014-09-16 06:36:23
4700373,11592362,11665645,155585543,155585546,226,f,t,2014-09-16 10:48:16,2014-09-16 10:48:52
4701447,11665662,11665645,155585542,155585543,229,f,t,2014-09-16 12:49:42,2014-09-16 13:00:57
4701723,11665651,11665645,157655242,155585542,230,f,f,2014-09-16 13:19:13,2014-09-16 13:53:38
