id,head_repo_id,base_repo_id,head_commit_id,base_commit_id,pullreq_id,intra_branch,merged,opened_at,closed_at
9457507,25853977,22662382,314947319,314947322,6,f,t,2015-09-20 10:04:48,2015-09-22 16:54:15
9506508,25853977,22662382,315946825,315946839,10,f,f,2015-09-23 13:30:06,2015-10-07 04:13:30
9679082,25853977,22662382,320966687,320966683,15,f,f,2015-10-04 03:46:10,2015-12-17 01:18:39
9710004,27045254,22662382,322452515,322434464,20,f,f,2015-10-06 02:31:09,2015-10-06 02:50:26
9710167,27045254,22662382,322461779,322461778,21,f,f,2015-10-06 02:52:10,2015-10-08 20:41:56
9770790,27045254,22662382,328678423,328658945,24,f,f,2015-10-08 20:40:59,2015-10-08 23:33:40
9773860,27045254,22662382,328747090,328726983,26,f,f,2015-10-09 01:01:05,2015-10-09 01:50:56
9773934,27045254,22662382,328748735,328726983,27,f,f,2015-10-09 01:08:06,2015-10-13 20:06:19
9774009,27045254,22662382,328750404,328726983,28,f,f,2015-10-09 01:15:06,2015-10-09 04:41:43
9774821,27045254,22662382,328770230,328758656,29,f,f,2015-10-09 02:45:08,2015-10-09 02:49:28
9774999,27045254,22662382,328775056,328771151,30,f,f,2015-10-09 03:09:14,2015-10-09 03:30:29
9775123,27045254,22662382,328777793,328771151,31,f,f,2015-10-09 03:23:46,2015-10-09 05:24:42
9775139,27045254,22662382,328778055,328771151,32,f,f,2015-10-09 03:25:18,2015-10-09 04:50:30
9775165,27045254,22662382,328778711,328771151,33,f,f,2015-10-09 03:28:22,2015-10-09 04:51:27
9775180,27045254,22662382,328779253,328779186,34,f,f,2015-10-09 03:30:42,2015-10-09 04:53:58
9775284,27045254,22662382,328781372,328779186,35,f,f,2015-10-09 03:41:05,2015-10-09 04:52:08
9775286,27045254,22662382,328781416,328779186,36,f,f,2015-10-09 03:41:22,2015-10-09 04:54:36
9775374,27045254,22662382,328783524,328779186,37,f,f,2015-10-09 03:51:37,2015-10-09 04:56:03
9776113,27045254,22662382,328799845,328798100,39,f,f,2015-10-09 05:03:05,2015-10-13 19:55:07
9776538,27045254,22662382,328810038,328805390,40,f,f,2015-10-09 05:41:04,2015-10-09 06:19:47
9782963,27045254,22662382,328948129,328822118,41,f,t,2015-10-09 06:45:10,2015-10-09 18:02:42
9841519,27432898,22662382,329372106,328948151,42,f,f,2015-10-11 00:41:58,2015-10-13 20:10:47
9844040,,22662382,,330426833,46,f,t,2015-10-13 23:14:31,2015-10-13 23:16:51
10918618,29612482,22662382,356683005,356615945,57,f,f,2015-12-07 21:47:01,2016-01-13 21:31:24
11055094,22662382,22662382,360052894,360047998,73,t,f,2015-12-14 12:49:39,2015-12-16 17:13:54
11055438,22662382,22662382,360061532,360047998,75,t,f,2015-12-14 13:11:51,2016-02-03 19:15:44
11109996,22662382,22662382,361242343,361237998,94,t,f,2015-12-16 17:13:22,2016-01-22 14:32:45
11363958,22662382,22662382,367653813,367645952,111,t,f,2016-01-03 18:43:25,2016-02-03 04:05:03
11559749,30872153,22662382,372260307,371571703,113,f,f,2016-01-13 05:12:07,2016-01-14 21:03:11
11578247,29612482,22662382,372663559,371571703,114,f,f,2016-01-13 21:36:06,2016-01-14 22:46:20
12109971,31202696,22662382,385123338,385063714,117,f,f,2016-02-05 22:49:26,2016-02-08 22:31:31
