id,head_repo_id,base_repo_id,head_commit_id,base_commit_id,pullreq_id,intra_branch,merged,opened_at,closed_at
66541,47868,46907,801619,801620,41,f,f,2012-08-04 20:03:59,2012-08-10 03:22:52
248841,269363,46907,5704921,5170441,51,f,f,2012-08-16 17:21:29,2013-04-23 00:43:15
358138,719950,46907,10276325,8356807,69,f,f,2012-09-06 15:03:20,2014-09-24 16:04:54
473603,1405457,46907,16892884,16348594,77,f,f,2012-10-11 05:00:14,2012-11-13 05:27:33
472522,1403758,46907,16868515,16348594,80,f,f,2012-10-23 16:29:27,2012-11-12 23:55:41
472521,1403758,46907,16868498,16348594,82,f,f,2012-10-23 17:40:23,2012-11-12 23:54:51
468876,1359790,46907,16744651,16348594,83,f,t,2012-11-12 06:25:03,2012-11-12 20:13:59
979322,2130111,46907,29089048,25054616,92,f,f,2013-01-06 06:26:42,2013-02-07 04:56:43
910806,2001825,46907,25609463,25500564,94,f,t,2013-01-11 19:19:24,2013-01-11 19:20:25
938549,2366551,46907,26871592,26871587,99,f,t,2013-01-30 07:25:22,2013-01-30 15:35:40
947178,2377741,46907,26917697,26917685,102,f,t,2013-02-01 10:22:52,2013-02-01 19:02:56
951894,2377741,46907,27386430,27386419,104,f,t,2013-02-02 19:13:14,2013-02-02 19:24:14
952892,2377741,46907,27710008,27710004,105,f,t,2013-02-03 06:44:29,2013-02-03 15:50:26
1086534,2377741,46907,27979691,27710004,106,f,t,2013-02-03 07:23:56,2013-02-03 15:54:41
953616,2001825,46907,27846960,27979668,107,f,f,2013-02-03 16:10:57,2013-02-06 23:52:06
953667,2377741,46907,27995566,27979668,108,f,t,2013-02-03 16:50:54,2013-02-03 18:04:41
955541,2377741,46907,28144820,28125067,109,f,t,2013-02-04 09:08:13,2013-02-07 01:27:48
956950,2377741,46907,28235364,28235346,110,f,t,2013-02-04 19:05:59,2013-02-06 15:00:09
979326,2130111,46907,29089068,29089062,116,f,t,2013-02-07 04:56:26,2013-02-07 23:40:12
1086516,117454,46907,29369618,29369557,118,f,t,2013-02-09 23:10:31,2013-02-10 23:36:41
1086523,117454,46907,29369648,29369557,120,f,t,2013-02-10 01:30:30,2013-02-13 00:27:02
1086495,117454,46907,29369565,29369557,121,f,t,2013-02-10 03:44:20,2013-02-13 00:26:25
1086489,117454,46907,29369545,29369539,122,f,t,2013-02-12 02:05:43,2013-02-12 02:58:43
1161507,1359790,46907,30191812,30191807,123,f,t,2013-02-16 20:20:13,2013-02-16 23:51:27
1161873,2130096,46907,30205421,30191807,124,f,t,2013-02-16 23:31:19,2013-02-17 00:17:34
1177888,2738139,46907,31749775,31749770,128,f,f,2013-02-21 07:07:53,2013-09-17 15:28:33
1187931,117454,46907,32380940,32380933,132,f,t,2013-02-23 22:53:46,2013-02-27 16:34:50
1685633,2130102,46907,34707741,35648060,136,f,f,2013-03-14 07:53:30,2013-11-16 00:20:46
1494443,3770288,46907,42080023,42080027,164,f,f,2013-05-18 01:06:12,2013-05-30 00:30:28
1501937,3636579,46907,42062746,42069185,165,f,t,2013-05-20 12:36:42,2013-05-20 12:41:40
1569459,4006688,46907,44694950,44694955,172,f,f,2013-06-08 15:13:50,2013-06-24 22:05:56
1819188,4646837,46907,51525145,51525137,196,f,t,2013-07-24 01:34:22,2013-07-29 19:39:51
1870190,4744515,46907,52966052,52820384,201,f,f,2013-07-31 10:27:36,2013-08-02 09:15:08
1878256,269363,46907,53017864,52820384,202,f,f,2013-08-01 18:30:52,2013-08-07 15:57:21
1880140,4646837,46907,53028858,53028854,203,f,t,2013-08-02 05:05:30,2013-08-02 13:41:54
1881084,4744515,46907,53034443,53028854,204,f,f,2013-08-02 09:13:56,2013-09-17 00:04:08
1904635,269363,46907,53190118,53190116,207,f,t,2013-08-07 16:00:12,2013-08-07 16:36:23
1906429,269363,46907,53202005,53202003,208,f,f,2013-08-07 21:40:27,2013-09-17 00:01:04
1925597,3948710,46907,53330685,53330683,212,f,f,2013-08-12 16:56:57,2013-11-16 00:22:52
1933388,3948710,46907,53404001,53403999,214,f,t,2013-08-14 21:55:41,2013-08-15 15:17:20
2099863,5351848,46907,58048834,58048818,219,f,f,2013-09-12 15:17:53,2013-09-17 15:20:08
2100733,2366551,46907,58062622,58048818,221,f,t,2013-09-12 17:51:12,2013-09-16 18:27:33
2101047,5354990,46907,58066598,58048818,222,f,f,2013-09-12 18:41:35,2014-09-24 16:04:05
