id,head_repo_id,base_repo_id,head_commit_id,base_commit_id,pullreq_id,intra_branch,merged,opened_at,closed_at
4046288,10572447,10094396,132902123,132783115,1,f,f,2014-07-02 08:05:16,2014-07-02 09:14:33
4051475,10572447,10094396,133102011,132956896,2,f,f,2014-07-03 03:09:38,2014-07-03 10:52:28
4499638,11315091,10094396,153769752,153769732,3,f,f,2014-08-24 04:10:27,2014-08-24 06:50:28
4566627,11315091,10094396,155910069,155910063,4,f,t,2014-09-01 06:45:44,2014-09-01 07:12:51
4778466,11837006,10094396,158712825,158712742,6,f,f,2014-09-25 00:51:43,2014-09-26 08:22:15
4824841,11315091,10094396,161493633,161493629,7,f,t,2014-09-30 12:36:05,2014-09-30 12:40:55
4831856,11315091,10094396,161598150,161598116,8,f,t,2014-10-01 03:32:03,2014-10-01 03:55:13
8418449,13456494,10094396,186797308,222252868,13,f,f,2014-12-05 09:17:55,2015-07-11 14:20:17
6054409,15623862,10094396,211237180,211151922,15,f,f,2015-01-28 19:06:06,2015-01-29 07:46:13
6090139,15623862,10094396,212590867,212426177,17,f,f,2015-01-31 06:11:43,2015-02-01 02:43:41
6133859,15623862,10094396,213895854,213343093,18,f,f,2015-02-04 00:11:32,2015-02-04 02:45:01
6584271,16105568,10094396,227969186,227029170,31,f,f,2015-03-09 04:49:58,2015-03-09 05:38:43
6871212,18093937,10094396,237803435,237414503,36,f,f,2015-03-29 02:53:40,2015-03-29 07:33:36
6953383,18343401,10094396,240467804,240222453,40,f,f,2015-04-03 23:32:35,2015-04-05 10:23:24
6966280,15249210,10094396,240914937,240847814,41,f,f,2015-04-05 15:23:11,2015-04-05 16:14:13
7013086,15249210,10094396,242206686,242185235,44,f,f,2015-04-08 15:29:29,2015-04-19 13:30:50
7045170,15249210,10094396,243153035,242741906,46,f,f,2015-04-10 12:10:36,2015-04-15 03:43:09
7074398,16105568,10094396,244086047,243858015,48,f,f,2015-04-13 05:04:21,2015-04-13 12:40:10
7108543,15249210,10094396,244918692,244248929,49,f,f,2015-04-15 03:41:37,2015-04-15 06:05:41
7168984,18974250,10094396,246648577,246178526,51,f,f,2015-04-19 02:45:49,2015-04-19 08:12:48
7189342,11315091,10094396,247289195,247192928,53,f,f,2015-04-20 17:07:12,2015-04-20 17:42:44
7240353,18343401,10094396,248671839,248269660,55,f,f,2015-04-23 13:59:43,2015-04-23 14:58:00
7274631,18343401,10094396,249620553,249402798,57,f,f,2015-04-26 00:17:17,2015-04-26 08:16:13
7285191,18974250,10094396,250002153,249721711,59,f,f,2015-04-27 02:47:17,2015-04-27 15:37:43
7300678,18974250,10094396,250427931,250256638,61,f,f,2015-04-27 23:38:46,2015-04-28 03:51:02
7355173,15249210,10094396,251605414,251739620,64,f,f,2015-05-01 05:38:47,2015-05-02 19:03:44
7360620,18974250,10094396,252118448,252098575,65,f,f,2015-05-01 15:03:28,2015-05-01 17:17:46
7367097,16105568,10094396,223440384,252098575,67,f,f,2015-05-02 00:29:08,2015-05-02 06:00:37
7367848,18343401,10094396,252316852,252098575,68,f,f,2015-05-02 03:31:51,2015-05-02 06:05:18
7370215,18974250,10094396,252403643,252341245,69,f,f,2015-05-02 11:58:26,2015-05-02 13:59:59
7373559,18343401,10094396,252523030,252518384,70,f,f,2015-05-02 19:23:58,2015-05-02 20:01:55
7405317,18974250,10094396,253519132,253133481,71,f,f,2015-05-05 10:15:52,2015-05-05 19:03:45
7418260,16105568,10094396,253853963,253741592,72,f,f,2015-05-06 01:57:12,2015-05-06 05:53:03
7472166,19809731,10094396,254991577,254991576,73,f,t,2015-05-09 12:32:40,2015-05-09 13:15:06
7473718,18974250,10094396,254991574,254991573,74,f,t,2015-05-09 16:03:28,2015-05-09 21:26:05
7478365,19809731,10094396,254991572,254991571,75,f,t,2015-05-10 07:34:25,2015-05-10 08:47:08
7509099,11315091,10094396,255854364,255854360,76,f,t,2015-05-12 14:49:36,2015-05-12 14:54:41
7532356,16105568,10094396,256924536,256814239,78,f,f,2015-05-13 23:05:00,2015-05-14 06:34:20
7533224,19979831,10094396,257048542,256814239,79,f,f,2015-05-14 00:54:13,2015-05-14 05:51:48
7536075,16105568,10094396,257512980,257512978,80,f,f,2015-05-14 07:06:48,2015-05-14 09:13:21
7547254,15249210,10094396,258330402,258291960,81,f,f,2015-05-14 20:58:56,2015-05-15 06:34:46
7640648,18974250,10094396,260881262,260888008,82,f,f,2015-05-21 06:53:46,2015-05-21 08:42:17
7660817,18974250,10094396,261443916,261240268,83,f,f,2015-05-22 10:19:16,2015-05-22 12:07:58
7665523,18974250,10094396,261562981,261487966,84,f,f,2015-05-22 15:18:57,2015-05-22 21:22:47
7733705,18974250,10094396,263553425,263531079,85,f,f,2015-05-28 02:33:24,2015-05-28 08:07:27
7776992,18974250,10094396,265014054,264851320,87,f,t,2015-05-31 07:55:36,2015-05-31 07:57:47
7881363,18974250,10094396,267819185,267575540,91,f,f,2015-06-07 08:01:09,2015-06-07 13:13:47
7891182,15249210,10094396,268141105,267575548,93,f,f,2015-06-08 07:41:22,2015-06-08 07:52:22
7922652,15249210,10094396,268710400,267882853,95,f,f,2015-06-10 04:16:52,
7950503,10094396,10094396,269764588,269375882,97,t,f,2015-06-11 16:15:27,2015-06-11 16:15:46
7962728,15249210,10094396,270051161,270039963,98,f,f,2015-06-12 10:23:40,2015-06-12 11:12:17
7977002,16105568,10094396,270367802,270184840,99,f,f,2015-06-13 08:04:57,2015-06-13 08:46:47
7985272,15249210,10094396,270617589,270375257,101,f,f,2015-06-14 07:41:38,2015-06-14 08:37:52
8025198,15249210,10094396,271580752,270642483,104,f,f,2015-06-16 19:43:55,2015-06-18 08:13:27
8061454,16105568,10094396,272418004,272418006,106,f,t,2015-06-18 18:27:06,2015-06-19 14:43:31
8082121,16105568,10094396,272684837,272418002,107,f,t,2015-06-20 05:43:59,2015-06-21 10:36:35
8097536,18974250,10094396,272883541,272883538,110,f,f,2015-06-22 04:58:03,2015-06-22 06:15:20
8097799,18974250,10094396,272887246,272883538,111,f,t,2015-06-22 05:35:12,2015-06-22 07:36:59
8103969,16105568,10094396,272966923,272966912,112,f,f,2015-06-22 14:23:25,2015-06-23 04:46:20
8160683,15249210,10094396,274382637,274382634,113,f,f,2015-06-25 20:12:12,2015-06-25 20:43:38
8183424,18974250,10094396,276581220,276032229,116,f,f,2015-06-27 14:16:02,2015-06-27 15:42:26
8243550,18974250,10094396,278160352,274883771,118,f,f,2015-07-01 10:08:24,
8331968,15249210,10094396,279422938,279422928,121,f,t,2015-07-07 09:34:25,2015-07-07 18:57:33
8394131,15249210,10094396,279831372,279448672,123,f,t,2015-07-09 01:33:27,2015-07-10 13:55:21
8396537,18974250,10094396,279846255,279448672,124,f,t,2015-07-09 06:12:11,2015-07-10 13:55:47
8404922,15249210,10094396,279897338,279897303,125,f,t,2015-07-10 03:54:46,2015-07-10 13:53:58
8406427,15249210,10094396,279905944,279905929,126,f,t,2015-07-10 15:14:03,2015-07-10 17:21:42
8425191,18974250,10094396,280024660,280024649,127,f,t,2015-07-12 03:15:14,2015-07-12 11:58:08
8541111,16105568,10094396,282694607,282694592,130,f,t,2015-07-20 06:06:44,2015-07-20 07:56:09
8544116,18974250,10094396,282765805,282765782,131,f,t,2015-07-21 09:15:12,2015-07-22 19:59:26
8667245,15249210,10094396,283517710,283431394,139,f,t,2015-07-28 03:52:57,2015-07-28 04:29:21
8718736,18974250,10094396,292549820,292238884,141,f,t,2015-07-31 14:52:57,2015-08-01 15:49:29
8716174,18974250,10094396,292520784,292520722,143,f,t,2015-08-01 09:48:21,2015-08-01 15:49:42
8720444,15249210,10094396,292580742,292580740,144,f,t,2015-08-01 18:34:08,2015-08-02 08:30:54
