id,head_repo_id,base_repo_id,head_commit_id,base_commit_id,pullreq_id,intra_branch,merged,opened_at,closed_at
20420282,48243140,54726900,595934458,594345154,119,f,t,2017-01-12 09:11:24,2017-01-19 10:23:14
20415807,54636837,54726900,596448341,594345154,120,f,t,2017-01-12 09:46:37,2017-01-14 03:56:18
20415857,54636837,54726900,596490030,594345154,121,f,t,2017-01-13 01:53:29,2017-01-14 04:02:10
20420107,54636837,54726900,597391475,597252756,122,f,f,2017-01-14 09:04:40,2017-01-19 16:08:06
20549208,48243140,54726900,600352273,597252756,124,f,t,2017-01-18 20:26:33,2017-01-31 15:23:20
20595472,54008684,54726900,600997761,600777101,125,f,t,2017-01-20 01:00:41,2017-01-27 02:28:40
20618278,48243140,54726900,601172995,600777101,126,f,t,2017-01-20 17:05:47,2017-01-20 19:38:32
20687249,54726899,54726900,603943060,602361737,128,f,t,2017-01-23 16:13:40,2017-01-23 16:14:11
20787441,55742047,54726900,606314191,603945019,133,f,t,2017-01-26 18:55:01,2017-02-13 19:57:57
20887673,55742047,54726900,609018138,607601737,135,f,t,2017-01-30 18:28:05,2017-02-01 18:57:17
20925019,55742047,54726900,609849474,609849472,137,f,t,2017-01-31 16:41:48,2017-01-31 16:50:34
20980205,54636837,54726900,611041114,611041112,138,f,f,2017-02-02 00:46:58,2017-02-03 18:52:49
21190137,54726899,54726900,613349910,611041112,141,f,t,2017-02-08 20:54:45,2017-02-09 20:22:00
21190117,54726899,54726900,613349661,611041112,142,f,t,2017-02-08 20:55:29,2017-02-08 21:31:09
21267888,54726899,54726900,614518216,614518210,149,f,t,2017-02-10 23:26:17,2017-02-13 16:33:52
21344585,54726899,54726900,617555175,617555171,154,f,t,2017-02-13 22:52:51,2017-02-14 03:10:23
21371228,54726899,54726900,618093850,618093846,155,f,t,2017-02-14 16:01:43,2017-02-14 16:07:22
21379372,55742047,54726900,618184283,618184279,156,f,t,2017-02-14 20:00:54,2017-02-21 21:33:51
21382599,55742047,54726900,618228777,618184279,157,f,t,2017-02-14 21:41:08,2017-02-22 20:01:04
21390874,54726899,54726900,618444278,618184279,158,f,f,2017-02-15 04:26:27,2017-02-17 19:15:41
21490564,54726899,54726900,620122642,618184279,159,f,t,2017-02-17 19:34:06,2017-02-23 20:08:17
21686891,55742047,54726900,630514180,629915954,162,f,t,2017-02-23 17:41:27,2017-02-23 21:54:25
21695103,54726899,54726900,630750931,630738877,163,f,t,2017-02-23 21:36:55,2017-03-01 21:25:09
21894896,54726899,54726900,635290494,635280625,168,f,t,2017-03-01 21:40:54,2017-03-03 06:22:03
21895376,54726899,54726900,635299227,635280625,169,f,t,2017-03-01 21:54:10,2017-03-02 16:53:33
21897808,54726899,54726900,635337716,635280625,171,f,f,2017-03-01 22:57:33,2017-03-02 17:30:07
21933000,54726899,54726900,636102807,635951472,173,f,t,2017-03-02 19:50:16,2017-03-03 06:32:07
21949560,54726899,54726900,636432663,636429553,174,f,t,2017-03-03 06:29:17,2017-03-03 06:29:26
21963086,55742047,54726900,636735563,636433822,175,f,t,2017-03-03 15:26:31,2017-03-03 19:57:42
21972738,55742047,54726900,636858408,636433822,176,f,t,2017-03-03 19:54:21,2017-03-03 21:46:16
21973366,55742047,54726900,636918983,636909612,177,f,f,2017-03-03 20:13:51,2017-03-03 20:30:42
21975118,55742047,54726900,636949302,636909612,179,f,f,2017-03-03 21:08:45,2017-03-17 23:22:59
22099687,54726899,54726900,639907989,636970012,182,f,t,2017-03-07 21:19:16,2017-03-07 22:36:20
22101753,55742047,54726900,639945130,636970012,183,f,t,2017-03-07 22:20:36,2017-03-12 17:01:54
22140471,55742047,54726900,640744044,639956333,185,f,t,2017-03-08 21:27:18,2017-03-08 22:07:32
22152666,54726899,54726900,641003497,640769006,187,f,t,2017-03-09 06:08:27,2017-03-10 23:14:02
22193540,54726899,54726900,641835190,640769006,189,f,t,2017-03-10 05:20:31,2017-03-11 02:21:49
22215356,55742047,54726900,642291741,640769006,190,f,t,2017-03-10 17:56:08,2017-03-12 20:45:32
22227832,54636837,54726900,642507595,642469080,191,f,t,2017-03-11 00:43:27,2017-03-11 02:37:36
22249148,54726899,54726900,643065383,642549000,192,f,t,2017-03-11 23:57:18,2017-03-12 00:04:49
