id,head_repo_id,base_repo_id,head_commit_id,base_commit_id,pullreq_id,intra_branch,merged,opened_at,closed_at
24435972,,63640354,,682692449,227,f,f,2017-01-03 21:05:04,2017-05-12 15:40:30
24030279,,63640354,,682692449,458,f,f,2017-04-18 15:13:58,2017-05-01 20:20:57
24114434,63931815,63640354,684648361,682721970,464,f,f,2017-04-20 20:59:26,2017-05-03 23:00:13
24021992,63727341,63640354,682746633,682692458,468,f,t,2017-04-21 20:39:11,2017-05-31 19:11:23
24061190,,63640354,,682890617,491,f,f,2017-04-25 22:19:47,2017-05-02 15:55:05
24006588,,63640354,,682378118,503,f,t,2017-04-28 19:03:56,2017-05-03 17:20:38
24006502,,63640354,,682376373,507,f,t,2017-04-29 23:03:33,2017-05-01 02:27:02
24019362,63640353,63640354,682692403,682376404,510,f,t,2017-05-01 15:05:57,2017-05-03 14:07:56
24022405,63727344,63640354,682709376,682376404,512,f,f,2017-05-01 16:43:29,2017-05-09 16:00:25
24027213,63727344,63640354,682846524,682376404,516,f,t,2017-05-01 19:05:35,2017-05-01 19:36:26
24030009,63739133,63640354,682890565,682866528,517,f,f,2017-05-01 20:12:52,2017-12-06 18:05:53
24030738,63745676,63640354,682905939,682866528,518,f,t,2017-05-01 20:37:20,2017-05-03 14:49:15
24038314,63726677,63640354,683057641,682866528,519,f,t,2017-05-02 01:35:53,2017-05-09 15:53:42
24041235,63726677,63640354,683131170,682866528,520,f,t,2017-05-02 04:11:20,2017-05-02 13:51:13
24062386,63733708,63640354,683575209,683456894,521,f,f,2017-05-02 16:27:13,2017-05-02 22:00:43
24075194,63733708,63640354,683800523,683456894,524,f,t,2017-05-02 22:00:32,2017-05-03 20:16:20
24100403,63907688,63640354,684379656,684369850,525,f,t,2017-05-03 14:58:49,2017-05-03 17:19:18
24114896,63745676,63640354,684656430,684622296,526,f,t,2017-05-03 21:04:25,2017-05-04 14:09:56
24118928,63679610,63640354,684732027,684622296,527,f,t,2017-05-03 23:09:16,2017-05-04 21:01:34
24130867,63975112,63640354,685028873,684622296,528,f,t,2017-05-04 09:02:38,2017-05-04 13:35:08
24141645,63821899,63640354,685244553,685231377,529,f,t,2017-05-04 14:27:05,2017-05-04 15:40:02
24167063,63745676,63640354,685740476,685524771,530,f,f,2017-05-05 04:10:20,2017-05-08 19:47:58
24235148,64215625,63640354,687299651,685524771,532,f,t,2017-05-07 13:16:26,2017-05-07 15:00:49
24270294,63907688,63640354,688111470,687349375,533,f,t,2017-05-08 15:47:38,2017-05-08 21:04:41
24277965,63745676,63640354,688277866,687349375,535,f,t,2017-05-08 19:46:27,2017-05-09 14:44:01
24278408,63726677,63640354,688289182,688289156,536,f,t,2017-05-08 19:59:52,2017-05-09 02:24:31
24283953,63727344,63640354,688412826,688339447,537,f,t,2017-05-08 23:00:04,2017-05-12 21:33:17
24361248,63745676,63640354,690031161,689023838,540,f,t,2017-05-10 19:08:08,2017-05-15 18:37:48
24392061,63907688,63640354,690698932,689023838,541,f,t,2017-05-11 14:21:13,2017-05-22 16:29:51
24435059,63821899,63640354,690905445,689023838,543,f,f,2017-05-12 15:13:07,2017-06-13 15:24:11
24446305,64705684,63640354,691789644,689023838,546,f,t,2017-05-12 20:53:52,2017-05-12 21:26:42
24519980,63821899,63640354,693507380,691812791,548,f,t,2017-05-15 16:22:35,2017-05-16 15:48:10
24520410,63739133,63640354,693515784,691812791,549,f,t,2017-05-15 16:35:01,2017-05-17 16:16:22
24520439,63679610,63640354,693516237,691812791,550,f,t,2017-05-15 16:35:58,2017-05-15 19:32:42
24520492,63907688,63640354,693517165,691812791,551,f,t,2017-05-15 16:37:18,2017-05-15 18:53:16
24562099,63745676,63640354,694354032,694312005,553,f,f,2017-05-16 16:46:22,2017-05-19 21:09:44
24563599,63726677,63640354,694380708,694312005,554,f,t,2017-05-16 17:27:18,2017-05-16 19:08:26
24565768,63821899,63640354,694410331,694312005,555,f,t,2017-05-16 18:13:51,2017-05-16 19:41:55
24576075,63727344,63640354,694585891,694468446,558,f,t,2017-05-16 22:56:39,2017-05-30 15:18:54
24649714,63733708,63640354,696032822,695164875,559,f,t,2017-05-18 17:12:00,2017-05-22 16:01:50
24662957,63727344,63640354,696256815,695164875,560,f,t,2017-05-18 23:40:15,2017-05-30 15:30:11
24666191,63727344,63640354,696319608,695164875,561,f,f,2017-05-19 02:09:44,2017-05-30 15:18:36
24681994,63907688,63640354,696684321,695164875,562,f,t,2017-05-19 13:42:58,2017-05-30 16:53:58
24688729,63640354,63640354,696168719,695164875,563,t,t,2017-05-19 16:50:56,2017-05-19 18:43:25
24694558,63727344,63640354,696922619,696898912,564,f,t,2017-05-19 20:01:33,2017-05-19 20:08:35
24697056,63745676,63640354,696968028,696926151,565,f,t,2017-05-19 21:29:12,2017-05-22 16:40:53
