id,head_repo_id,base_repo_id,head_commit_id,base_commit_id,pullreq_id,intra_branch,merged,opened_at,closed_at
4074675,10490024,10490024,134195771,131534373,17,t,f,2014-07-06 16:46:13,2014-07-14 14:03:51
4150273,10490024,10490024,137387049,137370661,21,t,f,2014-07-14 09:09:45,2014-07-14 11:37:54
4150339,10490024,10490024,137389104,137387049,22,t,f,2014-07-14 09:18:55,2014-07-14 11:39:24
4151386,10490024,10490024,137441926,137435964,23,t,f,2014-07-14 11:50:30,2014-07-17 06:31:33
4170018,10490024,10490024,138250103,137510586,26,t,f,2014-07-16 07:36:28,2014-07-18 09:02:30
4181481,10490024,10490024,138763287,138699771,29,t,f,2014-07-17 09:56:23,2014-07-17 09:56:49
4183208,10490024,10490024,138819848,138763332,30,t,f,2014-07-17 13:11:37,2014-07-18 05:32:48
4190494,10490024,10490024,139106210,139067844,32,t,f,2014-07-18 07:24:53,2014-07-18 11:52:32
4190656,10490024,10490024,139122780,139067844,33,t,f,2014-07-18 07:46:41,2014-07-18 08:17:13
4191463,10895734,10490024,139156478,139144939,34,f,f,2014-07-18 09:42:09,2014-10-31 12:40:45
4191474,10895734,10490024,139156803,139144939,35,f,f,2014-07-18 09:44:07,2014-07-18 11:09:12
4191491,10895734,10490024,139157322,139144939,36,f,f,2014-07-18 09:45:56,2014-07-22 10:40:26
4191502,10895734,10490024,139157866,139144939,37,f,f,2014-07-18 09:47:52,2014-08-05 15:37:15
4192171,10490024,10490024,139188520,139186777,38,t,f,2014-07-18 11:21:19,2014-07-18 11:28:56
4192467,10490024,10490024,139197846,139192975,39,t,f,2014-07-18 11:53:29,2014-07-18 11:56:11
4192881,10490024,10490024,139215160,139198506,40,t,f,2014-07-18 12:39:56,2014-07-18 12:51:29
4193555,10490024,10490024,139236867,139218614,41,t,f,2014-07-18 13:43:35,2014-07-18 17:06:52
4193909,10490024,10490024,139247813,139239604,42,t,f,2014-07-18 14:21:06,2014-07-18 14:41:11
4193963,10490024,10490024,139249697,139239604,43,t,f,2014-07-18 14:27:33,2014-07-18 14:32:21
4194117,10490024,10490024,139253171,139250897,44,t,f,2014-07-18 14:40:47,2014-07-18 14:48:46
4205516,10490024,10490024,139818650,139293042,48,t,f,2014-07-20 16:30:19,2014-07-22 14:35:21
4212320,10490024,10490024,140189992,140073365,49,t,f,2014-07-21 14:16:01,2014-07-22 10:44:45
4219667,10490024,10490024,140482140,140481093,50,t,f,2014-07-22 10:44:30,2014-07-22 14:44:07
4223138,10490024,10490024,140607832,140562505,53,t,f,2014-07-22 16:31:18,2014-07-23 13:20:47
4231212,10490024,10490024,140907329,140562505,55,t,f,2014-07-23 12:15:34,2014-07-23 13:45:18
4232151,10490024,10490024,140938393,140934191,56,t,f,2014-07-23 13:32:39,2014-07-23 13:33:28
