id,head_repo_id,base_repo_id,head_commit_id,base_commit_id,pullreq_id,intra_branch,merged,opened_at,closed_at
25273035,64509774,64509774,709674665,693201060,751,t,f,2017-03-13 10:02:25,2017-06-08 02:59:23
25060816,64509774,64509774,705057677,691914474,1168,t,t,2017-05-01 17:52:25,2017-06-06 11:02:53
24502408,64509774,64509774,690560430,693114859,1176,t,f,2017-05-02 17:51:01,2017-05-16 11:25:18
24364573,,64509774,,690100851,1238,f,t,2017-05-06 06:26:00,2017-05-10 20:42:36
24370550,,64509774,,690217523,1250,f,t,2017-05-06 18:39:54,2017-05-10 23:54:38
24427711,,64509774,,690217523,1262,f,f,2017-05-08 15:01:15,2017-05-12 11:33:31
24370518,,64509774,,690216912,1268,f,t,2017-05-08 18:11:46,2017-05-10 23:53:24
24370502,,64509774,,690100851,1272,f,f,2017-05-09 00:44:58,2017-05-11 17:41:29
24406106,,64509774,,690100851,1275,f,f,2017-05-09 05:28:52,2017-06-07 03:37:51
24412706,64509774,64509774,691071679,690217523,1292,t,t,2017-05-10 00:36:59,2017-05-12 13:16:07
24423498,,64509774,,690217523,1294,f,f,2017-05-10 13:21:23,2017-05-12 14:12:20
24387388,64580008,64509774,690584855,690217523,1295,f,f,2017-05-10 14:17:57,2017-05-11 12:03:10
24367566,64527754,64509774,690124656,690103728,1300,f,f,2017-05-10 22:13:47,2017-05-17 09:03:14
24371262,64527754,64509774,690230231,690217604,1302,f,t,2017-05-11 00:20:24,2017-05-11 00:40:32
24371497,64536433,64509774,690233439,690217604,1303,f,t,2017-05-11 00:31:52,2017-05-17 17:36:09
24381081,64565514,64509774,690481517,690240754,1306,f,t,2017-05-11 08:50:00,2017-05-11 19:31:46
24387371,64580008,64509774,690584848,690240754,1309,f,t,2017-05-11 12:02:24,2017-05-11 20:07:51
24400062,64536433,64509774,690846361,690240754,1310,f,f,2017-05-11 17:41:02,2017-05-25 15:57:13
24402641,64536433,64509774,690887393,690240754,1311,f,f,2017-05-11 18:48:24,2017-05-11 20:08:06
24411108,64509774,64509774,691038923,690940272,1315,t,f,2017-05-11 22:53:38,
24427690,64580008,64509774,691419854,690940272,1318,f,t,2017-05-12 11:32:48,2017-06-01 14:04:06
24432575,64681396,64509774,691519474,691484322,1321,f,f,2017-05-12 14:05:01,2017-06-19 13:29:09
24449320,64509774,64509774,691844235,691484322,1323,t,t,2017-05-12 22:38:48,2017-05-13 00:20:14
24451374,64509774,64509774,691877172,691484322,1325,t,t,2017-05-13 00:14:47,2017-05-13 01:59:00
24451633,64536433,64509774,691886180,691882791,1326,f,t,2017-05-13 00:30:16,2017-05-16 23:06:00
24508453,64862302,64509774,693257027,691914474,1329,f,t,2017-05-15 10:26:49,2017-05-16 13:14:46
24524823,64862302,64509774,693599114,691914474,1331,f,t,2017-05-15 18:43:07,2017-05-16 12:20:22
24531701,64916179,64509774,693720396,691914474,1332,f,f,2017-05-15 21:58:50,2017-05-16 17:29:04
24550445,64862302,64509774,694012487,693114859,1334,f,t,2017-05-16 11:24:25,2017-06-30 10:18:40
24563881,64916179,64509774,694381076,694194159,1335,f,t,2017-05-16 17:31:35,2017-05-17 08:40:39
24608939,64531517,64509774,695223418,695217225,1337,f,t,2017-05-17 17:46:25,2017-06-24 18:42:22
24752042,64862302,64509774,698421947,695217225,1342,f,t,2017-05-22 08:26:30,2017-06-03 09:12:29
24784062,64536433,64509774,699015111,695217225,1345,f,f,2017-05-23 00:04:37,
24824112,64584212,64509774,699824373,699532443,1351,f,t,2017-05-25 14:23:05,2017-05-26 07:43:54
24831694,64536433,64509774,700002933,699532443,1352,f,t,2017-05-25 17:28:29,2017-05-25 21:25:24
24833647,64565514,64509774,700036752,699532443,1353,f,t,2017-05-25 18:18:39,2017-06-05 05:28:16
24859774,64584212,64509774,700567286,700474059,1356,f,t,2017-05-26 10:24:45,2017-07-03 07:26:42
24884853,64536433,64509774,701085125,700474059,1357,f,t,2017-05-27 01:13:06,2017-05-31 22:56:22
24946830,65572916,64509774,702548316,700474059,1358,f,t,2017-05-29 17:35:47,2017-06-24 15:12:28
24970716,65572916,64509774,703306721,700474059,1359,f,t,2017-05-30 12:40:52,2017-06-07 13:02:22
25007271,64855785,64509774,704085842,700474059,1368,f,t,2017-05-31 10:07:16,2017-06-01 10:11:37
25020533,64536433,64509774,704349837,700474059,1372,f,t,2017-05-31 18:01:57,2017-05-31 18:28:45
25030126,64536433,64509774,704488653,704367272,1374,f,t,2017-05-31 22:13:59,2017-06-10 14:19:48
25048399,64971844,64509774,704929177,704883900,1377,f,t,2017-06-01 11:39:49,2017-06-23 09:49:54
25065316,64536433,64509774,705263437,705034817,1379,f,t,2017-06-01 19:32:31,2017-06-08 15:17:59
25085785,64855785,64509774,705629006,705034817,1382,f,t,2017-06-02 07:54:13,2017-06-27 12:57:35
25090836,64855785,64509774,705716933,705034817,1384,f,t,2017-06-02 10:08:15,2017-06-03 13:41:46
