id,head_repo_id,base_repo_id,head_commit_id,base_commit_id,pullreq_id,intra_branch,merged,opened_at,closed_at
28945294,71705071,75423129,789492721,789492719,118,f,t,2017-09-22 12:18:54,2017-09-22 16:27:42
28946109,71705071,75423129,789498486,789492719,119,f,t,2017-09-22 12:40:40,2017-09-23 00:09:27
28946802,71705071,75423129,789503434,789492719,120,f,t,2017-09-22 12:58:29,2017-09-23 00:11:58
28948993,71705225,75423129,789529100,789492719,121,f,t,2017-09-22 14:05:59,2017-09-25 22:17:10
29046048,75423129,75423129,791071452,791071444,124,t,t,2017-09-25 22:19:19,2017-09-25 22:22:51
29097595,71705225,75423129,793211071,792767914,126,f,t,2017-09-27 00:08:11,2017-09-27 18:53:47
29138580,71705225,75423129,794305258,794275944,130,f,t,2017-09-27 19:32:46,2017-09-27 21:27:35
29168370,71705225,75423129,794871074,794382586,132,f,t,2017-09-28 12:26:32,2017-09-28 13:26:40
29175561,71705225,75423129,795010981,794914139,134,f,t,2017-09-28 15:22:39,2017-09-28 15:32:41
29235721,71705071,75423129,796066277,795022141,136,f,t,2017-09-29 20:05:15,2017-10-02 16:14:24
29339086,75423129,75423129,798342992,797975052,140,t,t,2017-10-03 01:16:37,2017-10-03 01:21:09
29357427,71705071,75423129,798628825,798344957,141,f,t,2017-10-03 10:57:46,2017-10-03 14:48:46
29382971,75423129,75423129,798996929,798787694,143,t,t,2017-10-03 19:39:18,2017-10-03 19:39:45
29383924,75423129,75423129,799039055,799023546,144,t,t,2017-10-03 19:57:07,2017-10-03 19:57:14
29387924,75423129,75423129,799101268,799039127,146,t,t,2017-10-03 21:21:18,2017-10-03 21:21:40
29391341,71705225,75423129,799157354,799104990,147,f,t,2017-10-03 22:40:51,2017-10-04 00:30:43
29396217,75423129,75423129,799233735,799218147,149,t,t,2017-10-04 01:08:13,2017-10-04 01:08:35
29416499,71705225,75423129,799588326,799234752,150,f,t,2017-10-04 13:00:23,2017-10-04 14:17:43
29487252,71705225,75423129,800896090,799648223,151,f,t,2017-10-05 22:15:29,2017-10-05 22:33:18
29487954,71705225,75423129,800898811,800906589,152,f,t,2017-10-05 22:37:24,2017-10-06 04:10:47
29497874,75423129,75423129,801081360,801061797,153,t,t,2017-10-06 04:56:21,2017-10-06 05:07:09
29507038,71705071,75423129,801238885,801086201,154,f,t,2017-10-06 09:24:25,2017-10-06 15:55:15
29524218,71705071,75423129,801549155,801500689,156,f,t,2017-10-06 17:01:48,2017-10-06 18:33:57
29525372,71705225,75423129,801566515,801500689,157,f,t,2017-10-06 17:32:44,2017-10-06 21:59:58
29536686,71705225,75423129,801776091,801757433,158,f,t,2017-10-06 22:34:24,2017-10-09 16:59:05
29537025,71705225,75423129,801782212,801757433,159,f,t,2017-10-06 22:46:33,2017-10-07 17:25:55
29555039,75423129,75423129,802268819,802268562,161,t,t,2017-10-07 17:26:17,2017-10-07 17:28:49
29734608,75423129,75423129,805538062,803863824,162,t,f,2017-10-12 04:18:00,2017-10-12 18:52:53
29746656,71705225,75423129,806198185,803863824,163,f,t,2017-10-12 11:49:31,2017-10-12 18:11:43
29761598,75423129,75423129,806501946,803863824,164,t,t,2017-10-12 17:56:54,2017-10-12 18:44:50
29762599,75423129,75423129,806508523,806508515,165,t,t,2017-10-12 18:21:18,2017-10-12 18:39:42
29763793,75423129,75423129,806577315,806577313,166,t,t,2017-10-12 18:48:43,2017-10-12 18:55:48
29763973,75423129,75423129,806578677,806577313,167,t,t,2017-10-12 18:52:21,2017-10-12 20:27:07
29766796,75423129,75423129,806655917,752970905,168,t,t,2017-10-12 19:58:32,2017-10-12 21:42:15
29769895,71705071,75423129,806734112,806734106,169,f,t,2017-10-12 21:06:39,2017-10-12 21:21:36
29777333,75423129,75423129,807159778,807159776,170,t,t,2017-10-13 01:07:08,2017-10-13 01:10:20
29777854,75423129,75423129,807165109,807165101,171,t,t,2017-10-13 01:27:43,2017-10-13 01:27:50
29915972,75423129,75423129,810232156,807410939,174,t,t,2017-10-16 17:49:16,2017-10-16 21:11:14
29920504,75423129,75423129,810299328,810235496,175,t,t,2017-10-16 19:21:40,2017-10-16 19:23:46
29956342,71705225,75423129,811001740,807410939,176,f,t,2017-10-17 13:30:58,2017-10-17 14:23:55
29962711,71705225,75423129,811086287,810395799,177,f,t,2017-10-17 15:33:46,2017-10-17 15:40:17
29973993,75423129,75423129,811293944,811124278,179,t,t,2017-10-17 19:17:42,2017-10-17 20:11:24
30040329,71705225,75423129,812553197,811337098,181,f,t,2017-10-19 03:30:03,2017-10-19 03:34:13
30051621,71705071,75423129,812789595,812563530,183,f,t,2017-10-19 10:06:19,2017-10-19 11:34:45
30062347,71705071,75423129,812972487,812847048,184,f,t,2017-10-19 14:22:22,2017-10-19 16:02:30
30064290,71705225,75423129,813006715,812847048,185,f,t,2017-10-19 14:58:09,2017-10-19 16:02:02
30073001,71705225,75423129,813167675,813063936,186,f,t,2017-10-19 18:14:02,2017-10-19 18:33:18
30075149,71705225,75423129,813202832,813182952,187,f,t,2017-10-19 19:00:21,2017-10-19 19:41:27
30076779,71705225,75423129,813231597,813182952,188,f,f,2017-10-19 19:38:45,
30080950,71705225,75423129,813298844,813298840,192,f,t,2017-10-19 21:09:20,2017-10-19 21:18:05
30081477,71705071,75423129,813307872,813304726,193,f,t,2017-10-19 21:22:55,2017-10-19 21:25:04
30083525,71705225,75423129,813346790,813309424,194,f,t,2017-10-19 22:15:44,2017-10-19 23:15:33
30087598,75423129,75423129,813379803,811338747,195,t,t,2017-10-20 00:30:09,2017-10-20 00:30:23
30107025,71705225,75423129,813819066,813379803,196,f,t,2017-10-20 12:27:05,2017-10-20 16:41:02
30119415,71705225,75423129,814060737,814060736,197,f,f,2017-10-20 17:15:37,2017-10-20 17:20:29
30119690,71705225,75423129,814060737,814030917,198,f,t,2017-10-20 17:23:09,2017-10-20 17:26:17
30235771,71705225,75423129,816528608,814068273,200,f,t,2017-10-23 20:34:24,2017-10-23 20:36:05
30236242,75423129,75423129,816531038,814119152,201,t,t,2017-10-23 20:46:23,2017-10-23 20:46:35
30276566,71705225,75423129,817323897,816531038,203,f,t,2017-10-24 15:49:07,2017-10-24 16:03:41
30295604,71705071,75423129,817651119,817370355,205,f,t,2017-10-24 21:50:01,2017-10-24 22:03:23
30296844,71705225,75423129,817696809,817684758,207,f,t,2017-10-24 22:24:19,2017-10-24 22:40:04
30303435,71705225,75423129,817816021,817709447,211,f,t,2017-10-25 01:58:48,2017-10-25 02:07:44
30308900,75423129,75423129,817938520,817821908,212,t,t,2017-10-25 05:39:44,2017-10-25 11:44:44
30321916,71705225,75423129,818201324,818183791,213,f,t,2017-10-25 12:09:17,2017-10-25 12:20:17
30324563,71705071,75423129,818251584,818209323,215,f,t,2017-10-25 13:14:14,2017-10-25 13:19:14
30400131,71705225,75423129,819698682,818255860,217,f,t,2017-10-26 21:43:33,2017-10-26 21:52:35
30402225,71705071,75423129,819743526,819711521,218,f,t,2017-10-26 22:43:58,2017-10-27 04:55:46
30427196,71705071,75423129,820248507,819939643,219,f,t,2017-10-27 13:02:05,2017-10-27 16:59:05
30432389,71705225,75423129,820334809,819939643,220,f,t,2017-10-27 14:55:09,2017-10-27 16:16:52
30548391,75423129,75423129,820440884,816558849,221,t,t,2017-10-30 17:04:45,2017-10-30 17:05:43
30724385,75423129,75423129,825992759,820440884,227,t,t,2017-11-02 23:21:37,2017-11-02 23:21:47
