id,head_repo_id,base_repo_id,head_commit_id,base_commit_id,pullreq_id,intra_branch,merged,opened_at,closed_at
1316389,3264769,2847225,37667114,37667109,4,f,t,2013-04-15 09:51:00,2013-04-15 12:09:15
1407784,3481085,2847225,38577242,38568208,8,f,t,2013-04-29 11:34:24,2013-04-29 13:01:39
1412848,3499095,2847225,38761172,38756716,9,f,t,2013-04-30 07:58:07,2013-05-14 12:29:33
1636379,4210790,2847225,46949343,46426635,12,f,f,2013-06-23 17:14:49,2013-06-24 07:30:53
1699795,4357513,2847225,48049773,47034634,13,f,t,2013-07-05 10:04:09,2013-07-06 06:03:10
2150680,5464920,2847225,58473190,57989097,15,f,t,2013-09-25 02:34:02,2013-10-14 01:02:35
2594649,6775580,2847225,74307200,74307195,21,f,t,2013-12-08 03:20:30,2013-12-30 10:57:44
2749383,7237134,2847225,80618288,80117167,23,f,f,2014-01-05 15:59:38,2014-01-12 16:09:11
3210977,8420462,2847225,94396463,91623827,25,f,t,2014-03-09 15:09:05,2014-03-09 20:23:05
3320658,8765062,2847225,98345275,95043381,27,f,f,2014-03-23 09:52:01,2014-05-30 07:50:19
3700175,9735967,2847225,112132262,112132022,32,f,f,2014-05-19 14:36:54,2014-05-22 12:03:56
3729282,9735967,2847225,113099579,112132022,33,f,f,2014-05-22 12:07:12,2014-05-30 07:47:00
3745320,9788354,2847225,113445088,113445082,34,f,f,2014-05-24 07:19:48,2014-05-27 11:47:20
4002315,10487660,2847225,130951419,119602043,36,f,f,2014-06-26 10:22:04,2014-06-26 11:07:07
4026214,10487660,2847225,132158685,130983562,37,f,f,2014-06-29 21:17:47,2014-06-30 14:39:16
4039897,10487660,2847225,132641324,132395940,38,f,f,2014-07-01 11:51:00,2014-07-23 06:23:38
4322580,9735967,2847225,144848544,141260239,40,f,f,2014-08-03 08:53:24,2014-08-07 12:25:10
4361534,9735967,2847225,146435740,146435733,41,f,f,2014-08-07 14:06:43,2014-08-07 14:13:14
