id,head_repo_id,base_repo_id,head_commit_id,base_commit_id,pullreq_id,intra_branch,merged,opened_at,closed_at
12459580,32461259,32389302,393170144,392109991,1,f,f,2016-02-20 18:54:42,
12638175,32792667,32389302,397463503,392109991,2,f,f,2016-02-27 19:16:15,
12675730,32875009,32389302,398377334,392109991,3,f,f,2016-02-29 18:00:22,
12678106,32877769,32389302,398405599,392109991,4,f,f,2016-02-29 19:41:51,
12681033,32881037,32389302,398438814,392109991,5,f,f,2016-02-29 21:33:21,
12690865,32900787,32389302,398714225,392109991,6,f,f,2016-03-01 06:01:17,
12768516,33034194,32389302,400458021,392109991,7,f,f,2016-03-03 19:12:52,
12822165,33054538,32389302,401652350,392109991,8,f,f,2016-03-05 22:28:53,
12897615,33261760,32389302,403399311,392109991,9,f,f,2016-03-08 23:04:12,
12989036,33409800,32389302,405345817,392109991,10,f,f,2016-03-11 23:40:44,
13022922,33481882,32389302,406261679,392109991,11,f,f,2016-03-14 02:01:17,
13037276,33510639,32389302,406594225,392109991,12,f,f,2016-03-14 15:45:14,
13070425,33568989,32389302,407296887,392109991,13,f,f,2016-03-15 18:07:49,
13101668,33622785,32389302,407961638,392109991,14,f,f,2016-03-16 19:20:24,
13228682,33856170,32389302,411189527,392109991,15,f,f,2016-03-22 05:17:47,
13345545,34034559,32389302,413593650,392109991,16,f,f,2016-03-26 00:36:23,
13383265,34113751,32389302,414529457,392109991,17,f,f,2016-03-28 05:41:33,
13398118,34141631,32389302,414875664,392109991,18,f,f,2016-03-28 19:20:14,
13598550,34453825,32389302,419277448,392109991,19,f,f,2016-04-04 19:56:04,2016-04-04 19:58:34
13598629,34453825,32389302,419277448,392109991,20,f,f,2016-04-04 19:58:53,
13609199,34469238,32389302,419470668,392109991,21,f,f,2016-04-05 03:39:16,2018-09-14 18:59:46
13651980,34535736,32389302,420339294,392109991,22,f,f,2016-04-06 12:25:52,
13661159,34544795,32389302,420407940,392109991,23,f,f,2016-04-06 17:39:01,
13694204,34588686,32389302,420921158,392109991,24,f,f,2016-04-07 22:28:16,
13805854,34896003,32389302,424248053,392109991,25,f,f,2016-04-12 15:28:23,
13970753,35291925,32389302,427740649,392109991,26,f,f,2016-04-18 16:26:12,
14020342,35431809,32389302,430142564,392109991,27,f,f,2016-04-20 02:51:12,
14044979,35466529,32389302,430606118,392109991,28,f,f,2016-04-20 18:34:37,
14046474,35468930,32389302,430633002,392109991,29,f,f,2016-04-20 19:23:47,
14276475,35855991,32389302,435301370,392109991,30,f,f,2016-04-28 04:41:51,
14288678,35876039,32389302,435556720,392109991,31,f,f,2016-04-28 13:58:23,
14340873,35936060,32389302,436581525,392109991,32,f,f,2016-04-30 01:46:22,
