id,head_repo_id,base_repo_id,head_commit_id,base_commit_id,pullreq_id,intra_branch,merged,opened_at,closed_at
591314,,2713,,20849168,1,f,f,2011-12-23 17:25:35,2012-02-01 16:22:05
591313,,2713,,20849138,2,f,t,2012-01-11 17:39:55,2012-01-11 17:40:45
591312,,2713,,20849067,3,f,t,2012-01-30 19:18:33,2012-02-15 20:29:58
591311,,2713,,13455842,4,f,t,2012-03-14 23:26:05,2012-03-14 23:35:20
591310,,2713,,13455866,5,f,t,2012-03-15 00:35:05,2012-03-15 00:35:30
591309,,2713,,13455882,6,f,t,2012-03-15 00:57:09,2012-03-15 00:57:17
591308,,2713,,13455898,7,f,t,2012-03-15 02:03:25,2012-03-15 02:03:42
591228,1472804,2713,20848447,20848446,8,f,t,2012-04-26 20:24:53,2012-04-27 01:23:16
591307,,2713,,20848443,9,f,f,2012-04-27 17:15:24,2012-04-27 18:19:44
591306,,2713,,20848435,10,f,t,2012-04-27 19:33:02,2012-05-01 00:42:26
591225,1178438,2713,20848420,20848419,11,f,t,2012-04-29 20:08:36,2012-05-14 18:09:27
591305,,2713,,20848385,12,f,t,2012-05-02 15:42:55,2012-05-04 17:43:30
591223,1472804,2713,20848386,20848385,13,f,t,2012-05-02 18:51:48,2012-05-02 19:58:26
591304,,2713,,20848371,14,f,f,2012-05-04 17:14:24,2012-05-12 13:31:42
591303,,2713,,20848373,15,f,t,2012-05-07 15:27:55,2012-05-07 15:51:10
591302,,2713,,20848211,16,f,f,2012-05-08 13:20:52,2012-06-12 22:20:03
591301,,2713,,20848367,17,f,t,2012-05-09 15:40:10,2012-05-09 15:43:19
591300,,2713,,20848362,18,f,t,2012-05-10 16:52:04,2012-05-10 18:48:20
591299,,2713,,20848347,19,f,t,2012-05-12 13:33:26,2012-05-12 13:33:35
591298,,2713,,20848341,20,f,f,2012-05-12 23:29:11,2012-05-13 00:03:54
591297,,2713,,20848341,21,f,t,2012-05-14 17:14:50,2012-05-14 18:09:27
591296,,2713,,20848332,22,f,t,2012-05-14 19:09:44,2012-05-14 19:12:33
591295,,2713,,20848183,23,f,t,2012-05-17 17:02:25,2012-05-17 17:04:58
591212,193501,2713,20848180,20848179,24,f,t,2012-05-17 18:51:00,2012-05-17 18:54:58
591292,,2713,,20848144,25,f,f,2012-05-21 21:15:02,2012-05-22 12:37:30
591210,193501,2713,20848129,20848144,26,f,f,2012-05-22 13:16:46,2012-05-22 20:03:53
591291,,2713,,20848144,27,f,t,2012-05-22 18:37:44,2012-05-22 19:11:57
591290,,2713,,20848141,28,f,t,2012-05-22 19:48:49,2012-05-22 19:49:32
591207,193501,2713,20848118,20848123,29,f,t,2012-05-22 20:05:29,2012-05-23 17:17:24
591289,,2713,,20848133,30,f,t,2012-05-22 21:00:35,2012-05-22 21:01:50
591288,,2713,,20848123,31,f,t,2012-05-23 16:40:27,2012-05-23 16:52:02
591287,,2713,,20848112,32,f,t,2012-05-23 20:08:39,2012-05-23 23:22:14
591286,,2713,,20848109,33,f,t,2012-05-24 01:32:37,2012-05-24 01:32:48
591202,193501,2713,20848082,20848095,34,f,t,2012-05-24 12:39:09,2012-05-24 19:58:29
591201,193501,2713,20851788,20848075,35,f,f,2012-05-25 14:34:24,2012-05-25 14:35:13
591199,193501,2713,20848074,20848075,36,f,t,2012-05-25 14:46:14,2012-05-25 14:51:51
591285,,2713,,20848069,37,f,t,2012-05-25 18:25:39,2012-05-25 18:36:35
591197,193501,2713,20848070,20848069,38,f,t,2012-05-25 18:26:11,2012-05-25 18:29:21
591284,,2713,,20848064,39,f,t,2012-05-25 18:47:32,2012-05-25 18:47:40
591283,,2713,,20848056,40,f,t,2012-05-27 22:08:41,2012-05-27 22:08:55
591282,,2713,,20848052,41,f,t,2012-05-28 18:04:12,2012-05-28 18:04:20
591193,193501,2713,20848043,20848042,42,f,t,2012-05-29 16:28:27,2012-05-29 17:34:01
591191,193501,2713,20848036,20848034,43,f,t,2012-05-29 18:55:09,2012-05-29 19:00:35
591281,,2713,,20848005,44,f,t,2012-05-29 19:23:06,2012-05-29 20:01:13
591280,,2713,,20848000,45,f,t,2012-05-30 01:21:21,2012-05-30 01:43:15
591279,,2713,,20847997,46,f,t,2012-05-30 02:20:19,2012-05-30 02:20:27
591278,,2713,,20847975,47,f,t,2012-05-30 13:05:35,2012-05-30 13:06:12
591186,193501,2713,20847943,20847942,48,f,t,2012-05-30 17:47:04,2012-05-30 17:48:11
591277,,2713,,20847927,49,f,t,2012-05-30 18:01:00,2012-05-30 18:01:18
591184,193501,2713,20847893,20847909,50,f,t,2012-05-31 17:33:55,2012-05-31 18:18:48
591276,,2713,,20847906,51,f,t,2012-05-31 18:22:56,2012-05-31 18:43:07
591182,193501,2713,20847892,20847889,52,f,f,2012-05-31 19:25:32,2012-05-31 19:26:31
591180,193501,2713,20847891,20847889,53,f,t,2012-05-31 19:29:34,2012-05-31 19:31:37
591274,,2713,,20847887,54,f,t,2012-05-31 20:39:10,2012-05-31 20:49:17
591178,193501,2713,20847870,20847869,55,f,t,2012-06-01 17:37:08,2012-06-01 17:51:28
591273,,2713,,20847852,56,f,f,2012-06-07 14:07:07,2012-06-07 15:09:20
591271,,2713,,20847852,57,f,t,2012-06-07 15:10:32,2012-06-07 18:00:50
591175,692395,2713,20847831,20847830,58,f,t,2012-06-07 19:08:57,2012-06-08 15:49:21
591174,193501,2713,20847844,20847843,59,f,t,2012-06-07 19:57:16,2012-06-07 21:27:08
591173,193501,2713,20847829,20847832,60,f,t,2012-06-07 22:32:12,2012-06-08 15:13:17
591172,193501,2713,20847828,20847827,61,f,t,2012-06-08 19:07:15,2012-06-08 19:15:57
591171,193501,2713,20847823,20847821,62,f,t,2012-06-08 19:52:03,2012-06-15 16:10:55
591270,,2713,,20847798,63,f,t,2012-06-14 21:19:41,2012-06-18 16:14:52
591168,193501,2713,20847796,20847798,64,f,t,2012-06-18 14:11:28,2012-06-18 16:16:00
591166,193501,2713,20847795,20847793,65,f,t,2012-06-18 16:20:17,2012-06-18 16:25:26
591269,,2713,,20848274,66,f,t,2012-06-18 17:10:10,2012-06-19 15:53:35
591164,1580765,2713,20847746,20847787,67,f,t,2012-06-19 01:20:15,2012-06-23 20:15:35
591163,193501,2713,20848271,20848274,68,f,t,2012-06-19 01:41:36,2012-06-19 18:32:48
591162,193501,2713,20848247,20848315,69,f,t,2012-06-20 12:36:04,2012-06-21 14:46:01
591267,,2713,,20848315,70,f,t,2012-06-20 16:24:24,2012-06-20 16:45:14
591160,1580777,2713,20848311,20848312,71,f,t,2012-06-20 23:06:39,2012-06-21 12:02:40
591159,193501,2713,20848246,20851714,72,f,t,2012-06-21 15:16:53,2012-06-21 16:12:49
591158,193501,2713,20847771,20847761,73,f,t,2012-06-21 20:58:05,2012-06-22 14:17:41
591157,1580765,2713,20847753,20847747,74,f,f,2012-06-22 19:16:32,2012-06-22 19:43:46
591265,,2713,,20847739,75,f,t,2012-06-24 03:14:11,2012-06-24 15:31:23
591264,,2713,,20847733,76,f,t,2012-06-24 17:27:15,2012-06-25 11:34:11
591263,,2713,,20847733,77,f,t,2012-06-24 23:44:18,2012-06-25 17:26:07
591262,,2713,,20847730,78,f,t,2012-06-25 12:12:08,2012-06-25 12:16:59
591152,193501,2713,20847725,20847724,79,f,t,2012-06-25 16:51:39,2012-06-26 16:01:28
591261,,2713,,20847721,80,f,t,2012-06-28 19:09:08,2012-06-28 19:32:08
591150,291567,2713,20851706,20847721,81,f,f,2012-06-28 19:28:41,2012-06-29 13:08:21
591148,291567,2713,20847719,20847712,82,f,t,2012-06-29 10:39:27,2012-06-29 13:08:29
591260,,2713,,20847704,83,f,f,2012-06-29 15:01:20,2012-06-29 19:00:58
591059,193501,2713,20847705,20847704,84,f,t,2012-06-29 17:50:16,2012-07-02 13:44:12
591058,291567,2713,20847699,20847697,86,f,t,2012-07-03 19:00:43,2012-07-05 13:17:04
591063,193501,2713,20847684,20847685,87,f,t,2012-07-06 00:46:30,2012-07-09 15:11:23
591061,291567,2713,20847692,20847685,88,f,t,2012-07-06 11:58:34,2012-07-09 15:05:54
591060,291567,2713,20847681,20847685,89,f,t,2012-07-06 16:49:06,2012-07-09 15:11:44
591062,193501,2713,20847664,20847670,90,f,t,2012-07-09 16:37:28,2012-07-09 20:01:12
591259,,2713,,20847670,91,f,t,2012-07-09 17:39:48,2012-07-09 17:55:04
591065,193501,2713,20847662,20847661,92,f,t,2012-07-10 19:42:19,2012-07-10 20:28:49
591064,291567,2713,20850427,20847619,93,f,f,2012-07-10 19:54:59,2012-07-11 16:39:19
