id,head_repo_id,base_repo_id,head_commit_id,base_commit_id,pullreq_id,intra_branch,merged,opened_at,closed_at
24611533,21693985,55291137,630114585,629518630,559,f,f,2017-02-20 04:41:37,2017-05-17 18:59:25
31403935,21693985,55291137,840993297,840954534,597,f,f,2017-03-20 04:40:16,2018-01-12 18:35:26
24577306,55291137,55291137,694608324,693749696,745,t,t,2017-05-16 23:53:05,2017-05-17 13:28:39
24582734,55291137,55291137,694719350,693749696,746,t,t,2017-05-17 04:02:35,2017-05-17 19:28:47
24611893,55291137,55291137,695277617,695033294,747,t,t,2017-05-17 19:08:23,2017-05-18 21:14:55
24614306,55291137,55291137,695323839,695290254,748,t,t,2017-05-17 20:20:54,2017-05-17 21:53:57
24615888,55291137,55291137,695351808,695290254,749,t,t,2017-05-17 21:03:32,2017-05-17 23:28:43
24622949,55291137,55291137,695467788,695427547,750,t,f,2017-05-18 01:08:15,2017-05-19 05:35:20
24626403,55291137,55291137,695548231,695427547,751,t,t,2017-05-18 04:13:45,2017-05-18 17:54:31
24656097,55291137,55291137,696142373,696059895,752,t,t,2017-05-18 20:05:06,2017-05-19 05:49:59
24656350,55291137,55291137,696145684,696059895,753,t,t,2017-05-18 20:12:44,2017-05-19 05:20:22
24661714,55291137,55291137,696236801,696185650,754,t,t,2017-05-18 22:49:13,2017-05-19 01:46:30
24670757,55291137,55291137,696427373,696408813,755,t,t,2017-05-19 06:42:30,2017-06-01 21:34:10
24679001,65239186,55291137,696604342,696408813,756,f,f,2017-05-19 11:58:33,2017-06-03 11:00:03
24701686,55291137,55291137,697055213,696408813,757,t,t,2017-05-20 01:13:05,2017-06-15 20:07:20
24785891,55291137,55291137,699044315,696408813,760,t,t,2017-05-23 01:04:25,2017-05-23 02:37:11
24786178,55291137,55291137,699049719,696408813,761,t,f,2017-05-23 01:16:21,
24789049,55291137,55291137,699105700,699087697,762,t,f,2017-05-23 03:16:11,
24806326,55291137,55291137,699470236,699470220,765,t,t,2017-05-25 03:47:51,2017-05-25 04:38:57
24813823,55291137,55291137,699647487,699470204,766,t,t,2017-05-25 09:28:17,2017-06-08 18:12:53
24876354,55291137,55291137,700903479,699470204,767,t,t,2017-05-26 18:59:04,2017-05-26 20:11:16
24876417,55291137,55291137,700905028,699470204,768,t,t,2017-05-26 19:01:16,2017-05-26 22:51:44
24983493,55291137,55291137,703559655,701032371,769,t,t,2017-05-30 18:22:01,2017-06-03 10:58:53
24987675,55291137,55291137,703647398,701032371,770,t,f,2017-05-30 20:25:30,2017-06-27 00:19:40
