id,head_repo_id,base_repo_id,head_commit_id,base_commit_id,pullreq_id,intra_branch,merged,opened_at,closed_at
26846205,70444943,70444943,744762039,744735108,14,t,t,2017-07-25 07:22:04,2017-07-26 10:57:13
26879312,70444943,70444943,745444497,744735108,15,t,t,2017-07-26 00:37:31,2017-07-26 16:24:33
26902840,70444943,70444943,745941986,745770935,16,t,t,2017-07-26 15:16:35,2017-07-27 05:05:21
26910306,70444943,70444943,746086408,746001566,17,t,t,2017-07-26 18:27:41,2017-07-31 17:47:41
26931467,70444943,70444943,746489657,746411791,18,t,t,2017-07-27 07:49:13,2017-07-31 05:14:46
26961470,70444943,70444943,747079924,746411791,19,t,t,2017-07-27 22:44:18,2017-07-27 23:30:43
26962862,70444943,70444943,747099530,746411791,20,t,f,2017-07-27 23:27:34,2017-07-27 23:36:05
27041230,70444943,70444943,749075687,749059032,21,t,t,2017-07-31 03:58:19,2017-07-31 04:23:48
27061843,70444943,70444943,749548628,749156949,22,t,t,2017-07-31 16:27:33,2017-07-31 17:23:38
27062954,70444943,70444943,749569432,749566675,23,t,t,2017-07-31 17:51:48,2017-07-31 18:10:13
27071328,70444943,70444943,749726749,749581697,24,t,t,2017-07-31 21:48:47,2017-07-31 22:54:47
27094816,70444943,70444943,750252731,749764874,26,t,f,2017-08-01 13:51:26,2017-09-22 20:51:55
27110900,70444943,70444943,750535328,749764874,27,t,t,2017-08-01 20:26:57,2017-08-01 21:03:24
27114814,70444943,70444943,750604414,750565023,28,t,f,2017-08-01 22:07:50,2017-08-10 19:22:16
27115748,70444943,70444943,750622227,750565023,29,t,t,2017-08-01 22:40:25,2017-08-01 23:58:39
27117991,70444943,70444943,750663472,750659069,30,t,t,2017-08-02 00:10:05,2017-08-02 04:15:07
27142990,70444943,70444943,751200673,750779101,31,t,t,2017-08-02 15:56:00,2017-08-02 17:57:31
27154243,70444943,70444943,751416839,751396471,32,t,t,2017-08-02 21:02:12,2017-08-02 22:49:00
27164932,70444943,70444943,751632483,751478503,33,t,f,2017-08-03 04:25:17,2017-08-04 18:29:24
27165227,70444943,70444943,751640343,751478503,34,t,t,2017-08-03 04:44:47,2017-08-03 13:30:43
27187800,70444943,70444943,752089885,752083859,35,t,t,2017-08-03 16:49:32,2017-08-03 20:35:43
27213176,70444943,70444943,752609023,752231131,36,t,t,2017-08-04 09:37:08,2017-08-04 12:02:04
27226444,70444943,70444943,752184018,752692303,37,t,t,2017-08-04 16:53:00,2017-08-08 06:17:22
27229549,70444943,70444943,752930160,752692303,38,t,t,2017-08-04 18:32:11,2017-08-05 00:42:59
27232930,70444943,70444943,752995022,752692303,39,t,t,2017-08-04 20:28:29,2017-08-08 01:02:15
27239033,70444943,70444943,753124046,753105422,40,t,t,2017-08-05 01:42:27,2017-08-07 15:19:09
27303357,70444943,70444943,754730065,754642530,41,t,t,2017-08-07 17:18:15,2017-08-07 17:48:11
27316088,70444943,70444943,754936886,754750792,42,t,t,2017-08-07 22:22:21,2017-08-08 00:19:57
27319627,70444943,70444943,755006736,755000638,43,t,t,2017-08-08 00:34:05,2017-08-08 00:49:02
27348382,70444943,70444943,755575486,755012631,44,t,t,2017-08-08 16:51:25,2017-08-08 18:57:49
27434685,70444943,70444943,757340865,757294103,46,t,t,2017-08-10 17:53:38,2017-08-10 18:33:11
27438120,70444943,70444943,757399040,757366265,47,t,t,2017-08-10 19:24:57,2017-08-18 18:01:17
27443914,70444943,70444943,757501827,757366265,48,t,t,2017-08-10 22:19:35,2017-08-14 19:43:16
27457803,70444943,70444943,757813351,757366265,49,t,t,2017-08-11 09:50:11,2017-08-11 11:35:11
27532277,70444943,70444943,759661185,757885964,51,t,t,2017-08-14 07:51:21,2017-08-14 10:04:05
27631677,70444943,70444943,761702787,760145156,52,t,t,2017-08-16 16:36:20,2017-08-16 23:07:41
27648617,70444943,70444943,761976703,761937868,53,t,t,2017-08-17 00:34:02,2017-08-17 15:24:15
27711099,70444943,70444943,763229327,762478749,54,t,t,2017-08-18 14:12:34,2017-08-18 16:36:54
27724747,70444943,70444943,763487822,763377575,55,t,t,2017-08-18 21:14:24,2017-08-22 00:20:07
27726779,70444943,70444943,763531474,763377575,56,t,t,2017-08-18 22:36:05,2017-08-19 00:08:09
27794525,70444943,70444943,765193990,763565146,57,t,t,2017-08-21 17:52:17,2017-08-21 20:20:30
27799823,70444943,70444943,765294421,765282680,58,t,t,2017-08-21 20:40:30,2017-08-21 22:00:49
27807269,70444943,70444943,765432364,765405594,59,t,t,2017-08-22 01:22:17,2017-08-23 05:58:42
27809008,70444943,70444943,765477913,765405594,60,t,t,2017-08-22 02:47:20,2017-08-22 17:37:26
27809080,70444943,70444943,765479909,765405594,61,t,f,2017-08-22 02:50:52,2017-08-22 13:40:56
27885306,70444943,70444943,767084791,766422666,62,t,t,2017-08-23 22:31:49,2017-08-26 00:30:27
27886650,70444943,70444943,767109665,766422666,63,t,t,2017-08-23 23:20:36,2017-08-28 01:05:48
27928652,70444943,70444943,767934746,767669282,64,t,t,2017-08-24 23:56:26,2017-08-25 03:54:24
27950708,72689984,70444943,768412092,768038615,69,f,t,2017-08-25 15:24:55,2017-08-25 18:32:58
27965871,70444943,70444943,768707016,768697741,70,t,f,2017-08-26 01:04:17,2017-08-28 23:49:58
28010545,72689984,70444943,769915772,769773827,72,f,f,2017-08-28 06:53:52,2017-10-05 16:23:00
28032784,70444943,70444943,770377463,769773827,74,t,t,2017-08-28 18:44:43,2017-08-29 01:05:47
28035665,70444943,70444943,770354811,769773827,75,t,f,2017-08-28 20:15:26,2017-08-31 23:03:48
28035952,70444943,70444943,770354944,769773827,76,t,t,2017-08-28 20:23:58,2017-08-28 21:57:47
28040031,70444943,70444943,770520486,770500328,77,t,t,2017-08-28 22:33:48,2017-08-28 23:48:57
28041538,70444943,70444943,770495539,770500328,78,t,f,2017-08-28 23:32:14,2017-09-07 18:33:17
28045071,70444943,70444943,770624057,770587531,79,t,t,2017-08-29 02:20:50,2017-08-29 18:51:07
28045432,70444943,70444943,770632073,770587531,80,t,t,2017-08-29 02:36:32,2017-08-29 03:57:01
28045522,70444943,70444943,770633657,770587531,81,t,t,2017-08-29 02:40:10,2017-08-29 04:00:19
28045780,70444943,70444943,770640156,770587531,82,t,t,2017-08-29 02:52:38,2017-08-29 03:56:18
28046814,72689984,70444943,770292862,770587531,83,f,f,2017-08-29 03:48:35,2017-09-19 02:53:39
28070633,70444943,70444943,771164562,770673191,84,t,t,2017-08-29 17:12:15,2017-08-29 18:41:16
28080653,70444943,70444943,771317108,770674527,85,t,t,2017-08-29 21:55:06,2017-08-30 20:25:20
28081687,70444943,70444943,771368595,770674527,86,t,t,2017-08-29 22:27:15,2017-08-30 18:55:28
28084303,70444943,70444943,771416373,770674527,87,t,t,2017-08-30 00:09:45,2017-08-31 22:17:35
28161905,70444943,70444943,772994544,772822754,88,t,t,2017-08-31 21:18:07,2017-09-05 20:02:31
28167316,70444943,70444943,773079443,773025258,89,t,f,2017-09-01 00:21:10,2017-09-01 18:56:30
28180465,70444943,70444943,773352562,773025258,90,t,t,2017-09-01 10:16:42,2017-09-06 13:13:40
28193434,70444943,70444943,773608733,773025258,91,t,t,2017-09-01 17:16:30,2017-09-01 18:59:14
28193655,70444943,70444943,773611756,773025258,92,t,f,2017-09-01 17:24:04,2017-09-05 04:09:21
28193816,70444943,70444943,773582261,773025258,93,t,t,2017-09-01 17:29:42,2017-09-06 17:09:24
28200513,70444943,70444943,773748794,773671609,94,t,t,2017-09-01 21:09:31,2017-09-05 15:53:33
28288145,70444943,70444943,775755270,773671609,96,t,t,2017-09-05 04:43:16,2017-09-14 16:42:01
28324971,70444943,70444943,776484131,776350183,97,t,t,2017-09-06 00:05:06,2017-09-06 00:33:59
28367001,70444943,70444943,777308734,777104982,98,t,t,2017-09-06 22:40:44,2017-09-07 15:52:29
28371659,70444943,70444943,777410595,777104982,99,t,t,2017-09-07 02:12:35,2017-09-07 17:09:06
28400507,70444943,70444943,778011214,777958962,101,t,t,2017-09-07 18:30:52,2017-09-13 23:27:43
28405882,70444943,70444943,778107852,777958962,102,t,t,2017-09-07 21:08:21,2017-09-11 21:36:51
28407377,70444943,70444943,778139882,777958962,103,t,t,2017-09-07 21:57:20,2017-09-08 16:56:26
28411223,70444943,70444943,778214465,777958962,104,t,t,2017-09-08 00:48:28,2017-09-11 20:32:12
28448000,70444943,70444943,778959753,778775345,105,t,t,2017-09-08 22:06:37,2017-09-11 15:58:04
28526533,70444943,70444943,780887097,780743160,106,t,t,2017-09-11 19:13:29,2017-09-16 04:14:58
28537218,70444943,70444943,781088805,780984041,107,t,t,2017-09-12 01:05:07,2017-09-12 22:29:45
28565544,70444943,70444943,781680567,780984041,108,t,t,2017-09-12 16:44:29,2017-09-13 18:09:55
28577231,70444943,70444943,781871105,780984041,109,t,t,2017-09-12 21:27:58,2017-09-15 17:09:40
28578825,70444943,70444943,781920014,780984041,110,t,t,2017-09-12 22:19:47,2017-09-13 20:14:33
28602419,70444943,70444943,782461021,780984041,111,t,f,2017-09-13 14:10:11,2017-09-13 18:04:04
28653865,70444943,70444943,783474955,783461349,112,t,f,2017-09-14 17:30:04,2017-09-14 17:32:27
28660746,70444943,70444943,783612696,783547351,113,t,f,2017-09-14 20:33:56,2017-09-14 20:36:57
28693629,70444943,70444943,784323376,783547351,114,t,t,2017-09-15 16:40:53,2017-09-15 20:26:56
28703125,70444943,70444943,784386192,784463075,115,t,t,2017-09-15 21:31:07,2017-09-18 17:29:28
28705547,70444943,70444943,784527494,784463075,116,t,t,2017-09-15 22:25:39,2017-09-20 17:57:12
28754127,70444943,70444943,785759789,784661334,118,t,t,2017-09-17 23:23:03,2017-09-18 18:24:26
28791634,70444943,70444943,786655129,786521699,119,t,t,2017-09-18 21:21:26,2017-09-18 23:28:15
28794311,70444943,70444943,786708260,786521699,120,t,f,2017-09-18 22:48:03,2017-10-11 20:52:21
28795285,70444943,70444943,786716822,786521699,121,t,t,2017-09-18 23:05:33,2017-09-26 00:32:20
28809189,72689984,70444943,787004858,786728457,122,f,f,2017-09-19 08:03:51,2017-09-22 06:45:16
28824439,70444943,70444943,787248618,786728457,124,t,t,2017-09-19 15:31:42,2017-09-29 13:19:59
28838520,70444943,70444943,787582483,786728457,125,t,t,2017-09-19 21:30:12,2017-09-25 21:33:26
28843874,70444943,70444943,787675672,786728457,126,t,t,2017-09-20 00:19:54,2017-09-20 17:28:46
28875017,70444943,70444943,788325548,788318916,127,t,t,2017-09-20 18:17:52,2017-09-25 22:53:30
28878643,70444943,70444943,788400005,788318916,128,t,t,2017-09-20 20:00:52,2017-09-20 21:12:51
28879668,70444943,70444943,788412648,788300203,129,t,t,2017-09-20 20:19:50,2017-09-20 21:13:23
28883052,70444943,70444943,788468991,788448977,130,t,t,2017-09-20 21:44:58,2017-09-21 19:44:35
28900768,70444943,70444943,788857676,788470479,131,t,t,2017-09-21 10:24:21,2017-09-21 22:28:22
