id,head_repo_id,base_repo_id,head_commit_id,base_commit_id,pullreq_id,intra_branch,merged,opened_at,closed_at
648416,1678329,1648,22215541,22215542,2,f,t,2011-01-16 00:07:45,2011-01-18 22:57:01
648529,,1648,,16439539,13,f,t,2011-01-30 23:56:03,2011-07-20 23:26:19
648528,,1648,,16439573,16,f,t,2011-03-31 19:43:56,2011-04-01 19:40:21
648412,1678304,1648,22216501,16439553,19,f,f,2011-05-04 21:50:09,2011-06-20 09:56:13
648527,,1648,,16439534,20,f,t,2011-05-31 22:55:43,2011-05-31 23:44:06
648409,1678290,1648,16439529,16439530,21,f,t,2011-06-08 22:10:46,2011-06-08 23:03:05
648526,,1648,,16439509,23,f,t,2011-06-17 14:43:07,2011-06-17 14:48:11
648406,1678297,1648,22220491,22220489,27,f,t,2011-07-09 04:02:52,2011-07-09 05:35:01
648405,1678297,1648,22220526,22220524,28,f,t,2011-07-12 21:28:42,2011-07-12 21:36:02
288829,281351,1648,4470865,4470863,29,f,f,2011-07-17 14:52:31,2012-03-26 13:43:28
648403,1678269,1648,16439456,4470863,30,f,t,2011-07-20 23:25:26,2011-07-20 23:26:17
648402,25066,1648,22220534,22220547,31,f,t,2011-07-21 02:41:41,2011-07-21 02:43:14
648395,1678269,1648,16439432,16439395,32,f,t,2011-07-21 15:07:24,2011-07-21 20:05:28
648393,1678297,1648,22220582,22220580,33,f,t,2011-07-25 03:26:06,2011-07-25 03:28:51
648358,1678297,1648,22219984,16439388,35,f,f,2011-08-01 03:53:55,2011-08-01 03:54:26
648356,1678297,1648,22219972,22219971,36,f,t,2011-08-01 03:55:30,2011-08-13 23:28:51
648355,1678297,1648,22219973,22219969,37,f,t,2011-08-18 02:04:12,2011-08-18 02:04:40
648522,,1648,,27436,43,f,t,2011-11-10 00:16:31,2011-11-10 00:17:42
648353,359589,1648,22219966,22219963,44,f,t,2011-11-12 22:41:41,2011-11-12 22:42:58
648352,359589,1648,22219915,22219908,45,f,t,2011-11-13 22:04:50,2011-11-19 06:46:24
648351,1678207,1648,22219892,22219890,46,f,t,2011-11-14 20:15:03,2011-11-14 21:05:33
648519,,1648,,22222873,47,f,t,2011-11-15 01:53:39,2011-11-15 05:56:57
