id,head_repo_id,base_repo_id,head_commit_id,base_commit_id,pullreq_id,intra_branch,merged,opened_at,closed_at
6686739,17509465,17509465,231146041,231146034,11,t,t,2015-03-16 15:58:27,2015-03-16 15:59:45
6687117,17509465,17509465,231153915,231153912,13,t,t,2015-03-16 16:25:55,2015-03-16 16:28:09
6687905,17509465,17509465,231080698,231080691,15,t,t,2015-03-16 17:16:50,2015-03-16 19:20:08
6690133,17509465,17509465,231215618,231080686,16,t,t,2015-03-16 20:10:19,2015-03-16 22:40:27
6690999,17509465,17509465,231227981,231080686,17,t,f,2015-03-16 21:12:22,2015-05-08 16:08:05
6683156,17509465,17509465,231080706,231080686,18,t,f,2015-03-16 22:17:25,2015-03-16 22:38:17
6692147,17509465,17509465,231245458,231245454,20,t,t,2015-03-16 22:51:56,2015-03-16 22:52:48
6720239,17509465,17509465,232596720,232596701,27,t,f,2015-03-18 16:49:15,2015-03-18 17:06:56
6721009,17509465,17509465,232660904,232660894,28,t,f,2015-03-18 17:36:49,2015-03-18 21:31:16
6724563,17509465,17509465,232980553,232660894,30,t,f,2015-03-18 21:30:24,2015-03-18 22:27:06
6735225,17509465,17509465,233763985,233501064,32,t,f,2015-03-19 14:14:15,2015-03-19 14:26:48
6735567,17509465,17509465,233772379,233769560,37,t,f,2015-03-19 14:32:58,2015-03-19 20:13:56
6737685,17509465,17509465,233824764,233769560,38,t,f,2015-03-19 16:32:29,2015-03-19 16:40:26
6738791,17509465,17509465,233842434,233827951,39,t,f,2015-03-19 17:42:02,2015-03-19 17:42:26
6741688,17509465,17509465,233917627,233909777,43,t,f,2015-03-19 20:35:49,2015-03-19 20:38:03
6742094,17509465,17509465,233927528,233918548,45,t,f,2015-03-19 21:03:49,2015-03-19 21:14:57
7413980,17509465,17509465,253742456,233931506,53,t,t,2015-03-20 19:49:28,2015-05-05 19:08:56
7227788,17509465,17509465,248332518,233931506,54,t,f,2015-04-22 19:34:41,2015-04-22 19:40:06
7416000,17509465,17509465,253787834,253742465,65,t,f,2015-05-05 21:32:31,2015-05-05 21:35:54
7431989,17509465,17509465,254221788,253793715,67,t,f,2015-05-06 19:31:38,2015-05-07 15:21:59
7432879,17509465,17509465,254241230,253793715,68,t,f,2015-05-06 20:32:06,2015-05-07 15:12:01
7433427,17509465,17509465,254254183,253793715,69,t,f,2015-05-06 21:13:43,2015-05-07 14:37:19
7433527,17509465,17509465,254253567,253793715,70,t,f,2015-05-06 21:20:58,2015-05-08 14:39:19
7450943,17509465,17509465,254708788,254585423,71,t,f,2015-05-07 21:09:06,2015-05-11 15:46:34
7462420,17509465,17509465,254916100,254585423,72,t,f,2015-05-08 14:20:51,
7462755,17509465,17509465,254919182,254919173,73,t,t,2015-05-08 14:39:50,2015-05-08 16:12:53
7463928,17509465,17509465,254938388,254938383,74,t,t,2015-05-08 16:09:41,2015-05-08 16:13:11
7466825,17509465,17509465,254832245,254975101,75,t,f,2015-05-08 19:57:01,2015-05-11 14:33:32
7468467,17509465,17509465,255015849,254975101,76,t,f,2015-05-08 23:11:34,2015-05-11 14:36:33
7492169,17509465,17509465,255424791,254975101,78,t,t,2015-05-11 14:19:55,2015-05-11 14:22:38
7492638,17509465,17509465,255428368,255428362,79,t,t,2015-05-11 14:55:47,2015-05-11 14:57:23
7492748,17509465,17509465,255429257,255429243,80,t,t,2015-05-11 15:04:42,2015-05-11 15:05:47
7504604,17509465,17509465,255471187,255471182,82,t,t,2015-05-11 20:15:10,2015-05-11 20:15:53
7496726,17509465,17509465,255471191,255471175,83,t,t,2015-05-11 20:35:43,2015-05-11 21:13:48
7509919,17509465,17509465,255865599,255865598,85,t,f,2015-05-12 15:58:42,2015-05-13 19:27:48
7510655,17509465,17509465,255885675,255865598,86,t,f,2015-05-12 16:45:28,2015-05-12 18:48:48
7530609,17509465,17509465,256760478,256760455,90,t,f,2015-05-13 20:22:18,2015-05-13 20:30:39
7834705,17509465,17509465,266497022,256760455,102,t,f,2015-06-03 19:48:40,2015-06-04 14:38:32
7835232,17509465,17509465,266558383,256760455,103,t,f,2015-06-03 20:30:55,2015-06-03 21:10:02
7846300,17509465,17509465,266857179,266571791,104,t,f,2015-06-04 13:49:50,2015-06-04 18:35:38
7852252,17509465,17509465,266986934,266961559,111,t,f,2015-06-04 19:54:14,2015-07-24 16:36:39
7852769,17509465,17509465,267001061,266961559,112,t,f,2015-06-04 20:29:17,2015-06-12 19:17:08
8441925,17509465,17509465,279512335,270233775,145,t,t,2015-07-13 20:00:56,2015-07-15 13:57:05
8454362,17509465,17509465,280212791,270233775,146,t,t,2015-07-14 17:04:21,2015-07-14 17:06:30
8467847,17509465,17509465,279806236,279806209,147,t,t,2015-07-15 14:21:30,2015-07-15 14:32:58
8390162,17509465,17509465,279806262,279806183,149,t,t,2015-07-15 16:06:19,2015-07-15 20:47:57
8487839,17509465,17509465,280430220,280430216,151,t,t,2015-07-16 18:47:12,2015-07-24 18:36:57
8404026,17509465,17509465,279891319,279891308,152,t,t,2015-07-17 14:30:32,2015-07-20 15:22:30
8534829,17509465,17509465,282533738,282417335,153,t,f,2015-07-20 16:05:19,2015-07-20 16:58:35
8528021,17509465,17509465,282417340,282417331,154,t,t,2015-07-20 19:52:03,2015-07-21 15:11:22
8551128,17509465,17509465,282417337,282417335,155,t,t,2015-07-21 13:39:10,2015-07-21 14:24:02
8551092,17509465,17509465,283289806,280430217,156,t,f,2015-07-21 16:14:36,2015-07-23 15:06:16
8559548,17509465,17509465,280430219,280430217,157,t,t,2015-07-22 19:03:27,2015-07-23 19:23:24
8616372,17509465,17509465,284410595,280430216,162,t,t,2015-07-24 16:32:35,2015-07-24 18:39:14
8618422,17509465,17509465,284444571,284444564,163,t,t,2015-07-24 18:43:11,2015-07-24 18:44:03
8618906,,17509465,,284452694,164,f,f,2015-07-24 19:24:11,2015-07-24 19:25:12
8939915,17509465,17509465,299614908,284452694,170,t,t,2015-08-17 19:32:57,2015-08-18 13:55:41
8955099,17509465,17509465,299804780,299804777,171,t,t,2015-08-18 17:50:45,2015-08-18 17:57:07
8955621,17509465,17509465,299195435,299039472,172,t,t,2015-08-18 18:01:57,2015-08-18 20:19:38
8906639,17509465,17509465,299195436,299021280,173,t,f,2015-08-18 21:16:20,2015-08-27 20:19:22
8917894,17509465,17509465,299340985,299021280,175,t,f,2015-08-19 18:51:14,2015-08-20 15:11:24
8973326,17509465,17509465,300097674,299021280,176,t,f,2015-08-19 20:46:05,2015-08-20 15:08:25
