id,head_repo_id,base_repo_id,head_commit_id,base_commit_id,pullreq_id,intra_branch,merged,opened_at,closed_at
22518158,59765652,59765652,628755327,624459585,88,t,f,2017-02-10 12:19:04,2017-03-19 16:34:07
22521209,59765652,59765652,642973241,642968874,99,t,f,2017-03-09 10:23:26,2017-03-19 18:44:16
22613749,59765652,59765652,644833140,643967686,102,t,t,2017-03-14 11:33:04,2017-03-23 15:35:05
22613931,59765652,59765652,644870623,643967686,103,t,t,2017-03-14 12:35:12,2017-03-27 12:15:10
22631700,59765652,59765652,644914021,643967686,104,t,f,2017-03-14 13:40:35,2017-03-22 09:14:49
22919216,59765652,59765652,652493662,650033637,105,t,t,2017-03-15 11:49:55,2017-04-04 13:36:25
22411440,59765652,59765652,646508953,643967686,106,t,f,2017-03-16 10:15:59,2017-03-31 09:00:23
22512418,59765652,59765652,648619142,643967686,108,t,f,2017-03-19 11:00:04,2017-03-19 16:33:45
22514358,59765652,59765652,648675500,643967686,109,t,t,2017-03-19 13:10:04,2017-03-19 16:25:04
22538258,59765652,59765652,649271808,648784698,110,t,t,2017-03-20 09:42:53,2017-03-20 12:46:54
22543055,59765652,59765652,649378952,648784698,111,t,f,2017-03-20 12:35:04,2017-04-12 07:48:50
22543274,59765652,59765652,649386307,648784698,112,t,t,2017-03-20 12:44:02,2017-03-20 12:50:39
22543471,59765652,59765652,649390808,649390352,113,t,t,2017-03-20 12:51:18,2017-03-20 12:57:33
22548525,59765652,59765652,649500566,649394904,114,t,t,2017-03-20 15:12:26,2017-03-21 10:37:04
22581665,59765652,59765652,650033639,650033637,115,t,f,2017-03-21 12:25:34,2017-03-21 14:38:06
22605786,59765652,59765652,650220769,650033637,116,t,t,2017-03-21 18:39:58,2017-03-22 09:15:48
22613691,59765652,59765652,650279460,650279448,117,t,t,2017-03-23 12:59:04,2017-03-23 15:08:27
22699141,59765652,59765652,650919762,650919756,118,t,t,2017-03-24 09:41:25,2017-03-28 10:15:29
22716171,59765652,59765652,651048125,650919756,119,t,t,2017-03-24 18:48:15,2017-03-27 08:08:52
22777013,59765652,59765652,655162069,650919756,120,t,t,2017-03-27 07:47:53,2017-03-27 07:58:24
22782277,59765652,59765652,655468270,655445351,121,t,t,2017-03-27 11:15:01,2017-03-27 11:52:04
22783178,59765652,59765652,655508600,655445351,122,t,t,2017-03-27 11:48:39,2017-03-27 12:08:19
22783350,59765652,59765652,655509683,655508651,123,t,t,2017-03-27 11:55:28,2017-03-27 12:13:04
22785357,59765652,59765652,655592196,655592189,124,t,t,2017-03-27 13:04:37,2017-03-28 13:30:08
22786387,59765652,59765652,652697935,655592189,125,t,t,2017-03-27 13:33:10,2017-03-28 14:18:19
22818476,59765652,59765652,655592189,656534736,126,t,t,2017-03-28 07:58:13,2017-03-28 08:34:57
22821106,59765652,59765652,656596804,656535369,127,t,t,2017-03-28 09:29:23,2017-03-28 09:54:36
22825223,59765652,59765652,656696514,656640775,128,t,t,2017-03-28 11:57:23,2017-03-28 12:28:09
22863477,59765652,59765652,657523984,657525308,129,t,t,2017-03-29 09:18:49,2017-04-25 09:05:50
22869732,59765652,59765652,657665986,657525308,130,t,t,2017-03-29 12:53:42,2017-03-29 13:32:02
22904719,59765652,59765652,658329648,657694026,131,t,t,2017-03-30 07:15:45,2017-03-31 08:57:09
22912519,59765652,59765652,658497157,657694026,132,t,t,2017-03-30 11:49:31,2017-04-04 13:16:11
22921470,59765652,59765652,658683534,657694026,133,t,t,2017-03-30 15:50:13,2017-04-04 13:22:44
22953161,59765652,59765652,659290468,659257183,134,t,t,2017-03-31 09:19:12,2017-03-31 09:58:38
22952304,59765652,59765652,659276352,659257183,135,t,t,2017-03-31 09:29:28,2017-04-06 07:57:41
22957148,59765652,59765652,659370612,659293589,136,t,f,2017-03-31 12:33:13,
22958526,59765652,59765652,659398947,659398928,137,t,t,2017-03-31 13:21:32,2017-03-31 13:24:49
23070014,59765652,59765652,661921055,659401257,138,t,t,2017-04-04 07:18:52,2017-04-04 13:10:52
23078747,59765652,59765652,662110918,659401257,139,t,t,2017-04-04 12:52:36,2017-04-04 13:01:50
23079963,59765652,59765652,662135822,662132318,140,t,t,2017-04-04 13:27:27,2017-04-04 13:58:36
23117561,59765652,59765652,662796258,662159287,141,t,t,2017-04-05 08:17:11,2017-04-05 08:22:02
23117867,59765652,59765652,662802819,662799002,142,t,t,2017-04-05 08:28:24,2017-04-05 09:13:03
23120449,59765652,59765652,662859884,662831270,143,t,t,2017-04-05 09:54:33,2017-04-06 07:24:20
23122189,59765652,59765652,662896348,662831270,144,t,t,2017-04-05 10:55:45,2017-04-05 11:53:30
23127235,59765652,59765652,662995756,662929309,145,t,t,2017-04-05 13:34:21,2017-04-06 07:54:29
23129238,59765652,59765652,663030273,662929309,146,t,t,2017-04-05 14:26:38,2017-04-06 09:05:17
23160343,59765652,59765652,663618911,663620795,147,t,t,2017-04-06 07:27:21,2017-04-06 07:30:23
23164898,61651970,59765652,663723762,663680202,148,f,t,2017-04-06 10:12:56,2017-04-24 13:28:09
23168212,59765652,59765652,663789788,663680202,149,t,t,2017-04-06 12:15:56,2017-04-10 07:25:04
23169401,59765652,59765652,663819600,663680202,150,t,t,2017-04-06 12:55:51,2017-04-10 12:38:20
23170906,59765652,59765652,663849342,663680202,151,t,t,2017-04-06 13:38:25,2017-04-19 07:07:54
23174187,59765652,59765652,663912502,663680202,152,t,t,2017-04-06 15:00:48,2017-04-07 10:27:44
23298324,59765652,59765652,666836411,666738380,153,t,t,2017-04-10 10:12:06,2017-04-12 12:32:26
23298339,59765652,59765652,666836821,666738380,154,t,t,2017-04-10 10:12:47,2017-04-10 10:15:26
23299545,59765652,59765652,666863196,666838221,155,t,t,2017-04-10 11:02:08,2017-04-10 12:35:31
23341069,59765652,59765652,667792236,666921743,156,t,t,2017-04-11 12:07:20,2017-04-12 13:54:17
23341588,59765652,59765652,667803891,666921743,157,t,t,2017-04-11 12:26:27,2017-04-12 07:35:25
