id,head_repo_id,base_repo_id,head_commit_id,base_commit_id,pullreq_id,intra_branch,merged,opened_at,closed_at
7812038,20563606,20563606,265973252,265973254,1,t,f,2015-06-02 15:05:02,2015-07-17 11:24:40
8549644,20563606,20563606,283250046,283250032,2,t,t,2015-07-21 12:26:52,2015-07-21 12:28:47
8613060,20563606,20563606,278903277,278903275,3,t,t,2015-07-24 12:45:19,2015-07-24 13:09:18
8644248,20563606,20563606,278903307,278903273,4,t,t,2015-07-27 14:48:16,2015-07-27 14:57:40
8644381,20563606,20563606,278903308,278903273,5,t,t,2015-07-27 14:57:27,2015-07-27 14:57:40
8645312,20563606,20563606,278903306,278903309,6,t,t,2015-07-27 16:02:30,2015-07-27 16:08:05
8649647,20563606,20563606,278903311,278903310,7,t,t,2015-07-27 20:46:42,2015-07-27 21:12:03
8660710,20563606,20563606,278903314,278903312,8,t,t,2015-07-28 15:44:25,2015-07-28 15:46:08
8662087,20563606,20563606,278903316,278903315,9,t,t,2015-07-28 17:14:44,2015-07-28 17:16:48
8677706,22706993,20563606,285657741,278903317,10,f,f,2015-07-29 16:21:24,2015-07-29 17:28:14
8694016,20563606,20563606,278903318,278903317,11,t,f,2015-07-30 16:29:17,2015-07-31 16:16:31
8727740,20563606,20563606,292689745,278903324,14,t,f,2015-08-02 15:34:56,2015-08-02 22:41:34
8729510,20563606,20563606,278903325,278903324,15,t,t,2015-08-02 18:42:44,2015-08-02 19:36:50
8730201,20563606,20563606,278903327,278903326,16,t,t,2015-08-02 20:01:59,2015-08-03 08:52:58
8730809,20563606,20563606,278903295,278903326,17,t,t,2015-08-02 21:35:23,2015-08-03 08:56:56
8293523,20563606,20563606,278903278,278903273,18,t,t,2015-08-04 17:48:25,2015-08-05 17:17:59
8787080,20563606,20563606,293785095,278903278,19,t,f,2015-08-07 11:08:01,2015-08-07 11:28:16
8787507,20563606,20563606,293792635,278903278,20,t,t,2015-08-07 11:41:17,2015-08-07 11:42:35
8792154,20563606,20563606,293878545,293878480,21,t,t,2015-08-07 17:08:22,2015-08-08 00:34:04
8894332,20563606,20563606,299055871,297837071,22,t,t,2015-08-14 11:57:41,2015-08-14 12:08:30
8930703,20563606,20563606,299500195,299500191,23,t,t,2015-08-17 12:22:27,2015-08-17 13:04:45
8953788,20563606,20563606,299790393,299790392,24,t,f,2015-08-18 16:21:42,2015-08-26 01:53:49
8984920,24255880,20563606,300383113,299790392,25,f,f,2015-08-20 16:38:11,2015-08-20 16:40:45
9025403,20563606,20563606,301247023,299790392,26,t,t,2015-08-24 12:30:12,2015-08-24 12:36:51
9025477,20563606,20563606,301248222,299790392,27,t,t,2015-08-24 12:34:57,2015-08-24 12:37:10
9025657,20563606,20563606,301250043,301250037,28,t,t,2015-08-24 12:46:43,2015-08-24 12:49:25
9032879,20563606,20563606,301329644,301329633,29,t,t,2015-08-24 20:56:57,2015-08-25 20:28:18
9048593,20563606,20563606,301539292,301539290,30,t,t,2015-08-25 20:32:27,2015-08-26 13:31:25
9100296,20563606,20563606,306872905,306872900,31,t,t,2015-08-27 18:28:48,2015-08-27 18:32:25
9116861,20563606,20563606,307008224,307008219,32,t,t,2015-08-28 15:47:52,2015-08-28 15:49:44
9131354,20563606,20563606,307169546,307169528,33,t,t,2015-08-29 15:29:24,2015-09-08 17:36:38
9152193,20563606,20563606,307376066,307169528,34,t,t,2015-09-01 00:54:52,2015-09-01 11:25:53
9178690,20563606,20563606,307629014,307629007,35,t,t,2015-09-02 17:37:47,2015-09-03 11:33:06
9188175,20563606,20563606,307629011,307629008,36,t,t,2015-09-03 10:08:37,2015-09-03 10:21:46
9249240,20563606,20563606,308482006,308481996,37,t,t,2015-09-08 11:34:24,2015-09-08 12:30:16
9254960,20563606,20563606,308545656,308506858,38,t,f,2015-09-08 17:17:47,2015-09-09 15:39:58
9254981,20563606,20563606,308545781,308506858,39,t,t,2015-09-08 17:18:45,2015-09-09 15:03:26
9267774,20563606,20563606,308687031,308687018,40,t,t,2015-09-09 13:07:20,2015-09-09 13:57:53
9271813,20563606,20563606,308745954,308745845,41,t,t,2015-09-09 17:31:42,2015-09-09 17:57:02
9287393,20563606,20563606,308919207,308919202,42,t,t,2015-09-10 15:58:20,2015-09-10 16:11:18
9290474,20563606,20563606,308953897,308953889,43,t,t,2015-09-10 18:36:15,2015-09-11 09:48:03
9306868,25153179,20563606,309119199,308953889,44,f,t,2015-09-11 00:42:09,2015-09-11 00:43:39
9306949,25153179,20563606,309120235,309120229,45,f,t,2015-09-11 00:54:02,2015-09-11 00:55:24
9307308,20563606,20563606,309124397,309124355,46,t,t,2015-09-11 18:20:39,2015-09-11 18:51:41
9356959,22706993,20563606,315039706,314524215,47,f,t,2015-09-14 17:51:35,2015-09-15 11:14:21
9371784,20563606,20563606,315174006,315174001,48,t,f,2015-09-15 12:24:07,2015-09-22 11:15:20
9378662,20563606,20563606,315239372,315174001,49,t,t,2015-09-15 17:28:01,2015-09-15 22:06:55
9381258,20563606,20563606,315261832,315174001,50,t,t,2015-09-15 19:04:17,2015-09-15 19:07:50
9431441,20563606,20563606,315770785,315770781,51,t,t,2015-09-18 13:19:44,2015-09-18 13:24:03
9437793,20563606,20563606,315843662,315843648,52,t,t,2015-09-18 19:30:13,2015-09-18 19:32:01
9474735,20563606,20563606,316238234,316238227,53,t,t,2015-09-21 16:22:45,2015-09-21 18:48:02
9475008,20563606,20563606,316240889,316238227,54,t,t,2015-09-21 16:40:02,2015-09-21 16:44:27
9490660,20563606,20563606,316416127,316416097,55,t,t,2015-09-22 13:58:18,2015-09-22 14:43:37
9496209,20563606,20563606,316487823,316487817,56,t,f,2015-09-23 00:20:32,2015-10-09 19:37:30
9503447,20563606,20563606,316580869,316487817,57,t,t,2015-09-23 10:31:30,2015-09-23 15:48:05
