id,head_repo_id,base_repo_id,head_commit_id,base_commit_id,pullreq_id,intra_branch,merged,opened_at,closed_at
1112789,,46880,,29432959,6,f,t,2011-07-26 18:46:04,2011-07-29 08:53:17
1112827,,46880,,29433028,8,f,t,2011-08-05 16:38:45,2011-08-05 18:41:36
1112815,,46880,,29433000,11,f,t,2011-09-01 12:22:58,2011-09-01 12:24:34
1112818,,46880,,29433018,13,f,t,2011-09-02 13:23:24,2011-09-02 13:25:31
1113023,2044768,46880,29433608,29433603,16,f,f,2011-09-15 16:39:03,2011-09-15 16:39:40
1113017,2044767,46880,29433561,29433556,17,f,f,2011-10-02 20:38:24,2011-10-04 04:50:40
1112804,2044765,46880,29432985,15877594,20,f,f,2011-11-15 09:55:18,2011-11-15 13:31:49
1113011,2591193,46880,15877497,15877495,24,f,t,2011-12-15 20:49:09,2011-12-15 21:57:24
1113010,2044763,46880,15877484,15877479,25,f,t,2011-12-16 15:23:19,2011-12-16 15:24:11
857063,531108,46880,15877388,15877387,31,f,t,2012-01-13 11:03:14,2012-01-13 13:48:39
858916,251161,46880,15877216,15877211,32,f,t,2012-01-16 09:04:50,2012-01-17 15:55:33
858220,251161,46880,15877379,15877378,33,f,t,2012-01-16 09:07:13,2012-01-16 09:24:27
859075,251161,46880,,15877087,34,f,f,2012-01-17 20:30:22,2012-01-23 12:48:17
1112987,2591193,46880,29433507,15877170,36,f,f,2012-01-21 23:31:03,2012-01-23 23:18:32
1112982,2591193,46880,15877089,15877087,37,f,t,2012-01-21 23:32:13,2012-01-23 12:41:09
862772,531108,46880,15876983,15876988,40,f,t,2012-02-02 20:59:12,2012-02-02 21:10:03
862783,531108,46880,7548001,15876982,41,f,t,2012-02-02 21:19:55,2012-02-02 21:23:11
271137,531108,46880,7547978,7547951,44,f,f,2012-02-06 19:42:31,2012-02-26 17:24:31
372056,46880,46880,11184065,7547951,45,t,t,2012-02-07 14:12:00,2012-02-07 16:29:21
372145,46880,46880,7584225,7584223,46,t,t,2012-02-07 20:49:59,2012-02-07 21:18:57
272596,533196,46880,7584247,7584217,47,f,f,2012-02-09 09:14:13,2012-02-09 10:48:11
272605,533196,46880,7584450,7584217,48,f,t,2012-02-09 09:45:20,2012-02-09 09:56:55
373573,46880,46880,11232567,11232555,49,t,t,2012-02-13 19:39:13,2012-02-13 19:53:41
374093,46880,46880,11250601,11250593,51,t,t,2012-02-15 22:14:36,2012-02-16 05:56:37
375066,46880,46880,7721214,7721203,54,t,t,2012-02-20 08:03:07,2012-02-20 08:47:59
277764,533196,46880,7721216,7721192,57,f,t,2012-02-21 15:03:44,2012-02-21 16:08:29
376318,46880,46880,11328104,11328100,58,t,t,2012-02-24 09:08:04,2012-02-24 11:41:37
376414,46880,46880,11332337,11332332,59,t,t,2012-02-24 16:56:13,2012-02-26 17:23:53
864773,,46880,,15876931,61,f,t,2012-02-29 19:30:06,2012-02-29 19:39:52
282924,328558,46880,7857685,7857679,63,f,t,2012-03-16 15:36:58,2012-03-19 21:43:31
284231,46880,46880,2059752,7857679,64,t,t,2012-03-19 17:42:21,2012-03-19 17:42:28
378969,46880,46880,8137275,8137272,65,t,t,2012-03-20 12:20:51,2012-03-20 12:33:53
379536,46880,46880,11439255,2059953,67,t,f,2012-03-22 11:50:52,2012-03-22 11:51:22
379537,46880,46880,11439264,8137285,68,t,f,2012-03-22 11:53:12,2012-04-19 02:58:44
382131,46880,46880,11537683,2060208,69,t,f,2012-04-02 03:48:01,2015-10-20 05:23:05
293956,305396,46880,8137245,2060208,71,f,f,2012-04-05 07:56:07,2012-04-05 07:56:25
79899,305396,46880,2060221,2060208,72,f,t,2012-04-05 08:02:52,2012-04-05 08:04:19
79900,305396,46880,2060231,2060250,73,f,t,2012-04-05 08:05:26,2012-04-05 08:12:07
83028,310117,46880,4806971,2060375,74,f,f,2012-04-08 18:32:39,2013-08-14 11:00:10
384961,46880,46880,9574318,8137253,76,t,t,2012-04-14 05:33:26,2012-04-14 12:23:57
385189,46880,46880,5008661,5008658,77,t,t,2012-04-15 12:27:33,2012-04-15 15:14:47
