id,head_repo_id,base_repo_id,head_commit_id,base_commit_id,pullreq_id,intra_branch,merged,opened_at,closed_at
515442,1468188,6577,17984262,17984253,3,f,f,2011-09-27 10:21:39,2011-09-27 11:27:29
515441,1468188,6577,17984246,17984242,4,f,f,2011-09-27 12:29:48,2011-09-27 15:05:19
515453,1468145,6577,17984427,17984242,5,f,f,2011-09-27 13:08:51,2011-09-27 15:04:35
515450,1468188,6577,17984422,17984412,8,f,f,2011-09-28 14:33:22,2011-09-28 16:45:04
515447,1468188,6577,17984399,17984356,10,f,t,2011-09-29 06:19:14,2011-09-29 11:17:35
515470,1468188,6577,17988371,17984356,11,f,f,2011-09-29 11:23:05,2011-09-29 14:41:52
515460,1468145,6577,17984447,17984439,12,f,f,2011-09-30 13:59:21,2011-10-13 19:20:30
515455,643058,6577,17984435,17984431,13,f,f,2011-10-14 15:00:00,2011-10-14 17:17:38
515463,546499,6577,17984682,17984612,14,f,f,2011-11-09 14:28:44,2011-11-11 15:48:59
515462,643058,6577,17984641,17984612,15,f,t,2011-11-09 14:32:05,2011-11-11 14:52:32
515467,546499,6577,17988186,17984612,16,f,f,2011-11-09 14:47:54,2011-11-11 15:49:32
515466,6576,6577,17987945,17984612,17,f,f,2011-11-10 16:06:46,2011-11-11 15:50:08
515469,6576,6577,17988362,9233181,18,f,f,2011-11-18 15:48:18,2011-11-24 13:55:57
515468,643058,6577,17988356,17988347,19,f,t,2011-11-23 10:17:14,2011-11-24 13:22:18
515473,6576,6577,17988404,17988398,20,f,t,2011-11-23 13:56:44,2011-11-24 15:20:29
515472,52240,6577,17988389,17988378,21,f,f,2011-11-23 14:47:50,2011-11-23 14:53:09
515471,52240,6577,17988384,17988378,22,f,t,2011-11-23 15:00:09,2011-11-24 15:17:07
515581,14683,6577,17988412,17988398,23,f,t,2011-11-23 15:53:02,2011-11-24 15:25:22
515474,6576,6577,9233230,9233183,24,f,t,2011-11-24 11:20:32,2011-11-29 13:44:01
515583,14683,6577,9233255,17997995,26,f,f,2011-11-25 15:27:57,2011-11-25 15:28:57
515582,14683,6577,9233255,9233241,27,f,t,2011-11-25 15:30:13,2011-11-26 08:00:10
515585,6576,6577,17982417,17982418,28,f,t,2011-11-28 17:48:22,2011-11-29 14:00:42
515584,6576,6577,17982375,17982381,29,f,t,2011-12-06 12:27:32,2011-12-14 09:56:16
515587,6576,6577,17982378,17982381,30,f,t,2011-12-06 13:46:16,2011-12-12 18:55:02
515586,432393,6577,17998021,17982394,31,f,f,2011-12-07 13:01:47,2011-12-08 10:38:34
515646,432393,6577,17999800,17999796,32,f,t,2011-12-08 11:01:21,2011-12-08 12:14:25
515756,6576,6577,18001642,18001627,33,f,t,2011-12-13 11:53:27,2011-12-13 18:02:28
515755,6576,6577,18001579,18001598,34,f,t,2011-12-14 14:03:15,2011-12-16 16:34:08
515754,432393,6577,18001543,18001541,35,f,t,2011-12-17 19:54:07,2011-12-22 18:30:12
515753,432393,6577,18001573,18001572,36,f,t,2011-12-21 10:22:20,2011-12-23 11:44:48
515751,6576,6577,18001503,18001559,37,f,t,2012-01-04 17:29:28,2012-01-04 17:48:10
515750,6576,6577,18001545,18001527,38,f,t,2012-01-04 17:50:57,2012-01-06 17:20:33
515747,14683,6577,18001476,18001498,39,f,t,2012-01-06 12:31:35,2012-01-06 12:47:59
515746,14683,6577,18001441,18001442,40,f,t,2012-01-06 22:45:38,2012-01-07 13:29:27
515743,14683,6577,18001443,18001441,41,f,t,2012-01-09 09:56:16,2012-01-09 10:02:04
