id,head_repo_id,base_repo_id,head_commit_id,base_commit_id,pullreq_id,intra_branch,merged,opened_at,closed_at
3294628,8692519,5927491,97531910,96717665,1,f,f,2014-03-19 21:04:30,2014-03-23 22:02:17
3851714,10109102,5927491,121926879,118941212,2,f,f,2014-06-07 19:25:44,2014-06-14 20:42:44
3878916,5927491,5927491,125219566,118941212,3,t,f,2014-06-11 10:21:54,2014-06-11 10:25:19
3887829,5927491,5927491,125632613,125507602,4,t,f,2014-06-12 07:36:54,2014-06-12 07:37:02
3888626,5927491,5927491,125662238,125632623,5,t,f,2014-06-12 09:50:10,2014-06-12 09:50:17
3897340,5927491,5927491,126014736,125662280,6,t,f,2014-06-13 07:50:27,2014-06-13 07:50:48
3908206,5927491,5927491,126470400,126014822,7,t,f,2014-06-14 20:42:20,2014-06-14 20:42:43
3962813,5927491,5927491,129201166,126470455,8,t,f,2014-06-21 11:19:49,2014-06-21 11:20:18
3975422,5927491,5927491,129869329,129208251,9,t,f,2014-06-23 15:26:06,2014-06-23 15:26:14
4067839,5927491,5927491,133824691,132813199,10,t,f,2014-07-05 02:29:49,2014-07-05 02:31:08
4067891,5927491,5927491,133827066,133824791,11,t,f,2014-07-05 02:59:32,2014-07-05 02:59:40
4085592,5927491,5927491,134643219,134642912,12,t,f,2014-07-07 23:25:39,2014-07-07 23:27:47
4167454,5927491,5927491,138149685,137737179,13,t,f,2014-07-15 23:10:42,2014-07-15 23:11:04
4225784,5927491,5927491,140695115,140522803,14,t,f,2014-07-22 21:21:21,2014-07-22 21:21:35
4241621,5927491,5927491,141369077,140696696,15,t,t,2014-07-24 11:27:41,2014-07-24 12:34:57
4302992,5927491,5927491,144046994,143483417,16,t,t,2014-07-31 15:00:22,2014-07-31 15:00:29
4310869,5927491,5927491,144369583,144047009,17,t,f,2014-08-01 11:20:23,2014-08-01 11:20:31
4351698,5927491,5927491,145771221,144778310,18,t,t,2014-08-06 14:20:38,2014-08-06 14:21:32
4534279,5927491,5927491,155165532,155165495,19,t,t,2014-08-28 09:18:29,2014-08-28 09:24:24
4613124,5927491,5927491,156532104,156532101,20,t,t,2014-09-05 10:14:55,2014-09-05 10:15:06
4888642,12375518,5927491,166090801,164564778,21,f,f,2014-10-07 11:55:03,2014-10-07 12:00:58
4890657,12375518,5927491,166193426,166193419,22,f,f,2014-10-07 14:42:57,2014-10-08 09:39:42
4898065,12375518,5927491,167087024,166193419,23,f,f,2014-10-08 07:46:49,2015-01-29 14:06:42
4898525,12375518,5927491,167230975,167230844,24,f,f,2014-10-08 09:40:10,2014-10-08 10:02:45
5921083,5927491,5927491,207814591,190022411,25,t,t,2015-01-18 17:53:37,2015-01-18 17:53:43
5951082,5927491,5927491,208694470,208493593,26,t,t,2015-01-20 23:47:50,2015-01-20 23:47:56
6069376,5927491,5927491,212049122,212029074,27,t,f,2015-01-29 18:01:13,2015-01-29 18:01:37
6500581,13420119,5927491,187959272,212049263,28,f,t,2015-03-03 02:55:48,2015-03-03 02:55:59
6616255,5927491,5927491,228669472,228360832,29,t,t,2015-03-11 02:25:22,2015-03-11 02:25:41
6661602,5927491,5927491,230546577,230546564,30,t,t,2015-03-14 04:35:39,2015-03-14 04:35:49
6661646,5927491,5927491,230559662,230559625,31,t,t,2015-03-14 04:46:10,2015-03-14 04:46:15
6676547,5927491,5927491,230945486,230945480,32,t,t,2015-03-15 23:35:08,2015-03-15 23:35:15
6683516,5927491,5927491,231088476,231088468,33,t,t,2015-03-16 02:41:08,2015-03-16 02:42:58
6731183,5927491,5927491,233663790,233570905,34,t,t,2015-03-19 09:36:44,2015-03-19 09:36:53
6745335,5927491,5927491,234013645,233987109,35,t,t,2015-03-20 02:12:44,2015-03-20 02:12:50
6745742,5927491,5927491,234025837,234013653,36,t,f,2015-03-20 03:02:38,2015-03-20 03:02:45
6764721,5927491,5927491,234552426,234025919,37,t,t,2015-03-21 14:30:28,2015-03-21 14:30:34
6827216,5927491,5927491,236311804,234728283,38,t,t,2015-03-25 20:55:55,2015-03-25 20:55:59
6940710,5927491,5927491,239471772,238187627,39,t,t,2015-04-03 02:11:50,2015-04-03 02:11:57
6962686,5927491,5927491,240788767,240142975,40,t,t,2015-04-05 04:06:22,2015-04-05 04:06:27
6984450,5927491,5927491,241457083,241396963,41,t,f,2015-04-07 01:21:03,2015-04-07 01:30:31
7007056,5927491,5927491,242064964,241464498,42,t,t,2015-04-08 09:18:09,2015-04-08 09:18:14
7007261,5927491,5927491,242069095,242064976,43,t,f,2015-04-08 09:31:38,2015-04-08 09:31:41
7052689,5927491,5927491,243327105,242346155,44,t,t,2015-04-10 20:03:32,2015-04-10 20:03:36
7393196,5927491,5927491,253174896,243327132,45,t,f,2015-05-04 15:30:59,2015-05-04 15:31:57
7552834,5927491,5927491,258488892,256972662,46,t,f,2015-05-15 07:47:24,2015-05-15 08:01:26
7724381,5927491,5927491,263327488,258493455,47,t,f,2015-05-27 14:17:14,2015-05-27 14:17:21
7814707,5927491,5927491,266036139,263327512,48,t,f,2015-06-02 17:54:18,2015-06-02 17:54:30
7833596,5927491,5927491,266467325,266036796,49,t,t,2015-06-03 18:37:24,2015-06-03 18:37:29
7834246,5927491,5927491,266494295,266494280,50,t,t,2015-06-03 19:18:43,2015-06-03 19:18:49
8650278,5927491,5927491,285010552,270085749,51,t,t,2015-07-27 21:49:45,2015-07-27 21:49:56
8663747,5927491,5927491,285348511,285348507,52,t,t,2015-07-28 18:36:29,2015-07-28 18:36:34
