id,head_repo_id,base_repo_id,head_commit_id,base_commit_id,pullreq_id,intra_branch,merged,opened_at,closed_at
52961419,,119494288,,1167205365,1036,f,f,2018-10-11 14:44:23,2019-01-31 12:07:06
51593918,85858756,119494288,1233579667,1232304624,1179,f,f,2018-12-05 12:40:00,2018-12-12 10:17:21
53181359,100719094,119494288,1264613449,1232304624,1186,f,f,2018-12-07 09:58:28,2019-01-10 05:35:19
53266441,119494288,119494288,1265892100,1232255707,1189,t,f,2018-12-09 17:32:45,2019-01-11 07:01:51
51413046,119494288,119494288,1232255724,1232255707,1190,t,t,2018-12-10 04:24:01,2018-12-10 04:25:43
51413514,119494288,119494288,1231930978,1231930977,1191,t,t,2018-12-10 04:31:07,2018-12-10 04:31:51
51363412,89310266,119494288,1231930980,1231930976,1192,f,t,2018-12-10 06:29:17,2018-12-12 08:41:54
51422124,119494288,119494288,1232304627,1232304624,1193,t,f,2018-12-10 06:58:47,2018-12-10 06:59:42
51590367,91391723,119494288,1233511718,1233511715,1194,f,f,2018-12-12 09:05:42,2018-12-12 09:06:05
51596923,106354594,119494288,1233617181,1233511715,1195,f,t,2018-12-12 11:07:44,2018-12-12 11:15:15
51598009,85858756,119494288,1233579667,1233633000,1196,f,t,2018-12-12 11:25:32,2018-12-12 11:53:30
51598532,91391723,119494288,1233636183,1233633000,1197,f,f,2018-12-12 11:34:51,2018-12-12 11:35:56
51603579,91391723,119494288,1233713704,1233713694,1198,f,t,2018-12-12 13:07:31,2018-12-14 09:00:36
51673379,89310266,119494288,1234740333,1233713694,1199,f,t,2018-12-13 09:18:54,2018-12-13 09:33:26
51679306,119494288,119494288,1234820371,1234820370,1200,t,t,2018-12-13 10:55:17,2018-12-13 12:57:24
51685465,77013292,119494288,1234917616,1234820370,1201,f,t,2018-12-13 12:46:29,2018-12-14 06:22:09
51688139,119494288,119494288,1234966653,1234966649,1202,t,t,2018-12-13 13:31:43,2018-12-13 13:46:03
51707762,85858756,119494288,1235212514,1235212511,1203,f,t,2018-12-13 18:23:31,2018-12-14 07:18:06
51744442,89319355,119494288,1235782210,1235782207,1204,f,t,2018-12-14 06:26:51,2018-12-14 12:05:26
51758485,96268862,119494288,1236019080,1236019060,1205,f,t,2018-12-14 11:34:41,2018-12-14 12:05:35
51762591,85858756,119494288,1236090465,1236090451,1206,f,t,2018-12-14 12:57:49,2018-12-17 12:11:51
51768846,100719094,119494288,1236164382,1236090451,1207,f,t,2018-12-14 14:29:50,2018-12-18 04:24:40
51898419,118407311,119494288,1241868826,1233617184,1208,f,f,2018-12-17 09:05:38,2018-12-19 11:58:16
51901397,120070492,119494288,1241933260,1236090451,1209,f,f,2018-12-17 10:00:07,2018-12-18 07:23:26
51908492,78527267,119494288,1242052080,1236090451,1210,f,t,2018-12-17 12:00:24,2018-12-23 03:41:24
51925134,91391723,119494288,1242348782,1242063503,1211,f,t,2018-12-17 16:23:45,2018-12-18 07:27:05
51964442,100719094,119494288,1243040129,1242991758,1212,f,t,2018-12-18 05:44:56,2018-12-18 06:04:49
51967358,119494288,119494288,1243089079,1243054572,1213,t,t,2018-12-18 06:53:33,2018-12-18 10:46:47
51967489,100719094,119494288,1243090584,1243054572,1214,f,t,2018-12-18 06:57:52,2018-12-18 08:40:48
51972081,119494288,119494288,1243190082,1243175836,1215,t,t,2018-12-18 08:56:30,2018-12-18 09:00:05
51974338,120070492,119494288,1243235119,1243193417,1216,f,t,2018-12-18 09:44:16,2018-12-18 12:57:07
51978086,119494288,119494288,1243297943,1243295058,1217,t,t,2018-12-18 10:51:07,2018-12-18 13:28:00
51983273,78527267,119494288,1243366016,1243295058,1218,f,t,2018-12-18 12:05:15,2018-12-19 09:00:50
51984283,85858756,119494288,1243378072,1243295058,1219,f,t,2018-12-18 12:21:05,2018-12-19 06:13:12
51984336,91391723,119494288,1243380185,1243295058,1220,f,t,2018-12-18 12:21:58,2018-12-18 12:28:26
51986964,89319355,119494288,1243423580,1243414700,1221,f,t,2018-12-18 13:06:16,2018-12-19 09:19:43
52003953,119494288,119494288,1243689526,1243445901,1222,t,t,2018-12-18 17:17:24,2018-12-18 18:42:40
52035909,119494288,119494288,1244094725,1243772176,1223,t,t,2018-12-19 01:22:02,2018-12-19 05:30:42
52046531,119494288,119494288,1244288631,1244284957,1224,t,t,2018-12-19 06:19:50,2018-12-26 11:26:32
52046704,85858756,119494288,1244288185,1244284957,1225,f,t,2018-12-19 06:25:11,2018-12-19 07:05:24
52047230,77013292,119494288,1244300255,1244284957,1226,f,t,2018-12-19 06:36:39,2018-12-19 11:12:02
52050957,85858756,119494288,1244367275,1244320016,1227,f,t,2018-12-19 08:11:21,2018-12-19 08:36:35
52063497,120590033,119494288,1244572976,1244533452,1228,f,t,2018-12-19 11:59:36,2018-12-19 14:15:45
52064709,85858756,119494288,1244593030,1244533452,1229,f,t,2018-12-19 12:21:49,2018-12-19 13:53:30
52067619,77013292,119494288,1244635836,1244533452,1230,f,t,2018-12-19 13:07:45,2018-12-19 13:27:36
52069823,100719094,119494288,1244673480,1244664457,1231,f,t,2018-12-19 13:36:55,2018-12-19 14:07:55
52074285,77013292,119494288,1244751454,1244715609,1232,f,t,2018-12-19 14:47:49,2018-12-20 06:00:26
52081828,89319355,119494288,1244872238,1244715609,1233,f,t,2018-12-19 16:33:44,2018-12-20 09:16:08
52126998,91391723,119494288,1245557144,1233617184,1234,f,f,2018-12-20 06:16:00,2018-12-20 06:16:36
52127052,91391723,119494288,1245557144,1245547381,1235,f,t,2018-12-20 06:17:04,2018-12-21 11:55:38
52129010,120070492,119494288,1245588454,1245547381,1236,f,t,2018-12-20 06:48:28,2018-12-20 07:00:41
52129948,77013292,119494288,1245604793,1245596788,1237,f,t,2018-12-20 07:12:03,2018-12-20 07:40:04
52129945,85858756,119494288,1245603616,1245596788,1238,f,t,2018-12-20 07:12:06,2018-12-21 06:32:34
52148450,120070492,119494288,1245920145,1245709287,1239,f,t,2018-12-20 13:12:30,2018-12-20 13:34:03
52175360,100719094,119494288,1246310854,1245942070,1240,f,f,2018-12-20 20:08:42,2018-12-22 16:53:18
52205144,85858756,119494288,1246762649,1246730973,1241,f,t,2018-12-21 07:19:59,2018-12-21 07:24:01
52205202,77013292,119494288,1246762969,1246730973,1242,f,t,2018-12-21 07:21:03,2018-12-21 11:47:52
52206186,85858756,119494288,1246779100,1246766080,1243,f,t,2018-12-21 07:42:54,2018-12-21 07:45:03
52215924,87644987,119494288,1246936966,1246781107,1244,f,t,2018-12-21 11:13:22,2018-12-24 03:49:05
52219777,91391723,119494288,1247000217,1246987228,1245,f,t,2018-12-21 12:16:03,2018-12-21 12:20:34
52226803,85858756,119494288,1247107099,1247007293,1246,f,t,2018-12-21 14:27:19,2018-12-21 14:39:41
52229670,77013292,119494288,1247158329,1247120577,1247,f,t,2018-12-21 15:21:57,2018-12-24 08:11:52
52265319,85858756,119494288,1247773858,1247120577,1248,f,t,2018-12-22 09:23:35,2018-12-22 16:58:38
52327248,85858756,119494288,1249030476,1249031568,1249,f,t,2018-12-24 03:56:51,2018-12-24 05:25:30
52328925,91391723,119494288,1249053680,1233617184,1250,f,f,2018-12-24 04:43:15,2018-12-24 04:43:23
52328953,91391723,119494288,1249053680,1249031568,1251,f,t,2018-12-24 04:44:08,2018-12-24 05:01:35
52332129,78527267,119494288,1249091102,1249071609,1252,f,t,2018-12-24 06:02:10,2018-12-24 07:30:33
52334470,91391723,119494288,1249117352,1249071609,1253,f,t,2018-12-24 06:44:40,2018-12-24 07:31:56
52343630,78527267,119494288,1249279994,1249173739,1254,f,t,2018-12-24 10:40:59,2018-12-24 12:19:59
52345985,77013292,119494288,1249319925,1249173739,1255,f,t,2018-12-24 11:42:31,2018-12-24 12:19:36
52346224,78527267,119494288,1249325635,1249173739,1256,f,t,2018-12-24 11:52:16,2018-12-27 07:35:28
52359954,78527267,119494288,1249625177,1249346425,1257,f,t,2018-12-24 19:58:36,2018-12-27 06:45:54
52380836,78527267,119494288,1250119202,1249346425,1258,f,t,2018-12-25 13:21:45,2018-12-26 05:11:38
52396472,85858756,119494288,1250258208,1249346425,1259,f,t,2018-12-26 03:08:38,2018-12-26 08:36:52
52404698,85858756,119494288,1250695758,1250671572,1260,f,t,2018-12-26 09:10:08,2018-12-26 09:32:08
52410791,85287395,119494288,1250839108,1250781498,1261,f,t,2018-12-26 12:57:44,2018-12-26 14:48:25
52443771,77013292,119494288,1251514706,1251505195,1262,f,t,2018-12-27 07:49:47,2018-12-27 09:11:55
52443915,85858756,119494288,1251518094,1251505195,1263,f,t,2018-12-27 07:55:18,2018-12-27 09:11:12
52446445,85858756,119494288,1251573431,1251571201,1264,f,t,2018-12-27 09:16:35,2018-12-27 09:47:37
